pmid,title_snippet,agent_score,confidence_level,reasoning,setfit_confidence,ling_score,review_score,agent,agent_sample_size,title,abstract,ling_has_intro_pattern,ling_has_title_pattern,ling_has_url,ling_impl_keywords,ling_usage_keywords,agent2_score,agent2_rationale,expert_score,classification,category,evidence_count,title_match,intro_phrases,has_url,impl_keywords,usage_keywords,has_stats,agent4_score,agent4_notes,notes
21705364,The Strategies WDK: a graphical search interface and web development kit for fun...,0.5,low,Neutral indicators,0.717,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29437890,Brain Transcriptome Databases: A User's Guide.,0.5,low,Resource in title + intro language; Review/guide content,0.713,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31725862,Leveraging word embeddings and medical entity extraction for biomedical dataset ...,0.4,medium,Weak intro signals; Weak usage language,0.701,1.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
33560568,Update of the Pompe variant database for the prediction of clinical phenotypes: ...,0.95,high,Resource in title + intro language; Has URL,0.603,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
25870299,Metatranscriptome analyses indicate resource partitioning between diatoms in the...,0.5,low,Neutral indicators,0.532,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
26589468,ISRUC-Sleep: A comprehensive public dataset for sleep researchers.,0.5,low,Some intro signals; Weak usage language,0.655,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29884752,Comparative Annotation Toolkit (CAT)-simultaneous clade and personal genome anno...,0.95,high,Resource in title + strong intro language,0.719,1.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
29178822,A modified GC-specific MAKER gene annotation method reveals improved and novel g...,0.25,medium,Weak intro signals; Weak usage language; Statistical analysis focus,0.671,0.0,0.25,1,200,,,,,,,,,,,,,,,,,,,,,,
21586727,Network-based tools for the identification of novel drug targets.,0.5,low,Neutral indicators,0.68,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
23027632,Neuromechanic: a computational platform for simulation and analysis of the neura...,0.85,high,Resource in title + intro language,0.724,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31164903,An Effective Method to Measure Disease Similarity Using Gene and Phenotype Assoc...,0.6,medium,Weak intro signals,0.711,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
34248822,The ARCA Registry: A Collaborative Global Platform for Advancing Trial Readiness...,0.5,low,Neutral indicators,0.603,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
26999359,"Hybridization Capture Using RAD Probes (hyRAD), a New Tool for Performing Genomi...",0.5,low,Neutral indicators,0.586,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
26909892,Pep-Calc.com: a set of web utilities for the calculation of peptide and peptoid ...,0.7,medium,Weak intro signals; Has URL,0.726,2.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
24957044,ClonorESTdb: a comprehensive database for Clonorchis sinensis EST sequences.,0.95,high,Resource in title + strong intro language; Weak usage language; Has URL; Named resource in title; Resource description present,0.699,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
27145854,Tailored Mesoporous Silica Nanoparticles for Controlled Drug Delivery: Platform ...,0.85,high,Resource in title + intro language,0.535,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
27829360,Disease gene prioritization by integrating tissue-specific molecular networks us...,0.8,medium,Some intro signals; Has URL,0.714,2.0,0.8,1,200,,,,,,,,,,,,,,,,,,,,,,
29560524,EFO-LCI: A New Life Cycle Inventory Database of Forestry Operations in Europe.,0.65,medium,Resource in title + intro language; Weak usage language,0.565,1.0,0.65,1,200,,,,,,,,,,,,,,,,,,,,,,
32051418,A voltage and current measurement dataset for plug load appliance identification...,0.5,low,Neutral indicators,0.701,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
27914894,SCOPe: Manual Curation and Artifact Removal in the Structural Classification of ...,1.0,high,Resource in title + strong intro language; Has URL,0.707,2.0,1.0,1,200,,,,,,,,,,,,,,,,,,,,,,
31212742,Systematic Analysis of a Military Wearable Device Based on a Multi-Level Fusion ...,0.85,high,Resource in title + intro language,0.678,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
30295719,Tripal Developer Toolkit.,0.95,high,Resource in title + strong intro language,0.718,0.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
33101366,Improved Human Age Prediction by Using Gene Expression Profiles From Multiple Ti...,0.7,medium,Some intro signals,0.598,0.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
21948792,BμG@Sbase--a microbial gene expression and comparative genomic database.,0.4,medium,Resource in title + intro language; Has URL; Multiple resources mentioned (likely usage),0.721,2.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
29776332,TelNet - a database for human and yeast genes involved in telomere maintenance.,0.7,medium,Resource in title + intro language; Weak usage language; Has URL; Named resource in title; Statistical analysis focus,0.714,2.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
35113396,Subcellular Proteomics as a Unified Approach of Experimental Localizations and C...,0.7,medium,Weak intro signals; Has URL,0.711,2.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
22748121,Genes2FANs: connecting genes through functional association networks.,0.55,low,Weak intro signals; Has URL; Statistical analysis focus,0.722,1.0,0.55,1,200,,,,,,,,,,,,,,,,,,,,,,
25355642,Massive fungal biodiversity data re-annotation with multi-level clustering.,0.5,low,Neutral indicators,0.72,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
34644045,Automated Electrokinetic Platform for High-Throughput Sodium Dodecyl Sulfate Dep...,0.95,high,Resource in title + strong intro language,0.606,1.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
31272283,"Genome Sequence Resource for <i>Ilyonectria mors-panacis</i>, Causing Rusty Root...",0.85,high,Resource in title + intro language,0.678,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
28605769,TriatoKey: a web and mobile tool for biodiversity identification of Brazilian tr...,0.5,low,Neutral indicators,0.71,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29072139,NemoProfile as an efficient approach to network motif analysis with instance col...,0.35,medium,Statistical analysis focus,0.718,0.0,0.35,1,200,,,,,,,,,,,,,,,,,,,,,,
29533231,Worldwide Protein Data Bank validation information: usage and trends.,0.55,low,Weak intro signals; Has URL; Statistical analysis focus,0.717,1.0,0.55,1,200,,,,,,,,,,,,,,,,,,,,,,
25580224,The Cytoscape app article collection.,0.6,medium,Weak intro signals,0.717,1.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
27407110,Global transcript structure resolution of high gene density genomes through mult...,0.85,high,Resource in title + intro language,0.657,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
