url,pmid,primary_entity_long,primary_entity_short,domain,source_file,sample_priority,title,db_keyword_found,very_high_conf,article_count,is_live,status_code,total_score,likelihood,indicators_found,response_time_ms,error_message
http://csdb.glycoscience.ru,"24680503, 25753703, 26337239",carbohydrate structure database,,csdb.glycoscience.ru,linguistic_high_conf_dedup,high_conf_dedup,Expansion of coverage of Carbohydrate Structure Database (CSDB).,True,False,3,True,200.0,0,VERY LOW,,189.16,
http://www.oxfordjournals.org/nar/database/c/,"24316579, 26740669, 29316735, 30626175, 31906604, 33396976",,s,www.oxfordjournals.org,linguistic_high_conf_dedup,high_conf_dedup,The 2014 Nucleic Acids Research Database Issue and an updated NAR online Molecular Biology Database Collection.,True,False,6,True,200.0,2,LOW,Content: Genomics; Content: Proteomics,336.91,
http://www.ebi.ac.uk/ena/,"23203883, 24214989, 27899630, 31722421",european nucleotide archive,,www.ebi.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,Facing growth in the European Nucleotide Archive.,True,False,4,True,200.0,9,MEDIUM,Content: IRB; Content: EBI,335.29,
http://biit.cs.ut.ee/gprofiler/,"21646343, 27098042",g:profiler,,biit.cs.ut.ee,linguistic_high_conf_dedup,high_conf_dedup,g:Profiler--a web server for functional interpretation of gene lists (2011 update).,True,False,2,True,200.0,0,VERY LOW,,208.06,
http://www.ncbi.nlm.nih.gov,"22140104, 25398906, 26615191, 29140470, 33095870",mendelian inheritance in,,www.ncbi.nlm.nih.gov,linguistic_high_conf_dedup,high_conf_dedup,Database resources of the National Center for Biotechnology Information.,True,False,5,True,200.0,6,MEDIUM,Content: NCBI; Content: Deposit Data,572.66,
http://ctdbase.org/,"23221299, 27171405, 34458863",comparative toxicogenomics database,,ctdbase.org,linguistic_high_conf_dedup,high_conf_dedup,Targeted journal curation as a method to improve data currency at the Comparative Toxicogenomics Database.,True,False,3,True,200.0,0,VERY LOW,,795.85,
http://www.informatics.jax.org,"23175610, 24285300",mouse genome database,,www.informatics.jax.org,linguistic_high_conf_dedup,high_conf_dedup,"The mouse genome database: genotypes, phenotypes, and models of human disease.",True,True,2,True,200.0,5,MEDIUM,Content: NCBI; Content: Genomics,780.15,
http://genomics.senescence.info,"23193293, 29121237",human ageing genomic resources,,genomics.senescence.info,linguistic_high_conf_dedup,high_conf_dedup,Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,True,True,2,True,200.0,1,LOW,Content: Genomics,905.49,
http://www.candidagenome.org/,"22064862, 24185697",candida genome database,,www.candidagenome.org,linguistic_high_conf_dedup,high_conf_dedup,The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,True,False,2,True,200.0,11,HIGH,Content: NCBI; Content: Identifier; Content: Curation; Content: Genomics; Content: Proteomics,555.29,
http://www.hgmd.org,"24077912, 28349240",human gene mutation database,,www.hgmd.org,linguistic_high_conf_dedup,high_conf_dedup,"The Human Gene Mutation Database: building a comprehensive mutation repository for clinical and molecular genetics, diagnostic testing and personalized genomic medicine.",True,True,2,True,200.0,4,LOW,Content: EBI,721.71,
http://cgma.scu.edu.cn/CTLPScanner/,"27185889, 29564830",ctlpscanner,,cgma.scu.edu.cn,linguistic_high_conf_dedup,high_conf_dedup,CTLPScanner: a web server for chromothripsis-like pattern detection.,True,True,2,False,,0,VERY LOW,,,"Error: HTTPConnectionPool(host='cgma.scu.edu.cn', port=80): Max retries exceeded with url: /CTLPScanner/ (C"
https://phenome.jax.org,"29136208, 31696236",mouse phenome database,,phenome.jax.org,linguistic_high_conf_dedup,high_conf_dedup,Mouse Phenome Database: an integrative database and analysis suite for curated empirical phenotype data from laboratory mice.,True,True,2,True,200.0,5,MEDIUM,Content: EBI; Content: Genomics,1534.77,
http://iomics.ugent.be/ms2pip,"25990723, 31028400",,ms2pip,iomics.ugent.be,linguistic_high_conf_dedup,high_conf_dedup,MS2PIP prediction server: compute and visualize MS2 peak intensity predictions for CID and HCD fragmentation.,True,False,2,True,200.0,12,HIGH,Content: Swagger; Content: FASTA; Content: Accession; Content: Proteomics,495.08,
http://sfld.rbvi.ucsf.edu/,"24271399, 25501940",structure-function linkage database,,sfld.rbvi.ucsf.edu,linguistic_high_conf_dedup,high_conf_dedup,The Structure-Function Linkage Database.,True,False,2,True,200.0,0,VERY LOW,,900.84,
http://inetmodels.com,"29069445, 33849075",,tcsbn,inetmodels.com,linguistic_high_conf_dedup,high_conf_dedup,TCSBN: a database of tissue and cancer specific biological networks.,True,True,2,False,,0,VERY LOW,,,"Error: HTTPSConnectionPool(host='inetmodels.com', port=443): Max retries exceeded with url: / (Caused by SS"
http://rgd.mcw.edu,"21478484, 23255149",rat genome database,,rgd.mcw.edu,linguistic_high_conf_dedup,high_conf_dedup,The Rat Genome Database pathway portal.,True,False,2,True,200.0,21,CRITICAL,Content: REST API; Content: Swagger; Content: EBI; Content: NCBI; Content: Curation; Content: Genomics,1172.14,
http://www.reading.ac.uk/bioinf/IntFOLD/,"21459847, 31045208",intfold,,www.reading.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,"The IntFOLD server: an integrated web resource for protein fold recognition, 3D model quality assessment, intrinsic disorder prediction, domain prediction and ligand binding site prediction.",True,False,2,True,200.0,5,MEDIUM,Content: NCBI; Content: Genomics,240.92,
http://pave.niaid.nih.gov,"23093593, 28053164",papillomavirus episteme,,pave.niaid.nih.gov,linguistic_high_conf_dedup,high_conf_dedup,The Papillomavirus Episteme: a central resource for papillomavirus sequence data and analysis.,True,True,2,True,200.0,7,MEDIUM,Content: NCBI; Content: PDB,1120.72,
http://www.ebi.ac.uk/Tools/hmmer/,"25943547, 29905871",,hmmer,www.ebi.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,HMMER web server: 2015 update.,True,False,2,True,200.0,4,LOW,Content: EBI,330.01,
http://www.mcr.org.in/chloromitossrdb,"23284085, 26412851",chloromitossrdb,,www.mcr.org.in,linguistic_high_conf_dedup,high_conf_dedup,ChloroMitoSSRDB: open source repository of perfect and imperfect repeats in organelle genomes for evolutionary genomics.,True,True,2,True,200.0,0,VERY LOW,,600.34,
http://www.pancreasexpression.org,"24163255, 29059374",pancreatic expression database,,www.pancreasexpression.org,linguistic_high_conf_dedup,high_conf_dedup,The pancreatic expression database: recent extensions and updates.,True,True,2,False,,0,VERY LOW,,,"Error: HTTPSConnectionPool(host='www.pancreasexpression.org', port=443): Max retries exceeded with url: / ("
