url,pmid,primary_entity_long,primary_entity_short,domain,source_file,sample_priority,title,db_keyword_found,very_high_conf,article_count,is_live,status_code,total_score,base_score,title_bonus,likelihood,indicators_found,response_time_ms,error_message,meta_redirects,final_url
http://csdb.glycoscience.ru,"24680503, 25753703, 26337239",carbohydrate structure database,,csdb.glycoscience.ru,linguistic_high_conf_dedup,high_conf_dedup,Expansion of coverage of Carbohydrate Structure Database (CSDB).,True,False,3,True,200.0,8,8,0,MEDIUM,Content: molecular; Content: search; Content: data; Content: database,239.28,,0,http://csdb.glycoscience.ru/
http://www.ebi.ac.uk/ena/,"23203883, 24214989, 27899630, 31722421",european nucleotide archive,,www.ebi.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,Facing growth in the European Nucleotide Archive.,True,False,4,True,200.0,21,21,0,CRITICAL,Content: EBI; Content: gene; Content: archive; Content: resource; Content: platform; Content: query; Title: browse; Content: data; Content: portal,380.76,,0,https://www.ebi.ac.uk/ena/browser/
http://biit.cs.ut.ee/gprofiler/,"21646343, 27098042",g:profiler,,biit.cs.ut.ee,linguistic_high_conf_dedup,high_conf_dedup,g:Profiler--a web server for functional interpretation of gene lists (2011 update).,True,False,2,True,200.0,11,6,5,HIGH,Title: gene; Content: data; Title: server; ★ TITLE BONUS: 'server' in page title,134.45,,0,http://biit.cs.ut.ee/gprofiler/
http://www.oxfordjournals.org/nar/database/c/,"24316579, 26740669, 29316735, 30626175, 31906604, 33396976",,s,www.oxfordjournals.org,linguistic_high_conf_dedup,high_conf_dedup,The 2014 Nucleic Acids Research Database Issue and an updated NAR online Molecular Biology Database Collection.,True,False,6,True,200.0,40,35,5,CRITICAL,Content: genomics; Content: proteomics; Content: genome; Content: gene; Content: protein; Content: sequence; Content: molecular; Content: expression; Content: collection; Content: resource; Content: search; Content: query; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,359.26,,0,https://www.oxfordjournals.org:443/nar/database/c/
http://www.ncbi.nlm.nih.gov,"22140104, 25398906, 26615191, 29140470, 33095870",mendelian inheritance in,,www.ncbi.nlm.nih.gov,linguistic_high_conf_dedup,high_conf_dedup,Database resources of the National Center for Biotechnology Information.,True,False,5,True,200.0,45,45,0,CRITICAL,Content: NCBI; Content: NIH; Content: genome; Content: gene; Content: protein; Content: sequence; Content: expression; Content: collection; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: data; Content: database; Content: portal,740.63,,0,https://www.ncbi.nlm.nih.gov/
http://ctdbase.org/,"23221299, 27171405, 34458863",comparative toxicogenomics database,,ctdbase.org,linguistic_high_conf_dedup,high_conf_dedup,Targeted journal curation as a method to improve data currency at the Comparative Toxicogenomics Database.,True,False,3,True,200.0,8,8,0,MEDIUM,Content: search; Content: browse; Content: submit; Content: data,851.77,,0,https://ctdbase.org/
http://genomics.senescence.info,"23193293, 29121237",human ageing genomic resources,,genomics.senescence.info,linguistic_high_conf_dedup,high_conf_dedup,Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,True,True,2,True,200.0,58,53,5,CRITICAL,Content: genomics; Content: bioinformatics; Content: genome; Content: gene; Content: molecular; Content: biological; Content: variant; Content: mutation; Content: expression; Content: collection; Title: resource; Content: tool; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: curated; Content: annotation; Content: data; Content: database; Content: portal; ★ TITLE BONUS: 'resource' in page title,833.18,,0,https://genomics.senescence.info/
http://www.informatics.jax.org,"23175610, 24285300",mouse genome database,,www.informatics.jax.org,linguistic_high_conf_dedup,high_conf_dedup,"The mouse genome database: genotypes, phenotypes, and models of human disease.",True,True,2,True,200.0,66,61,5,CRITICAL,Content: NCBI; Content: NIH; Content: Ensembl; Content: genomics; Title: genome; Content: gene; Content: protein; Content: sequence; Content: biological; Content: mutation; Content: expression; Content: collection; Title: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Title: data; Title: database; Content: portal; ★ TITLE BONUS: 'database' in page title,993.0,,0,https://www.informatics.jax.org/
http://www.candidagenome.org/,"22064862, 24185697",candida genome database,,www.candidagenome.org,linguistic_high_conf_dedup,high_conf_dedup,The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,True,False,2,True,200.0,55,50,5,CRITICAL,Content: NCBI; Content: NIH; Content: genomics; Content: proteomics; Title: genome; Content: gene; Content: protein; Content: sequence; Content: archive; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Title: data; Title: database; Content: server; ★ TITLE BONUS: 'database' in page title,735.3,,0,http://www.candidagenome.org/
http://www.hgmd.org,"24077912, 28349240",human gene mutation database,,www.hgmd.org,linguistic_high_conf_dedup,high_conf_dedup,"The Human Gene Mutation Database: building a comprehensive mutation repository for clinical and molecular genetics, diagnostic testing and personalized genomic medicine.",True,True,2,True,200.0,14,14,0,HIGH,Content: EBI; Content: gene; Content: search; Content: browse; Content: data,781.48,,0,https://hgmd.org/
