url,pmid,primary_entity_long,primary_entity_short,domain,source_file,sample_priority,title,db_keyword_found,very_high_conf,article_count
http://www.oxfordjournals.org/nar/database/c/,"24316579, 26740669, 29316735, 30626175, 31906604, 33396976",,s,www.oxfordjournals.org,linguistic_high_conf_dedup_full,high_conf_full,The 2014 Nucleic Acids Research Database Issue and an updated NAR online Molecular Biology Database Collection.,True,False,6
http://www.ncbi.nlm.nih.gov,"22140104, 25398906, 26615191, 29140470, 33095870",mendelian inheritance in,,www.ncbi.nlm.nih.gov,linguistic_high_conf_dedup_full,high_conf_full,Database resources of the National Center for Biotechnology Information.,True,False,5
http://www.ebi.ac.uk/ena/,"23203883, 24214989, 27899630, 31722421",european nucleotide archive,,www.ebi.ac.uk,linguistic_high_conf_dedup_full,high_conf_full,Facing growth in the European Nucleotide Archive.,True,False,4
http://www.yeastgenome.org,"24265222, 28365719, 29140510",saccharomyces genome database,,www.yeastgenome.org,linguistic_high_conf_dedup_full,high_conf_full,Saccharomyces genome database provides new regulation data.,True,False,3
http://ctdbase.org/,"23221299, 27171405, 34458863",comparative toxicogenomics database,,ctdbase.org,linguistic_high_conf_dedup_full,high_conf_full,Targeted journal curation as a method to improve data currency at the Comparative Toxicogenomics Database.,True,False,3
http://csdb.glycoscience.ru,"24680503, 25753703, 26337239",carbohydrate structure database,,csdb.glycoscience.ru,linguistic_high_conf_dedup_full,high_conf_full,Expansion of coverage of Carbohydrate Structure Database (CSDB).,True,False,3
http://medical-data-models.org,"23920826, 26868052, 29295221",,,medical-data-models.org,linguistic_high_conf_dedup_full,high_conf_full,Analyses of medical data models - identifying common concepts and items in a repository of medical forms.,True,False,3
http://genomics.senescence.info,"23193293, 29121237",human ageing genomic resources,,genomics.senescence.info,linguistic_high_conf_dedup_full,high_conf_full,Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,True,True,2
https://phenome.jax.org,"29136208, 31696236",mouse phenome database,,phenome.jax.org,linguistic_high_conf_dedup_full,high_conf_full,Mouse Phenome Database: an integrative database and analysis suite for curated empirical phenotype data from laboratory mice.,True,True,2
http://www.informatics.jax.org,"23175610, 24285300",mouse genome database,,www.informatics.jax.org,linguistic_high_conf_dedup_full,high_conf_full,"The mouse genome database: genotypes, phenotypes, and models of human disease.",True,True,2
http://biit.cs.ut.ee/gprofiler/,"21646343, 27098042",g:profiler,,biit.cs.ut.ee,linguistic_high_conf_dedup_full,high_conf_full,g:Profiler--a web server for functional interpretation of gene lists (2011 update).,True,False,2
http://bigd.big.ac.cn/gvm/,"29069473, 33170268",genome variation map,,bigd.big.ac.cn,linguistic_high_conf_dedup_full,high_conf_full,Genome Variation Map: a data repository of genome variations in BIG Data Center.,True,True,2
