url,review_category,total_score,likelihood,indicators_found,page_title,content_snippet,primary_entity_long,primary_entity_short,source_file,manual_label,manual_notes
http://www.ncbi.nlm.nih.gov/geo/,HIGH_SCORE,18,CRITICAL,NCBI; programmatic access; PDB; Accession; Data Submission; Data Repository; Genomics,geo,Title: NCBI | Content: programmatic access; PDB; Accession; Data Submission; Data Repository; Genomics,,geo,baseline_entity,,
https://card.mcmaster.ca,HIGH_SCORE,17,CRITICAL,EBI; NCBI; Accession; Identifier; Curation; Genomics,card,Content: EBI; NCBI; Accession; Identifier; Curation; Genomics,,card,baseline_entity,,
http://rfam.xfam.org,HIGH_SCORE,16,CRITICAL,IRB; EBI; NCBI; FASTA,rfam,Content: IRB; EBI; NCBI; FASTA,,rfam,baseline_entity,,
http://kimosys.org,HIGH_SCORE,13,HIGH,EBI; Accession; Identifier; Deposit Data; Data Repository,kimosys,Content: EBI; Accession; Identifier; Deposit Data; Data Repository,kimosys,,baseline_entity,,
http://www.kimosys.org,HIGH_SCORE,13,HIGH,EBI; Accession; Identifier; Deposit Data; Data Repository,kimosys,Content: EBI; Accession; Identifier; Deposit Data; Data Repository,kimosys,,baseline_entity,,
https://www.maizegdb.org,HIGH_SCORE,13,HIGH,EBI; Accession; Identifier; Curation; Genomics,maizegdb,Content: EBI; Accession; Identifier; Curation; Genomics,maizegdb,,baseline_entity,,
http://proteomecentral.proteomexchange.org/dataset/PXD000764,HIGH_SCORE,12,HIGH,EBI; NCBI; Identifier; Proteomics,pride,Content: EBI; NCBI; Identifier; Proteomics,,pride,setfit_novel,,
http://3dbionotes-ws.cnb.csic.es,HIGH_SCORE,11,HIGH,EBI; PDB; Accession; Proteomics,3dbionotes,Content: EBI; PDB; Accession; Proteomics,,3dbionotes,linguistic_novel,,
http://www.ebi.ac.uk/gxa,HIGH_SCORE,10,HIGH,EBI; IRB; Genomics,expression atlas,Title: EBI | Content: IRB; Genomics,expression atlas,,baseline_entity,,
http://pdbj.org,HIGH_SCORE,10,HIGH,PDB; EBI; Accession,pdbj,Title: PDB | Content: EBI; Accession,,pdbj,setfit_novel,,
http://bioinfo.usu.edu/alfanet/,LOW_SCORE,0,VERY LOW,,alfanet,(No indicators found),alfanet,,baseline_entity,,
http://magen.whu.edu.cn,LOW_SCORE,0,VERY LOW,,magendb,(No indicators found),magendb,,baseline_entity,,
http://uucd.biocuckoo.org,LOW_SCORE,0,VERY LOW,,uucd,(No indicators found),,uucd,baseline_pmid,,
http://enalossuite.novamechanics.com/,LOW_SCORE,0,VERY LOW,,enalos suite,(No indicators found),enalos suite,,linguistic_novel,,
http://www.mcr.org.in/chloromitossrdb,LOW_SCORE,0,VERY LOW,,chloromitossrdb,(No indicators found),chloromitossrdb,,linguistic_novel,,
http://rsnp3.psych.ac.cn,LOW_SCORE,0,VERY LOW,,rsnpbase,(No indicators found),rsnpbase,,linguistic_novel,,
https://webapp.ufz.de/tmdb,LOW_SCORE,0,VERY LOW,,terrestrialmetagenomedb,(No indicators found),terrestrialmetagenomedb,,baseline_pmid,,
https://deepspecs.github.io/,LOW_SCORE,0,VERY LOW,,specollate,(No indicators found),specollate,,linguistic_novel,,
http://biorg.cis.fiu.edu/pluma,LOW_SCORE,0,VERY LOW,,pluma,(No indicators found),,pluma,linguistic_novel,,
http://www.rbptd.com,LOW_SCORE,0,VERY LOW,,rbptd,(No indicators found),,rbptd,setfit_novel,,
http://www.emodnet-biology.eu/,MEDIUM_SCORE,9,MEDIUM,EBI; Identifier; Data Submission,,Content: EBI; Identifier; Data Submission,,,setfit_novel,,
http://www.ebi.ac.uk/thornton-srv/m-csa,MEDIUM_SCORE,7,MEDIUM,EBI; PDB,csa,Content: EBI; PDB,,csa,setfit_novel,,
http://www.LOVD.nl/ARSA,MEDIUM_SCORE,6,MEDIUM,NCBI; Data Submission,lovd,Content: NCBI; Data Submission,,lovd,baseline_entity,,
http://sugarbind.expasy.org,MEDIUM_SCORE,4,LOW,NCBI,sugarbinddb,Content: NCBI,sugarbinddb,,baseline_pmid,,
http://dbtss.hgc.jp/,MEDIUM_SCORE,4,LOW,NCBI,dbtss,Content: NCBI,,dbtss,linguistic_novel,,
https://drugdesign.riken.jp/FMODB/,MEDIUM_SCORE,3,LOW,PDB,fmodb,Content: PDB,,fmodb,baseline_entity,,
http://www.networkanalyst.ca,MEDIUM_SCORE,2,LOW,Curation,networkanalyst,Content: Curation,networkanalyst,,linguistic_novel,,
http://gcgene.bioinfo-minzhao.org/,MEDIUM_SCORE,1,LOW,Knowledgebase,gcgene,Content: Knowledgebase,,gcgene,baseline_pmid,,
http://www.dsimb.inserm.fr/dsimb_tools/PTM-SD/,MEDIUM_SCORE,0,VERY LOW,,ptm-sd,(No indicators found),,ptm-sd,baseline_pmid,,
https://www.flyrnai.org/tools/single_cell/web/,MEDIUM_SCORE,0,VERY LOW,,drscdb,(No indicators found),,drscdb,baseline_pmid,,
