ID,best_name,in_rerun,in_final,rerun_best_name_prob,final_best_name_prob,rerun_best_common_prob,final_best_common_prob,difference_score,status
32111231,NoncoRNA,True,True,0.981035,0.997252762,0.981035,0.997252762,,both_high_conf
25336621,DBTMEE,True,True,0.9888513,0.997862458,0.9888513,0.997862458,,both_high_conf
32360910,CancerEnD,True,True,0.9863432,0.998435497,0.9863432,0.998435497,,both_high_conf
23868908,CREDO,True,True,0.98975474,0.997011185,0.98975474,0.997011185,,both_high_conf
23185043,DoBISCUIT,True,True,0.98049337,0.998316765,0.98049337,0.998316765,,both_high_conf
30247677,AmtDB,True,True,0.9847453,0.998366475,0.9847453,0.998366475,,both_high_conf
25392422,tRFdb,True,True,0.9827922,0.998105168,0.9827922,0.998105168,,both_high_conf
22847935,GlycoCD,True,True,0.9830626,0.997937024,0.9830626,0.997937024,,both_high_conf
21735248,ORchestra,True,True,0.9814988,0.99726969,0.9814988,0.99726969,,both_high_conf
24143056,MAGICdb,True,True,0.9786458,0.998173594,0.9786458,0.998173594,,both_high_conf
31504765,GMrepo,True,True,0.97899055,0.998026729,0.97899055,0.998026729,,both_high_conf
33125055,HbVar,True,True,0.9809412,0.997882962,0.9809412,0.997882962,,both_high_conf
26578693,TENOR,True,True,0.9819167,0.997442484,0.9819167,0.997442484,,both_high_conf
25149689,FusoBase,True,True,0.97979414,0.997971714,0.97979414,0.997971714,,both_high_conf
28759605,THPdb,True,True,0.9818473,0.998677254,0.9818473,0.998677254,,both_high_conf
22804825,HuPho,False,True,,0.995498061,,0.995498061,,unique_to_final
25632108,CyanOmics,False,True,,0.996836007,,0.996836007,,unique_to_final
28608363,MiSynPat,False,True,,0.997369468,,0.997369468,,unique_to_final
33219670,MolluscDB,False,True,,0.998527646,,0.998527646,,unique_to_final
26708988,HitPredict,False,True,,0.99754715,,0.99754715,,unique_to_final
24997141,ChiloDB,False,True,,0.997956932,,0.997956932,,unique_to_final
30094004,SuperbaSE,False,True,,0.992503345,,0.992503345,,unique_to_final
"26602694, 25555720",APD3,False,True,,0.988607168,,0.988607168,,unique_to_final
32119071,ProCaff,False,True,,0.978805065,,0.978805065,,unique_to_final
32512488,TTRMDB,False,True,,0.990589499,,0.990589499,,unique_to_final
29509874,CarbonylDB,False,True,,0.994347632,,0.994347632,,unique_to_final
25378322,UniPROBE,False,True,,0.997834285,,0.997834285,,unique_to_final
27037912,GAMDB,False,True,,0.99449718,,0.99449718,,unique_to_final
22424087,PupDB,False,True,,0.998188615,,0.998188615,,unique_to_final
22547615,MBLED,False,True,,0.99639684,,0.99639684,,unique_to_final
24244913,BioNames,False,True,,0.997415423,,0.997415423,,unique_to_final
23203890,OrysPSSP,False,True,,0.995186687,,0.995186687,,unique_to_final
24304901,GPCRDB,False,True,,0.998344004,,0.998344004,,unique_to_final
34332522,PACHIN,False,True,,0.991595972,,0.991595972,,unique_to_final
"22135302, 27899673",DiseaseMeth,False,True,,0.993306458,,0.993306458,,unique_to_final
"23734660, 33772585, 22681406",IEDB,False,True,,0.993056357,,0.993056357,,unique_to_final
22139928,SpliceDisease,False,True,,0.996948481,,0.996948481,,unique_to_final
23696878,PEpiD,False,True,,0.998079658,,0.998079658,,unique_to_final
33237299,GreenPhylDB,False,True,,0.997109532,,0.997109532,,unique_to_final
"27987169, 23161680",TropGeneDB,False,True,,0.997986138,,0.997986138,,unique_to_final
24885079,fPoxDB,False,True,,0.997609806,,0.997609806,,unique_to_final
23095257,IBDsite,False,True,,0.995800972,,0.995800972,,unique_to_final
34362451,MPDB,False,True,,0.990668297,,0.990668297,,unique_to_final
24178989,HypoxiaDB,False,True,,0.996842146,,0.996842146,,unique_to_final
23661693,CMAP,False,True,,0.981967479,,0.981967479,,unique_to_final
"22948725, 24077912, 28349240",HGMD,False,True,,0.993344128,,0.993344128,,unique_to_final
"23197659, 25414356, 27899674, 31777944, 31851420",CDD,False,True,,0.996487617,,0.996487617,,unique_to_final
27451428,SZDB,False,True,,0.994548321,,0.994548321,,unique_to_final
"25414323, 29858801, 33755549",AFND,False,True,,0.989334464,,0.989334464,,unique_to_final
27618709,DenHunt,False,True,,0.991763353,,0.991763353,,unique_to_final
22292669,TranscriptomeBrowser,False,True,,0.988476872,,0.988476872,,unique_to_final
25187689,TRIPATH,False,True,,0.990485728,,0.990485728,,unique_to_final
28984188,ScaPD,False,True,,0.998022795,,0.998022795,,unique_to_final
31588509,MutEx,False,True,,0.993316352,,0.993316352,,unique_to_final
24092884,PODB,False,True,,0.986917019,,0.986917019,,unique_to_final
33423696,COCONUT,False,True,,0.993007143,,0.993007143,,unique_to_final
31811943,GliomaDB,False,True,,0.996975422,,0.996975422,,unique_to_final
22116062,GeneDB,False,True,,0.993148148,,0.993148148,,unique_to_final
30380106,OrthoInspector,False,True,,0.992683411,,0.992683411,,unique_to_final
29485625,Datasets2Tools,False,True,,0.979977262,,0.979977262,,unique_to_final
23180797,Quorumpeps,False,True,,0.993253469,,0.993253469,,unique_to_final
29432422,TopicalPdb,False,True,,0.998002231,,0.998002231,,unique_to_final
