paper_id,title,abstract,true_com,true_ful,v2_com,v2_ful,p4_com_raw,p4_com_clean,p4_ful_raw,p4_ful_clean
20479508,,,,,,,"[""TCLUST""]","[""TCLUST""]",[],[]
20607691,,,,,,,"[""Gabedit""]","[""Gabedit""]",[],[]
20672376,,,,,"[""pfSNP""]",[],"[""functional"", ""pfSNP"", ""potentially"", ""SNPs""]","[""functional"", ""pfSNP"", ""potentially"", ""SNPs""]",[],[]
20855923,,,,,,,"[""MHCMIR""]","[""MHCMIR""]",[],[]
20931385,,,,,"[""Gramene""]",[],"[""database"", ""Gramene""]","[""database"", ""Gramene""]",[],[]
20949389,,,,,"[""ACSR""]","[""AIDS and Cancer Specimen Resource""]","[""AIDS"", ""and"", ""Cancer"", ""Resource"", ""Specimen""]","[""AIDS"", ""and"", ""Cancer"", ""Resource"", ""Specimen""]",[],[]
20955172,,,,,,,"[""PredCSF""]","[""PredCSF""]",[],[]
21031599,,,,,"[""PRO-MINE""]","[""ROtein Mutations""]","[""In"", ""Mutations"", ""NEurodegeneration"", ""PROtein""]","[""In"", ""Mutations"", ""NEurodegeneration"", ""PROtein""]",[],[]
21037493,,,,,,,"[""Discus"", ""discusproject""]","[""Discus"", ""discusproject""]",[],[]
21041879,,,,,,,"[""voxel""]","[""voxel""]",[],[]
21063943,,,,,"[""DoD"", ""PRIDE""]","[""Proteomics Identifications Database""]","[""Database"", ""Identifications"", ""Proteomics""]","[""Database"", ""Identifications"", ""Proteomics""]",[],[]
21063949,,,,,,,"[""Imaging"", ""Language"", ""Markup"", ""Mass"", ""Spectrometry""]","[""Imaging"", ""Language"", ""Markup"", ""Mass"", ""Spectrometry""]",[],[]
21082426,,,,,"[""InterPro""]",[],"[""database"", ""InterPro""]","[""database"", ""InterPro""]",[],[]
21118201,,,,,,,"[""Viking""]","[""Viking""]",[],[]
21121054,,,,,,,"[""Synthesis"", ""View""]","[""Synthesis"", ""View""]",[],[]
21148158,,,,,"[""AID-Net""]",[],,,,
21165589,,,,,,,"[""in"", ""Polypharmacy"", ""schizophrenia""]","[""in"", ""Polypharmacy"", ""schizophrenia""]",[],[]
21177655,,,,,"[""BioDBcore"", ""COMBREX""]","[""Acids Research"", ""International Nucleotide Sequence Database collaboration""]","[""Acids"", ""Nucleic"", ""Research""]","[""Acids"", ""Nucleic"", ""Research""]",[],[]
21177656,,,,,"[""Barcode"", ""Gene"", ""Gene Expression Barcode""]",[],"[""Barcode"", ""Expression"", ""Gene""]","[""Barcode"", ""Expression"", ""Gene""]",[],[]
21177657,,,,,"[""mESAdb""]","[""database""]","[""analysis"", ""and"", ""database"", ""expression"", ""mESAdb"", ""microRNA"", ""sequence""]","[""analysis"", ""and"", ""database"", ""expression"", ""mESAdb"", ""microRNA"", ""sequence""]",[],[]
21177658,,,,,"[""IsoBase""]",[],"[""IsoBase""]","[""IsoBase""]",[],[]
21177659,,,,,"[""TMPad""]","[""TransMembrane Protein Helix-Packing Database""]","[""Database"", ""Helix"", ""Packing"", ""Protein"", ""TransMembrane""]","[""Database"", ""Helix"", ""Packing"", ""Protein"", ""TransMembrane""]",[],[]
21177990,,,,,,,"[""ASSIMILATOR""]","[""ASSIMILATOR""]",[],[]
21184613,,,,,,,"[""Bank"", ""Drug"", ""Exploration"", ""INSIDE"", ""MARCH"", ""Nested"", ""Screening"", ""Tool""]","[""Bank"", ""Drug"", ""Exploration"", ""INSIDE"", ""MARCH"", ""Nested"", ""Screening"", ""Tool""]",[],[]
21199577,,,,,,,"[""msBayes"", ""MTML""]","[""msBayes"", ""MTML""]",[],[]
21200033,,,,,,,"[""Clinic"", ""In"", ""the""]","[""Clinic"", ""In"", ""the""]",[],[]
21204332,,,,,,,"[""Discrimination"", ""Drug""]","[""Discrimination"", ""Drug""]",[],[]
21204564,,,,,,,"[""SeQuence""]","[""SeQuence""]",[],[]
21208982,,,,,,,"[""Tabix""]","[""Tabix""]",[],[]
21208983,,,,,,,"[""spec"", ""Wave""]","[""spec"", ""Wave""]",[],[]
21208985,,,,,,,"[""Biological"", ""Metabolite"", ""Role""]","[""Biological"", ""Metabolite"", ""Role""]",[],[]
21208987,,,,,,,"[""flowPhyto""]","[""flowPhyto""]",[],[]
21210251,,,,,"[""BTECH""]",[],,,,
21214365,,,,,"[""DBCAT""]",[],"[""analytical"", ""and"", ""CpG"", ""database"", ""islands"", ""of"", ""tools""]","[""analytical"", ""and"", ""CpG"", ""database"", ""islands"", ""of"", ""tools""]",[],[]
21214904,,,,,,,"[""and"", ""Cost"", ""Identity"", ""Ord"", ""Ordination"", ""Pairwise"", ""PICS"", ""Scores""]","[""and"", ""Cost"", ""Identity"", ""Ord"", ""Ordination"", ""Pairwise"", ""PICS"", ""Scores""]",[],[]
21216747,,,,,"[""Rice TOGO Browser""]",[],"[""Browser"", ""Rice"", ""TOGO""]","[""Browser"", ""Rice"", ""TOGO""]",[],[]
21216771,,,,,,,"[""CCPN"", ""Metabolomics"", ""Project""]","[""CCPN"", ""Metabolomics"", ""Project""]",[],[]
21216773,,,,,,,"[""HapFinder""]","[""HapFinder""]",[],[]
21216776,,,,,,,"[""MADGene""]","[""MADGene""]",[],[]
21216778,,,,,,,"[""MATE"", ""RNA""]","[""MATE"", ""RNA""]",[],[]
21216779,,,,,"[""PubChem""]",[],,,,
