id,title,abstract,full_name,common_name,url,short_description,publication_date,hasDbCrossReferences,hasData,hasSuppl,isOpenAccess,inPMC,inEPMC,hasPDF,hasBook,citedByCount,pubYear,pubType,keywords,meshTerms,journalTitle,journalISSN,authorAffiliations,log_citations,years_since_pub,is_research_article,is_review_article,meshTerms_missing,mesh_tfidf_0,mesh_tfidf_1,mesh_tfidf_2,mesh_tfidf_3,mesh_tfidf_4,mesh_tfidf_5,mesh_tfidf_6,keywords_missing,keyword_tfidf_0,keyword_tfidf_1,keyword_tfidf_2,keyword_tfidf_3,keyword_tfidf_4
28791657,MEGALEX: A megastudy of visual and auditory word recognition.,"Using the megastudy approach, we report a new database (MEGALEX) of visual and auditory lexical decision times and accuracy rates for tens of thousands of words. We collected visual lexical decision data for 28,466 French words and the same number of pseudowords, and auditory lexical decision data for 17,876 French words and the same number of pseudowords (synthesized tokens were used for the auditory modality). This constitutes the first large-scale database for auditory lexical decision, and the first database to enable a direct comparison of word recognition in different modalities. Different regression analyses were conducted to illustrate potential ways to exploit this megastudy database. First, we compared the proportions of variance accounted for by five word frequency measures. Second, we conducted item-level regression analyses to examine the relative importance of the lexical variables influencing performance in the different modalities (visual and auditory). Finally, we compared the similarities and differences between the two modalities. All data are freely available on our website ( https://sedufau.shinyapps.io/megalex/ ) and are searchable at www.lexique.org , inside the Open Lexique search engine.",MEGALEX,MEGALEX,https://sedufau.shinyapps.io/megalex/,"the first large-scale database for auditory lexical decision, and the first database to enable a direct comparison of word recognition in different modalities",2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2018.0,"[""Research Support, Non-U.S. Gov't"", ""Journal Article""]","[""Visual"", ""Word Recognition"", ""Lexical Decision"", ""Megastudy"", ""Auditory Modalities""]","[""Humans"", ""Regression Analysis"", ""Decision Making"", ""Reaction Time"", ""Language Arts"", ""Databases, Factual"", ""France"", ""Search Engine"", ""Data Accuracy""]",Behavior research methods,1554-351X,,0.2979427457598002,-0.5091399520669482,0.0,0.0,0.0,2.7603532009354376e-11,0.1560440456942497,-0.0341742010650406,-0.0672546202902199,-0.0133392839503227,-0.05109238857075,-0.003309563705413,0.0,4.829623227281758e-16,0.0101646320780656,-0.0069093514808458,-0.0003064969628865,-0.0012059899064966
29718389,An update on PUG-REST: RESTful interface for programmatic access to PubChem.,"PubChem (https://pubchem.ncbi.nlm.nih.gov) is one of the largest open chemical information resources available. It currently receives millions of unique users per month on average, serving as a key resource for many research fields such as cheminformatics, chemical biology, medicinal chemistry, and drug discovery. PubChem provides multiple programmatic access routes to its data and services. One of them is PUG-REST, a Representational State Transfer (REST)-like web service interface to PubChem. On average, PUG-REST receives more than a million requests per day from tens of thousands of unique users. The present paper provides an update on PUG-REST since our previous paper published in 2015. This includes access to new kinds of data (e.g. concise bioactivity data, table of contents headings, etc.), full implementation of synchronous fast structure search, support for assay data retrieval using accession identifiers in response to the deprecation of NCBI's GI numbers, data exchange between PUG-REST and NCBI's E-Utilities through the List Gateway, implementation of dynamic traffic control through throttling, and enhanced usage policies. In addition, example Perl scripts are provided, which the user can easily modify, run, or translate into another scripting language.",PUG-REST,PUG-REST,https://pubchem.ncbi.nlm.nih.gov,RESTful interface for programmatic access to PubChem,2018-07-01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,76.0,2018.0,"[""Research Support, N.I.H., Intramural"", ""research-article"", ""Journal Article""]",,"[""Humans"", ""Chemistry, Pharmaceutical"", ""Internet"", ""Programming Languages"", ""User-Computer Interface"", ""Information Storage and Retrieval"", ""Small Molecule Libraries"", ""Drug Discovery"", ""Databases, Chemical""]",Nucleic acids research,0305-1048,,0.9267594554645776,-0.5091399520669482,1.0,0.0,0.0,-2.0716211229675062e-10,0.1725957663657256,0.0098853302351947,-0.1350955767871161,0.1108025135949883,-0.1854688541961608,0.0511418663898187,1.0,1.0,-2.866825685213449e-16,-2.374745726045844e-16,2.778351734737478e-16,-7.761262556365069e-16
30445657,"The European Bioinformatics Institute in 2018: tools, infrastructure and training.","The European Bioinformatics Institute (https://www.ebi.ac.uk/) archives, curates and analyses life sciences data produced by researchers throughout the world, and makes these data available for re-use globally (https://www.ebi.ac.uk/). Data volumes continue to grow exponentially: total raw storage capacity now exceeds 160 petabytes, and we manage these increasing data flows while maintaining the quality of our services. This year we have improved the efficiency of our computational infrastructure and doubled the bandwidth of our connection to the worldwide web. We report two new data resources, the Single Cell Expression Atlas (https://www.ebi.ac.uk/gxa/sc/), which is a component of the Expression Atlas; and the PDBe-Knowledgebase (https://www.ebi.ac.uk/pdbe/pdbe-kb), which collates functional annotations and predictions for structure data in the Protein Data Bank. Additionally, Europe PMC (http://europepmc.org/) has added preprint abstracts to its search results, supplementing results from peer-reviewed publications. EMBL-EBI maintains over 150 analytical bioinformatics tools that complement our data resources. We make these tools available for users through a web interface as well as programmatically using application programming interfaces, whilst ensuring the latest versions are available for our users. Our training team, with support from all of our staff, continued to provide on-site, off-site and web-based training opportunities for thousands of researchers worldwide this year.",Single Cell Expression Atlas,Single Cell Expression Atlas,https://www.ebi.ac.uk/gxa/sc/,,2019-01-01,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,22.0,2019.0,"[""Historical Article"", ""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Humans"", ""Computational Biology"", ""History, 21st Century"", ""Software"", ""Databases, Genetic"", ""Academies and Institutes"", ""Europe""]",Nucleic acids research,0305-1048,,0.148675673045163,-0.8200686641231347,1.0,0.0,0.0,1.7866778624815436e-10,0.3423301819815623,-0.0571183579822775,-0.1125822611573587,0.1159921291087067,-0.2111304299555968,0.1483729441990112,1.0,1.0,-2.866825685213449e-16,-2.374745726045844e-16,2.778351734737478e-16,-7.761262556365069e-16
30445657,"The European Bioinformatics Institute in 2018: tools, infrastructure and training.","The European Bioinformatics Institute (https://www.ebi.ac.uk/) archives, curates and analyses life sciences data produced by researchers throughout the world, and makes these data available for re-use globally (https://www.ebi.ac.uk/). Data volumes continue to grow exponentially: total raw storage capacity now exceeds 160 petabytes, and we manage these increasing data flows while maintaining the quality of our services. This year we have improved the efficiency of our computational infrastructure and doubled the bandwidth of our connection to the worldwide web. We report two new data resources, the Single Cell Expression Atlas (https://www.ebi.ac.uk/gxa/sc/), which is a component of the Expression Atlas; and the PDBe-Knowledgebase (https://www.ebi.ac.uk/pdbe/pdbe-kb), which collates functional annotations and predictions for structure data in the Protein Data Bank. Additionally, Europe PMC (http://europepmc.org/) has added preprint abstracts to its search results, supplementing results from peer-reviewed publications. EMBL-EBI maintains over 150 analytical bioinformatics tools that complement our data resources. We make these tools available for users through a web interface as well as programmatically using application programming interfaces, whilst ensuring the latest versions are available for our users. Our training team, with support from all of our staff, continued to provide on-site, off-site and web-based training opportunities for thousands of researchers worldwide this year.",PDBe-Knowledgebase,PDBe-Knowledgebase,https://www.ebi.ac.uk/pdbe/pdbe-kb,,2019-01-01,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,22.0,2019.0,"[""Historical Article"", ""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Humans"", ""Computational Biology"", ""History, 21st Century"", ""Software"", ""Databases, Genetic"", ""Academies and Institutes"", ""Europe""]",Nucleic acids research,0305-1048,,0.148675673045163,-0.8200686641231347,1.0,0.0,0.0,1.7866778624815436e-10,0.3423301819815623,-0.0571183579822775,-0.1125822611573587,0.1159921291087067,-0.2111304299555968,0.1483729441990112,1.0,1.0,-2.866825685213449e-16,-2.374745726045844e-16,2.778351734737478e-16,-7.761262556365069e-16
31501868,Diurnal.plant.tools: Comparative Transcriptomic and Co-expression Analyses of Diurnal Gene Expression of the Archaeplastida Kingdom.,"Almost all organisms coordinate some aspects of their biology through the diurnal cycle. Photosynthetic organisms, and plants especially, have established complex programs that coordinate physiological, metabolic and developmental processes with the changing light. The diurnal regulation of the underlying transcriptional processes is observed when groups of functionally related genes (gene modules) are expressed at a specific time of the day. However, studying the diurnal regulation of these gene modules in the plant kingdom was hampered by the large amount of data required for the analyses. To meet this need, we used gene expression data from 17 diurnal studies spanning the whole Archaeplastida kingdom (Plantae kingdom in the broad sense) to make an online diurnal database. We have equipped the database with tools that allow user-friendly cross-species comparisons of gene expression profiles, entire co-expression networks, co-expressed clusters (involved in specific biological processes), time-specific gene expression and others. We exemplify how these tools can be used by studying three important biological questions: (i) the evolution of cell division, (ii) the diurnal control of gene modules in algae and (iii) the conservation of diurnally controlled modules across species. The database is freely available at http://diurnal.plant.tools.",Diurnal.plant.tools,Diurnal.plant.tools,http://diurnal.plant.tools,Comparative Transcriptomic and Co-expression Analyses of Diurnal Gene Expression of the Archaeplastida Kingdom,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2020.0,"[""Journal Article""]","[""Plants"", ""Algae"", ""Co-expression"", ""Diurnal"", ""Circadian""]","[""Chlamydomonas reinhardtii"", ""Plants"", ""DNA-Directed DNA Polymerase"", ""Gene Expression Profiling"", ""Cell Division"", ""Photosynthesis"", ""Gene Expression Regulation, Plant"", ""Databases, Factual"", ""Gene Regulatory Networks"", ""Molecular Sequence Annotation"", ""Transcriptome""]",Plant & cell physiology,0032-0781,,-0.3876704914258618,-1.1309973761793213,0.0,0.0,0.0,1.7298129813282754e-10,0.3844054019027662,-0.2532746984427788,0.0981268145081912,0.2810036943133343,0.3512620885881728,-0.1220320750261254,0.0,-3.014441032039324e-15,0.0964041499471941,-0.0509342658755247,-0.0231368213188574,-0.1738089846614386
32291734,"The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords.","The Auditory English Lexicon Project (AELP) is a multi-talker, multi-region psycholinguistic database of 10,170 spoken words and 10,170 spoken nonwords. Six tokens of each stimulus were recorded as 44.1-kHz, 16-bit, mono WAV files by native speakers of American, British, and Singapore English, with one from each gender. Intelligibility norms, as determined by average identification scores and confidence ratings from between 15 and 20 responses per token, were obtained from 561 participants. Auditory lexical decision accuracies and latencies, with between 25 and 36 responses per token, were obtained from 438 participants. The database also includes a variety of lexico-semantic variables and structural indices for the words and nonwords, as well as participants' individual difference measures such as age, gender, language background, and proficiency. Taken together, there are a total of 122,040 sound files and over 4 million behavioral data points in the AELP. We describe some of the characteristics of this database. This resource is freely available from a website ( https://inetapps.nus.edu.sg/aelp/ ) hosted by the Department of Psychology at the National University of Singapore.", Auditory English Lexicon Project,AELP,https://inetapps.nus.edu.sg/aelp/,"a multi-talker, multi-region psycholinguistic database of 10,170 spoken words and 10,170 spoken nonwords",2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2020.0,"[""Journal Article""]","[""Psycholinguistics"", ""Spoken Word Recognition"", ""Megastudy"", ""Auditory Lexical Decision"", ""Speech Database""]","[""Humans"", ""Language"", ""Decision Making"", ""Psycholinguistics"", ""Semantics"", ""Databases, Factual""]",Behavior research methods,1554-351X,,0.1760816472701152,-1.1309973761793213,0.0,0.0,0.0,-1.0579432510153014e-10,0.1078872884487353,-0.0222523593680772,-0.112678974204415,0.0343865760344227,-0.0837859571317301,-0.0220518589595121,0.0,1.5933979833256749e-15,0.274581897094856,0.3820265342237258,-0.1949317824921957,0.0910746810726439
32291734,"The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords.","The Auditory English Lexicon Project (AELP) is a multi-talker, multi-region psycholinguistic database of 10,170 spoken words and 10,170 spoken nonwords. Six tokens of each stimulus were recorded as 44.1-kHz, 16-bit, mono WAV files by native speakers of American, British, and Singapore English, with one from each gender. Intelligibility norms, as determined by average identification scores and confidence ratings from between 15 and 20 responses per token, were obtained from 561 participants. Auditory lexical decision accuracies and latencies, with between 25 and 36 responses per token, were obtained from 438 participants. The database also includes a variety of lexico-semantic variables and structural indices for the words and nonwords, as well as participants' individual difference measures such as age, gender, language background, and proficiency. Taken together, there are a total of 122,040 sound files and over 4 million behavioral data points in the AELP. We describe some of the characteristics of this database. This resource is freely available from a website ( https://inetapps.nus.edu.sg/aelp/ ) hosted by the Department of Psychology at the National University of Singapore.", Auditory English Lexicon Project,AELP,https://inetapps.nus.edu.sg/aelp/,"A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords",2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2020.0,"[""Journal Article""]","[""Psycholinguistics"", ""Spoken Word Recognition"", ""Megastudy"", ""Auditory Lexical Decision"", ""Speech Database""]","[""Humans"", ""Language"", ""Decision Making"", ""Psycholinguistics"", ""Semantics"", ""Databases, Factual""]",Behavior research methods,1554-351X,,0.1760816472701152,-1.1309973761793213,0.0,0.0,0.0,-1.0579432510153014e-10,0.1078872884487353,-0.0222523593680772,-0.112678974204415,0.0343865760344227,-0.0837859571317301,-0.0220518589595121,0.0,1.5933979833256749e-15,0.274581897094856,0.3820265342237258,-0.1949317824921957,0.0910746810726439
32548865,The UK Veterinary Immunological Toolbox Website: promoting vaccine research by facilitating communication and removing reagent barriers.,"Using the best animal models to study immune responses against specific pathogens or vaccines can dramatically accelerate our understanding. Veterinary species are well studied, particularly livestock, to reduce their disease burden. They have also proven to be powerful models, especially for zoonotic pathogens and novel vaccination strategies. A prerequisite for any model selection is having the right quality and range of species-specific immunological reagents. To help promote the widest possible use of veterinary species, an open access website (https://www.immunologicaltoolbox.co.uk) has been created as a central community annotated hub for veterinary immunological reagents. The website is also the portal into services offered by the UK Immunological Toolbox project that includes antibody generation, sequencing and recombinant expression. The funding for this effort is linked into sustainable sources, but ultimate success relies on community engagement to continually increase the quality and quantity of information. It is hoped that as more users and reagent owners engage, it will become an essential resource for researchers, veterinarians and clinicians alike by removing barriers that prevent the use of the most informative animal models.",UK Immunological Toolbox,UK Immunological Toolbox,https://www.immunologicaltoolbox.co.uk,a central community annotated hub for veterinary immunological reagents,2020-07-29,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,2020.0,"[""article-commentary"", ""Research Support, Non-U.S. Gov't"", ""Journal Article""]","[""Antibodies"", ""Comparative immunology"", ""Immunological Reagents"", ""Veterinary Vaccinology""]","[""Animals"", ""Zoonoses"", ""Vaccines"", ""Vaccination"", ""Models, Animal"", ""Veterinary Medicine"", ""Internet"", ""Drug Development""]",Immunology,0019-2805,,-0.3262961494172723,-1.1309973761793213,0.0,0.0,0.0,-2.5856836406784027e-10,0.1089143765945667,-0.0015655779865965,-0.0760407298043282,0.0366123607602096,-0.0374143646367972,-0.0213131029102515,0.0,-1.118810201722553e-15,0.0287803291543978,-0.0015203703080094,-0.0154475370906364,-0.0260256588697011
33455583,Establishment and application of information resource of mutant mice in RIKEN BioResource Research Center.,"Online databases are crucial infrastructures to facilitate the wide effective and efficient use of mouse mutant resources in life sciences. The number and types of mouse resources have been rapidly growing due to the development of genetic modification technology with associated information of genomic sequence and phenotypes. Therefore, data integration technologies to improve the findability, accessibility, interoperability, and reusability of mouse strain data becomes essential for mouse strain repositories. In 2020, the RIKEN BioResource Research Center released an integrated database of bioresources including, experimental mouse strains, Arabidopsis thaliana as a laboratory plant, cell lines, microorganisms, and genetic materials using Resource Description Framework-related technologies. The integrated database shows multiple advanced features for the dissemination of bioresource information. The current version of our online catalog of mouse strains which functions as a part of the integrated database of bioresources is available from search bars on the page of the Center ( https://brc.riken.jp ) and the Experimental Animal Division ( https://mus.brc.riken.jp/ ) websites. The BioResource Research Center also released a genomic variation database of mouse strains established in Japan and Western Europe, MoG<sup>+</sup> ( https://molossinus.brc.riken.jp/mogplus/ ), and a database for phenotype-phenotype associations across the mouse phenome using data from the International Mouse Phenotyping Platform. In this review, we describe features of current version of databases related to mouse strain resources in RIKEN BioResource Research Center and discuss future views.",MoG<sup>+</sup>,MoG<sup>+</sup>,https://molossinus.brc.riken.jp/mogplus/ ,a genomic variation database of mouse strains established in Japan and Western Europe,2021-01-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,2021.0,"[""review-article"", ""Review"", ""Journal Article""]","[""Database"", ""Data integration"", ""Ontology"", ""Semantic Web"", ""Bioresource"", ""Mouse Mutation Information Resource""]",,Laboratory animal research,1738-6055,,-0.7166131773396949,-1.4419260882355076,0.0,1.0,1.0,1.0,-1.4123888336703498e-13,-8.680221492141218e-12,2.201304181062875e-11,7.424303478208316e-12,4.4550730774376626e-12,-9.303276630942218e-11,0.0,3.7205080045894016e-15,0.3055177013740771,0.0464104366329216,-0.1527765591000567,0.2426945470938247
34224351,Deep Learning for Ultrasound Image Formation: CUBDL Evaluation Framework &amp; Open Datasets.,"Deep learning for ultrasound image formation is rapidly garnering research support and attention, quickly rising as the latest frontier in ultrasound image formation, with much promise to balance both image quality and display speed. Despite this promise, one challenge with identifying optimal solutions is the absence of unified evaluation methods and datasets that are not specific to a single research group. This paper introduces the largest known international database of ultrasound channel data and describes associated evaluation methods that were initially developed for the Challenge on Ultrasound Beamforming with Deep Learning (CUBDL), which was offered as a component of the 2020 IEEE International Ultrasonics Symposium. We summarize the challenge results and present qualitative and quantitative assessments using both the initially closed CUBDL evaluation test dataset (which was crowd-sourced from multiple groups around the world) and additional in vivo breast ultrasound data contributed after the challenge was completed. As an example quantitative assessment, single plane wave images from the CUBDL Task 1 dataset produced a mean generalized contrast-to-noise ratio (gCNR) of 0.67 and a mean lateral resolution of 0.42 mm when formed with delay-and-sum beamforming, compared to a mean gCNR as high as 0.81 and a mean lateral resolution as low as 0.32 mm when formed with networks submitted by the challenge winners. We also describe contributed CUBDL data that may be used for training of future networks. The compiled database includes a total of 576 image acquisition sequences. We additionally introduce a neural network-based global sound speed estimator implementation that was necessary to fairly evaluate results obtained with this international database. The integration of CUBDL evaluation methods, evaluation code, network weights from the challenge winners, and all datasets described herein are publicly available (visit https://cubdl.jhu.edu for details).",,,https://cubdl.jhu.edu,a total of 576 image acquisition sequences,2021-11-23,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,2021.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article"", ""Research Support, N.I.H., Extramural""]",,"[""Ultrasonography"", ""Phantoms, Imaging"", ""Image Processing, Computer-Assisted"", ""Deep Learning"", ""Neural Networks, Computer""]","IEEE transactions on ultrasonics, ferroelectrics, and frequency control",0885-3010,,0.2276246044456745,-1.4419260882355076,1.0,0.0,0.0,-7.45660120901776e-10,0.1037120676119626,0.002990179586178,-0.1097776947996295,0.0841073423291539,-0.078986137246552,0.1508582425309157,1.0,1.0,-2.866825685213449e-16,-2.374745726045844e-16,2.778351734737478e-16,-7.761262556365069e-16
