ID,extracted_url,text,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count,duplicate_urls,duplicate_names,low_prob,review_low_prob,review_dup_urls,review_dup_names,review_notes_low_prob,review_notes_dup_urls,review_notes_dup_names,publication_date
22451271,http://1001proteomes.masc-proteomics.org,"1001 Proteomes: a functional proteomics portal for the analysis of Arabidopsis thaliana accessions. Motivation The sequencing of over a thousand natural strains of the model plant Arabidopsis thaliana is producing unparalleled information at the genetic level for plant researchers. To enable the rapid exploitation of these data for functional proteomics studies, we have created a resource for the visualization of protein information and proteomic datasets for sequenced natural strains of A. thaliana. Results The 1001 Proteomes portal can be used to visualize amino acid substitutions or non-synonymous single-nucleotide polymorphisms in individual proteins of A. thaliana based on the reference genome Col-0. We have used the available processed sequence information to analyze the conservation of known residues subject to protein phosphorylation among these natural strains. The substitution of amino acids in A. thaliana natural strains is heavily constrained and is likely a result of the conservation of functional attributes within proteins. At a practical level, we demonstrate that this information can be used to clarify ambiguously defined phosphorylation sites from phosphoproteomic studies. Protein sets of available natural variants are available for download to enable proteomic studies on these accessions. Together this information can be used to uncover the possible roles of specific amino acids in determining the structure and function of proteins in the model plant A. thaliana. An online portal to enable the community to exploit these data can be accessed at http://1001proteomes.masc-proteomics.org/",1001,0.714360118,NA,0,1001,0.714360118,1,NA,NA,low_prob_best_name,remove,NA,NA,FALSE POS: PARTIAL NAME,NA,NA,3/25/2012
32246067,http://microgreen-23sdatabase.ea.inra.fr,"ÃÂÃÂµgreen-db: a reference database for the 23S rRNA gene of eukaryotic plastids and cyanobacteria. Studying the ecology of photosynthetic microeukaryotes and prokaryotic cyanobacterial communities requires molecular tools to complement morphological observations. These tools rely on specific genetic markers and require the development of specialised databases to achieve taxonomic assignment. We set up a reference database, called ÃÂÃÂµgreen-db, for the 23S rRNA gene. The sequences were retrieved from generalist (NCBI, SILVA) or Comparative RNA Web (CRW) databases, in addition to a more original approach involving recursive BLAST searches to obtain the best possible sequence recovery. At present, ÃÂÃÂµgreen-db includes 2,326 23S rRNA sequences belonging to both eukaryotes and prokaryotes encompassing 442 unique genera and 736 species of photosynthetic microeukaryotes, cyanobacteria and non-vascular land plants based on the NCBI and AlgaeBase taxonomy. When PR2/SILVA taxonomy is used instead, ÃÂÃÂµgreen-db contains 2,217 sequences (399 unique genera and 696 unique species). Using ÃÂÃÂµgreen-db, we were able to assign 96% of the sequences of the V domain of the 23S rRNA gene obtained by metabarcoding after amplification from soil DNA at the genus level, highlighting good coverage of the database. ÃÂÃÂµgreen-db is accessible at http://microgreen-23sdatabase.ea.inra.fr.",ÃÂÃÂÃÂÃÂµgreen-db,0.816602846,NA,0,ÃÂÃÂÃÂÃÂµgreen-db,0.816602846,1,NA,NA,low_prob_best_name,remove,NA,NA,FALSE POS: PARTIAL NAME,NA,NA,4/3/2020
28511181,http://slsdb.manipal.edu/ocm,"1-CMDb: A Curated Database of Genomic Variations of the One-Carbon Metabolism Pathway. Background The one-carbon metabolism pathway is vital in maintaining tissue homeostasis by driving the critical reactions of folate and methionine cycles. A myriad of genetic and epigenetic events mark the rate of reactions in a tissue-specific manner. Integration of these to predict and provide personalized health management requires robust computational tools that can process multiomics data. The DNA sequences that may determine the chain of biological events and the endpoint reactions within one-carbon metabolism genes remain to be comprehensively recorded. Hence, we designed the one-carbon metabolism database (1-CMDb) as a platform to interrogate its association with a host of human disorders. Methods DNA sequence and network information of a total of 48 genes were extracted from a literature survey and KEGG pathway that are involved in the one-carbon folate-mediated pathway. The information generated, collected, and compiled for all these genes from the UCSC genome browser included the single nucleotide polymorphisms (SNPs), CpGs, copy number variations (CNVs), and miRNAs, and a comprehensive database was created. Furthermore, a significant correlation analysis was performed for SNPs in the pathway genes. Results Detailed data of SNPs, CNVs, CpG islands, and miRNAs for 48 folate pathway genes were compiled. The SNPs in CNVs (9670), CpGs (984), and miRNAs (14) were also compiled for all pathway genes. The SIFT score, the prediction and PolyPhen score, as well as the prediction for each of the SNPs were tabulated and represented for folate pathway genes. Also included in the database for folate pathway genes were the links to 124 various phenotypes and disease associations as reported in the literature and from publicly available information. Conclusion A comprehensive database was generated consisting of genomic elements within and among SNPs, CNVs, CpGs, and miRNAs of one-carbon metabolism pathways to facilitate (a) single source of information and (b) integration into large-genome scale network analysis to be developed in the future by the scientific community. The database can be accessed at http://slsdb.manipal.edu/ocm/.",1-CMDb,0.992982775,one-carbon metabolism database,0.925644517,1-CMDb,0.992982775,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/17/2017
24275494,http://hsb.upf.edu,"1000 Genomes Selection Browser 1.0: a genome browser dedicated to signatures of natural selection in modern humans. Searching for Darwinian selection in natural populations has been the focus of a multitude of studies over the last decades. Here we present the 1000 Genomes Selection Browser 1.0 (http://hsb.upf.edu) as a resource for signatures of recent natural selection in modern humans. We have implemented and applied a large number of neutrality tests as well as summary statistics informative for the action of selection such as Tajima's D, CLR, Fay and Wu's H, Fu and Li's F* and D*, XPEHH, ÃÂÃÂiHH, iHS, F(ST), ÃÂÃÂDAF and XPCLR among others to low coverage sequencing data from the 1000 genomes project (Phase 1; release April 2012). We have implemented a publicly available genome-wide browser to communicate the results from three different populations of West African, Northern European and East Asian ancestry (YRI, CEU, CHB). Information is provided in UCSC-style format to facilitate the integration with the rich UCSC browser tracks and an access page is provided with instructions and for convenient visualization. We believe that this expandable resource will facilitate the interpretation of signals of selection on different temporal, geographical and genomic scales.",NA,0,1000 Genomes Selection Browser,0.770321417,1000 Genomes Selection Browser,0.770321417,1,NA,NA,low_prob_best_name,do not remove,NA,NA,NA,NA,NA,11/25/2013
30304689,http://10kimmunomes.org,"The 10,000 Immunomes Project: Building a Resource for Human Immunology. There is increasing appreciation that the immune system plays critical roles not only in the traditional domains of infection and inflammation but also in many areas of biology, including tumorigenesis, metabolism, and even neurobiology. However, one of the major barriers for understanding human immunological mechanisms is that immune assays have not been reproducibly characterized for a sufficiently large and diverse healthy human cohort. Here, we present the 10,000 Immunomes Project (10KIP), aÃÂÃÂ framework for growing a diverse human immunology reference, from ImmPort, a publicly available resource of subject-level immunology data. Although some measurement types are sparse in the presently deposited ImmPort database, the extant data allow for a diversity of robust comparisons. Using 10KIP, we describe variations in serum cytokines and leukocytes by age, race, and sex; define a baseline cell-cytokine network; and describe immunologic changes in pregnancy. All data in the resource are available for visualization and download at http://10kimmunomes.org/.",10KIP,0.928437392,"10,000 Immunomes Project",0.844234129,10KIP,0.928437392,1,NA,NA,low_prob_best_name,do not remove,NA,NA,NA,NA,NA,10/1/2018
21389154,http://147.8.74.24/16SpathDB,"Automated identification of medically important bacteria by 16S rRNA gene sequencing using a novel comprehensive database, 16SpathDB. Despite the increasing use of 16S rRNA gene sequencing, interpretation of 16S rRNA gene sequence results is one of the most difficult problems faced by clinical microbiologists and technicians. To overcome the problems we encountered in the existing databases during 16S rRNA gene sequence interpretation, we built a comprehensive database, 16SpathDB (http://147.8.74.24/16SpathDB) based on the 16S rRNA gene sequences of all medically important bacteria listed in the Manual of Clinical Microbiology and evaluated its use for automated identification of these bacteria. Among 91 nonduplicated bacterial isolates collected in our clinical microbiology laboratory, 71 (78%) were reported by 16SpathDB as a single bacterial species having >98.0% nucleotide identity with the query sequence, 19 (20.9%) were reported as more than one bacterial species having >98.0% nucleotide identity with the query sequence, and 1 (1.1%) was reported as no match. For the 71 bacterial isolates reported as a single bacterial species, all results were identical to their true identities as determined by a polyphasic approach. For the 19 bacterial isolates reported as more than one bacterial species, all results contained their true identities as determined by a polyphasic approach and all of them had their true identities as the ""best match in 16SpathDB."" For the isolate (Gordonibacter pamelaeae) reported as no match, the bacterium has never been reported to be associated with human disease and was not included in the Manual of Clinical Microbiology. 16SpathDB is an automated, user-friendly, efficient, accurate, and regularly updated database for 16S rRNA gene sequence interpretation in clinical microbiology laboratories.",16SpathDB,0.996311396,NA,0,16SpathDB,0.996311396,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2011
"32102777, 33704069",http://bigd.big.ac.cn/ncov,"The 2019 novel coronavirus resource. An ongoing outbreak of a novel coronavirus infection in Wuhan, China since December 2019 has led to 31,516 infected persons and 638 deaths across 25 countries (till 16:00 on February 7, 2020). The virus causing this pneumonia was then named as the 2019 novel coronavirus (2019-nCoV) by the World Health Organization. To promote the data sharing and make all relevant information of 2019-nCoV publicly available, we construct the 2019 Novel Coronavirus Resource (2019nCoVR, https://bigd.big.ac.cn/ncov). 2019nCoVR features comprehensive integration of genomic and proteomic sequences as well as their metadata information from the Global Initiative on Sharing All Influenza Data, National Center for Biotechnology Information, China National GeneBank, National Microbiology Data Center and China National Center for Bioinformation (CNCB)/National Genomics Data Center (NGDC). It also incorporates a wide range of relevant information including scientific literatures, news, and popular articles for science dissemination, and provides visualization functionalities for genome variation analysis results based on all collected 2019-nCoV strains. Moreover, by linking seamlessly with related databases in CNCB/NGDC, 2019nCoVR offers virus data submission and sharing services for raw sequence reads and assembled sequences. In this report, we provide comprehensive descriptions on data deposition, management, release and utility in 2019nCoVR, laying important foundations in aid of studies on virus classification and origin, genome variation and evolution, fast detection, drug development and pneumonia precision prevention and therapy.",2019nCoVR,0.997189482,2019 Novel Coronavirus Resource,0.953625798,2019nCoVR,0.997189482,2,NA,33175170,NA,NA,NA,"merge all ""dup name"" IDs",NA,NA,URL assoc with best name prob RESOLVES SATISFACTORILY,12/28/2020
33175170,http://bigd.big.ac.cn,"DatabaseÃÂÃÂ Resources of the National Genomics Data Center, China National Center for Bioinformation in 2021. The National Genomics Data Center (NGDC), part of the China National Center for Bioinformation (CNCB), provides a suite of database resources to support worldwide research activities in both academia and industry. With the explosive growth of multi-omics data, CNCB-NGDC is continually expanding, updating and enriching its core database resources through big data deposition, integration and translation. In the past year, considerable efforts have been devoted to 2019nCoVR, a newly established resource providing a global landscape of SARS-CoV-2 genomic sequences, variants, and haplotypes, as well as Aging Atlas, BrainBase, GTDB (Glycosyltransferases Database), LncExpDB, and TransCirc (Translation potential for circular RNAs). Meanwhile, a series of resources have been updated and improved, including BioProject, BioSample, GWH (Genome Warehouse), GVM (Genome Variation Map), GEN (Gene Expression Nebulas) as well as several biodiversity and plant resources. Particularly, BIG Search, a scalable, one-stop, cross-database search engine, has been significantly updated by providing easy access to a large number of internal and external biological resources from CNCB-NGDC, our partners, EBI and NCBI. All of these resources along with their services are publicly accessible at https://bigd.big.ac.cn.",2019nCoVR,0.986051157,NA,0,2019nCoVR,0.986051157,1,"29036542.0, 30365034.0","32102777.0, 33704069.0",NA,NA,conflicting record(s) to be removed,"merge all ""dup name"" IDs",NA,NA,URL assoc with best name prob RESOLVES SATISFACTORILY,1/1/2021
34244700,http://2dprots.ncbr.muni.cz,"2DProts: Database of Family-Wide Protein Secondary Structure Diagrams. . Secondary structures provide a deep insight into the protein architecture. They can serve for comparison between individual protein family members. The most straightforward way how to deal with protein secondary structure is its visualization using 2ÃÂ¢ÃÂÃÂD diagrams. Several software tools for the generation of 2ÃÂ¢ÃÂÃÂD diagrams were developed. Unfortunately, they create 2ÃÂ¢ÃÂÃÂD diagrams based on only a single protein. Therefore, 2ÃÂ¢ÃÂÃÂD diagrams of two proteins from one family markedly differ. For this reason, we developed the 2DProts database, which contains secondary structure 2ÃÂ¢ÃÂÃÂD diagrams for all domains from the CATH and all proteins from PDB databases. These 2ÃÂ¢ÃÂÃÂD diagrams are generated based on a whole protein family, and they also consider information about the 3ÃÂ¢ÃÂÃÂD arrangement of secondary structure elements. Moreover, 2DProts database contains multiple 2ÃÂ¢ÃÂÃÂD diagrams, which provide an overview of a whole protein family's secondary structures. 2DProts is updated weekly and is integrated into CATH. Freely accessible at https://2dprots.ncbr.muni.cz. The web interface was implemented in JavaScript. The database was implemented in Python. Supplementary data are available at Bioinformatics online.",2DProts,0.990597233,NA,0,2DProts,0.990597233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/2021
23203891,http://2p2idb.cnrs-mrs.fr,"2P2Idb: a structural database dedicated to orthosteric modulation of protein-protein interactions. Protein-protein interactions are considered as one of the next generation of therapeutic targets. Specific tools thus need to be developed to tackle this challenging chemical space. In an effort to derive some common principles from recent successes, we have built 2P2Idb (freely accessible at http://2p2idb.cnrs-mrs.fr), a hand-curated structural database dedicated to protein-protein interactions with known orthosteric modulators. It includes all interactions for which both the protein-protein and protein-ligand complexes have been structurally characterized. A web server provides links to related sites of interest, binding affinity data, pre-calculated structural information about protein-protein interfaces and 3D interactive views through java applets. Comparison of interfaces in 2P2Idb to those of representative datasets of heterodimeric complexes has led to the identification of geometrical parameters and residue properties to assess the druggability of protein-protein complexes. A tool is proposed to calculate a series of biophysical and geometrical parameters that characterize protein-protein interfaces. A large range of descriptors are computed including, buried accessible surface area, gap volume, non-bonded contacts, hydrogen-bonds, atom and residue composition, number of segments and secondary structure contribution. All together the 2P2I database represents a structural source of information for scientists from academic institutions or pharmaceutical industries.",2P2I,0.99723657,NA,0,2P2I,0.99723657,1,26980515,NA,NA,NA,merge on record with best name prob,NA,NA,NA,NA,11/30/2012
