pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name,chunk,already_seen,in_baseline,resource_url,url_source
"""27261064"," 27987171, 29069403"",A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.",True,N,medium,Repository keyword in title,,Collection of Conserved Noncoding Sequences,1,N,N,,
"""23193264"," 24259429, 29688360, 23193287, 25414350, 33196830"",Database resources of the National Center for Biotechnology Information.",True,N,high,Database keyword in title,NCBI,National Center for Biotechnology Information,1,N,N,,
"""22075998"," 23193274, 23448259"",ENCODE whole-genome data in the UCSC Genome Browser: update 2012.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""27794045"," 33211864, 30407557"",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.",True,N,medium,Repository keyword in title,FANTOM,Functional Annotation of the Mammalian Genome,1,N,N,,
"""22086951"," 23155063, 25428374, 26590259, 24227676, 26740527, 29106570, 30407534, 31691824"",The UCSC Genome Browser database: extensions and updates 2011.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""24265223"," 24318814"",EMAGE mouse embryo spatial gene expression database: 2014 update.",True,N,high,Database keyword in title,EMAGE,Edinburgh Mouse Atlas of Gene Expression,1,N,N,,
"""21752111"," 33146890, 22688270"",The Human Protein Atlas as a proteomic resource for biomarker discovery.",True,N,high,Atlas + repository keyword,HPA,Human Protein Atlas,1,N,N,,
"""27153631"," 29186503"",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.",True,N,high,Base suffix + database keyword,MINTbase,Mitochondrial and Nuclear tRNA fragment base,1,N,N,,
"""22737589"," 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870"",Fungal genome resources at NCBI.",True,N,medium,Repository keyword in title,NCBI,National Center for Biotechnology Information,1,N,N,,
"""24243843"," 25636622, 33095861"",""DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.""",True,N,high,Database keyword in title,DEG,Database of Essential Genes,1,N,N,,
"""29023571"," 33367505"",PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology.",True,N,high,Database keyword in title,PICKLE,Protein Interaction CKB Literature-curated Experimental,1,N,N,,
"""23321019"," 28857516"",Modeling of non-additive mixture properties using the Online CHEmical database and Modeling environment (OCHEM).",True,N,high,Database keyword in title,OCHEM,Online CHEmical Database and Modeling Environment,1,N,N,,
"""31239187"," 33129577"",pHLA3D: An online database of predicted three-dimensional structures of HLA molecules.",True,N,high,Database keyword in title,pHLA3D,predicted HLA 3D structures,1,N,N,,
"""30052798"," 30052798"",zfRegeneration: a database for gene expression profiling during regeneration.",True,N,high,Database keyword in title,zfRegeneration,zebrafish Regeneration,1,N,N,,
"""25378316"," 30196491"",""IMGT®, the international ImMunoGeneTics information system® 25 years on.""",True,N,medium,Repository keyword in title,IMGT,ImMunoGeneTics information system,1,N,N,,
"""21948793"," 26578601, 29140520"",Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.",True,N,high,Database keyword in title,TTD,Therapeutic Target Database,1,N,N,,
"""31372645"," 31372645"",Malaria.tools-comparative genomic and transcriptomic database for Plasmodium species.",True,N,high,Database keyword in title,Malaria.tools,Malaria tools,1,N,N,,
"""22908213"," 33221922"",The UCSC genome browser and associated tools.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""24271396"," 30976793"",The European Bioinformatics Institute's data resources 2014.",True,N,medium,Repository keyword in title,EBI,European Bioinformatics Institute,1,N,N,,
"""27899670"," 30445434"",The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog).",True,N,high,Catalog + database keyword,GWAS Catalog,Genome-Wide Association Study Catalog,1,N,N,,
"""25685613"," 27899642"",The UCSC Ebola Genome Portal.",True,N,medium,Repository keyword in title,UCSC,University of California Santa Cruz Ebola Portal,1,N,N,,
"""24574175"," 25159016, 26227301, 25407602, 26351202"",Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.",True,N,medium,Repository keyword in title,ProteomeXchange,ProteomeXchange,1,N,N,,
"""29067135"," 30088220"",The braingraph.org database of high resolution structural connectomes and the brain graph tools.",True,N,high,Database keyword in title,BrainGraph,Brain Graph,1,N,N,,
"""23161693"," 29140435"",HMDB 3.0--The Human Metabolome Database in 2013.",True,N,high,DB suffix + database keyword,HMDB,Human Metabolome Database,1,N,N,,
"""22013161"," 24304894, 26673713, 30496479, 33219674"",canSAR: an integrated cancer public translational research and drug discovery resource.",True,N,medium,Repository keyword in title,canSAR,Cancer Structure Activity Relationships,1,N,N,,
26635392,"""COMBREX-DB: an experiment centered database of protein function: knowledge, predictions and knowledge gaps.""",False,N,high,DB suffix + database keyword,COMBREX-DB,COMBREX Database,3,Y,N,,
"""29805321"," 31444973"",""The Cellosaurus, a Cell-Line Knowledge Resource.""",True,N,high,KB suffix + knowledge resource,Cellosaurus,Cellosaurus,4,N,N,,
24436130,The Equine PeptideAtlas: a resource for developing proteomics-based veterinary research.,False,N,high,Atlas keyword in title,Equine PeptideAtlas,Equine Peptide Atlas,5,Y,N,,
"""26527191"," 30358807"",Shared bioinformatics databases within the Unipro UGENE platform.",True,N,high,Database keyword in title,UGENE,Unipro UGENE platform,5,N,N,,
34663179,RR3DD: an RNA global structure-based RNA three-dimensional structural classification database.,False,N,high,Database keyword in title,RR3DD,RNA 3D structural classification Database,5,Y,N,,
"""32436344"," 33735471"",Update of the CLRP TG-43 parameter database for low-energy brachytherapy sources.",True,N,high,Database keyword in title,CLRP TG-43,Carleton Laboratory for Radiotherapy Physics TG-43 database,5,N,N,,
35088001,The GWAS-MAP platform for aggregation of results of genome-wide association studies and the GWAS-MAP|homo database of 70 billion genetic associations of human traits.,False,N,high,Map suffix + database keyword,GWAS-MAP,Genome-Wide Association Studies Meta-Analysis Platform,5,Y,N,,
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,False,N,high,Database keyword in title,RefPlantNLR,Reference Plant NLR database,5,Y,N,,
20857233,BrainKnowledge: a human brain function mapping knowledge-base system.,False,N,high,Knowledgebase keyword in title,BrainKnowledge,Brain Knowledge base,5,Y,N,,
33972211,MDMPR: Mouse Developmental and Metabolic Phenotype Repository.,False,N,high,Repository keyword in title,MDMPR,Mouse Developmental and Metabolic Phenotype Repository,5,Y,N,,
27111272,HomeBank: An Online Repository of Daylong Child-Centered Audio Recordings.,False,N,medium,Bank suffix + 'Repository' keyword - data repository,HomeBank,Home Bank,6,N,N,,
27074495,The Brain Analysis Library of Spatial maps and Atlases (BALSA) database.,False,N,high,Title explicitly contains 'database' keyword despite no URL,BALSA,Brain Analysis Library of Spatial maps and Atlases,6,N,N,,
31767692,PlantAPAdb: A Comprehensive Database for Alternative Polyadenylation Sites in Plants.,False,N,high,db suffix + 'Database' keyword despite no URL,PlantAPAdb,Plant Alternative Polyadenylation Database,6,N,N,,
29603730,ForC: a global database of forest carbon stocks and fluxes.,False,N,high,Title explicitly contains 'database' keyword despite no URL,ForC,Forest Carbon database,6,N,N,,
"""23193261"," 25348399"",""HAMAP in 2013, new developments in the protein family classification and annotation system.""",True,N,high,Classification and annotation system with data,HAMAP,High-quality Automated and Manual Annotation of Proteins,6,N,N,,
31286860,DAIRYdb: a manually curated reference database for improved taxonomy annotation of 16S rRNA gene sequences from dairy products.,False,N,high,db suffix + 'database' keyword despite no URL,DAIRYdb,Dairy Database,6,N,N,,
30834332,RefSoil+: a Reference Database for Genes and Traits of Soil Plasmids.,False,N,high,Reference Database in title despite no URL,RefSoil+,Reference Soil database,6,N,N,,
29429018,MOBCdb: a comprehensive database integrating multi-omics data on breast cancer for precision medicine.,False,N,high,db suffix + 'database' keyword despite no URL,MOBCdb,Multi-Omics Breast Cancer database,6,N,N,,
30786995,lnCAR: A Comprehensive Resource for lncRNAs from Cancer Arrays.,False,N,medium,Comprehensive Resource - data collection despite no URL,lnCAR,Long Non-Coding RNA in Cancer Arrays Resource,6,N,N,,
25319039,childLex: a lexical database of German read by children.,False,N,high,Title explicitly contains 'database' keyword despite no URL,childLex,Child Lexicon database,6,N,N,,
30339215,MGH: a genome hub for the medicinal plant maca (Lepidium meyenii).,False,N,medium,Hub suffix + genome hub - data resource despite no URL,MGH,Maca Genome Hub,6,N,N,,
"""25352555"," 31576635"",""SASBDB, a repository for biological small-angle scattering data.""",True,N,high,DB suffix plus repository keyword,SASBDB,Small Angle Scattering Biological Data Bank,7,N,N,,
