pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name,chunk,already_seen,in_baseline,resource_url,url_source
"""27261064"," 27987171, 29069403"",A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.",True,N,medium,Repository keyword in title,,Collection of Conserved Noncoding Sequences,1,N,N,,
"""23193264"," 24259429, 29688360, 23193287, 25414350, 33196830"",Database resources of the National Center for Biotechnology Information.",True,N,high,Database keyword in title,NCBI,National Center for Biotechnology Information,1,N,N,,
"""22075998"," 23193274, 23448259"",ENCODE whole-genome data in the UCSC Genome Browser: update 2012.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""27794045"," 33211864, 30407557"",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.",True,N,medium,Repository keyword in title,FANTOM,Functional Annotation of the Mammalian Genome,1,N,N,,
"""22086951"," 23155063, 25428374, 26590259, 24227676, 26740527, 29106570, 30407534, 31691824"",The UCSC Genome Browser database: extensions and updates 2011.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""24265223"," 24318814"",EMAGE mouse embryo spatial gene expression database: 2014 update.",True,N,high,Database keyword in title,EMAGE,Edinburgh Mouse Atlas of Gene Expression,1,N,N,,
"""21752111"," 33146890, 22688270"",The Human Protein Atlas as a proteomic resource for biomarker discovery.",True,N,high,Atlas + repository keyword,HPA,Human Protein Atlas,1,N,N,,
"""27153631"," 29186503"",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.",True,N,high,Base suffix + database keyword,MINTbase,Mitochondrial and Nuclear tRNA fragment base,1,N,N,,
"""22737589"," 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870"",Fungal genome resources at NCBI.",True,N,medium,Repository keyword in title,NCBI,National Center for Biotechnology Information,1,N,N,,
"""24243843"," 25636622, 33095861"",""DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.""",True,N,high,Database keyword in title,DEG,Database of Essential Genes,1,N,N,,
"""29023571"," 33367505"",PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology.",True,N,high,Database keyword in title,PICKLE,Protein Interaction CKB Literature-curated Experimental,1,N,N,,
"""23321019"," 28857516"",Modeling of non-additive mixture properties using the Online CHEmical database and Modeling environment (OCHEM).",True,N,high,Database keyword in title,OCHEM,Online CHEmical Database and Modeling Environment,1,N,N,,
"""31239187"," 33129577"",pHLA3D: An online database of predicted three-dimensional structures of HLA molecules.",True,N,high,Database keyword in title,pHLA3D,predicted HLA 3D structures,1,N,N,,
"""30052798"," 30052798"",zfRegeneration: a database for gene expression profiling during regeneration.",True,N,high,Database keyword in title,zfRegeneration,zebrafish Regeneration,1,N,N,,
"""25378316"," 30196491"",""IMGT®, the international ImMunoGeneTics information system® 25 years on.""",True,N,medium,Repository keyword in title,IMGT,ImMunoGeneTics information system,1,N,N,,
"""21948793"," 26578601, 29140520"",Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.",True,N,high,Database keyword in title,TTD,Therapeutic Target Database,1,N,N,,
"""31372645"," 31372645"",Malaria.tools-comparative genomic and transcriptomic database for Plasmodium species.",True,N,high,Database keyword in title,Malaria.tools,Malaria tools,1,N,N,,
"""22908213"," 33221922"",The UCSC genome browser and associated tools.",True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser,1,N,N,,
"""24271396"," 30976793"",The European Bioinformatics Institute's data resources 2014.",True,N,medium,Repository keyword in title,EBI,European Bioinformatics Institute,1,N,N,,
"""27899670"," 30445434"",The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog).",True,N,high,Catalog + database keyword,GWAS Catalog,Genome-Wide Association Study Catalog,1,N,N,,
"""25685613"," 27899642"",The UCSC Ebola Genome Portal.",True,N,medium,Repository keyword in title,UCSC,University of California Santa Cruz Ebola Portal,1,N,N,,
"""24574175"," 25159016, 26227301, 25407602, 26351202"",Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.",True,N,medium,Repository keyword in title,ProteomeXchange,ProteomeXchange,1,N,N,,
"""29067135"," 30088220"",The braingraph.org database of high resolution structural connectomes and the brain graph tools.",True,N,high,Database keyword in title,BrainGraph,Brain Graph,1,N,N,,
"""23161693"," 29140435"",HMDB 3.0--The Human Metabolome Database in 2013.",True,N,high,DB suffix + database keyword,HMDB,Human Metabolome Database,1,N,N,,
25157074,miRBase Tracker: keeping track of microRNA annotation changes.,True,N,medium,Repository keyword in title,miRBase Tracker,microRNA Base Tracker,1,Y,N,http://www.mirbasetracker.org,original_chunk
"""22013161"," 24304894, 26673713, 30496479, 33219674"",canSAR: an integrated cancer public translational research and drug discovery resource.",True,N,medium,Repository keyword in title,canSAR,Cancer Structure Activity Relationships,1,N,N,,
29069414,The BioStudies database-one stop shop for all data supporting a life sciences study.,True,N,high,Database keyword in title,BioStudies,Biological Studies Database,2,Y,N,http://www.ebi.ac.uk/biostudies,original_chunk
31114901,Simple ClinVar: an interactive web server to explore and retrieve gene and disease variants aggregated in ClinVar database.,True,N,high,Database keyword in title,Simple ClinVar,Simplified ClinVar Browser,2,Y,N,http://simple-clinvar.broadinstitute.org/,original_chunk
29186578,"""The Planteome database: an integrated resource for reference ontologies, plant genomics and phenomics.""",True,N,high,Database keyword in title,Planteome,Plant Genome Ontology Database,2,Y,N,http://www.planteome.org,original_chunk
27580718,EURISCO: The European search catalogue for plant genetic resources.,True,N,high,Database keyword in title,EURISCO,European Search Catalogue,2,Y,N,http://eurisco.ecpgr.org,original_chunk
28890946,OncoKB: A Precision Oncology Knowledge Base.,True,N,high,KB suffix + knowledge base,OncoKB,Oncology Knowledge Base,2,Y,N,http://oncokb.org/,original_chunk
28732212,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses.,True,N,high,Database keyword in title,UALCAN,University of Alabama Cancer Database,2,Y,N,http://ualcan.path.uab.edu,original_chunk
29897488,GlycoStore: a database of retention properties for glycan analysis.,True,N,high,Database keyword in title,GlycoStore,Glycan Store,3,Y,N,http://www.glycostore.org,original_chunk
26635392,"""COMBREX-DB: an experiment centered database of protein function: knowledge, predictions and knowledge gaps.""",False,N,high,DB suffix + database keyword,COMBREX-DB,COMBREX Database,3,Y,N,,
22123736,The UniProt-GO Annotation database in 2011.,True,N,high,Database keyword in title,UniProt-GOA,UniProt Gene Ontology Annotation,3,Y,N,http://www.ebi.ac.uk/GOA,original_chunk
25326082,"""A PDB-wide, evolution-based assessment of protein-protein interfaces.""",True,N,medium,Database keyword in title,EPPIC,Evolutionary Protein-Protein Interface Classifier,3,Y,N,http://www.eppic-web.org/ewui/\#downloads,original_chunk
26153137,EpiFactors: a comprehensive database of human epigenetic factors and complexes.,False,N,high,Database keyword in title,EpiFactors,Epigenetic Factors,3,Y,N,http://epifactors.autosome.ru,fulltext_extraction
25539768,DCDB 2.0: a major update of the drug combination database.,True,N,high,Database keyword in title,DCDB,Drug Combination Database,3,Y,N,http://www.cls.zju.edu.cn/dcdb/,original_chunk
32542364,GTDB: an integrated resource for glycosyltransferase sequences and annotations.,False,N,high,DB suffix + database keyword,GTDB,GlycosylTransferase DataBase,3,Y,N,https://www.biosino.org/gtdb/,fulltext_extraction
30365034,Database Resources of the BIG Data Center in 2019.,True,N,high,Database keyword in title,BIG Data Center,Beijing Institute of Genomics Data Center,3,Y,N,http://bigd.big.ac.cn/databases,fulltext_extraction
29106619,"""NPASS: natural product activity and species source database for natural product research, discovery and tool development.""",True,N,high,Database keyword in title,NPASS,Natural Product Activity and Species Source,3,Y,N,http://bidd2.nus.edu.sg/NPASS/,original_chunk
21486466,OryzaPG-DB: rice proteome database based on shotgun proteogenomics.,True,N,high,DB suffix + database keyword,OryzaPG-DB,OryzaPG-DB,4,Y,N,http://oryzapg.iab.keio.ac.jp/,original_chunk
"""29805321"," 31444973"",""The Cellosaurus, a Cell-Line Knowledge Resource.""",True,N,high,KB suffix + knowledge resource,Cellosaurus,Cellosaurus,4,N,N,,
23418540,canEvolve: a web portal for integrative oncogenomics.,True,N,high,Database keyword in title,canEvolve,canEvolve,4,Y,N,http://www.canevolve.org/,original_chunk
32090262,dbPepNeo: a manually curated database for human tumor neoantigen peptides.,True,N,high,Database keyword in title,dbPepNeo,dbPepNeo,4,Y,N,http://www.biostatistics.online/dbPepNeo/,original_chunk
25399417,LncRNAWiki: harnessing community knowledge in collaborative curation of human long non-coding RNAs.,True,N,high,Database keyword in title,LncRNAWiki,LncRNAWiki,4,Y,N,http://lncrna.big.ac.cn,original_chunk
