pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
23761449,PosMed: Ranking genes and bioresources based on Semantic Web Association Study.,True,Y,high,Tool for ranking and analysis not a data repository,,,
29036298,myVCF: a desktop application for high-throughput mutations data management.,True,Y,high,Desktop application for data management not a database,,,
31028400,"Updated MS²PIP web server delivers fast and accurate MS² peak intensity prediction for multiple fragmentation methods, instruments and labeling techniques.",True,Y,high,Web server for prediction methodology not a data resource,,,
24564496,RMaNI: Regulatory Module Network Inference framework.,True,Y,high,Inference framework/tool not a database,,,
31836898,SGID: a comprehensive and interactive database of the silkworm.,False,N,high,DB suffix indicates database with comprehensive silkworm data,SGID,Silkworm Genome Interactive Database
24838565,DINIES: drug-target interaction network inference engine based on supervised analysis.,True,Y,high,Inference engine/tool for analysis not a data repository,,,
33672700,PSC-db: A Structured and Searchable 3D-Database for Plant Secondary Compounds.,False,N,high,DB suffix and database keyword indicate true bioresource,PSC-db,Plant Secondary Compounds Database
27105848,miRNet - dissecting miRNA-target interactions and functional associations through network-based visual analysis.,True,Y,medium,Tool for dissecting/analysis though may contain data,,,
31680168,TSEA-DB: a trait-tissue association map for human complex traits and diseases.,True,N,high,DB suffix and map of associations indicate database,TSEA-DB,Trait-Tissue Association Database
33104800,FlyRNAi.org-the database of the Drosophila RNAi screening center and transgenic RNAi project: 2021 update.,False,N,high,Explicit database keyword with update indicates bioresource,FlyRNAi,Drosophila RNAi Screening Center Database
22067456,FlyRNAi.org--the database of the Drosophila RNAi screening center: 2012 update.,True,N,high,Explicit database keyword indicates bioresource,FlyRNAi,Drosophila RNAi Screening Center Database
30339216,GFDP: the gene family database in poplar.,False,N,high,Explicit database keyword indicates bioresource,GFDP,Gene Family Database in Poplar
23431356,crcTRP: a translational research platform for colorectal cancer.,False,Y,high,Translational research platform is a tool not data repository,,,
29457794,Recon3D enables a three-dimensional view of gene variation in human metabolism.,True,Y,medium,Enables view suggests tool though may contain metabolic data,,,
26590258,"MitoAge: a database for comparative analysis of mitochondrial DNA, with a special focus on animal longevity.",True,N,high,Explicit database keyword indicates bioresource,MitoAge,Mitochondrial DNA Longevity Database
34883995,COLAEVA: Visual Analytics and Data Mining Web-Based Tool for Virtual Coaching of Older Adult Populations.,False,Y,high,Analytics and data mining tool not a data repository,,,
31848596,RHPCG: a database of the Regulation of the Hippo Pathway in Cancer Genome.,False,N,high,Explicit database keyword indicates bioresource,RHPCG,Regulation of Hippo Pathway in Cancer Genome Database
30820575,Update on cpnDB: a reference database of chaperonin sequences.,True,N,high,DB suffix and reference database keyword indicate bioresource,cpnDB,Chaperonin Database
31081014,iMKT: the integrative McDonald and Kreitman test.,True,Y,high,Statistical test tool not a data repository,,,
32421831,ToxicoDB: an integrated database to mine and visualize large-scale toxicogenomic datasets.,False,N,high,DB suffix and database keyword indicate bioresource,ToxicoDB,Toxicogenomics Database
32061934,HMI-PRED: A Web Server for Structural Prediction of Host-Microbe Interactions Based on Interface Mimicry.,True,Y,high,Web server for prediction not a data repository,,,
26635394,RBP-Var: a database of functional variants involved in regulation mediated by RNA-binding proteins.,True,N,high,Explicit database keyword indicates bioresource,RBP-Var,RNA-Binding Protein Variant Database
25009553,YouGenMap: a web platform for dynamic multi-comparative mapping and visualization of genetic maps.,True,Y,medium,Platform for mapping and visualization is a tool,,,
25540186,Knowledge-based modeling of peptides at protein interfaces: PiPreD.,True,Y,high,Modeling tool not a data repository,,,
24244640,CNVannotator: a comprehensive annotation server for copy number variation in the human genome.,True,Y,high,Annotation server/tool not a database,,,
26343150,"Exploring Natural Products from the Biodiversity of Pakistan for Computational Drug Discovery Studies: Collection, Optimization, Design and Development of A Chemical Database (ChemDP).",True,N,high,Explicit database keyword and chemical collection indicate bioresource,ChemDP,Chemical Database of Pakistan
28039679,Q2Stress: A database for multiple cues to stress assignment in Italian.,False,N,high,Explicit database keyword indicates bioresource,Q2Stress,Italian Stress Assignment Database
29325066,Toppar: an interactive browser for viewing association study results.,True,Y,high,Browser tool for viewing results not a data repository,,,
33186463,Exploring functionally annotated transcriptional consensus regulatory elements with CONREL.,True,Y,high,Tool for exploring annotations not a database,,,
25903923,KaBOB: ontology-based semantic integration of biomedical databases.,False,Y,high,Tool for integration of databases not a database itself,,,
33084862,BastionHub: a universal platform for integrating and analyzing substrates secreted by Gram-negative bacteria.,True,N,medium,Hub suffix suggests data repository for bacterial substrates,BastionHub,Bacterial Secreted Substrates Hub
21700574,"Overview of FEED, the feeding experiments end-user database.",False,N,high,Explicit database keyword indicates bioresource,FEED,Feeding Experiments End-user Database
33854104,"BonZeb: open-source, modular software tools for high-resolution zebrafish tracking and analysis.",False,Y,high,Software tools for tracking and analysis not a database,,,
25198774,PfalDB: an integrated drug target and chemical database for Plasmodium falciparum.,True,N,high,DB suffix and database keyword indicate bioresource,PfalDB,Plasmodium falciparum Drug Target Database
22139918,AutismKB: an evidence-based knowledgebase of autism genetics.,True,N,high,KB suffix and knowledgebase keyword indicate bioresource,AutismKB,Autism Genetics Knowledgebase
30365025,SSRome: an integrated database and pipelines for exploring microsatellites in all organisms.,False,N,high,Explicit database keyword indicates bioresource,SSRome,Simple Sequence Repeat Database
28472345,STOPGAP: a database for systematic target opportunity assessment by genetic association predictions.,True,N,high,Explicit database keyword indicates bioresource,STOPGAP,Systematic Target Opportunity Assessment Database
27977206,CanProVar 2.0: An Updated Database of Human Cancer Proteome Variation.,False,N,high,Explicit database keyword and version number indicate bioresource,CanProVar,Cancer Proteome Variation Database
25996941,CleavPredict: A Platform for Reasoning about Matrix Metalloproteinases Proteolytic Events.,True,Y,high,Platform for reasoning/prediction is a tool,,,
32765587,ABC-GWAS: Functional Annotation of Estrogen Receptor-Positive Breast Cancer Genetic Variants.,True,Y,high,Tool for functional annotation not a database,,,
24253915,MEGANTE: a web-based system for integrated plant genome annotation.,True,Y,high,System for annotation is a tool not a database,,,
32275651,ORANGE: A CRISPR/Cas9-based genome editing toolbox for epitope tagging of endogenous proteins in neurons.,False,Y,high,Genome editing toolbox not a data repository,,,
30371760,GCDB: a glaucomatous chemogenomics database for in silico drug discovery.,True,N,high,DB suffix and database keyword indicate bioresource,GCDB,Glaucomatous Chemogenomics Database
21223570,A platform for processing expression of short time series (PESTS).,True,Y,high,Platform for processing is a tool not a database,,,
27780248,TheSNPpit-A High Performance Database System for Managing Large Scale SNP Data.,False,Y,high,Database system for managing data is infrastructure not a public database,,,
25883148,I-TASSER server: new development for protein structure and function predictions.,True,Y,high,Server for predictions is a tool not a database,,,
28445744,NMRbox: A Resource for Biomolecular NMR Computation.,False,Y,high,Resource for computation is a tool/platform not a database,,,
28402462,Omicseq: a web-based search engine for exploring omics datasets.,True,Y,high,Search engine tool for exploring not a database,,,
23185044,OikoBase: a genomics and developmental transcriptomics resource for the urochordate Oikopleura dioica.,True,N,high,Base suffix indicates database,OikoBase,Oikopleura dioica Genomics Database
29426939,SeagrassDB: An open-source transcriptomics landscape for phylogenetically profiled seagrasses and aquatic plants.,True,N,high,DB suffix indicates database,SeagrassDB,Seagrass Transcriptomics Database
27179030,DeAnnIso: a tool for online detection and annotation of isomiRs from small RNA sequencing data.,True,Y,high,Tool for detection and annotation not a database,,,
24861622,MORPHIN: a web tool for human disease research by projecting model organism biology onto a human integrated gene network.,True,Y,high,Web tool for research/projection not a database,,,
33879798,"ODFM, an omics data resource from microorganisms associated with fermented foods.",False,N,high,Data resource containing omics data is a bioresource,ODFM,Omics Data from Fermented Foods Microorganisms
31218882,SeqScrub: a web tool for automatic cleaning and annotation of FASTA file headers for bioinformatic applications.,True,Y,high,Tool for cleaning and annotation not a database,,,
32669368,CeMbio - The <i>Caenorhabditis elegans</i> Microbiome Resource.,False,N,high,Resource for microbiome data is a bioresource,CeMbio,Caenorhabditis elegans Microbiome Resource
21718467,InterMitoBase: an annotated database and analysis platform of protein-protein interactions for human mitochondria.,False,N,high,Base suffix and database keyword indicate bioresource,InterMitoBase,Mitochondrial Protein Interaction Database
25122463,RLIMS-P: an online text-mining tool for literature-based extraction of protein phosphorylation information.,True,Y,high,Text-mining tool for extraction not a database,,,
26010234,SEGEL: A Web Server for Visualization of Smoking Effects on Human Lung Gene Expression.,True,Y,high,Web server for visualization is a tool,,,
28782992,PDTCM: a systems pharmacology platform of traditional Chinese medicine for psoriasis.,False,Y,high,Systems pharmacology platform is a tool not a database,,,
33177529,"DISPERSE, a trait database to assess the dispersal potential of European aquatic macroinvertebrates.",False,N,high,Explicit database keyword indicates bioresource,DISPERSE,Aquatic Macroinvertebrate Dispersal Database
27885171,SAPFLUXNET: towards a global database of sap flow measurements.,False,N,high,Explicit database keyword indicates bioresource,SAPFLUXNET,Global Sap Flow Database
29745832,cmFSM: a scalable CPU-MIC coordinated drug-finding tool by frequent subgraph mining.,False,Y,high,Drug-finding tool not a database,,,
27924039,FlyRNAi.org-the database of the Drosophila RNAi screening center and transgenic RNAi project: 2017 update.,True,N,high,Explicit database keyword indicates bioresource,FlyRNAi,Drosophila RNAi Screening Center Database
30581839,ISOdb: A Comprehensive Database of Full-Length Isoforms Generated by Iso-Seq.,False,N,high,DB suffix and database keyword indicate bioresource,ISOdb,Isoform Database
34034817,PhenCards: a data resource linking human phenotype information to biomedical knowledge.,True,N,high,Data resource linking phenotype information is a bioresource,PhenCards,Phenotype Cards
33777032,VaximmutorDB: A Web-Based Vaccine Immune Factor Database and Its Application for Understanding Vaccine-Induced Immune Mechanisms.,False,N,high,DB suffix and database keyword indicate bioresource,VaximmutorDB,Vaccine Immune Factor Database
31097708,TYGS is an automated high-throughput platform for state-of-the-art genome-based taxonomy.,False,Y,high,Platform for taxonomy classification is a tool,,,
28186905,HMMCAS: A Web Tool for the Identification and Domain Annotations of CAS Proteins.,True,Y,high,Web tool for identification not a database,,,
26813635,PMD: A Resource for Archiving and Analyzing Protein Microarray data.,True,N,high,Resource for archiving data is a bioresource,PMD,Protein Microarray Database
31375721,SPECTRUM - A MATLAB Toolbox for Proteoform Identification from Top-Down Proteomics Data.,False,Y,high,MATLAB toolbox for identification not a database,,,
34019636,pLannotate: engineered plasmid annotation.,True,Y,high,Tool for annotation not a database,,,
33177631,HRRD: a manually-curated database about the regulatory relationship between HPV and host RNA.,True,N,high,Explicit database keyword indicates bioresource,HRRD,HPV-RNA Regulatory Database
24090499,InsertionMapper: a pipeline tool for the identification of targeted sequences from multidimensional high throughput sequencing data.,True,Y,high,Pipeline tool for identification not a database,,,
23180760,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells.,True,N,high,Resource for therapeutic biomarker data is a bioresource,GDSC,Genomics of Drug Sensitivity in Cancer
29868062,ARMOUR - A Rice miRNA: mRNA Interaction Resource.,False,N,high,Resource for interaction data is a bioresource,ARMOUR,Rice miRNA-mRNA Interaction Resource
30395323,Plasmid ATLAS: plasmid visual analytics and identification in high-throughput sequencing data.,True,N,high,ATLAS indicates map/database of plasmid data,Plasmid ATLAS,Plasmid Atlas
31174603,NanoARG: a web service for detecting and contextualizing antimicrobial resistance genes from nanopore-derived metagenomes.,True,Y,high,Web service for detecting is a tool not a database,,,
30534599,New Insights into Human Nostril Microbiome from the Expanded Human Oral Microbiome Database (eHOMD): a Resource for the Microbiome of the Human Aerodigestive Tract.,True,N,high,Explicit database keyword indicates bioresource,eHOMD,Expanded Human Oral Microbiome Database
28522612,GenomeVIP: a cloud platform for genomic variant discovery and interpretation.,False,Y,high,Cloud platform for discovery and interpretation is a tool,,,
24330842,TRAPID: an efficient online tool for the functional and comparative analysis of de novo RNA-Seq transcriptomes.,True,Y,high,Online tool for analysis not a database,,,
28387819,SLiMSearch: a framework for proteome-wide discovery and annotation of functional modules in intrinsically disordered regions.,True,Y,high,Framework for discovery and annotation is a tool,,,
32226440,PIANO: A Web Server for Pseudouridine-Site (Ψ) Identification and Functional Annotation.,True,Y,high,Web server for identification not a database,,,
26394715,SEQMINER: An R-Package to Facilitate the Functional Interpretation of Sequence-Based Associations.,True,Y,high,R package for interpretation is a tool not a database,,,
22513993,INRICH: interval-based enrichment analysis for genome-wide association studies.,True,Y,high,Tool for enrichment analysis not a database,,,
34570769,GRAFIMO: Variant and haplotype aware motif scanning on pangenome graphs.,False,Y,high,Tool for motif scanning not a database,,,
25420108,Synergy: a web resource for exploring gene regulation in Synechocystis sp. PCC6803.,True,N,high,Web resource for exploring gene regulation data is a bioresource,Synergy,Synechocystis Gene Regulation Resource
21969811,G-DOC: a systems medicine platform for personalized oncology.,False,Y,high,Systems medicine platform is a tool not a database,,,
22217600,MCScanX: a toolkit for detection and evolutionary analysis of gene synteny and collinearity.,True,Y,high,Toolkit for detection and analysis not a database,,,
30686929,rMyCoPortal - an R package to interface with the Mycology Collections Portal.,False,Y,high,R package interface tool not a database,,,
24829452,TogoTable: cross-database annotation system using the Resource Description Framework (RDF) data model.,True,Y,high,Annotation system tool not a database,,,
30073046,NDDN: A Cloud-Based Neuroinformation Database for Developing Neuronal Networks.,False,N,high,Explicit database keyword indicates bioresource,NDDN,Neuroinformation Database for Developing Networks
28407035,IcyTree: rapid browser-based visualization for phylogenetic trees and networks.,False,Y,high,Visualization tool not a database,,,
23660285,PhenoDigm: analyzing curated annotations to associate animal models with human diseases.,True,Y,high,Tool for analyzing annotations not a database,,,
22570420,COFACTOR: an accurate comparative algorithm for structure-based protein function annotation.,True,Y,high,Algorithm for function annotation is a tool,,,
33335686,ProdMX: Rapid query and analysis of protein functional domain based on compressed sparse matrices.,False,Y,high,Tool for query and analysis not a database,,,
24512305,FADB: a food additive molecular database for in silico screening in food toxicology.,False,N,high,DB suffix and database keyword indicate bioresource,FADB,Food Additive Database
27472806,"PhyloBot: A Web Portal for Automated Phylogenetics, Ancestral Sequence Reconstruction, and Exploration of Mutational Trajectories.",True,Y,high,Web portal for automated phylogenetics is a tool,,,
30799505,BioMethyl: an R package for biological interpretation of DNA methylation data.,False,Y,high,R package for interpretation is a tool not a database,,,
22087737,ReCount: a multi-experiment resource of analysis-ready RNA-seq gene count datasets.,False,N,high,Resource of datasets is a bioresource,ReCount,RNA-seq Gene Count Resource
21914205,GOMMA: a component-based infrastructure for managing and analyzing life science ontologies and their evolution.,True,Y,high,Infrastructure for managing ontologies is a tool,,,
34101722,CytoPy: An autonomous cytometry analysis framework.,True,Y,high,Analysis framework is a tool not a database,,,
23272111,MultiMetEval: comparative and multi-objective analysis of genome-scale metabolic models.,False,Y,high,Tool for comparative analysis not a database,,,
25196204,Vanno: a visualization-aided variant annotation tool.,True,Y,high,Variant annotation tool not a database,,,
32392343,Oviz-Bio: a web-based platform for interactive cancer genomics data visualization.,True,Y,high,Platform for visualization is a tool,,,
25254639,IDEPI: rapid prediction of HIV-1 antibody epitopes and other phenotypic features from sequence data using a flexible machine learning platform.,False,Y,high,Prediction platform/tool not a database,,,
29675816,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences.",False,N,high,Network of biological resource centres is a bioresource,BRC4Env,Biological Resource Centres for Environment
23710727,REAPR: a universal tool for genome assembly evaluation.,True,Y,high,Tool for genome assembly evaluation not a database,,,
24953454,VANESA - a software application for the visualization and analysis of networks in system biology applications.,True,Y,high,Software application for visualization and analysis not a database,,,
27216254,miRiaD: A Text Mining Tool for Detecting Associations of microRNAs with Diseases.,True,Y,high,Text mining tool for detection not a database,,,
22408426,Aggregating data for computational toxicology applications: The U.S. Environmental Protection Agency (EPA) Aggregated Computational Toxicology Resource (ACToR) System.,False,N,high,Resource system for aggregating toxicology data is a bioresource,ACToR,Aggregated Computational Toxicology Resource
29788498,CellAtlasSearch: a scalable search engine for single cells.,True,Y,high,Search engine tool not a database,,,
25480116,LAILAPS: the plant science search engine.,True,Y,high,Search engine tool not a database,,,
21400696,Inferring protein function from homology using the Princeton Protein Orthology Database (P-POD).,False,Y,high,Paper about using database not the database itself,,,
30908818,RAId: Knowledge-Integrated Proteomics Web Service with Accurate Statistical Significance Assignment.,True,Y,high,Web service for analysis not a database,,,
26283320,Classifying the bacterial gut microbiota of termites and cockroaches: A curated phylogenetic reference database (DictDb).,False,N,high,Reference database keyword and DB suffix indicate bioresource,DictDb,Termite and Cockroach Gut Microbiota Database
22857267,MicrobesFlux: a web platform for drafting metabolic models from the KEGG database.,True,Y,high,Platform for drafting models is a tool,,,
34408730,DiTing: A Pipeline to Infer and Compare Biogeochemical Pathways From Metagenomic and Metatranscriptomic Data.,False,Y,high,Pipeline for inference is a tool not a database,,,
32985524,SV-HotSpot: detection and visualization of hotspots targeted by structural variants associated with gene expression.,False,Y,high,Tool for detection and visualization not a database,,,
26884807,LEAFDATA: a literature-curated database for Arabidopsis leaf development.,False,N,high,Explicit database keyword indicates bioresource,LEAFDATA,Arabidopsis Leaf Development Database
25113421,GlycoMaster DB: software to assist the automated identification of N-linked glycopeptides by tandem mass spectrometry.,True,N,high,DB suffix overrides software tool description indicates database,GlycoMaster DB,Glycopeptide Master Database
28556827,"RiceAtlas, a spatial database of global rice calendars and production.",False,N,high,Atlas and database keywords indicate bioresource,RiceAtlas,Global Rice Calendar and Production Database
22323337,KMD: Korean Mutation Database for genes related to diseases.,True,N,high,Explicit database keyword indicates bioresource,KMD,Korean Mutation Database
