pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
32500918,"RGPDB: database of root-associated genes and promoters in maize, soybean, and sorghum.",False,N,high,"DB suffix indicates database, explicitly states 'database' in title",RGPDB,Root-associated Genes and Promoters Database
28529079,VirusMap: A visualization database for the influenza A virus.,False,N,high,"Map suffix with 'database' keyword indicates data resource",VirusMap,Influenza A Virus Visualization Database
30937442,The sncRNA Zoo: a repository for circulating small noncoding RNAs in animals.,True,N,high,"Contains 'repository' keyword indicating data collection",sncRNA Zoo,Small Noncoding RNA Zoo
34248529,The Stroke Neuro-Imaging Phenotype Repository: An Open Data Science Platform for Stroke Research.,False,N,high,"'Repository' keyword indicates data resource, has URL suggesting data access",Stroke Neuro-Imaging Phenotype Repository,Stroke Neuro-Imaging Phenotype Repository
24441765,TR-DB: an open-access database of compounds affecting the ethylene-induced triple response in Arabidopsis.,True,N,high,"DB suffix overrides other patterns, explicitly states 'database'",TR-DB,Triple Response Database
34058988,A tool for analyzing and visualizing ribo-seq data at the isoform level.,True,Y,high,Pure methodology tool for analysis and visualization,,
25991176,EpiHosp: A web-based visualization tool enabling the exploratory analysis of complications of implantable medical devices from a nationwide hospital database.,False,Y,high,"Methodology tool for exploratory analysis, despite database mention",,
27993779,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks.,True,Y,high,Tool for applying database technology to manage networks,,
32311035,RA-map: building a state-of-the-art interactive knowledge base for rheumatoid arthritis.,True,N,high,"Map suffix with 'knowledge base' keyword indicates data resource",RA-map,Rheumatoid Arthritis Interactive Knowledge Base
26108279,GDC 2: Compression of large collections of genomes.,True,Y,high,Methodology for compression not a database,,
26030757,DynamicRoots: A Software Platform for the Reconstruction and Analysis of Growing Plant Roots.,False,Y,high,Software platform for reconstruction and analysis,,
34583740,FP-ADMET: a compendium of fingerprint-based ADMET prediction models.,False,N,high,"'Compendium' keyword indicates curated collection",FP-ADMET,Fingerprint-based ADMET Compendium
27863903,TrypTag.org: A Trypanosome Genome-wide Protein Localisation Resource.,False,N,high,"Resource for protein localization data",TrypTag.org,Trypanosome Protein Localisation Resource
33753737,Fault2SHA Central Apennines database and structuring active fault data for seismic hazard assessment.,False,N,high,"Database for active fault data collection",Fault2SHA Central Apennines,Fault2SHA Central Apennines Database
33462958,CannabisGDB: a comprehensive genomic database for Cannabis Sativa L.,False,N,high,"GDB suffix (genomic database) with 'database' keyword",CannabisGDB,Cannabis Sativa Genomic Database
32341633,The Multiple Sclerosis Surveillance Registry: A Novel Interactive Database Within the Veterans Health Administration.,False,N,high,"'Registry' and 'database' keywords indicate data collection resource",Multiple Sclerosis Surveillance Registry,Multiple Sclerosis Surveillance Registry
28113723,IsAProteinDB: An Indexed Database of Trypsinized Proteins for Fast Peptide Mass Fingerprinting.,False,N,high,"DB suffix with 'database' keyword",IsAProteinDB,Indexed Database of Trypsinized Proteins
28829434,"ForCenS, a curated database of planktonic foraminifera census counts in marine surface sediment samples.",False,N,high,"Explicitly 'curated database' of census data",ForCenS,Foraminifera Census Database
31380568,FragSAD: A database of diversity and species abundance distributions from habitat fragments.,False,N,high,"'Database' keyword with data collection focus",FragSAD,Fragment Species Abundance Database
23719696,The generalized invariom database (GID).,False,N,high,"Database keyword with acronym in parentheses",GID,Generalized Invariom Database
22054246,TOFSIMS-P: a web-based platform for analysis of large-scale TOF-SIMS data.,False,Y,high,Platform for analysis not a data repository,,
34370723,PPIDomainMiner: Inferring domain-domain interactions from multiple sources of protein-protein interactions.,True,Y,high,Methodology tool for inferring interactions,,
21515685,"The GreenCut2 resource, a phylogenomically derived inventory of proteins specific to the plant lineage.",False,N,high,"Resource containing inventory (curated collection) of proteins",GreenCut2,GreenCut2 Protein Inventory
23239073,Diphones-fr: a French database of diphone positional frequency.,False,N,high,"Database of frequency data",Diphones-fr,French Diphone Database
31844107,"Ten-Second Electrophysiology: Evaluation of the 3DEP Platform for high-speed, high-accuracy cell analysis.",False,Y,high,Evaluation of a platform tool not a database,,
34200635,PPGTempStitch: A MATLAB Toolbox for Augmenting Annotated Photoplethsmogram Signals.,False,Y,high,Software toolbox not a database,,
28937982,Protein complex prediction via dense subgraphs and false positive analysis.,False,Y,high,Methodology for prediction not a database,,
33507077,Remodeling nanoDESI Platform with Ion Mobility Spectrometry to Expand Protein Coverage in Cancerous Tissue.,False,Y,high,Platform technology/methodology not a database,,
