pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count,in_baseline_pmid,in_baseline_entity,in_baseline
"26481361, 29761461, 31647100",Bovine Genome Database: new tools for gleaning function from the Bos taurus genome.,"We report an update of the Bovine Genome Database (BGD) (http://BovineGenome.org). The goal of BGD is to support bovine genomics research by providing genome annotation and data mining tools. We have developed new genome and annotation browsers using JBrowse and WebApollo for two Bos taurus genome assemblies, the reference genome assembly (UMD3.1.1) and the alternate genome assembly (Btau_4.6.1). Annotation tools have been customized to highlight priority genes for annotation, and to aid annotators in selecting gene evidence tracks from 91 tissue specific RNAseq datasets. We have also developed BovineMine, based on the InterMine data warehousing system, to integrate the bovine genome, annotation, QTL, SNP and expression data with external sources of orthology, gene ontology, gene interaction and pathway information. BovineMine provides powerful query building tools, as well as customized query templates, and allows users to analyze and download genome-wide datasets. With BovineMine, bovine researchers can use orthology to leverage the curated gene pathways of model organisms, such as human, mouse and rat. BovineMine will be especially useful for gene ontology and pathway analyses in conjunction with GWAS and QTL studies.",True,False,3.0,0.71889555,bovine genome database,,24.99445075,ok,bgd | bovine genome database,bovinemine,bgd,spacy+v2,0.9960311,Bovine Genome Database,True,True,True,,http://BovineGenome.org,http://BovineGenome.org,True,...rt an update of the Bovine Genome Database (BGD) (http://BovineGenome.org). The goal of BGD is to support bovine genomics r...,2,False,False,False
"27794045, 33211864, 30407557",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.,"Upon the first publication of the fifth iteration of the Functional Annotation of Mammalian Genomes collaborative project, FANTOM5, we gathered a series of primary data and database systems into the FANTOM web resource (http://fantom.gsc.riken.jp) to facilitate researchers to explore transcriptional regulation and cellular states. In the course of the collaboration, primary data and analysis results have been expanded, and functionalities of the database systems enhanced. We believe that our data and web systems are invaluable resources, and we think the scientific community will benefit for this recent update to deepen their understanding of mammalian cellular organization. We introduce the contents of FANTOM5 here, report recent updates in the web resource and provide future perspectives.",True,False,4.0,0.6847962,,fantom,23.99667335,ok,,functional annotation of the mammalian genome | functional annotation of mammalian genomes,fantom5 | fantom6,v2,0.9982592,Update of the FANTOM web resource,True,False,False,,http://fantom.gsc.riken.jp,http://fantom.gsc.riken.jp,True,...nd database systems into the FANTOM web resource (http://fantom.gsc.riken.jp) to facilitate researchers to explore transcripti...,2,False,False,False
"22110037, 23487186, 27252399, 28365727, 28451979, 30715277, 31612944, 32128557, 24265222, 26578556, 28365719, 29140510",Saccharomyces Genome Database: the genomics resource of budding yeast.,"The Saccharomyces Genome Database (SGD, http://www.yeastgenome.org) is the community resource for the budding yeast Saccharomyces cerevisiae. The SGD project provides the highest-quality manually curated information from peer-reviewed literature. The experimental results reported in the literature are extracted and integrated within a well-developed database. These data are combined with quality high-throughput results and provided through Locus Summary pages, a powerful query engine and rich genome browser. The acquisition, integration and retrieval of these data allow SGD to facilitate experimental design and analysis by providing an encyclopedia of the yeast genome, its chromosomal features, their functions and interactions. Public access to these data is provided to researchers and educators via web pages designed for optimal ease of use.",False,True,3.0,0.69303304,saccharomyces genome database,,22.99723005,ok,sgd | saccharomyces genome database,saccharomyces | yeastmine | saccharomyces genome database variant viewer,viewer | sgd | yeastract,spacy+v2,0.99731356,Saccharomyces Genome Database,True,True,True,,http://www.yeastgenome.org,http://www.yeastgenome.org,True,"The Saccharomyces Genome Database (SGD, http://www.yeastgenome.org) is the community resource for the budding yeast...",2,False,False,False
"23175610, 24285300, 26150326, 26578600","The mouse genome database: genotypes, phenotypes, and models of human disease.","The laboratory mouse is the premier animal model for studying human biology because all life stages can be accessed experimentally, a completely sequenced reference genome is publicly available and there exists a myriad of genomic tools for comparative and experimental research. In the current era of genome scale, data-driven biomedical research, the integration of genetic, genomic and biological data are essential for realizing the full potential of the mouse as an experimental model. The Mouse Genome Database (MGD; http://www.informatics.jax.org), the community model organism database for the laboratory mouse, is designed to facilitate the use of the laboratory mouse as a model system for understanding human biology and disease. To achieve this goal, MGD integrates genetic and genomic data related to the functional and phenotypic characterization of mouse genes and alleles and serves as a comprehensive catalog for mouse models of human disease. Recent enhancements to MGD include the addition of human ortholog details to mouse Gene Detail pages, the inclusion of microRNA knockouts to MGD's catalog of alleles and phenotypes, the addition of video clips to phenotype images, providing access to genotype and phenotype data associated with quantitative trait loci (QTL) and improvements to the layout and display of Gene Ontology annotations.",True,False,3.0,0.72216815,mouse genome database,,22.997061,ok,mgd | mouse genome database,ensembl | database,mgd,spacy+v2,0.997061,mouse genome database,True,True,True,,http://www.informatics.jax.org,http://www.informatics.jax.org,True,"...perimental model. The Mouse Genome Database (MGD; http://www.informatics.jax.org), the community model organism database for the l...",2,False,False,False
"23093600, 23144783, 23613709, 25326323, 27651457, 29351546, 30247620, 23221299, 27171405, 34458863",The Comparative Toxicogenomics Database: update 2013.,"The Comparative Toxicogenomics Database (CTD; http://ctdbase.org/) provides information about interactions between environmental chemicals and gene products and their relationships to diseases. Chemical-gene, chemical-disease and gene-disease interactions manually curated from the literature are integrated to generate expanded networks and predict many novel associations between different data types. CTD now contains over 15 million toxicogenomic relationships. To navigate this sea of data, we added several new features, including DiseaseComps (which finds comparable diseases that share toxicogenomic profiles), statistical scoring for inferred gene-disease and pathway-chemical relationships, filtering options for several tools to refine user analysis and our new Gene Set Enricher (which provides biological annotations that are enriched for gene sets). To improve data visualization, we added a Cytoscape Web view to our ChemComps feature, included color-coded interactions and created a 'slim list' for our MEDIC disease vocabulary (allowing diseases to be grouped for meta-analysis, visualization and better data management). CTD continues to promote interoperability with external databases by providing content and cross-links to their sites. Together, this wealth of expanded chemical-gene-disease data, combined with novel ways to analyze and view content, continues to help users generate testable hypotheses about the molecular mechanisms of environmental diseases.",False,True,4.0,0.71878636,comparative toxicogenomics database,,22.996929,ok,ctd | comparative toxicogenomics database,chemcomps,ctd,spacy+v2,0.996929,Comparative Toxicogenomics Database,True,True,True,,http://ctdbase.org/,http://ctdbase.org/,True,The Comparative Toxicogenomics Database (CTD; http://ctdbase.org/) provides information about interactions between...,2,False,False,False
"21321022, 22434847, 23603846, 23794737, 23881287, 25355511, 31713623, 21478484, 23255149","The Rat Genome Database curation tool suite: a set of optimized software tools enabling efficient acquisition, organization, and presentation of biological data.","The Rat Genome Database (RGD) is the premier repository of rat genomic and genetic data and currently houses over 40,000 rat gene records as well as human and mouse orthologs, 1771 rat and 1911 human quantitative trait loci (QTLs) and 2209 rat strains. Biological information curated for these data objects includes disease associations, phenotypes, pathways, molecular functions, biological processes and cellular components. A suite of tools has been developed to aid curators in acquiring and validating data objects, assigning nomenclature, attaching biological information to objects and making connections among data types. The software used to assign nomenclature, to create and edit objects and to make annotations to the data objects has been specifically designed to make the curation process as fast and efficient as possible. The user interfaces have been adapted to the work routines of the curators, creating a suite of tools that is intuitive and powerful. Database URL: http://rgd.mcw.edu.",False,True,3.0,0.7218183,rat genome database,,22.9965059,ok,rgd | rat genome database,of the rat | mouse genome informatics | rat genome database at 20,david | rgd,spacy+v2,0.9965059,Rat Genome Database curation tool suite,True,False,False,,http://rgd.mcw.edu,http://rgd.mcw.edu,True,...ols that is intuitive and powerful. Database URL: http://rgd.mcw.edu.,2,False,False,False
"22260278, 27679478",Influenza research database: an integrated bioinformatics resource for influenza research and surveillance.,"<h4>Background</h4>The recent emergence of the 2009 pandemic influenza A/H1N1 virus has highlighted the value of free and open access to influenza virus genome sequence data integrated with information about other important virus characteristics.<h4>Design</h4>The Influenza Research Database (IRD, http://www.fludb.org) is a free, open, publicly-accessible resource funded by the U.S. National Institute of Allergy and Infectious Diseases through the Bioinformatics Resource Centers program. IRD provides a comprehensive, integrated database and analysis resource for influenza sequence, surveillance, and research data, including user-friendly interfaces for data retrieval, visualization and comparative genomics analysis, together with personal log in-protected 'workbench' spaces for saving data sets and analysis results. IRD integrates genomic, proteomic, immune epitope, and surveillance data from a variety of sources, including public databases, computational algorithms, external research groups, and the scientific literature.<h4>Results</h4>To demonstrate the utility of the data and analysis tools available in IRD, two scientific use cases are presented. A comparison of hemagglutinin sequence conservation and epitope coverage information revealed highly conserved protein regions that can be recognized by the human adaptive immune system as possible targets for inducing cross-protective immunity. Phylogenetic and geospatial analysis of sequences from wild bird surveillance samples revealed a possible evolutionary connection between influenza virus from Delaware Bay shorebirds and Alberta ducks.<h4>Conclusions</h4>The IRD provides a wealth of integrated data and information about influenza virus to support research of the genetic determinants dictating virus pathogenicity, host range restriction and transmission, and to facilitate development of vaccines, diagnostics, and therapeutics.",False,True,5.0,0.7025819,influenza research database,,22.99643993,ok,ird | influenza research database,,ird,spacy+v2,0.99643993,Influenza research database,True,True,True,,http://www.fludb.org,http://www.fludb.org,True,"...>Design</h4>The Influenza Research Database (IRD, http://www.fludb.org) is a free, open, publicly-accessible resource fu...",2,False,False,False
"21646343, 27098042, 27098042",g:Profiler--a web server for functional interpretation of gene lists (2011 update).,"Functional interpretation of candidate gene lists is an essential task in modern biomedical research. Here, we present the 2011 update of g:Profiler (http://biit.cs.ut.ee/gprofiler/), a popular collection of web tools for functional analysis. g:GOSt and g:Cocoa combine comprehensive methods for interpreting gene lists, ordered lists and list collections in the context of biomedical ontologies, pathways, transcription factor and microRNA regulatory motifs and protein-protein interactions. Additional tools, namely the biomolecule ID mapping service (g:Convert), gene expression similarity searcher (g:Sorter) and gene homology searcher (g:Orth) provide numerous ways for further analysis and interpretation. In this update, we have implemented several features of interest to the community: (i) functional analysis of single nucleotide polymorphisms and other DNA polymorphisms is supported by chromosomal queries; (ii) network analysis identifies enriched protein-protein interaction modules in gene lists; (iii) functional analysis covers human disease genes; and (iv) improved statistics and filtering provide more concise results. g:Profiler is a regularly updated resource that is available for a wide range of species, including mammals, plants, fungi and insects.",True,False,4.0,0.7186402,g:profiler,,22.99642926,ok,,ensembl | g:profiler--a | g:profiler-a,,v2,0.9988917,g,True,False,False,,http://biit.cs.ut.ee/gprofiler/,http://biit.cs.ut.ee/gprofiler/,True,".... Here, we present the 2011 update of g:Profiler (http://biit.cs.ut.ee/gprofiler/), a popular collection of web tools for functiona...",2,False,False,False
"22080548, 25404130, 26615190, 30395270, 23203883, 24165880, 24214989, 26861660, 27899630, 28386528, 31722421",Major submissions tool developments at the European Nucleotide Archive.,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena), Europe's primary nucleotide sequence resource, captures and presents globally comprehensive nucleic acid sequence and associated information. Covering the spectrum from raw data to assembled and functionally annotated genomes, the ENA has witnessed a dramatic growth resulting from advances in sequencing technology and ever broadening application of the methodology. During 2011, we have continued to operate and extend the broad range of ENA services. In particular, we have released major new functionality in our interactive web submission system, Webin, through developments in template-based submissions for annotated sequences and support for raw next-generation sequence read submissions.",False,True,4.0,0.69317204,european nucleotide archive,,22.99201834,ok,ena | european nucleotide archive,nucleotide archive,ena,spacy+v2,0.99201834,,True,False,False,,http://www.ebi.ac.uk/ena,http://www.ebi.ac.uk/ena,True,"The European Nucleotide Archive (ENA; http://www.ebi.ac.uk/ena), Europe's primary nucleotide sequence resource,...",2,False,False,False
"24265223, 24318814",EMAGE mouse embryo spatial gene expression database: 2014 update.,"EMAGE (http://www.emouseatlas.org/emage/) is a freely available database of in situ gene expression patterns that allows users to perform online queries of mouse developmental gene expression. EMAGE is unique in providing both text-based descriptions of gene expression plus spatial maps of gene expression patterns. This mapping allows spatial queries to be accomplished alongside more traditional text-based queries. Here, we describe our recent progress in spatial mapping and data integration. EMAGE has developed a method of spatially mapping 3D embryo images captured using optical projection tomography, and through the use of an IIP3D viewer allows users to view arbitrary sections of raw and mapped 3D image data in the context of a web browser. EMAGE now includes enhancer data, and we have spatially mapped images from a comprehensive screen of transgenic reporter mice that detail the expression of mouse non-coding genomic DNA fragments with enhancer activity. We have integrated the eMouseAtlas anatomical atlas and the EMAGE database so that a user of the atlas can query the EMAGE database easily. In addition, we have extended the atlas framework to enable EMAGE to spatially cross-index EMBRYS whole mount in situ hybridization data. We additionally report on recent developments to the EMAGE web interface, including new query and analysis capabilities.",True,False,6.0,0.7042525,,emage,22.9919547,ok,,electronic mouse atlas of | mouse embryo spatial gene expression database | electronic mouse atlas of gene expression | emouseatlas,embrys,v2,0.9966444,EMAGE mouse embryo spatial gene expression database,True,False,False,,http://www.emouseatlas.org/emage/,http://www.emouseatlas.org/emage/,True,EMAGE (http://www.emouseatlas.org/emage/) is a freely available database of in situ gene e...,2,False,False,False
