pmid,title,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,best_url_is_live,best_url_status,urls_count
32542364,GTDB: an integrated resource for glycosyltransferase sequences and annotations.,https://www.biosino.org/gtdb/,73.0,True,gtdb,False,404.0,33
31032842,The MACADAM database: a MetAboliC pAthways DAtabase for Microbial taxonomic groups for mining potential metabolic capacities of archaeal and bacterial taxonomic groups.,http://macadam.toulouse.inra.fr,50.0,True,macadam,False,,6
22139914,MOPED: Model Organism Protein Expression Database.,http://moped.proteinspire.org,63.0,True,"moped, protein",False,,1
26504853,FluKB: A Knowledge-Based System for Influenza Vaccine Target Discovery and Analysis of the Immunological Properties of Influenza Viruses.,http://research4.dfci.harvard.edu/cvc/flukb/,65.0,True,flukb,False,,2
26882984,RhesusBase PopGateway: Genome-Wide Population Genetics Atlas in Rhesus Macaque.,http://www.rhesusbase.org/popGateway,55.0,True,"rhesusbase, popgateway, rhesus",False,,4
23164068,Huvariome: a web server resource of whole genome next-generation sequencing allelic frequencies to aid in pathological candidate gene selection.,http://huvariome.erasmusmc.nl,50.0,True,huvariome,False,,10
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,https://lfz.corefacility.ca/superphy/spfy/,60.0,True,spfy,False,,15
33066523,circ2GO: A Database Linking Circular RNAs to Gene Function.,https://circ2GO.dkfz.de,60.0,True,circ2go,False,,4
31169290,ResMarkerDB: a database of biomarkers of response to antibody therapy in breast and colorectal cancer.,http://www.resmarkerdb.org,76.0,True,resmarkerdb,False,,4
34445647,ExpressHeart: Web Portal to Visualize Transcriptome Profiles of Non-Cardiomyocyte Cells.,http://shiny.bios.unc.edu/expressheart/,63.0,True,expressheart,False,,1
32024829,ProtCID: a data resource for structural information on protein interactions.,http://dunbrack2.fccc.edu/ProtCiD/IPdbfam/PfamLigands.aspx?Ligand=HEM,73.0,True,protcid,False,,68
29564396,A Reference Viral Database (RVDB) To Enhance Bioinformatics Analysis of High-Throughput Sequencing for Novel Virus Detection.,https://hive.biochemistry.gwu.edu/rvdb,63.0,True,rvdb,False,,9
34206969,PhaLP: A Database for the Study of Phage Lytic Proteins and Their Evolution.,https://www.phalp.org/database,63.0,True,"database, phalp",False,,10
30722041,The radish genome database (RadishGD): an integrated information resource for radish genomics.,http://radish-genome.org,63.0,True,"radish, genome",False,,10
22408426,Aggregating data for computational toxicology applications: The U.S. Environmental Protection Agency (EPA) Aggregated Computational Toxicology Resource (ACToR) System.,http://actor.epa.gov/actor/faces/ToxCastDB/Home.jsp,73.0,True,"epa, actor",False,,18
26228432,"""OCDB: a database collecting genes, miRNAs and drugs for obsessive-compulsive disorder.""",http://alpha.dmi.unict.it/ocdb/,58.0,True,ocdb,False,,2
26425431,NanoE-Tox: New and in-depth database concerning ecotoxicity of nanomaterials.,http://www.toxnet.nlm.nih.gov/newtoxnet/hsdb.htm,73.0,True,tox,False,,7
32353048,Nutrimedia: A novel web-based resource for the general public that evaluates the veracity of nutrition claims using the GRADE approach.,https://bestpractice.bmj.com/info/us/toolkit/learn-ebm/what-is-grade/,58.0,True,grade,False,404.0,19
30256987,AGD: Aneurysm Gene Database.,http://www.ncbi.nih.gov/gene,63.0,True,gene,False,,9
26297754,The INDEPTH Data Repository: An International Resource for Longitudinal Population and Health Data From Health and Demographic Surveillance Systems.,http://www.indepth-ishare.org,55.0,True,indepth,False,,8
29669592,GGDonto ontology as a knowledge-base for genetic diseases and disorders of glycan metabolism and their causative genes.,http://jcggdb.jp/rdf/diseases/ggdonto-schema%23,61.0,True,ggdonto,False,404.0,41
