pmid,title,has_resource_url,resource_url
26496191,ARK: Aggregation of Reads by K-Means for Estimation of Bacterial Community Composition.,True,http://www.ee.kth.se/ctsoftware
28261261,The Pancreatic Islet Regulome Browser.,False,
30481262,PhastWeb: a web interface for evolutionary conservation scoring of multiple sequence alignments using phastCons and phyloP.,True,http://compgen.cshl.edu/phastweb/
27977166,xMSannotator: An R Package for Network-Based Annotation of High-Resolution Metabolomics Data.,False,
25547877,JRC GMO-Matrix: a web application to support Genetically Modified Organisms detection strategies.,True,http://gmo-crl.jrc.ec.europa.eu/jrcgmomatrix/
32349659,P finder: genomic and metagenomic annotation of RNase P RNA gene (rnpB).,False,
29373760,Automated annotation of mobile antibiotic resistance in Gram-negative bacteria: the Multiple Antibiotic Resistance Annotator (MARA) and database.,True,http://mara.spokade.com
30357313,Clustermatch: discovering hidden relations in highly diverse kinds of qualitative and quantitative data without standardization.,True,http://sinc.unl.edu.ar/web-demo/clustermatch/
29134625,The Pharmacogene Variation (PharmVar) Consortium: Incorporation of the Human Cytochrome P450 (CYP) Allele Nomenclature Database.,False,
23588509,The Medical Imaging Interaction Toolkit: challenges and advances : 10 years of open-source development.,False,
34554823,My Cancer Genome: Coevolution of Precision Oncology and a Molecular Oncology Knowledgebase.,False,
21762169,Development of an aquatic pathogen database (AquaPathogen X) and its utilization in tracking emerging fish virus pathogens in North America.,True,http://wfrc.usgs.gov
33926379,GPrimer: a fast GPU-based pipeline for primer design for qPCR experiments.,False,
24864230,Syn-lethality: an integrative knowledge base of synthetic lethality towards discovery of selective anticancer therapies.,False,
22815738,Gene Expression Commons: an open platform for absolute gene expression profiling.,True,https://gexc.stanford.edu/
31940372,Wattpad as a resource for literary studies. Quantitative and qualitative examples of the importance of digital social reading and readers' comments in the margins.,False,
30340080,C3: An R package for cross-species compendium-based cell-type identification.,False,
22730434,gSearch: a fast and flexible general search tool for whole-genome sequencing.,True,http://ml.ssu.ac.kr/gSearch
34252949,CentromereArchitect: inference and analysis of the architecture of centromeres.,False,
30407485,Whisper: read sorting allows robust mapping of DNA sequencing data.,True,http://sun.aei.polsl.pl/REFRESH/Whisper/
24939151,Literome: PubMed-scale genomic knowledge base in the cloud.,True,literome.azurewebsites.net
30059974,DiscoverSL: an R package for multi-omic data driven prediction of synthetic lethality in cancers.,False,
22871112,PKMiner: a database for exploring type II polyketide synthases.,True,http://pks.kaist.ac.kr/pkminer
22962464,SANS: high-throughput retrieval of protein sequences allowing 50% mismatches.,True,http://ekhidna.biocenter.helsinki.fi/downloads/sans
27573007,The ROC Toolbox: A toolbox for analyzing receiver-operating characteristics derived from confidence ratings.,False,
31964894,"The Chieti Affective Action Videos database, a resource for the study of emotions in psychology.",False,
27153594,HLaffy: estimating peptide affinities for Class-1 HLA molecules by learning position-specific pair potentials.,True,http://proline.biochem.iisc.ernet.in/HLaffy
25640437,Practical aspects of the cellular force inference toolkit (CellFIT).,False,
29340616,PyChimera: use UCSF Chimera modules in any Python 2.7 project.,False,
31430292,Hidden bias in the DUD-E dataset leads to misleading performance of deep learning in structure-based virtual screening.,False,
24167507,MASCP gator: an overview of the Arabidopsis proteomic aggregation portal.,True,http://gator.masc-proteomics.org/
31642678,Virtual Excited State Reference for the Discovery of Electronic Materials Database: An Open-Access Resource for Ground and Excited State Properties of Organic Molecules.,True,http://www.verdedb.org
32822005,"Neuroimaging PheWAS (Phenome-Wide Association Study): A Free Cloud-Computing Platform for Big-Data, Brain-Wide Imaging Association Studies.",False,
34294731,"resistancebank.org, an open-access repository for surveys of antimicrobial resistance in animals.",False,
31228159,Networking in Biology: The Hybrid Rat Diversity Panel.,True,http://phenogen.org
25512690,SNPAAMapperT2K: A genome-wide SNP downstream analysis and annotation pipeline for species annotated with NCBI.tbl data files.,True,http://isu.indstate.edu/ybai2/SNPAAMapperT2K
30844057,Bacterial Feature Finder (BaFF)-a system for extracting features overrepresented in sets of prokaryotic organisms.,True,http://csbg.cnb.csic.es/BaFF
21697123,In-depth annotation of SNPs arising from resequencing projects using NGS-SNP.,True,http://stothard.afns.ualberta.ca/downloads/NGS-SNP/
26509288,ProBiS-CHARMMing: Web Interface for Prediction and Optimization of Ligands in Protein Binding Sites.,True,http://www.charmming.org
33808985,"The mwtab Python Library for RESTful Access and Enhanced Quality Control, Deposition, and Curation of the Metabolomics Workbench Data Repository.",False,
30764761,MultiDomainBenchmark: a multi-domain query and subject database suite.,True,http://csc.columbusstate.edu/carroll/MDB/
33035207,Genome Complexity Browser: Visualization and quantification of genome variability.,False,
29069330,DISC: DISulfide linkage Characterization from tandem mass spectra.,True,http://www.csd.uwo.ca/yliu766/
32232439,Plant 3D (P3D): a plant phenotyping toolkit for 3D point clouds.,False,
30346483,methylGSA: a Bioconductor package and Shiny app for DNA methylation data length bias adjustment in gene set testing.,True,https://bioconductor.org/packages/methylGSA
34538385,National level E-Resource Centre for Tobacco Control (E-RCTC): One stop solution to information on tobacco control in India.,False,
34019098,Semi-supervised peak calling with SPAN and JBR genome browser.,True,https://research.jetbrains.org/groups/biolabs/tools/span-peak-analyzer
30951672,exRNA Atlas Analysis Reveals Distinct Extracellular RNA Cargo Types and Their Carriers Present across Human Biofluids.,True,https://exrna-atlas.org
28451968,GHOSTX: A Fast Sequence Homology Search Tool for Functional Annotation of Metagenomic Data.,False,
26072509,IgRepertoireConstructor: a novel algorithm for antibody repertoire construction and immunoproteogenomics analysis.,True,http://bioinf.spbau.ru/igtools
21427194,ExpEdit: a webserver to explore human RNA editing in RNA-Seq experiments.,True,http://www.caspur.it/ExpEdit/
27894340,xHMMER3x2: Utilizing HMMER3's speed and HMMER2's sensitivity and specificity in the glocal alignment mode for improved large-scale protein domain annotation.,True,http://xhmmer3x2.bii.a-star.edu.sg/
32618995,"Epiviz File Server: Query, transform and interactively explore data from indexed genomic files.",True,http://epivizfileserver.rtfd.io
22916228,The PLOS ONE synthetic biology collection: six years and counting.,True,http://www.ploscollections.org/synbio
30010789,pLoc_bal-mAnimal: predict subcellular localization of animal proteins by balancing training dataset and PseAAC.,True,http://www.jci-bioinfo.cn/pLoc_bal-mAnimal/
21216774,The Physiome Model Repository 2.,True,http://www.cellml.org/tools/pmr/
25086704,Integrating biological pathways and genomic profiles with ChiBE 2.,False,
24772218,Quantitative Imaging Network: Data Sharing and Competitive AlgorithmValidation Leveraging The Cancer Imaging Archive.,False,
26526709,FERN Ethnomedicinal Plant Database: Exploring Fern Ethnomedicinal Plants Knowledge for Computational Drug Discovery.,False,
