"pmid","title","has_url","is_false_positive","confidence","reason","database_name","long_database_name","chunk","already_seen","in_baseline"
"""24163257"," 30335138, 25939429, 27899677, 28365740"",The mouse Gene Expression Database (GXD): 2014 update.","True","N","high","Database keyword in title","GXD","Gene Expression Database","1","N","N"
"""21063943"," 23203882, 22040741, 22434838, 25904633, 26527722, 30395289"",""PRIDE and """"Database on Demand"""" as valuable tools for computational proteomics.""","True","N","high","Database keyword in title","PRIDE","PRIDE","1","N","N"
"""22075990"," 25348401, 30407599, 33231642, 27899570, 29092072"",The Mouse Genome Database (MGD): comprehensive resource for genetics and genomics of the laboratory mouse.","True","N","high","Database keyword in title","MGD","Mouse Genome Database","1","N","N"
"""22103613"," 29474005, 23824865, 34387941"",From pharmacogenomic knowledge acquisition to clinical applications: the PharmGKB as a clinical pharmacogenomic biomarker resource.","True","N","high","KB suffix + knowledge base","PharmGKB","Pharmacogenomics Knowledgebase","1","N","N"
"""23180793"," 25048120, 25414341, 26826444, 29858800, 31641782, 31667505, 27899604"",IPD--the Immuno Polymorphism Database.","True","N","high","Database keyword in title","IPD","Immuno Polymorphism Database","1","N","N"
"""25542617"," 26919060"",""Mitochondrial Disease Sequence Data Resource (MSeqDR): a global grass-roots consortium to facilitate deposition, curation, annotation, and integrated analysis of genomic data for the mitochondrial disease clinical and research communities.""","True","N","high","Repository/archive keyword in title","MSeqDR","Mitochondrial Disease Sequence Data Resource","1","N","N"
"""24931982"," 25428361"",GRASP: analysis of genotype-phenotype results from 1390 genome-wide association studies and corresponding open access database.","True","N","high","Database keyword in title","GRASP","Genome-Wide Repository of Associations Between SNPs and Phenotypes","1","N","N"
"""26432828"," 26519406, 30407532"",""MaizeGDB update: new tools, data and interface for the maize model organism database.""","True","N","high","Database keyword in title","MaizeGDB","Maize Genetics and Genomics Database","1","N","N"
"""26527727"," 26980513, 26990993, 29126249, 31713622"",ENCODE data at the ENCODE portal.","True","N","medium","Repository keyword in title","ENCODE","Encyclopedia of DNA Elements","1","N","N"
"""26673716"," 33125078, 30357350"",The Pfam protein families database: towards a more sustainable future.","True","N","high","Database keyword in title","Pfam","Protein Families Database","1","N","N"
"""21447597"," 22102590, 23161681, 24253303, 27899622, 30395287, 33237286, 25348405, 26519399, 28025334"",UniProt Knowledgebase: a hub of integrated protein data.","True","N","high","KB suffix + knowledge base","UniProt","Universal Protein Knowledgebase","1","N","N"
"""22064855"," 27899612"",YMDB: the Yeast Metabolome Database.","True","N","high","DB suffix + database keyword","YMDB","Yeast Metabolome Database","1","N","N"
"""28431131"," 31612957"",DNAproDB: an interactive tool for structural analysis of DNA-protein complexes.","True","N","high","DB suffix + database keyword","DNAproDB","DNA-Protein Database","1","N","N"
"""23155064"," 29077942"",MetalPDB: a database of metal sites in biological macromolecular structures.","True","N","high","DB suffix + database keyword","MetalPDB","Metal Protein Data Bank","1","N","N"
"""22554788"," 23160412, 24234449, 31960022, 25398896, 26935103"",Directly e-mailing authors of newly published papers encourages community curation.","True","N","medium","Database keyword in title","FlyBase","FlyBase","1","N","N"
"""22962312"," 24150940, 26220709"",""DECIPHER: web-based, community resource for clinical interpretation of rare variants in developmental disorders.""","True","N","medium","Repository keyword in title","DECIPHER","DatabasE of genomiC varIation and Phenotype in Humans using Ensembl Resources","1","N","N"
"""24225323"," 27899627, 28968762, 29277864, 31667520"",""PATRIC, the bacterial bioinformatics database and analysis resource.""","True","N","high","Database keyword in title","PATRIC","Pathosystems Resource Integration Center","1","N","N"
