"pmid","title","has_url","is_false_positive","confidence","reason","database_name","long_database_name","chunk","already_seen","in_baseline"
"""32393257"," 32393257"",MyoMiner: explore gene co-expression in normal and pathological muscle.","True","Y","medium","Tool for exploration not a database","MyoMiner","MyoMiner","1","N","N"
"""21646335"," 22139938"",""The Gene3D Web Services: a platform for identifying, annotating and comparing structural domains in protein sequences.""","True","Y","medium","Integration platform/tool not a database","Gene3D","Gene3D","1","N","N"
"""21646343"," 27098042, 27098042"",g:Profiler--a web server for functional interpretation of gene lists (2011 update).","True","Y","medium","Tool for interpretation not a database","g:Profiler","g:Profiler","1","N","N"
"""22651224"," 23616008"",""CORNET 2.0: integrating plant coexpression, protein-protein interactions, regulatory interactions, gene associations and functional annotations.""","True","Y","medium","Integration platform/tool not a database","CORNET","CORNET","1","N","N"
"""30926570"," 31294057"",Genome Annotator Light (GAL): A Docker-based package for genome analysis and visualization.","True","Y","medium","Tool for analysis not a database","GAL","Genome Annotator Light","1","N","N"
"""33599248"," 34561023"",bc-GenExMiner 4.5: new mining module computes breast cancer differential gene expression analyses.","True","Y","medium","Tool for analysis not a database","bc-GenExMiner","Breast Cancer Gene Expression Miner","1","N","N"
"""22385986"," 22385986"",CpGPAP: CpG island predictor analysis platform.","True","Y","medium","Tool for prediction not a database","CpGPAP","CpG island Predictor Analysis Platform","1","N","N"
"""29236971"," 29718468"",New algorithms to represent complex pseudoknotted RNA structures in dot-bracket notation.","True","Y","medium","Method for representation not a database","RNApdbee","RNA PDB explorer","1","N","N"
"""23192546"," 23716640, 27081850"",Analysis strategy of protein-protein interaction networks.","True","Y","low","Method for analysis not a database","VisANT","VisANT","1","N","N"
"""21276275"," 24532766"",MEMOSys: Bioinformatics platform for genome-scale metabolic models.","True","Y","medium","Integration platform/tool not a database","MEMOSys","MEMOSys","1","N","N"
"""21471015"," 21471015"",DIME: R-package for identifying differential ChIP-seq based on an ensemble of mixture models.","True","Y","high","Method/algorithm paper not a database","DIME","DIME","1","N","N"
"""23220694"," 26519402"",The plant ontology as a tool for comparative plant anatomy and genomic analyses.","True","Y","medium","Tool for analysis not a database","PO","Plant Ontology","1","N","N"
"""30701323"," 32276847"",Gene co-expression network analysis identifies trait-related modules in Arabidopsis thaliana.","True","Y","medium","Method for analysis not a database","AraNET","Arabidopsis Network","1","N","N"
"""31598630"," 31598630"",Learning from the ligand: using ligand-based features to improve binding affinity prediction.","True","Y","medium","Method for prediction not a database","","","1","N","N"
"""21975939"," 34038028"",Using the PhenX Toolkit to Add Standard Measures to a Study.","True","Y","medium","Tool for study design not a database","PhenX","Phenotype and Exposure Toolkit","1","N","N"
"""22106335"," 23671338, 22140103, 23396323"",Data-driven information retrieval in heterogeneous collections of transcriptomics data links SIM2s to malignant pleural mesothelioma.","True","Y","medium","Tool for retrieval not a database","REX","RNA Expression","1","N","N"
"""23088274"," 26268340"",Computational tools and resources for metabolism-related property predictions. 2. Application to prediction of half-life time in human liver microsomes.","True","Y","medium","Tool for prediction not a database","","","1","N","N"
"23530693","A systematic comparison of the MetaCyc and KEGG pathway databases.","False","Y","high","Database mentioned but no URL not accessible","","","1","Y","N"
"21269480","Searching the protein structure database for ligand-binding site similarities using CPASS v.2.","True","Y","medium","Tool for searching not a database","CPASS","CPASS","1","Y","N"
"""23568467"," 24259431"",Databases and in silico tools for vaccine design.","True","Y","medium","Tool for vaccine design not a database","VIOLIN","Vaccine Investigation and Online Information Network","1","N","N"
"30105017","ASAP - A Webserver for Immunoglobulin-Sequencing Analysis Pipeline.","True","Y","medium","Tool for analysis not a database","ASAP","Automated Single Analysis Pipeline","1","Y","N"
"23452691","search GenBank: interactive orchestration and ad-hoc choreography of Web services in the exploration of the biomedical resources of the National Center For Biotechnology Information.","True","Y","medium","Tool for searching not a database","searchGenBank","search GenBank","1","Y","N"
"23193288","CFGP 2.0: a versatile web-based platform for supporting comparative and evolutionary genomics of fungi and Oomycetes.","True","Y","medium","Integration platform/tool not a database","CFGP","Comparative Fungal Genomics Platform","1","Y","N"
"""21672958"," 23737449, 25948579"",""antiSMASH: rapid identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genome sequences.""","True","Y","medium","Tool for identification not a database","antiSMASH","antibiotics and Secondary Metabolite Analysis SHell","1","N","N"
"25118648","PDB explorer -- a web based algorithm for protein annotation viewer and 3D visualization.","True","Y","medium","Tool for visualization not a database","PDB Explorer","Protein Data Bank Explorer","1","Y","N"
"""23586463"," 27141961"",Enrichr: interactive and collaborative HTML5 gene list enrichment analysis tool.","True","Y","medium","Tool for analysis not a database","Enrichr","Enrichr","1","N","N"
"29155944","Molecular Interaction Search Tool (MIST): an integrated resource for mining gene and protein interaction data.","True","Y","medium","Tool for searching not a database","MIST","Molecular Interaction Search Tool","1","Y","N"
"32395768","RESTful API for iPTMnet: a resource for protein post-translational modification network discovery.","False","Y","medium","Tool for network discovery not a database","iPTMnet","integrated Post-Translational Modification Network","1","Y","N"
"29733404","SPAR: small RNA-seq portal for analysis of sequencing experiments.","True","Y","medium","Tool for analysis not a database","SPAR","Small RNA-seq Portal for Analysis of sequencing expeRiments","1","Y","N"
"30535146","Comparative Analysis of Oomycete Genome Evolution Using the Oomycete Gene Order Browser (OGOB).","True","Y","medium","Tool for analysis not a database","OGOB","Oomycete Gene Order Browser","1","Y","N"
"23039964","GeneFriends: an online co-expression analysis tool to identify novel gene targets for aging and complex diseases.","True","Y","medium","Tool for analysis not a database","GeneFriends","Gene Friends","1","Y","N"
"26072489","PAGER: constructing PAGs and new PAG-PAG relationships for network biology.","True","Y","medium","Tool for construction not a database","PAGER","Pathway Analysis through Gene Expression Regulation","1","Y","N"
"22701464","""pep2pro: the high-throughput proteomics data processing, analysis, and visualization tool.""","True","Y","medium","Tool for processing not a database","pep2pro","peptide to protein","1","Y","N"
"22013167","mirEX: a platform for comparative exploration of plant pri-miRNA expression data.","True","Y","medium","Integration platform/tool not a database","mirEX","miRNA Expression","1","Y","N"
"22102591","""IBIS (Inferred Biomolecular Interaction Server) reports, predicts and integrates multiple types of conserved interactions for proteins.""","True","Y","medium","Tool for prediction not a database","IBIS","Inferred Biomolecular Interaction Server","1","Y","N"
"23875683","Cloud-based uniform ChIP-Seq processing tools for modENCODE and ENCODE.","True","Y","medium","Tool for processing not a database","","","1","Y","N"
"32191543","CIViCpy: A Python Software Development and Analysis Toolkit for the CIViC Knowledgebase.","False","Y","medium","Tool for analysis not a database","CIViC","Clinical Interpretation of Variants in Cancer","1","Y","N"
"22761927","HEMD: an integrated tool of human epigenetic enzymes and chemical modulators for therapeutics.","True","Y","medium","Tool for therapeutics not a database","HEMD","Human Epigenetic Modifying Drug","1","Y","N"
"22140115","""IPAVS: Integrated Pathway Resources, Analysis and Visualization System.""","True","Y","medium","Tool for analysis not a database","IPAVS","Integrated Pathway Resources Analysis and Visualization System","1","Y","N"
"34619810","Using ConSurf to Detect Functionally Important Regions in RNA.","True","Y","medium","Tool for detection not a database","ConSurf","ConSurf","1","Y","N"
"23203867","NetwoRx: connecting drugs to networks and phenotypes in Saccharomyces cerevisiae.","True","Y","medium","Tool for connecting not a database","NetwoRx","Network Rx","1","Y","N"
"""22544707"," 29757393, 32496546"",SNPnexus: a web server for functional annotation of novel and publicly known genetic variants (2012 update).","True","Y","medium","Tool for annotation not a database","SNPnexus","SNP nexus","1","N","N"
"29136207","LinkedOmics: analyzing multi-omics data within and across 32 cancer types.","True","Y","medium","Tool for analysis not a database","LinkedOmics","Linked Omics","1","Y","N"
