"pmid","title","has_url","is_false_positive","confidence","reason","consol_agent_agree","consol_is_fp","consol_reason"
"24163257, 30335138, 25939429, 27899677, 28365740","The mouse Gene Expression Database (GXD): 2014 update.","True","N","high","Title explicitly contains 'Database' and describes a data resource.","Y","",""
"21063943, 23203882, 22040741, 22434838, 25904633, 26527722, 30395289","PRIDE and ""Database on Demand"" as valuable tools for computational proteomics.","True","N","high","Title explicitly contains 'Database' and describes data resources.","Y","",""
"22075990, 25348401, 30407599, 33231642, 27899570, 29092072","The Mouse Genome Database (MGD): comprehensive resource for genetics and genomics of the laboratory mouse.","True","N","high","Title explicitly contains 'Database' and 'resource' for genomic data.","Y","",""
"27261064, 27987171, 29069403","A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.","True","N","high","Title indicates a data collection resource.","Y","",""
"22103613, 29474005, 23824865, 34387941","From pharmacogenomic knowledge acquisition to clinical applications: the PharmGKB as a clinical pharmacogenomic biomarker resource.","True","N","high","Title describes a knowledge resource/database.","Y","",""
"23180793, 25048120, 25414341, 26826444, 29858800, 31641782, 31667505, 27899604","IPD--the Immuno Polymorphism Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"25542617, 26919060","Mitochondrial Disease Sequence Data Resource (MSeqDR): a global grass-roots consortium to facilitate deposition, curation, annotation, and integrated analysis of genomic data for the mitochondrial disease clinical and research communities.","True","N","high","Title explicitly contains 'Data Resource' for genomic data.","Y","",""
"24931982, 25428361","GRASP: analysis of genotype-phenotype results from 1390 genome-wide association studies and corresponding open access database.","True","N","high","Title explicitly contains 'database' and describes a data resource.","Y","",""
"26432828, 26519406, 30407532","MaizeGDB update: new tools, data and interface for the maize model organism database.","True","N","high","Title explicitly contains 'database' and describes data resource.","Y","",""
"26527727, 26980513, 26990993, 29126249, 31713622","ENCODE data at the ENCODE portal.","True","N","high","Title describes a data portal resource.","Y","",""
"26673716, 33125078, 30357350","The Pfam protein families database: towards a more sustainable future.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21447597, 22102590, 23161681, 24253303, 27899622, 30395287, 33237286, 25348405, 26519399, 28025334","UniProt Knowledgebase: a hub of integrated protein data.","True","N","high","Title explicitly contains 'Knowledgebase' and describes protein data.","Y","",""
"22064855, 27899612","YMDB: the Yeast Metabolome Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"28431131, 31612957","DNAproDB: an interactive tool for structural analysis of DNA-protein complexes.","True","N","medium","Title contains database suffix 'DB' but also mentions 'tool for'; database nature indicated by naming.","N","Y","Title contains methodology pattern ('tool for', 'method for', etc.)"
"23155064, 29077942","MetalPDB: a database of metal sites in biological macromolecular structures.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22554788, 23160412, 24234449, 31960022, 25398896, 26935103","Directly e-mailing authors of newly published papers encourages community curation.","True","N","high","Describes FlyBase curation practices; URL indicates database resource.","Y","",""
"22962312, 24150940, 26220709","DECIPHER: web-based, community resource for clinical interpretation of rare variants in developmental disorders.","True","N","high","Title explicitly contains 'resource' for clinical data.","Y","",""
