extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
UMCD,ucla multimodal connectivity database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",UCLA Multimodal Connectivity Database,http://umcd.humanconnectomeproject.org,humanconnectomeproject.org,http://umcd.humanconnectomeproject.org,humanconnectomeproject.org,True,33.0,1.0,HIGH
My Personal Mutanome,mpm,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",My Personal Mutanome,https://mutanome.lerner.ccf.org,ccf.org,http://mutanome.lerner.ccf.org,ccf.org,True,17.0,1.0,HIGH
MBPD,monosaccharide biosynthesis pathways database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Monosaccharide Biosynthesis Pathways Database,http://www.bio.iitb.ac.in/mbpd/,ac.in,http://www.bio.iitb.ac.in/mbpd,ac.in,True,41.0,1.0,HIGH
Poaceae orphan genes database,pogd,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Poaceae orphan genes database,http://bioinfo.ahau.edu.cn/pogd,edu.cn,http://bioinfo.ahau.edu.cn/pogd,edu.cn,True,25.0,1.0,HIGH
Nelumbo Genome Database,ngd,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Nelumbo Genome Database,http://nelumbo.biocloud.net,biocloud.net,http://nelumbo.biocloud.net,biocloud.net,True,20.0,1.0,HIGH
Nanosized Cancer Database,nanosized cancer polymarker biochip project,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.85",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.85",Nanosized Cancer Polymarker Biochip Database,https://serviziweb.ulss12.ve.it/firbabo,ve.it,http://serviziweb.ulss12.ve.it/firbabo,ve.it,True,23.0,1.0,HIGH
TMDB,tea metabolome database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Tea Metabolome Database,http://pcsb.ahau.edu.cn:8080/TCDB/index.jsp,edu.cn:8080,http://pcsb.ahau.edu.cn:8080/TCDB/index.jsp,edu.cn:8080,True,19.0,1.0,HIGH
AECD,antimicrobial enzyme combinations database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.98",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.98",Antimicrobial-Enzyme Combinations Database,https://www.ceb.uminho.pt/aecd,uminho.pt,http://www.ceb.uminho.pt/aecd,uminho.pt,True,38.0,1.0,HIGH
M6A2Target,wer target gene database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.73",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.73",m6A targets database,http://m6a2target.canceromics.org,canceromics.org,http://m6a2target.canceromics.org,canceromics.org,True,18.0,1.0,HIGH
MGFD,the maize gene families database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.93",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.93",maize gene families database,http://mgfd.ahau.edu.cn/,edu.cn,http://mgfd.ahau.edu.cn,edu.cn,True,28.0,1.0,HIGH
