extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
NCIA,ncdr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Non-Covalent Interactions Atlas,http://www.nciatlas.org,nciatlas.org,http://www.jianglab.cn/ncDR,jianglab.cn,False,2.0,0.21,LOW
MAIC,masi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Multi-omics Analysis of Immune-mediated Critical Illness,https://baillielab.net/maic/covid19,baillielab.net,http://www.aiddlab.com/MASI,aiddlab.com,False,2.0,0.47,LOW
PSIMR,psmir,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,PSI:Biology-materials repository,http://psimr.asu.edu,asu.edu,http://www.bio-bigdata.com/Psmir,bio-bigdata.com,False,2.0,0.24,LOW
MMAD,mmpi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mouse Models of Neurological Disorders Portal,http://mmad.nrihub.org,nrihub.org,http://clri.res.in/subramanian/databases/mmpi/index.php,res.in,False,2.0,0.11,LOW
miRDeathDB,mirpathdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,miRDeathDB,,,http://mpd.bioinf.uni-sb.de,uni-sb.de,False,2.0,0.0,LOW
MSIS,msdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mycobacterium hsp65 Database,http://msis.mycobacteria.info,mycobacteria.info,http://tdb.ccmb.res.in/msdb,res.in,False,2.0,0.24,LOW
LegumeGRP,legumeip,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Legume Genome Resources Platform,http://www.legumegrp.org,legumegrp.org,http://plantgrn.noble.org/LegumeIP,noble.org,False,2.0,0.35,LOW
PISO,pina,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Plant ISOform sequencing database,,,http://cbg.garvan.unsw.edu.au/pina,edu.au,False,2.0,0.0,LOW
IMACS,impc,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Insertion Marker Collection of Sz. japonicus,,,http://www.mousephenotype.org,mousephenotype.org,False,2.0,0.0,LOW
CroCo,credo,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Cross-species Conservation of context-specific networks,http://services.bio.ifi.lmu.de/croco-web,lmu.de,http://www-cryst.bioc.cam.ac.uk/credo,ac.uk,False,2.0,0.38,LOW
COMET,codex,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Core Outcome Measures in Effectiveness Trials,http://www.comet-initiative.org/studies/details/265?result=true,comet-initiative.org,http://codex.stemcells.cam.ac.uk,ac.uk,False,2.0,0.31,LOW
GlyCosmos,glycomob,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,GlyCosmos Portal,,,http://www.glycomob.org,glycomob.org,False,2.0,0.0,LOW
GenoLIB,genelab,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Genomic Library Database,,,http://genelab.nasa.gov,nasa.gov,False,2.0,0.0,LOW
RENIS,repic,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Renal Cell Carcinoma Registry,http://renis.registry.cz,registry.cz,http://repicmod.uchicago.edu/repic,uchicago.edu,False,2.0,0.36,LOW
EUAdb,eul1db,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,COVID-19 Test Database,,,http://euL1db.unice.fr,unice.fr,False,2.0,0.0,LOW
TCLP,tc3a,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,TCLP,http://celllines.tron-mainz.de,tron-mainz.de,http://tc3a.org,tc3a.org,False,2.0,0.19,LOW
DADP,dampd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,DADP,,,http://apps.sanbi.ac.za/dampd,ac.za,False,2.0,0.0,LOW
DoCM,dor,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,DoCM,,,http://caps.ncbs.res.in/DOR,res.in,False,2.0,0.0,LOW
M5nr,mnm,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,M5nr,,,"http://minimotifminer.org, http://mnm.engr.uconn.edu","minimotifminer.org, http:",False,2.0,0.0,LOW
TCSBN,tcdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,TCSBN,http://inetmodels.com,inetmodels.com,http://www.tcdb.org,tcdb.org,False,2.0,0.18,LOW
ACOG,acsr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Atlas of Genetics and Cytogenetics in Oncology and Haematology,http://atlasgeneticsoncology.org,atlasgeneticsoncology.org,http://acsr.ucsf.edu,ucsf.edu,False,2.0,0.26,LOW
eelsdb,eendb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Electron Energy-Loss Spectroscopy Database,https://eelsdb.eu/,eelsdb.eu,http://eendb.zfgenetics.org,zfgenetics.org,False,2.0,0.41,LOW
DFVF,dfam,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,DFVF,,,http://dfam.org,dfam.org,False,2.0,0.0,LOW
AtIPD,atmad,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,AtIPD,,,http://www.megabionet.org/atmad,megabionet.org,False,2.0,0.0,LOW
STEC,stab,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Shigatox E. coli Collection,http://shigatox.net/new/,shigatox.net,http://stab.comp-sysbio.org,comp-sysbio.org,False,2.0,0.17,LOW
AuxV,aura,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,AuxV,,,http://aura.science.unitn.it,unitn.it,False,2.0,0.0,LOW
BIII,bind,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Bioimage Informatics Index,http://biii.eu/,biii.eu,http://download.baderlab.org/BINDTranslation,baderlab.org,False,2.0,0.14,LOW
CLIPS,clipdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Clinical Trial Protocol Retrieval System,https://corus.kaist.edu/clips,kaist.edu,http://clipdb.ncrnalab.org,ncrnalab.org,False,2.0,0.2,LOW
MRDP,mridb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Modern Research Data Portal,https://docs.globus.org/mrdp,globus.org,http://www3.imperial.ac.uk/bioinfsupport/resources/software/mridb,ac.uk,False,2.0,0.23,LOW
PsORF,psrn,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Plant Small ORF Database,,,http://syslab5.nchu.edu.tw/PSRN,edu.tw,False,2.0,0.0,LOW
GID,giga,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Generalized Invariom Database,,,http://giga.nova.edu,nova.edu,False,2.0,0.0,LOW
CPIC,cpgr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Clinical Pharmacogenetics Implementation Consortium,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/,cpicpgx.org,http://cpgr.plantbiology.msu.edu,msu.edu,False,2.0,0.18,LOW
RGPDB,rgd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Root-associated Genes and Promoters Database,,,http://rgd.mcw.edu,mcw.edu,False,2.0,0.0,LOW
BraMRS,brains,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Brassica rapa microRNA System,http://bramrs.rna.kr,rna.kr,"http://www.brainsimagebank.ac.uk, http://dicom.nema.org","ac.uk, http:",False,2.0,0.32,LOW
CIDO,cider,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,CIDO,,,http://mips.helmholtz-muenchen.de/cider,helmholtz-muenchen.de,False,2.0,0.0,LOW
NAPDI,naps,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Natural Product-Drug Interaction Repository,http://www.napdi.org,napdi.org,http://naps.nencki.gov.pl,gov.pl,False,2.0,0.44,LOW
SIB,sidd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Swiss Institute of Bioinformatics,http://www.isb-sib.ch,isb-sib.ch,http://mlg.hit.edu.cn/SIDD,edu.cn,False,2.0,0.21,LOW
VirusMap,virusms,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Influenza A Virus Visualization Database,,,http://virusms.erc.monash.edu,monash.edu,False,2.0,0.0,LOW
BFDb,bfgr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,BioFragment Database,,,http://bfgr.plantbiology.msu.edu,msu.edu,False,2.0,0.0,LOW
PH²,phin,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,dermoscopic image database,,,http://cadd.pharmacy.nankai.edu.cn/phin,edu.cn,False,2.0,0.0,LOW
PlantNE,plantrna,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,plant biomass database,,,http://plantrna.ibmp.cnrs.fr,cnrs.fr,False,2.0,0.0,LOW
NiDB,nifh,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Neuroinformatics Database,,,http://www.css.cornell.edu/faculty/buckley/nifh.htm,cornell.edu,False,2.0,0.0,LOW
PAIN,pass,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,brain-imaging repository for pain disorders,,,http://musaelab.ca/pass-database,musaelab.ca,False,2.0,0.0,LOW
DRUMS,dramp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Disk Repository with Update Management and Select,,,http://dramp.cpu-bioinfor.org,cpu-bioinfor.org,False,2.0,0.0,LOW
RDmap,rdp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Rare Disease Map,http://rdmap.nbscn.org,nbscn.org,http://rdp.cme.msu.edu,msu.edu,False,2.0,0.4,LOW
ComPIL,comppi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Comprehensive Metaproteomics Database,,,http://ComPPI.LinkGroup.hu,linkgroup.hu,False,2.0,0.0,LOW
ToxoDB,toxindb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Toxoplasma Genomics Database,,,http://www.rxnfinder.org/toxindb,rxnfinder.org,False,2.0,0.0,LOW
JCGGDB,jcdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Japan Glycobiology Database,,,http://jcdb.xtbg.ac.cn,ac.cn,False,2.0,0.0,LOW
CpGDB,cpgr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Chloroplast Genomes Database,,,http://cpgr.plantbiology.msu.edu,msu.edu,False,2.0,0.0,LOW
RTPDB,rtfadb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Radiotherapy Prognosis Database,,,http://tools.ibg.deu.edu.tr/rtfa,edu.tr,False,2.0,0.0,LOW
MycoDB,mycorrdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mycorrhizal Response Database,,,http://mycorrdb.uohbif.in,uohbif.in,False,2.0,0.0,LOW
