extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
eHOMD,homd,"edit_dist=1, contains, long_sim=0.87",Y,2.0,"Score=2.0: edit_dist=1, contains, long_sim=0.87",Expanded Human Oral Microbiome Database,http://www.ehomd.org,ehomd.org,http://www.sklod.org/ombc,sklod.org,False,1.0,0.52,HIGH
AnnoTree,metaprox,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Annotated Tree Database,http://annotree.uwaterloo.ca,uwaterloo.ca,http://metaprox.uwaterloo.ca,uwaterloo.ca,True,7.0,0.71,HIGH
UMD-DYSF,umd-apc,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Universal Mutation Database Dysferlin,http://www.umd.be/DYSF/,umd.be,http://www.umd.be/APC,umd.be,True,4.0,0.67,HIGH
Phasing Server,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Medical Sequencing Phasing Server,https://phasingserver.stats.ox.ac.uk/,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,14.0,0.42,HIGH
Bio-Analytic Resource,networx,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Bio-Analytic Resource for Plant Biology,http://bar.utoronto.ca,utoronto.ca,http://ophid.utoronto.ca/networx,utoronto.ca,True,17.0,0.6,HIGH
EGFR Mutant Structural Database,crustf,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,EGFR Mutant Structural Database,http://bcc.ee.cityu.edu.hk/data/EGFR.html,edu.hk,http://qinlab.sls.cuhk.edu.hk/CrusTF,edu.hk,True,27.0,0.48,HIGH
PlantPepDB,dbtflc,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Plant Peptide Database,http://www.nipgr.ac.in/PlantPepDB/,ac.in,http://www.vit.ac.in/files/database/Home.php,ac.in,True,9.0,0.36,HIGH
lncRNAKB,lncrnadb,"edit_dist=1, url_path_sim=0.92",Y,2.0,"Score=2.0: edit_dist=1, url_path_sim=0.92",Long Non-coding RNA Knowledgebase,http://www.lncrnakb.org/,lncrnakb.org,http://lncrnadb.org,lncrnadb.org,False,1.0,0.92,HIGH
NAChRDB,channelsdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Nicotinic Acetylcholine Receptor Database,https://crocodile.ncbr.muni.cz/Apps/NAChRDB/,muni.cz,http://ncbr.muni.cz/ChannelsDB,muni.cz,True,7.0,0.59,HIGH
KMD,nabic,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Korean Mutation Database,http://kmd.cdc.go.kr,go.kr,http://nabic.rda.go.kr/DNAchip,go.kr,True,5.0,0.39,HIGH
PKMiner,horse single nucleotide polymorphism and expression database,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,PKMiner Database,http://pks.kaist.ac.kr/pkminer,ac.kr,http://snugenome2.snu.ac.kr/HSDB,ac.kr,True,54.0,0.42,HIGH
Gene Expression Commons,rmdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Gene Expression Commons,https://gexc.stanford.edu/,stanford.edu,http://rmdb.stanford.edu,stanford.edu,True,21.0,0.76,HIGH
ExpEdit,spliceaid-f,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,RNA Editing Explorer,http://www.caspur.it/ExpEdit/,caspur.it,http://www.caspur.it/SpliceAidF,caspur.it,True,9.0,0.65,HIGH
The Lair,mesocosm,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,The Lair RNA-Seq Resource,http://pachterlab.github.io/lair,github.io,http://aliayadi.github.io/MESOCOSM-database,github.io,True,8.0,0.49,HIGH
SpinCouple,pubchemqc,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Spin Coupling NMR Database,http://emar.riken.jp/spincpl,riken.jp,http://pubchemqc.riken.jp,riken.jp,True,8.0,0.56,HIGH
Sex-Linked Cancer,mesocosm,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Sex-Linked Molecular Alterations Database,http://becklab.github.io/SexLinked,github.io,http://aliayadi.github.io/MESOCOSM-database,github.io,True,15.0,0.48,HIGH
Drug Target Ontology,phare-kb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Drug Target Ontology,http://bioportal.bioontology.org/ontologies/DTO,bioontology.org,http://purl.bioontology.org/ontology/PHARE,bioontology.org,True,17.0,0.75,HIGH
Mouse Quantitative Proteomics Knowledgebase,mrmassaydb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Mouse Quantitative Proteomics Knowledgebase,http://mousequapro.proteincentre.com,proteincentre.com,http://mrmassaydb.proteincentre.com,proteincentre.com,True,37.0,0.74,HIGH
Microbiome Search Engine,synbiolgdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Microbiome Search Engine,http://mse.ac.cn,ac.cn,http://bioinformatics.ac.cn/synbiolgdb,ac.cn,True,20.0,0.4,HIGH
IARC TP53 Database,eco,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,IARC TP53 Database,http://p53.iarc.fr,iarc.fr,http://eco.iarc.fr,iarc.fr,True,17.0,0.73,HIGH
