"extracted_name","baseline_name","match_type","is_match","score","reasoning","extracted_long","extracted_url","baseline_url","baseline_long","edit_distance","url_similarity","confidence"
"GXD","gxd","EXACT","Y","10.0","Exact name match","","","","","","",""
"THANATOS","thanatos","EXACT","Y","10.0","Exact name match","","","","","","",""
"MorCVD","morcvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"TISdb","tisdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"PCDDB","pcddb","EXACT","Y","10.0","Exact name match","","","","","","",""
"ProKinO","prokino","EXACT","Y","10.0","Exact name match","","","","","","",""
"CancerTracer","cancertracer","EXACT","Y","10.0","Exact name match","","","","","","",""
"Gene4PD","gene4pd","EXACT","Y","10.0","Exact name match","","","","","","",""
"GenCoNet","genconet","EXACT","Y","10.0","Exact name match","","","","","","",""
"RegTransBase","regtransbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"PPEAO","ppeao","EXACT","Y","10.0","Exact name match","","","","","","",""
"MetaProx","metaprox","EXACT","Y","10.0","Exact name match","","","","","","",""
"MiDAS","midas","EXACT","Y","10.0","Exact name match","","","","","","",""
"ZeBase","zebase","EXACT","Y","10.0","Exact name match","","","","","","",""
"MethSMRT","methsmrt","EXACT","Y","10.0","Exact name match","","","","","","",""
"iMusta4SLC","imusta4slc","EXACT","Y","10.0","Exact name match","","","","","","",""
"NeuroPedia","neuropedia","EXACT","Y","10.0","Exact name match","","","","","","",""
"e23D","e23d","EXACT","Y","10.0","Exact name match","","","","","","",""
"REDIdb","redidb","EXACT","Y","10.0","Exact name match","","","","","","",""
"MiCroKiTS","microkits","EXACT","Y","10.0","Exact name match","","","","","","",""
"RNAimmuno","rnaimmuno","EXACT","Y","10.0","Exact name match","","","","","","",""
"TGED","tged","EXACT","Y","10.0","Exact name match","","","","","","",""
"MRIdb","mridb","EXACT","Y","10.0","Exact name match","","","","","","",""
"HGFDB","hgfdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"crisprSQL","crisprsql","EXACT","Y","10.0","Exact name match","","","","","","",""
"PhaSePro","phasepro","EXACT","Y","10.0","Exact name match","","","","","","",""
"ILDgenDB","ildgendb","EXACT","Y","10.0","Exact name match","","","","","","",""
"Metrabase","metrabase","EXACT","Y","10.0","Exact name match","","","","","","",""
"AAgAtlas","aagatlas","EXACT","Y","10.0","Exact name match","","","","","","",""
"SelenoDB","selenodb","EXACT","Y","10.0","Exact name match","","","","","","",""
"UNaProd","unaprod","EXACT","Y","10.0","Exact name match","","","","","","",""
"CmMDb","cmmdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"mirDNMR","mirdnmr","EXACT","Y","10.0","Exact name match","","","","","","",""
"RedoxDB","redoxdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"RTFAdb","rtfadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"HFBD","hfbd","EXACT","Y","10.0","Exact name match","","","","","","",""
"PhosphoNetworks","phosphonetworks","EXACT","Y","10.0","Exact name match","","","","","","",""
"BTECH","btech","EXACT","Y","10.0","Exact name match","","","","","","",""
"FerrDb","ferrdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"RESPIRE","respire","EXACT","Y","10.0","Exact name match","","","","","","",""
"ExtremeDB","extremedb","EXACT","Y","10.0","Exact name match","","","","","","",""
