extracted_name,baseline_name,match_type,score,reasoning,extracted_url,baseline_url,edit_distance
Virus Variation Resource,virus variation,"SAME_DOMAIN, contains, url_path_sim=0.95",3.5,"Score=3.5: SAME_DOMAIN, contains, url_path_sim=0.95",http://www.ncbi.nlm.nih.gov/genome/viruses/variation/,http://www.ncbi.nlm.nih.gov/genomes/VirusVariation,9.0
UCSC Cancer Genomics Browser,ucsc genome browser,"SAME_DOMAIN, url_path_sim=0.81, long_sim=0.77",3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.81, long_sim=0.77",https://genome-cancer.ucsc.edu/,http://genome.ucsc.edu,10.0
GH19 Engineering Database,exed,"SAME_DOMAIN, url_path_sim=0.83, long_sim=0.78",3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.83, long_sim=0.78",https://gh19ed.biocatnet.de,http://exed.biocatnet.de,22.0
IMG,integrated microbial genomes and metagenomes,"SAME_DOMAIN, url_path_sim=0.98, long_sim=0.81",3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.98, long_sim=0.81",http://www.hmpdacc-resources.org/img_hmp,http://www.hmpdacc-resources.org/imgm_hmp,41.0
BAR-PLUS,bologna annotation resource,"SAME_DOMAIN, url_path_sim=0.92, long_sim=0.92",3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.92, long_sim=0.92",http://bar.biocomp.unibo.it/bar2.0,http://bar.biocomp.unibo.it/bar3,23.0
Daikon Marker,kazusa marker database,"SAME_DOMAIN, url_path_sim=0.84, long_sim=0.74",3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.84, long_sim=0.74",http://marker.kazusa.or.jp/Daikon,http://marker.kazusa.or.jp,14.0
African Compounds,nanpdb,"SAME_DOMAIN, url_path_sim=0.86",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.86",http://african-compounds.org,http://african-compounds.org/nanpdb,13.0
CATchUP,plantexpress,"SAME_DOMAIN, url_path_sim=0.83",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.83",http://plantomics.mind.meiji.ac.jp/CATchUP,http://plantomics.mind.meiji.ac.jp/PlantExpress,10.0
WilsonGen,indigenomes,"SAME_DOMAIN, url_path_sim=0.89",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.89",http://clingen.igib.res.in/WilsonGen/,http://clingen.igib.res.in/indigen,9.0
MPS Database,ignm,"SAME_DOMAIN, url_path_sim=0.82",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.82",https://mps.csb.pitt.edu,http://gnmdb.csb.pitt.edu,12.0
Breast cancer transcriptome datasets,sysinflam hudb,"SAME_DOMAIN, url_path_sim=0.84",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.84",http://breastcancer.gxbsidra.org/dm3/geneBrowser/list,http://sepsis.gxbsidra.org/dm3/geneBrowser/list,31.0
MMV-db,cytomegalovirusdb,"SAME_DOMAIN, url_path_sim=0.96",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.96",http://www.mmvdb.dqweilab-sjtu.com/index.php,http://www.cmvdb.dqweilab-sjtu.com/index.php,13.0
VGR,virus variation,"SAME_DOMAIN, url_path_sim=0.83",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.83",http://www.ncbi.nlm.nih.gov/genome/viruses/,http://www.ncbi.nlm.nih.gov/genomes/VirusVariation,13.0
HIV_transcriptome,sysinflam hudb,"SAME_DOMAIN, url_path_sim=0.91",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.91",http://hiv.gxbsidra.org/dm3/geneBrowser/list,http://sepsis.gxbsidra.org/dm3/geneBrowser/list,16.0
VRI_transcriptome,sysinflam hudb,"SAME_DOMAIN, url_path_sim=0.90",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.90",http://vri1.gxbsidra.org/dm3/geneBrowser/list,http://sepsis.gxbsidra.org/dm3/geneBrowser/list,16.0
Seed Pro-Nutra Care,tripath,"SAME_DOMAIN, url_path_sim=0.82",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.82",http://www.gbpuat-cbsh.ac.in/departments/bi/database/seed_pro_nutra_care/,http://www.gbpuat-cbsh.ac.in/departments/bi/database/tripath,16.0
Protein Complexes Map,hu.map,"SAME_DOMAIN, url_path_sim=0.85",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.85",http://proteincomplexes.org,http://humap2.proteincomplexes.org,18.0
ChIP-Seq-tools,ucnebase,"SAME_DOMAIN, url_path_sim=0.81",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.81",http://ccg.vital-it.ch/chipseq/,http://ccg.vital-it.ch/UCNEbase,12.0
IgE-mediated atopic diseases transcriptome collection,gxb,"SAME_DOMAIN, url_path_sim=0.93",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.93",http://ige.gxbsidra.org/dm3/geneBrowser/list,http://vri1.gxbsidra.org/dm3/geneBrowser/list,52.0
NutriChem,chemprot-2.0,"SAME_DOMAIN, url_path_sim=0.83",3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.83",http://cbs.dtu.dk/services/NutriChem-1.0,http://www.cbs.dtu.dk/services/ChemProt-2.0,11.0
