pmid,title,has_url,reason,category
34748542,RESCRIPt: Reproducible sequence taxonomy reference database management.,False,Tool for database management - methodology without URL,DATABASE_NO_URL
23071595,"Neurotree: a collaborative, graphical database of the academic genealogy of neuroscience.",False,Database of academic genealogy but no URL,DATABASE_NO_URL
31932586,A database for global soil health assessment.,False,"Paper about database need/framework, no URL confirms not operational",DATABASE_NO_URL
34716354,A curated diverse molecular database of blood-brain barrier permeability with chemical descriptors.,False,"Database mentioned but no URL, likely private/unpublished",DATABASE_NO_URL
26523133,A Database of Gene Expression Profiles of Korean Cancer Genome.,False,"Database mentioned but no URL, not publicly accessible",DATABASE_NO_URL
28115530,A Database of Human Immune Receptor Alleles Recovered from Population Sequencing Data.,False,"Database mentioned but no URL, not publicly accessible",DATABASE_NO_URL
31258155,"New UV-source catalogs, UV spectral database, UV variables and science tools from the GALEX surveys.",False,"Catalog/database description, no URL for access",DATABASE_NO_URL
34289491,The world within reach: An image database of reach-relevant environments.,False,"Image database mentioned but no URL, not accessible",DATABASE_NO_URL
34272372,A database of submarine landslides offshore West and Southwest Iberia.,False,"Database mentioned but no URL, not publicly accessible",DATABASE_NO_URL
30643682,A public database for the new MLST scheme for <i>Treponema pallidum</i> subsp. <i>pallidum</i>: surveillance and epidemiology of the causative agent of syphilis.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
29989590,A functional trait database for Mediterranean Basin plants.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
28385663,A curated gluten protein sequence database to support development of proteomics methods for determination of gluten in gluten-free foods.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
32484558,Comprehensive database and evolutionary dynamics of U12-type introns.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
31387779,Development of breast lesions models database.,False,"Database development paper, no URL",DATABASE_NO_URL
28509907,A database of georeferenced nutrient chemistry data for mountain lakes of the Western United States.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
29583143,A database of the coseismic effects following the 30 October 2016 Norcia earthquake in Central Italy.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
33936422,A semantic database for integrated management of image and dosimetric data in low radiation dose research in medical imaging.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
31832526,A long term physical and biogeochemical database of a hyper-eutrophicated Mediterranean micro-estuary.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
29381146,Australia's continental-scale acoustic tracking database and its automated quality control process.,False,"Database mentioned but no URL, not accessible",DATABASE_NO_URL
23164410,Transcriptome database resource and gene expression atlas for the rose.,False,"Database and atlas mentioned but no URL, not accessible",DATABASE_NO_URL
34597583,Atlas of clinically distinct cell states and ecosystems across human solid tumors.,False,"Atlas/analysis study, no URL indicates not a public resource",ATLAS_NO_URL
31474372,A Structure-Informed Atlas of Human-Virus Interactions.,False,"Atlas mentioned but no URL, not accessible",ATLAS_NO_URL
