pmid,title,has_url,is_bioresource,reason,is_false_positive,confidence,reason,consol_agent_agree,consol_is_fp,consol_reason
"30926570, 31294057",Genome Annotator Light (GAL): A Docker-based package for genome analysis and visualization.,True,,,Y,high,Title indicates software package for analysis; not a data repository.,N,N,Has URL and no strong FP indicators
"33599248, 34561023",bc-GenExMiner 4.5: new mining module computes breast cancer differential gene expression analyses.,True,,,Y,medium,Title emphasizes 'mining module computes' suggesting analysis tool; however may contain curated data.,N,N,Has URL and no strong FP indicators
"22385986, 22385986",CpGPAP: CpG island predictor analysis platform.,True,,,Y,high,Title indicates analysis platform/tool for prediction; not a data repository.,N,N,Has URL and no strong FP indicators
"29236971, 29718468",New algorithms to represent complex pseudoknotted RNA structures in dot-bracket notation.,True,,,Y,medium,Title emphasizes 'algorithms to represent'; methodology focus; URL suggests tool.,N,N,Has URL and no strong FP indicators
"21276275, 24532766",MEMOSys: Bioinformatics platform for genome-scale metabolic models.,True,,,Y,medium,Title indicates platform for metabolic modeling; more tool than data repository.,N,N,Has URL and no strong FP indicators
"21471015, 21471015",DIME: R-package for identifying differential ChIP-seq based on an ensemble of mixture models.,True,,,Y,high,Title indicates R-package for analysis; software tool not data repository.,N,N,Has URL and no strong FP indicators
"31598630, 31598630",Learning from the ligand: using ligand-based features to improve binding affinity prediction.,True,,,Y,high,Title indicates methodology for prediction; not a data repository.,N,N,Has URL and no strong FP indicators
23530693,A systematic comparison of the MetaCyc and KEGG pathway databases.,False,,,Y,high,Title describes comparison of databases; not a database itself; no URL.,N,N,Title contains database/resource keyword indicating data collection
21269480,Searching the protein structure database for ligand-binding site similarities using CPASS v.2.,True,,,Y,medium,Title emphasizes 'searching' tool CPASS; likely both database and tool.,N,N,Title contains database/resource keyword indicating data collection
30105017,ASAP - A Webserver for Immunoglobulin-Sequencing Analysis Pipeline.,True,,,Y,medium,Title indicates web server for analysis pipeline; may have database backend.,N,N,Has URL and no strong FP indicators
"23586463, 27141961",Enrichr: interactive and collaborative HTML5 gene list enrichment analysis tool.,True,,,Y,medium,Title indicates analysis tool; however has database of gene sets.,N,N,Has URL and no strong FP indicators
23039964,GeneFriends: an online co-expression analysis tool to identify novel gene targets for aging and complex diseases.,True,Y,,Y,medium,Title indicates 'analysis tool'; however GeneFriends contains curated coexpression data.,N,N,Has URL and no strong FP indicators
22701464,"pep2pro: the high-throughput proteomics data processing, analysis, and visualization tool.",True,,,Y,high,Title indicates data processing/analysis tool; not a data repository.,N,N,Has URL and no strong FP indicators
33794052,"Building Protein-Protein and Protein-Glycosaminoglycan Interaction Networks Using MatrixDB, the Extracellular Matrix Interaction Database.",False,,,Y,medium,Title describes using MatrixDB; tutorial/methods not database paper; no URL.,N,N,Title contains database/resource keyword indicating data collection
31033953,Mass Spectrometry-Based Proteomics Analyses Using the OpenProt Database to Unveil Novel Proteins Translated from Non-Canonical Open Reading Frames.,False,,,Y,medium,Title describes using OpenProt database for analysis; methods paper not database; no URL.,N,N,Title contains database/resource keyword indicating data collection
23875683,Cloud-based uniform ChIP-Seq processing tools for modENCODE and ENCODE.,True,,,Y,medium,Title indicates processing tools; provides access to ENCODE data.,N,N,Has URL and no strong FP indicators
32191543,CIViCpy: A Python Software Development and Analysis Toolkit for the CIViC Knowledgebase.,False,,,Y,medium,Title describes Python toolkit/software for accessing database; not database itself; no URL.,N,N,Title contains database/resource keyword indicating data collection
34619810,Using ConSurf to Detect Functionally Important Regions in RNA.,True,,,Y,medium,Title describes using tool ConSurf; methods/tutorial not database paper.,N,N,Has URL and no strong FP indicators
33045741,LncSEA: a platform for long non-coding RNA related sets and enrichment analysis.,True,Y,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
24712981,SFGD: a comprehensive platform for mining functional information from soybean transcriptome data and its use in identifying acyl-lipid metabolism pathways.,True,Y,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
24525374,lncRNAMap: a map of putative regulatory functions in the long non-coding transcriptome.,True,Y,map,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
27242503,Building the Ferretome.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
22427539,The SMART Platform: early experience enabling substitutable applications for electronic health records.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
28053162,POSTAR: a platform for exploring post-transcriptional regulation coordinated by RNA-binding proteins.,True,Y,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
"27797767, 30598108",miRNAmeConverter: an R/bioconductor package for translating mature miRNA names to different miRBase versions.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Title contains database/resource keyword indicating data collection
23071556,MK4MDD: a multi-level knowledge base and analysis platform for major depressive disorder.,True,Y,knowledge base,Y,medium,Methodology/tool paper despite having URL,N,N,Title contains database/resource keyword indicating data collection
31797632,PGxMine: Text mining for curation of PharmGKB.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
27102089,Gene-set activity toolbox (GAT): A platform for microarray-based cancer diagnosis using an integrative gene-set analysis approach.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
33471060,Cellinker: a platform of ligand-receptor interactions for intercellular communication analysis.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
23110173,"SEED servers: high-performance access to the SEED genomes, annotations, and metabolic models.",True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
"23180763, 25392407, 31740968",The Standard European Vector Architecture (SEVA): a coherent platform for the analysis and deployment of complex prokaryotic phenotypes.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
32777640,"MiDAS 3: An ecosystem-specific reference database, taxonomy and knowledge platform for activated sludge and anaerobic digesters reveals species-level microbiome composition of activated sludge.",False,Y,reference database,Y,medium,Contains database keyword but also methodology pattern and no URL,N,N,Title contains database/resource keyword indicating data collection
"29077811, 29145629, 29186351, 31691815, 31802127, 32486891",Reactome enhanced pathway visualization.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
32392296,CoCoCoNet: conserved and comparative co-expression across a diverse set of species.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
24234447,UniCarbKB: building a knowledge platform for glycoproteomics.,True,Y,knowledge platform,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
29040563,Ten years of CAZypedia: a living encyclopedia of carbohydrate-active enzymes.,True,Y,encyclopedia,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
31602478,PmiREN: a comprehensive encyclopedia of plant miRNAs.,True,Y,encyclopedia,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
31809863,PsyMuKB: An Integrative De Novo Variant Knowledge Base for Developmental Disorders.,True,Y,knowledge base,Y,low,Unclear from title but likely not a primary data resource,N,N,Title contains database/resource keyword indicating data collection
26208906,TANRIC: An Interactive Open Platform to Explore the Function of lncRNAs in Cancer.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
"28150246, 29145615",iPTMnet: Integrative Bioinformatics for Studying PTM Networks.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
26476450,PlantPAN 2.0: an update of plant promoter analysis navigator for reconstructing transcriptional regulatory networks in plants.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
28327601,BCIP: a gene-centered platform for identifying potential regulatory genes in breast cancer.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
28890946,OncoKB: A Precision Oncology Knowledge Base.,True,Y,knowledge base,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
28967693,HUMA: A platform for the analysis of genetic variation in humans.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
31171447,"SynGO: An Evidence-Based, Expert-Curated Knowledge Base for the Synapse.",True,Y,knowledge base,Y,low,Unclear from title but likely not a primary data resource,N,N,Title contains database/resource keyword indicating data collection
29106599,ASpedia: a comprehensive encyclopedia of human alternative splicing.,True,Y,encyclopedia,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
31640730,NARD: whole-genome reference panel of 1779 Northeast Asians improves imputation accuracy of rare and low-frequency variants.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
24994456,BorreliaBase: a phylogeny-centered browser of Borrelia genomes.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Title contains database/resource keyword indicating data collection
33849445,TANTIGEN 2.0: a knowledge base of tumor T cell antigens and epitopes.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Title contains database/resource keyword indicating data collection
22397531,AtPAN: an integrated system for reconstructing transcriptional regulatory networks in Arabidopsis thaliana.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
25982315,GraP: platform for functional genomics analysis of Gossypium raimondii.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
31648227,MANET 3.0: Hierarchy and modularity in evolving metabolic networks.,True,,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
