pmid,title,category,has_fulltext,fulltext_source,fulltext_length,urls_found,urls_count,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,best_url_context,best_url_is_live,best_url_status,best_url_error,all_url_details
23071595,"Neurotree: a collaborative, graphical database of the academic genealogy of neuroscience.",DATABASE_NO_URL,True,PMC,49386,http://neurotree.org/neurotree/clusters.php | http://neurotree.org/ | http://neurotree.org/neurotree/faq.php,3,http://neurotree.org/neurotree/clusters.php,65.0,True,neurotree,...e version of this analysis is available online at http://neurotree.org/neurotree/clusters.php [5] . 10.1371/journal.pone.0046608.g007 Figure 7...,True,200.0,,"[{""url"": ""http://neurotree.org/neurotree/clusters.php"", ""score"": 65.0, ""title_match"": true, ""matched_keywords"": ""neurotree"", ""context"": ""...e version of this analysis is available online at http://neurotree.org/neurotree/clusters.php [5] . 10.1371/journal.pone.0046608.g007 Figure 7...""}, {""url"": ""http://neurotree.org/"", ""score"": 55.0, ""title_match"": true, ""matched_keywords"": ""neurotree"", ""context"": ""...Neurotree is accessed through a public website at http://neurotree.org/ [5] . The site is built using a set of custom-pro...""}, {""url"": ""http://neurotree.org/neurotree/faq.php"", ""score"": 55.0, ""title_match"": true, ""matched_keywords"": ""neurotree"", ""context"": ""...questing the data are included in the site FAQ at http://neurotree.org/neurotree/faq.php [5] . Ethics statement Data in Neurotree are coll...""}]"
31932586,A database for global soil health assessment.,DATABASE_NO_URL,True,PMC,38482,https://www.freemaptools.com/elevation-finder.htm | http://www.freemaptools.com/elevation-finder.htm | http://climate.geog.udel.edu/~climate/html_pages/README.ghcn_ts2.html | http://www.soilhealthinstituteresearch.org | https://www.findlatitudeandlongitude.com | http://www.findlatitudeandlongitude.com,6,https://www.freemaptools.com/elevation-finder.htm,11.0,False,,"...er, it was identified by latitude and longitude ( https://www.freemaptools.com/elevation-finder.htm ). In total, 5,907 comparisons were collected fro...",True,200.0,,"[{""url"": ""https://www.freemaptools.com/elevation-finder.htm"", ""score"": 11.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...er, it was identified by latitude and longitude ( https://www.freemaptools.com/elevation-finder.htm ). In total, 5,907 comparisons were collected fro...""}, {""url"": ""http://www.freemaptools.com/elevation-finder.htm"", ""score"": 11.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}, {""url"": ""http://climate.geog.udel.edu/~climate/html_pages/README.ghcn_ts2.html"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ersity of Delaware Center for Climate Research ., http://climate.geog.udel.edu/~climate/html_pages/README.ghcn_ts2.html (2001). 24. Moebius-Clune, B. N. et al . Comprehe...""}, {""url"": ""http://www.soilhealthinstituteresearch.org"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}, {""url"": ""https://www.findlatitudeandlongitude.com"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ure, the site name was entered into the website ( https://www.findlatitudeandlongitude.com ) to estimate location. Whenever elevation was mi...""}, {""url"": ""http://www.findlatitudeandlongitude.com"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}]"
34716354,A curated diverse molecular database of blood-brain barrier permeability with chemical descriptors.,DATABASE_NO_URL,True,PMC,40329,https://tdcommons.ai,1,https://tdcommons.ai,0.0,False,,...mons: Machine learning datasets for therapeutics. https://tdcommons.ai (2020). 54. Carpenter TS A method to predict bloo...,True,200.0,,"[{""url"": ""https://tdcommons.ai"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...mons: Machine learning datasets for therapeutics. https://tdcommons.ai (2020). 54. Carpenter TS A method to predict bloo...""}]"
26523133,A Database of Gene Expression Profiles of Korean Cancer Genome.,DATABASE_NO_URL,True,PMC,12496,http://www.genominfo.org/src/sm/gni-13-86-s001.pdf | http://tomcat.apache.org | http://www.bioconductor.org | http://www.kcgd.kr | http://www.icesoft.org/ | http://www.r-project.org | http://dev.mysql.com,7,http://www.genominfo.org/src/sm/gni-13-86-s001.pdf,23.0,False,,"...figures
can be found with this article online at http://www.genominfo.org/src/sm/gni-13-86-s001.pdf . Supplementary Table 1 Statistics in the KCGD da...",True,200.0,,"[{""url"": ""http://www.genominfo.org/src/sm/gni-13-86-s001.pdf"", ""score"": 23.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...figures\ncan be found with this article online at http://www.genominfo.org/src/sm/gni-13-86-s001.pdf . Supplementary Table 1 Statistics in the KCGD da...""}, {""url"": ""http://tomcat.apache.org"", ""score"": 15.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...d on an Apache Tomcat web server (version 6.0.26, http://tomcat.apache.org ). A schematic diagram of the system architecture...""}, {""url"": ""http://www.bioconductor.org"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ct.org ) with Bioconductor plugins (version 2.12, http://www.bioconductor.org ). Calling R modules from JAVA is managed by the...""}, {""url"": ""http://www.kcgd.kr"", ""score"": 10.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...rogram. Availability: KCGD is freely available at http://www.kcgd.kr . 1 Mutation Consequences and Pathway Analysis wo...""}, {""url"": ""http://www.icesoft.org/"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...d active interfaces, the ICEfaces (version 3.3.0, http://www.icesoft.org/ ) framework was used. To store and handle the dat...""}, {""url"": ""http://www.r-project.org"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...methods were implemented using R (version 3.0.1, http://www.r-project.org ) with Bioconductor plugins (version 2.12, http:/...""}, {""url"": ""http://dev.mysql.com"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...abase management system was used (version 5.5.11, http://dev.mysql.com ). Data queries on MySQL from JAVA are controlled...""}]"
28115530,A Database of Human Immune Receptor Alleles Recovered from Population Sequencing Data.,DATABASE_NO_URL,False,,0,,0,,0.0,False,,,False,,,
31258155,"New UV-source catalogs, UV spectral database, UV variables and science tools from the GALEX surveys.",DATABASE_NO_URL,True,PMC,34479,http://dolomiti.pha.jhu.edu/uvsky,1,http://dolomiti.pha.jhu.edu/uvsky,5.0,False,,"...d science tools, is accessible from LB’s web site http://dolomiti.pha.jhu.edu/uvsky , from MAST Casjobs, and soon from from CDS’s Viz...",True,200.0,,"[{""url"": ""http://dolomiti.pha.jhu.edu/uvsky"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...d science tools, is accessible from LB\u2019s web site http://dolomiti.pha.jhu.edu/uvsky , from MAST Casjobs, and soon from from CDS\u2019s Viz...""}]"
34289491,The world within reach: An image database of reach-relevant environments.,DATABASE_NO_URL,True,PMC,35901,https://www.reachspacedatabase.com/ | http://www.reachspacedatabase.com/ | https://osf.io/bfyxk/ | osf.io/bfyxk/,4,https://www.reachspacedatabase.com/,58.0,True,"database, reach","...he database can also be previewed and explored at https://www.reachspacedatabase.com/ . Results The database contains a total of 11,276...",True,200.0,,"[{""url"": ""https://www.reachspacedatabase.com/"", ""score"": 58.0, ""title_match"": true, ""matched_keywords"": ""database, reach"", ""context"": ""...he database can also be previewed and explored at https://www.reachspacedatabase.com/ . Results The database contains a total of 11,276...""}, {""url"": ""http://www.reachspacedatabase.com/"", ""score"": 58.0, ""title_match"": true, ""matched_keywords"": ""database, reach"", ""context"": """"}, {""url"": ""https://osf.io/bfyxk/"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...are available for download in an OSF repository ( https://osf.io/bfyxk/ ). The database consists of the images, divided i...""}, {""url"": ""osf.io/bfyxk/"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...able for download on the Open Science Framework ( osf.io/bfyxk/ ). Introduction Reachable environments are the lo...""}]"
34272372,A database of submarine landslides offshore West and Southwest Iberia.,DATABASE_NO_URL,True,PMC,33595,https://www.emodnet-bathymetry.eu/data-products | http://www.emodnet-bathymetry.eu/data-products,2,https://www.emodnet-bathymetry.eu/data-products,8.0,False,,"...raster Data downloaded from EMODnet data portal ( https://www.emodnet-bathymetry.eu/data-products ) Used the XYZ data version of the F3 panel, whic...",True,200.0,,"[{""url"": ""https://www.emodnet-bathymetry.eu/data-products"", ""score"": 8.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...raster Data downloaded from EMODnet data portal ( https://www.emodnet-bathymetry.eu/data-products ) Used the XYZ data version of the F3 panel, whic...""}, {""url"": ""http://www.emodnet-bathymetry.eu/data-products"", ""score"": 8.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}]"
30643682,A public database for the new MLST scheme for <i>Treponema pallidum</i> subsp. <i>pallidum</i>: surveillance and epidemiology of the causative agent of syphilis.,DATABASE_NO_URL,True,PMC,32838,https://pubmlst.org/tpallidum/ | http://www.who.int/reproductivehealth/publications/rtis/syphilis-treatment-guidelines/en/,2,https://pubmlst.org/tpallidum/,65.0,True,"mlst, pallidum",...al results etc.). The database can be accessed at https://pubmlst.org/tpallidum/ . The database is primarily designed to be used a...,True,200.0,,"[{""url"": ""https://pubmlst.org/tpallidum/"", ""score"": 65.0, ""title_match"": true, ""matched_keywords"": ""mlst, pallidum"", ""context"": ""...al results etc.). The database can be accessed at https://pubmlst.org/tpallidum/ . The database is primarily designed to be used a...""}, {""url"": ""http://www.who.int/reproductivehealth/publications/rtis/syphilis-treatment-guidelines/en/"", ""score"": 50.0, ""title_match"": true, ""matched_keywords"": ""public"", ""context"": ""...e treatment of Treponema pallidum (syphilis) 2016 http://www.who.int/reproductivehealth/publications/rtis/syphilis-treatment-guidelines/en/ Zhou et al. (2018) Zhou Z Alikhan N-F Sergeant MJ...""}]"
29989590,A functional trait database for Mediterranean Basin plants.,DATABASE_NO_URL,True,PMC,49292,http://www.theplantlist.org | http://www.floraiberica.org | http://bgbm3.bgbm.fu-berlin.de/iopi/gpc/,3,http://www.theplantlist.org,5.0,False,,"...89 ). The Plant List. The Plant List, version 1.1 http://www.theplantlist.org ( 2013 ). Govaerts R. & Frodin D. G. World Checkl...",True,200.0,,"[{""url"": ""http://www.theplantlist.org"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...89 ). The Plant List. The Plant List, version 1.1 http://www.theplantlist.org ( 2013 ). Govaerts R. & Frodin D. G. World Checkl...""}, {""url"": ""http://www.floraiberica.org"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}, {""url"": ""http://bgbm3.bgbm.fu-berlin.de/iopi/gpc/"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ganization for Plant Information (IOPI 1996-2007) http://bgbm3.bgbm.fu-berlin.de/iopi/gpc/ ( 1998 ). Pankhurst R . Rosaceae Family Database....""}]"
