pmid,title,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,best_url_is_live,best_url_status,urls_count,source
26153137,EpiFactors: a comprehensive database of human epigenetic factors and complexes.,http://epifactors.autosome.ru,50.0,True,epifactors,True,200.0,1,GOOD_TITLE_MATCH
30365034,Database Resources of the BIG Data Center in 2019.,http://bigd.big.ac.cn/databases,73.0,True,"database, big",True,200.0,28,GOOD_TITLE_MATCH
23505408,Global coordination and standardisation in marine biodiversity through the World Register of Marine Species (WoRMS) and related databases.,http://gni.globalnames.org/,55.0,True,global,True,200.0,22,GOOD_TITLE_MATCH
34593819,"""AusTraits, a curated plant trait database for the Australian flora.""",http://www.worldagroforestry.org/output/wood-density-database,63.0,True,database,True,200.0,23,GOOD_TITLE_MATCH
31598696,"""snoDB: an interactive database of human snoRNA sequences, abundance and interactions.""",http://scottgroup.med.usherbrooke.ca/snoDB/,58.0,True,snodb,True,200.0,1,GOOD_TITLE_MATCH
21851635,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,http://www.plantbreeding.wur.nl/SolRgenes,68.0,True,solrgene,True,200.0,6,GOOD_TITLE_MATCH
30320221,WHONDRS: a Community Resource for Studying Dynamic River Corridors.,https://whondrs.pnnl.gov/,55.0,True,whondrs,True,200.0,7,GOOD_TITLE_MATCH
31220074,FishNET: An automated relational database for zebrafish colony management.,http://www.wythelab.com/wythe-lab-databases,68.0,True,database,True,200.0,26,GOOD_TITLE_MATCH
26500753,Colil: a database and search service for citation contexts in the life sciences domain.,http://colil.dbcls.jp/sparql,68.0,True,colil,True,200.0,22,GOOD_TITLE_MATCH
30624654,RAEdb: a database of enhancers identified by high-throughput reporter assays.,http://www.computationalbiology.cn/RAEdb/index.php,58.0,True,raedb,True,200.0,1,GOOD_TITLE_MATCH
31411687,CDEK: Clinical Drug Experience Knowledgebase.,http://cdek.wustl.edu,55.0,True,cdek,True,200.0,17,GOOD_TITLE_MATCH
31089686,GIDB: a knowledge database for the automated curation and multidimensional analysis of molecular signatures in gastrointestinal cancer.,http://bmtongji.cn/GIDB/index.html,58.0,True,gidb,True,200.0,3,GOOD_TITLE_MATCH
29867956,VDJServer: A Cloud-Based Analysis Portal and Data Commons for Immune Repertoire Sequences and Rearrangements.,https://vdjserver.org/,63.0,True,vdjserver,True,200.0,5,GOOD_TITLE_MATCH
34786285,Novel Coronavirus Cough Database: NoCoCoDa.,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,50.0,True,coronavirus,True,200.0,38,GOOD_TITLE_MATCH
29706780,VIRMISCO - The Virtual Microscope Slide Collection.,http://cms.virmisco.org/index.php/manual.html,55.0,True,virmisco,True,200.0,5,GOOD_TITLE_MATCH
27302480,"""ProXL (Protein Cross-Linking Database): A Platform for Analysis, Visualization, and Sharing of Protein Cross-Linking Mass Spectrometry Data.""",http://yeastrc.org/proxl_docs/,65.0,True,proxl,True,200.0,9,GOOD_TITLE_MATCH
33712066,ChemProps: A RESTful API enabled database for composite polymer name standardization.,http://www.polymerdatabase.com/,58.0,True,database,True,200.0,12,GOOD_TITLE_MATCH
30576494,ConTEdb: a comprehensive database of transposable elements in conifers.,http://genedenovoweb.ticp.net:81/conTEdb/index.php,58.0,True,contedb,True,200.0,8,GOOD_TITLE_MATCH
