extracted_name,extracted_long,baseline_name,baseline_full,edit_distance,contains,long_sim,match_type,score,confidence,is_match,reasoning
SCOP2,Structural Classification of Proteins version 2,scop,structural classification of proteins,1,True,0.8809523809523809,"edit_dist=1, contains, long_sim=0.88",1.8,HIGH,Y,Version difference: scop2 vs scop
RaMP,Relational Database of Metabolomics Pathways,dramp,data repository of antimicrobial peptides,1,True,0.7764705882352941,"edit_dist=1, contains, long_sim=0.78",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.78)
MTGD,Medicago truncatula genome database,tgd,tetrahymena genome database,1,True,0.7741935483870968,"edit_dist=1, contains, long_sim=0.77",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.77)
MGIS,Musa Genetic Information System,mgi,mouse genome informatics,1,True,0.8363636363636363,"edit_dist=1, contains, long_sim=0.84",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.84)
CPDB,Cysteine Protease Database,cpd,cellular phenotype database,1,True,0.7924528301886793,"edit_dist=1, contains, long_sim=0.79",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.79)
HomeoDB,Homeobox Database,homeodb2,homeobox gene database,1,True,0.8717948717948718,"edit_dist=1, contains, long_sim=0.87",1.8,HIGH,Y,Version difference: homeodb vs homeodb2
PlanExp,Planarian Expression Database,planex,plant co-expression database,1,True,0.8421052631578947,"edit_dist=1, contains, long_sim=0.84",1.8,HIGH,Y,"Edit distance 1 with contains match, long_sim=0.84"
LDGIdb,Linkage Disequilibrium Gene Interaction Database,dgidb,drug-gene interaction database,1,True,0.7435897435897436,"edit_dist=1, contains, long_sim=0.74",1.8,HIGH,N,"Low long form similarity (0.74), likely different databases"
GSR,Genetic Simulation Resources,igsr,international genome sample resource,1,True,0.75,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
GIDB,Gastrointestinal cancer Database,dgidb,drug-gene interaction database,1,True,0.8064516129032258,"edit_dist=1, contains, long_sim=0.81",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.81)
CDB,Cistrome Data Browser,mcdb,mitotic catastrophe database,1,True,0.7346938775510204,"edit_dist=1, contains, long_sim=0.73",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.73)
GVD,Gut Virome Database,bgvd,bovine genome variation database,1,True,0.7058823529411765,"edit_dist=1, contains, long_sim=0.71",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.71)
GED,Gametogenesis Epigenetic Database,tged,tetrahymena gene expression database,1,True,0.8115942028985508,"edit_dist=1, contains, long_sim=0.81",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.81)
YPED,Yeast Proteomics Expression Database,ped,protein ensemble database,1,True,0.7213114754098361,"edit_dist=1, contains, long_sim=0.72",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.72)
KMAP,KAUST Metagenomic Analysis Platform,map,microrna analysis portal,1,True,0.7457627118644068,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
