"extracted_name","extracted_long","extracted_url","baseline_name","baseline_long","baseline_url","score","signals","signal_count","edit_distance","same_domain","confidence","is_match","review_flags","conflict_resolved"
"1-CMDb","One-Carbon Metabolism Database","http://slsdb.manipal.edu/ocm/","1-CMDb","one-carbon metabolism database","http://slsdb.manipal.edu/ocm","10.0","EXACT","1","0","True","HIGH","Y","",""
"1000GSB","1000 Genomes Selection Browser","http://hsb.upf.edu","1000 Genomes Selection Browser","1000 Genomes Selection Browser","http://hsb.upf.edu","2.05","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","3","23","True","HIGH","Y","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE",""
"10000 Immunomes Project","10000 Immunomes Project","http://10kimmunomes.org/","10KIP","10,000 Immunomes Project","http://10kimmunomes.org","2.55","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.98","3","19","True","HIGH","Y","HIGH_ED_MATCH",""
"2019-nCoV","2019 Novel Coronavirus Resource","https://bigd.big.ac.cn/ncov","2019nCoVR","2019 Novel Coronavirus Resource","http://bigd.big.ac.cn","2.25","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_SIM_0.85, LONG_SIM_1.00","4","2","True","HIGH","Y","GENERIC_DOMAIN",""
"2DProts","Two-Dimensional Proteins","https://2dprots.ncbr.muni.cz","2DProts","nan","http://2dprots.ncbr.muni.cz","10.0","EXACT","1","0","True","HIGH","Y","",""
"2P2Idb","Protein-Protein Interaction Database","http://2p2idb.cnrs-mrs.fr","2P2I","nan","http://2p2idb.cnrs-mrs.fr","3.95","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","5","2","True","HIGH","Y","",""
"3CDB","3C Database","http://3cdb.big.ac.cn","3CDB","nan","http://3cdb.big.ac.cn","10.0","EXACT","1","0","True","HIGH","Y","","True"
"3DFlu","3D Influenza database","http://nucleus3d.cent.uw.edu.pl/influenza","3DFlu","nan","http://nucleus3d.cent.uw.edu.pl/influenza","10.0","EXACT","1","0","True","HIGH","Y","",""
"3DGD","3DGD","http://3dgd.biosino.org/","3DGD","Genome Database","http://3dgd.biosino.org","10.0","EXACT","1","0","True","HIGH","Y","","True"
"3DIV","3D Interaction Viewer","http://kobic.kr/3div","3DIV","3D-genome Interaction Viewer and database","http://3div.kr","10.0","EXACT","1","0","True","HIGH","Y","",""
"3DMET","3D Metabolites","","3DMET","Three-dimensional structure database of natural metabolites","http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"3DSNP","Three-Dimensional SNP","http://biotech.bmi.ac.cn/3dsnp/","3DSNP","nan","http://biotech.bmi.ac.cn/3dsnp","10.0","EXACT","1","0","True","HIGH","Y","",""
"3did","3-Dimensional Interacting Domains","http://3did.irbbarcelona.org","3did","interacting domains","http://3did.irbbarcelona.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"5SRNAdb","5S ribosomal RNA database","http://combio.pl/5srnadb/","5SRNAdb","nan","http://combio.pl/5srnadb","10.0","EXACT","1","0","True","HIGH","Y","","True"
"A-WINGS","Angel's Wing Integrated Genome Database","http://bioinf.mind.meiji.ac.jp/a-wings/","A-WINGS","nan","http://bioinf.mind.meiji.ac.jp/a-wings","10.0","EXACT","1","0","True","HIGH","Y","",""
"A2MDB","Aspergillus Secondary Metabolite Database","http://www.iictindia.org/A2MDB","A2MDB","Aspergillus Secondary Metabolites Database","http://www.iictindia.org/A2MDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"AAIR","Allergic Airway Inflammation Repository","http://aair.cimed.ike.liu.se/","AAIR","Allergic Airway Inflammation Repository","http://aair.cimed.ike.liu.se","10.0","EXACT","1","0","True","HIGH","Y","",""
"AAgAtlas","AAgAtlas","http://biokb.ncpsb.org/aagatlas/","AAgAtlas","nan","http://biokb.ncpsb.org/aagatlas","10.0","EXACT","1","0","True","HIGH","Y","",""
"AAgMarker","AutoAntigen bioMarker database","http://bioinfo.wilmer.jhu.edu/AAgMarker/","AAgMarker","nan","http://bioinfo.wilmer.jhu.edu/AAgMarker","10.0","EXACT","1","0","True","HIGH","Y","",""
"ABCD","Alzheimer's disease Biomarkers Comprehensive Database","https://web.expasy.org/abcd/","ABCD","for AntiBodies Chemically Defined","http://web.expasy.org/abcd","10.0","EXACT","1","0","True","HIGH","Y","",""
