"extracted_name","extracted_long","extracted_url","baseline_name","baseline_long","baseline_url","score","signals","signal_count","edit_distance","same_domain","confidence","is_match","review_flags","conflict_winner"
"NGDC","National Genomics Data Center","https://bigd.big.ac.cn","2019nCoVR","2019 Novel Coronavirus Resource","http://bigd.big.ac.cn","2.25","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","2","8","True","REJECTED","CONFLICT","GENERIC_DOMAIN","2019-nCoV"
"BIG Data Center","Beijing Institute of Genomics Data Center","http://bigd.big.ac.cn","2019nCoVR","2019 Novel Coronavirus Resource","http://bigd.big.ac.cn","2.25","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","2","13","True","REJECTED","CONFLICT","GENERIC_DOMAIN, HIGH_ED_MATCH","2019-nCoV"
"National Genomics Data Center","National Genomics Data Center","https://bigd.big.ac.cn","2019nCoVR","2019 Novel Coronavirus Resource","http://bigd.big.ac.cn","2.25","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","2","26","True","REJECTED","CONFLICT","GENERIC_DOMAIN, HIGH_ED_MATCH","2019-nCoV"
"CDB","Cistrome Data Browser","http://www.jct-bioinfo.com/cdb/search","3CDB","nan","http://3cdb.big.ac.cn","2.5","DIGIT_VERSION_DIFF, EDIT_DIST_1","2","1","False","REJECTED","CONFLICT","","3CDB"
"DGD","Duplicated Genes Database","http://dgd.genouest.org","3DGD","Genome Database","http://3dgd.biosino.org","2.8","DIGIT_VERSION_DIFF, EDIT_DIST_1, URL_SIM_0.62","3","1","False","REJECTED","CONFLICT","","3DGD"
"sRNAdb","Small RNA Database","","5SRNAdb","nan","http://combio.pl/5srnadb","3.1","DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6","3","1","False","REJECTED","CONFLICT","","5SRNAdb"
"ADReCS-Target","Adverse Drug Reaction Classification System Target","http://bioinf.xmu.edu.cn/ADReCS-Target","ADReCS","Adverse Drug Reaction Classification System","http://bioinf.xmu.edu.cn/ADReCS","2.45","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_SIM_0.87, LONG_SIM_0.92","4","7","True","REJECTED","CONFLICT","GENERIC_DOMAIN","ADReCS"
"KIR Database","Killer Cell Immunoglobulin-like Receptor Database","http://www.allelefrequencies.net","AFND","Allele Frequency Net Database","http://www.allelefrequencies.net","2.75","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","2","11","True","REJECTED","CONFLICT","HIGH_ED_MATCH","AFND"
"Allen Human Brain Atlas","Allen Human Brain Atlas","http://www.brain-map.org","Allen Brain Atlas","nan","http://www.brain-map.org","2.75","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","2","6","True","REJECTED","CONFLICT","","Allen Brain Atlas"
"Badapple","Bad Apple Promiscuity Database","http://bard.nih.gov","BARD","BioAssay Research Database","http://bard.nih.gov","2.25","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","2","6","True","REJECTED","CONFLICT","GENERIC_DOMAIN","BARD"
"BgeeDB","Bgee Database","https://www.bioconductor.org/packages/BgeeDB/","Bgee","nan","http://bgee.org","2.2","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","3","2","False","REJECTED","CONFLICT","","Bgee"
"BIOPEP","Bioactive Peptides Database","http://www.uwm.edu.pl/biochemia/index.php/pl/biopep","BioPepDB","nan","http://bis.zju.edu.cn/biopepdbr","2.2","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","3","2","False","REJECTED","CONFLICT","","BioPepDB"
"BLD","Bioinformatics Links Directory","http://bioinformatics.ca/links_directory/","Bioinformatics Links","nan","http://bioinformatics.ca/links_directory","2.75","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","2","18","True","REJECTED","CONFLICT","HIGH_ED_MATCH","Bioinformatics Links"
"CAMPR3","Antimicrobial Peptides Database","http://www.camp3.bicnirrh.res.in","CAMP","Collection of Antimicrobial Peptide","http://www.camp.bicnirrh.res.in","2.45","SAME_DOMAIN_GENERIC, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_0.98","4","2","True","REJECTED","CONFLICT","GENERIC_DOMAIN","CAMP"
"MGOB","Methylotroph Gene Order Browser","http://mgob.ucd.ie","CGOB","Candida Gene Order Browser","http://cgob.ucd.ie","2.35","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.91","3","1","True","REJECTED","CONFLICT","","CGOB"
"CDC Hemophilia B mutation project","CDC Hemophilia B mutation project","http://www.cdc.gov/hemophiliamutations","CHBMP","Hemophilia B mutation project","http://www.cdc.gov/hemophiliamutations","3.55","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.94","3","28","True","REJECTED","CONFLICT","HIGH_ED_MATCH","CHAMP"
"ROD","Raman Open Database","http://www.crystallography.net/cod","COD","Crystallography Open Database","http://www.crystallography.net","2.35","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.90","3","1","True","REJECTED","CONFLICT","","COD"
"Cppsite","Cppsite","https://webs.iiitd.edu.in/raghava/cppsite","CPPsite","nan","http://webs.iiitd.edu.in/raghava/cppsite","10.0","EXACT","1","0","True","REJECTED","CONFLICT","","CPPsite"
