pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
34058973,GLEANER: a web server for GermLine cycle Expression ANalysis and Epigenetic Roadmap visualization.,True,Y,medium,Described as web server for analysis/visualization - methodology tool,,
34016708,Analyzing the vast coronavirus literature with CoronaCentral.,True,Y,medium,Paper about analyzing literature - analysis paper not a database,,
28700989,DoriTool: A Bioinformatics Integrative Tool for Post-Association Functional Annotation.,True,Y,high,"Tool for annotation - pure methodology, despite having URL",,
30239679,AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture.,True,Y,medium,Paper about recommendations for databases - not a database itself,,
22448897,WAVOS: a MATLAB toolkit for wavelet analysis and visualization of oscillatory systems.,False,Y,high,Toolkit for analysis/visualization - pure methodology tool without URL,,
27530307,"C-DEVA: Detection, evaluation, visualization and annotation of clusters from biological networks.",False,Y,high,"Tool for detection/evaluation/visualization - methodology, no URL",,
34023905,"AnnotSV and knotAnnotSV: a web server for human structural variations annotations, ranking and analysis.",True,Y,medium,Web server for annotation/analysis - tool rather than data resource,,
25921073,FunRich: An open access standalone functional enrichment and interaction network analysis tool.,True,Y,high,Analysis tool - pure methodology despite having URL,,
33247936,VarStack: a web tool for data retrieval to interpret somatic variants in cancer.,True,Y,high,Web tool for data retrieval/interpretation - methodology tool,,
27560970,hEIDI: An Intuitive Application Tool To Organize and Treat Large-Scale Proteomics Data.,True,Y,high,Application tool for organizing data - methodology tool,,
26792120,Protein Sequence Annotation Tool (PSAT): a centralized web-based meta-server for high-throughput sequence annotations.,True,Y,high,Tool/meta-server for annotation - methodology,,
24008416,PAVIS: a tool for Peak Annotation and Visualization.,False,Y,high,Tool for annotation/visualization - pure methodology without URL,,
28077405,VRprofile: gene-cluster-detection-based profiling of virulence and antibiotic resistance traits encoded within genome sequences of pathogenic bacteria.,True,Y,high,Tool for profiling/detection - methodology,,
32471392,BEAVR: a browser-based tool for the exploration and visualization of RNA-seq data.,True,Y,high,Tool for exploration/visualization - methodology,,
26780094,Integrative genomic analysis by interoperation of bioinformatics tools in GenomeSpace.,True,Y,high,Integration platform for tools - methodology platform,,
25964301,OrthoVenn: a web server for genome wide comparison and annotation of orthologous clusters across multiple species.,True,Y,medium,Web server for comparison/annotation - tool,,
31598686,PIRATE: A fast and scalable pangenomics toolbox for clustering diverged orthologues in bacteria.,False,Y,high,Toolbox for clustering - pure methodology without URL,,
22008641,MrBac: a web server for draft metabolic network reconstructions for bacteria.,True,Y,medium,Web server for network reconstruction - methodology tool,,
33008309,PALMER: improving pathway annotation based on the biomedical literature mining with a constrained latent block model.,False,Y,high,Tool for improving annotation - methodology without URL,,
33430993,kGCN: a graph-based deep learning framework for chemical structures.,False,Y,high,Deep learning framework - pure methodology without URL,,
33613485,VirionFinder: Identification of Complete and Partial Prokaryote Virus Virion Protein From Virome Data Using the Sequence and Biochemical Properties of Amino Acids.,False,Y,high,Tool for identification using methodology - no URL,,
26385205,SORTA: a system for ontology-based re-coding and technical annotation of biomedical phenotype data.,True,Y,high,System for annotation - methodology tool,,
"29218917, 33737208",GeneDive: A gene interaction search and visualization tool to facilitate precision medicine.,True,Y,high,Tool for search/visualization - methodology,,
34107016,VirusViz: comparative analysis and effective visualization of viral nucleotide and amino acid variants.,True,Y,high,Tool for analysis/visualization - methodology,,
23209700,PROSPER: an integrated feature-based tool for predicting protease substrate cleavage sites.,True,Y,high,Tool for prediction - methodology,,
22449399,MotViz: a tool for sequence motif prediction in parallel to structural visualization and analyses.,True,Y,high,Tool for prediction/visualization - methodology,,
