pmid,title,issue_type,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,issue_description
32542364,GTDB: an integrated resource for glycosyltransferase sequences and annotations.,DEAD_HIGH_SCORE,https://www.biosino.org/gtdb/,73.0,True,gtdb,Dead URL with high score (73.0) - may need investigation
31032842,The MACADAM database: a MetAboliC pAthways DAtabase for Microbial taxonomic groups for mining potential metabolic capacities of archaeal and bacterial taxonomic groups.,DEAD_HIGH_SCORE,http://macadam.toulouse.inra.fr,50.0,True,macadam,Dead URL with high score (50.0) - may need investigation
35088001,The GWAS-MAP platform for aggregation of results of genome-wide association studies and the GWAS-MAP|homo database of 70 billion genetic associations of human traits.,LOW_SCORE,http://www.ukbiobank.ac.uk/,13.0,False,,Low score (13.0) - URL may be incorrect
22139914,MOPED: Model Organism Protein Expression Database.,DEAD_HIGH_SCORE,http://moped.proteinspire.org,63.0,True,"moped, protein",Dead URL with high score (63.0) - may need investigation
26504853,FluKB: A Knowledge-Based System for Influenza Vaccine Target Discovery and Analysis of the Immunological Properties of Influenza Viruses.,DEAD_HIGH_SCORE,http://research4.dfci.harvard.edu/cvc/flukb/,65.0,True,flukb,Dead URL with high score (65.0) - may need investigation
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,LOW_SCORE,https://www.geneious.com,8.0,False,,Low score (8.0) - URL may be incorrect
26882984,RhesusBase PopGateway: Genome-Wide Population Genetics Atlas in Rhesus Macaque.,DEAD_HIGH_SCORE,http://www.rhesusbase.org/popGateway,55.0,True,"rhesusbase, popgateway, rhesus",Dead URL with high score (55.0) - may need investigation
23164068,Huvariome: a web server resource of whole genome next-generation sequencing allelic frequencies to aid in pathological candidate gene selection.,DEAD_HIGH_SCORE,http://huvariome.erasmusmc.nl,50.0,True,huvariome,Dead URL with high score (50.0) - may need investigation
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,DEAD_HIGH_SCORE,https://lfz.corefacility.ca/superphy/spfy/,60.0,True,spfy,Dead URL with high score (60.0) - may need investigation
33066523,circ2GO: A Database Linking Circular RNAs to Gene Function.,DEAD_HIGH_SCORE,https://circ2GO.dkfz.de,60.0,True,circ2go,Dead URL with high score (60.0) - may need investigation
31286860,DAIRYdb: a manually curated reference database for improved taxonomy annotation of 16S rRNA gene sequences from dairy products.,LOW_SCORE,http://www.drive5.com/uchime/rdp_gold.fa,10.0,False,,Low score (10.0) - URL may be incorrect
31598718,SEAweb: the small RNA Expression Atlas web application.,LOW_SCORE,http://sea.ims.bio/,18.0,False,,Low score (18.0) - URL may be incorrect
