"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"DESM","DEOP","1.95","MAYBE","SAME_DOMAIN_SPECIFIC, EDIT_DIST_2, URL_SIM_0.91","THRESHOLD_EDGE","2","http://www.cbrc.kaust.edu.sa/desm","http://www.cbrc.kaust.edu.sa/deop","Microbial Knowledge Exploration Portal","ragon Explorer of Osmoprotection associated Pathways"
"PopHuman","PopHumanScan","1.95","MAYBE","SAME_DOMAIN_SPECIFIC, CONTAINS_0.6, URL_SIM_0.89","THRESHOLD_EDGE","4","http://pophuman.uab.cat","http://pophumanscan.uab.cat","Human Population Genomics Browser",""
"HIPdb","AVPdb","1.95","MAYBE","SAME_DOMAIN_SPECIFIC, EDIT_DIST_2, URL_SIM_0.93","THRESHOLD_EDGE","2","http://crdd.osdd.net/servers/hipdb","http://crdd.osdd.net/servers/avpdb","HIV Inhibiting Peptide Database",""
"VuGEA","LjGEA","1.95","MAYBE","SAME_DOMAIN_SPECIFIC, EDIT_DIST_2, URL_SIM_0.87","THRESHOLD_EDGE","2","http://vugea.noble.org","http://ljgea.noble.org","Vigna unguiculata Gene Expression Atlas","Lotus japonicus Gene Expression Atlas"
"NPAtlas","pATLAS","1.9","MAYBE","EDIT_DIST_1, CONTAINS_0.6, URL_SIM_0.64","THRESHOLD_EDGE","1","http://www.npatlas.org","http://www.patlas.site","Natural Products Atlas",""
"MIPS PlantsDB","PlantsDB","1.85","MAYBE","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_0.65","","5","http://mips.helmholtz-muenchen.de/plant/genomes.jsp","http://pgsb.helmholtz-muenchen.de/plant/index.jsp, http://transplantdb.eu","Munich Information Center for Protein Sequences Plants Database","Plant Genome and Systems Biology"
"TautomerDB","tautomeric","1.85","MAYBE","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_SIM_1.00","GENERIC_DOMAIN","2","https://cactus.nci.nih.gov/download/tautomer/","http://cactus.nci.nih.gov/download/tautomer","Tautomer Database","tautomeric"
"GXA","GOA","1.85","MAYBE","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_SIM_0.92","GENERIC_DOMAIN","1","http://www.ebi.ac.uk/gxa","http://www.ebi.ac.uk/GOA","Gene Expression Atlas","Gene Ontology Annotation"
"Virus Variation Resource","Virus Variation","1.85","MAYBE","SAME_DOMAIN_GENERIC, CONTAINS_0.6, URL_SIM_0.95","GENERIC_DOMAIN","9","http://www.ncbi.nlm.nih.gov/genome/viruses/variation/","http://www.ncbi.nlm.nih.gov/genomes/VirusVariation","Virus Genomic Variation Database","Variation Resource"
"M-CSA","CSA","1.85","MAYBE","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_SIM_0.81, LONG_SIM_0.74","GENERIC_DOMAIN","2","http://www.ebi.ac.uk/thornton-srv/m-csa","http://www.ebi.ac.uk/thornton-srv/databases/CSA","Mechanism and Catalytic Site Atlas","Catalytic Site Atlas"
"Viruses.STRING","STRING","1.85","MAYBE","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_0.76","","8","viruses.string-db.org","http://string-db.org","Virus-Host Protein Interaction Database",""
"IKBKG LOVD","LOVD","1.85","MAYBE","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_0.70","","6","http://IKBKG.lovd.nl","http://www.LOVD.nl","IKBKG Mutation Database","Leiden Open-source Variation Database"
