"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"1000GSB","1000 Genomes Selection Browser","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","23","http://hsb.upf.edu","http://hsb.upf.edu","1000 Genomes Selection Browser","1000 Genomes Selection Browser"
"2019-nCoV","2019nCoVR","2.25","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_SIM_0.85, LONG_SIM_1.00","GENERIC_DOMAIN","2","https://bigd.big.ac.cn/ncov","http://bigd.big.ac.cn","2019 Novel Coronavirus Resource","2019 Novel Coronavirus Resource"
"AREsite","AREsite2","4.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","GENERIC_DOMAIN","1","http://rna.tbi.univie.ac.at/AREsite","http://rna.tbi.univie.ac.at/AREsite","AU-Rich Element site",""
"ACD","Antimicrobial chemotherapeutics database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","37","http://amdr.amu.ac.in/acd","http://amdr.amu.ac.in/acd","Antimicrobial Chemotherapeutics Database","Antimicrobial chemotherapeutics database"
"Clone DB","Clone","2.35","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_3, CONTAINS_0.8, URL_SIM_1.00","GENERIC_DOMAIN","3","http://www.ncbi.nlm.nih.gov/clone/","http://www.ncbi.nlm.nih.gov/clone","Clone-Associated Data Database",""
"CoCoPUTs","Codon and Codon-Pair Usage Tables","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","https://hive.biochemistry.gwu.edu/review/codon2","http://hive.biochemistry.gwu.edu/review/codon2","Codon and Codon-Pair Usage Tables","Codon and Codon-Pair Usage Tables"
"CKB","Cyanobacterial KnowledgeBase","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","http://nfmc.res.in/ckb/index.html","http://nfmc.res.in/ckb/index.html","Cyanobacterial KnowledgeBase","Cyanobacterial KnowledgeBase"
"Gene ATLAS","GeneATLAS","2.25","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_SIM_1.00","GENERIC_DOMAIN","1","http://geneatlas.roslin.ed.ac.uk","http://geneatlas.roslin.ed.ac.uk","UK Biobank Genetic Associations Atlas",""
"Ginseng GDB","Ginseng Genome Database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","12","http://ginsengdb.snu.ac.kr","http://ginsengdb.snu.ac.kr","Ginseng Genome Database","Ginseng Genome Database"
"HPD","HProtDB","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, THRESHOLD_EDGE","4","http://webapp.cabgrid.res.in/protein/","http://webapp.cabgrid.res.in/protein","Halophile Protein Database","Halophile protein database"
