"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"1000GSB","1000 Genomes Selection Browser","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","23","http://hsb.upf.edu","http://hsb.upf.edu","1000 Genomes Selection Browser","1000 Genomes Selection Browser"
"10000 Immunomes Project","10KIP","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.98","HIGH_ED_MATCH","19","http://10kimmunomes.org/","http://10kimmunomes.org","10000 Immunomes Project","10,000 Immunomes Project"
"Avian Immunome DB","AVIMM","2.15","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.85","HIGH_ED_MATCH","12","https://avimm.ab.mpg.de","http://avimm.ab.mpg.de","Avian Immunome Database","Avian Immunome DB"
"Addgene","Addgene Repository","2.55","Y","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_1.00","HIGH_ED_MATCH","11","http://www.addgene.org","http://www.addgene.org","Addgene",""
"AECD","Antimicrobial Enzyme Combinations Database","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.98","HIGH_ED_MATCH","38","https://www.ceb.uminho.pt/aecd","http://www.ceb.uminho.pt/aecd","Antimicrobial-Enzyme Combinations Database","Antimicrobial Enzyme Combinations Database"
"ACD","Antimicrobial chemotherapeutics database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","37","http://amdr.amu.ac.in/acd","http://amdr.amu.ac.in/acd","Antimicrobial Chemotherapeutics Database","Antimicrobial chemotherapeutics database"
"ANAP","Arabidopsis Network Analysis Pipeline","2.15","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.86","HIGH_ED_MATCH","33","http://gmdd.shgmo.org/Computational-Biology/ANAP","http://gmdd.shgmo.org/Computational-Biology/ANAP","Arabidopsis Network Analysis Portal","Arabidopsis Network Analysis Pipeline"
"ABIDE","Autism Brain Imaging Data Exchange","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","29","http://fcon_1000.projects.nitrc.org/indi/abide/","http://fcon_1000.projects.nitrc.org/indi/abide","Autism Brain Imaging Data Exchange","Autism Brain Imaging Data Exchange"
"Brain cancer gene database","BCGene","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","20","http://soft.bioinfo-minzhao.org/bcgene/","http://soft.bioinfo-minzhao.org/bcgene","Brain cancer gene database","brain cancer gene database"
"BCD","Bird Chromosome Database","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","21","https://sites.unipampa.edu.br/birdchromosomedatabase","http://sites.unipampa.edu.br/birdchromosomedatabase","Bird Chromosome Database","Bird Chromosome Database"
"BAR-PLUS","Bologna Annotation Resource","2.15","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_0.92, LONG_SIM_0.92","HIGH_ED_MATCH","23","http://bar.biocomp.unibo.it/bar2.0","http://bar.biocomp.unibo.it/bar3","Bologna Annotation Resource PLUS","Bologna Annotation Resource"
"BTD","Brain Tumor Database","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","17","http://tumorsdatabase.altervista.org","http://tumorsdatabase.altervista.org","Brain Tumor Database","Brain Tumor Database"
"CGGA","Chinese Glioma Genome Atlas","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","23","http://www.cgga.org.cn","http://www.cgga.org.cn","Chinese Glioma Genome Atlas","Chinese Glioma Genome Atlas"
"Coronavirus Database","CoVdb","2.55","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_1.00","HIGH_ED_MATCH","15","http://covdb.popgenetics.net","http://covdb.popgenetics.net","Coronavirus Database","coronavirus database"
"CoCoPUTs","Codon and Codon-Pair Usage Tables","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","https://hive.biochemistry.gwu.edu/review/codon2","http://hive.biochemistry.gwu.edu/review/codon2","Codon and Codon-Pair Usage Tables","Codon and Codon-Pair Usage Tables"
"Cyanobacteria Scratchpad","Cyanobacteria culture collection","2.15","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.75","HIGH_ED_MATCH","16","http://cyanobacteria.myspecies.info/","http://cyanobacteria.myspecies.info","Cyanobacteria Biodiversity Collection","Cyanobacteria culture collection"
"CKB","Cyanobacterial KnowledgeBase","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","http://nfmc.res.in/ckb/index.html","http://nfmc.res.in/ckb/index.html","Cyanobacterial KnowledgeBase","Cyanobacterial KnowledgeBase"
