"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"1000GSB","1000 Genomes Selection Browser","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","23","http://hsb.upf.edu","http://hsb.upf.edu","1000 Genomes Selection Browser","1000 Genomes Selection Browser"
"ACD","Antimicrobial chemotherapeutics database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","37","http://amdr.amu.ac.in/acd","http://amdr.amu.ac.in/acd","Antimicrobial Chemotherapeutics Database","Antimicrobial chemotherapeutics database"
"CoCoPUTs","Codon and Codon-Pair Usage Tables","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","https://hive.biochemistry.gwu.edu/review/codon2","http://hive.biochemistry.gwu.edu/review/codon2","Codon and Codon-Pair Usage Tables","Codon and Codon-Pair Usage Tables"
"CKB","Cyanobacterial KnowledgeBase","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","25","http://nfmc.res.in/ckb/index.html","http://nfmc.res.in/ckb/index.html","Cyanobacterial KnowledgeBase","Cyanobacterial KnowledgeBase"
"Ectomychorrizal DB","EctomycorrhizalDB","2.05","Y","SAME_DOMAIN_SPECIFIC, EDIT_DIST_3, URL_SIM_1.00","THRESHOLD_EDGE","3","http://www.kubic.nic.in/ectomychorhiza","http://www.kubic.nic.in/ectomychorhiza","Ectomycorrhizal Symbiotic Association Database",""
"Ginseng GDB","Ginseng Genome Database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","12","http://ginsengdb.snu.ac.kr","http://ginsengdb.snu.ac.kr","Ginseng Genome Database","Ginseng Genome Database"
"eHOMD","HOMD","2.0","Y","EDIT_DIST_1, CONTAINS_0.6, LONG_SIM_0.87","THRESHOLD_EDGE","1","http://www.ehomd.org","http://www.sklod.org/ombc","Expanded Human Oral Microbiome Database","Human Oral Microbiome Database"
"HPD","HProtDB","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, THRESHOLD_EDGE","4","http://webapp.cabgrid.res.in/protein/","http://webapp.cabgrid.res.in/protein","Halophile Protein Database","Halophile protein database"
"HfwADB","Hawaiian Freshwater Algal Database","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","28","http://algae.manoa.hawaii.edu/hfwadb/","http://algae.manoa.hawaii.edu/hfwadb","Hawaiian Freshwater Algal Database","Hawaiian Freshwater Algal Database"
"IGDB","IGDB.NSCLC","2.05","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_SIM_1.00","GENERIC_DOMAIN, THRESHOLD_EDGE","6","http://igdb.nsclc.ibms.sinica.edu.tw","http://igdb.nsclc.ibms.sinica.edu.tw","IGDB",""
"IDEAL","Intrinsically Disordered proteins with Extensive Annotations and Literature","2.05","Y","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE","70","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL","Intrinsically Disordered Proteins with Extensive Annotations and Literature","Intrinsically Disordered proteins with Extensive Annotations and Literature"
