"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long","conflict_winner"
"CDB","3CDB","2.5","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1","","1","http://www.jct-bioinfo.com/cdb/search","http://3cdb.big.ac.cn","Cistrome Data Browser","","3CDB"
"DGD","3DGD","2.8","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1, URL_SIM_0.62","","1","http://dgd.genouest.org","http://3dgd.biosino.org","Duplicated Genes Database","Genome Database","3DGD"
"sRNAdb","5SRNAdb","3.1","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6","","1","","http://combio.pl/5srnadb","Small RNA Database","","5SRNAdb"
"ADReCS-Target","ADReCS","2.45","CONFLICT","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_SIM_0.87, LONG_SIM_0.92","GENERIC_DOMAIN","7","http://bioinf.xmu.edu.cn/ADReCS-Target","http://bioinf.xmu.edu.cn/ADReCS","Adverse Drug Reaction Classification System Target","Adverse Drug Reaction Classification System","ADReCS"
"BgeeDB","Bgee","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","https://www.bioconductor.org/packages/BgeeDB/","http://bgee.org","Bgee Database","","Bgee"
"BIOPEP","BioPepDB","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","http://www.uwm.edu.pl/biochemia/index.php/pl/biopep","http://bis.zju.edu.cn/biopepdbr","Bioactive Peptides Database","","BioPepDB"
"CAMPR3","CAMP","2.45","CONFLICT","SAME_DOMAIN_GENERIC, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_0.98","GENERIC_DOMAIN","2","http://www.camp3.bicnirrh.res.in","http://www.camp.bicnirrh.res.in","Antimicrobial Peptides Database","Collection of Antimicrobial Peptide","CAMP"
"MGOB","CGOB","2.35","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.91","","1","http://mgob.ucd.ie","http://cgob.ucd.ie","Methylotroph Gene Order Browser","Candida Gene Order Browser","CGOB"
"CDC Hemophilia B mutation project","CHBMP","2.55","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.94","HIGH_ED_MATCH","28","http://www.cdc.gov/hemophiliamutations","http://www.cdc.gov/hemophiliamutations","CDC Hemophilia B mutation project","Hemophilia B mutation project","CHAMP"
"ROD","COD","2.35","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.90","","1","http://www.crystallography.net/cod","http://www.crystallography.net","Raman Open Database","Crystallography Open Database","COD"
"Cppsite","CPPsite","10.0","CONFLICT","EXACT","","0","https://webs.iiitd.edu.in/raghava/cppsite","http://webs.iiitd.edu.in/raghava/cppsite","Cppsite","","CPPsite"
"CanvasDB","CanVaS","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","","http://ithaka.rrp.demokritos.gr/CanVaS","CanvasDB","Cancer Variation","CanVaS"
"CreZOO","CreZoo","10.0","CONFLICT","EXACT","","0","http://www.crezoo.org/","http://crezoo.crt-dresden.de","Cre Recombinase Zoo","","CreZoo"
"DOCKGROUND","DOCKGROUND","10.0","CONFLICT","EXACT","","0","http://dockground.bioinformatics.ku.edu","http://dockground.compbio.ku.edu","Docking Ground database","","Dockground"
