"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url"
"LeukmiR","LeukmiR","10.0","Y","EXACT","","0","http://tdb.ccmb.res.in/LeukmiR/","http://tdb.ccmb.res.in/LeukmiR"
"TIMBAL","TIMBAL","10.0","Y","EXACT","","0","http://www-cryst.bioc.cam.ac.uk/timbal","http://www-cryst.bioc.cam.ac.uk/timbal"
"Negatome","Negatome","10.0","Y","EXACT","","0","http://mips.helmholtz-muenchen.de/proj/ppi/negatome","http://mips.helmholtz-muenchen.de/proj/ppi/negatome"
"IsoBase","IsoBase","10.0","Y","EXACT","","0","http://isobase.csail.mit.edu/","http://isobase.csail.mit.edu"
"CSA","CSA","10.0","Y","EXACT","","0","http://www.ebi.ac.uk/thornton-srv/databases/CSA","http://www.ebi.ac.uk/thornton-srv/databases/CSA"
"ZikaBase","ZikaBase","10.0","Y","EXACT","","0","https://test5.bicpu.edu.in","http://test5.bicpu.edu.in"
"RED","RED","10.0","Y","EXACT","","0","http://expression.ic4r.org","http://expression.ic4r.org"
"DbMDR","DbMDR","10.0","Y","EXACT","","0","http://203.190.147.116/dbmdr/","http://203.190.147.116/dbmdr"
"SwissLipids","SwissLipids","10.0","Y","EXACT","","0","http://www.swisslipids.org/","http://www.swisslipids.org"
"MicroScope","MicroScope","10.0","Y","EXACT","","0","http://www.genoscope.cns.fr/agc/microscope","http://www.genoscope.cns.fr/agc/microscope"
"DoriC","DoriC","10.0","Y","EXACT","","0","","http://tubic.org/doric/, http://tubic.tju.edu.cn/doric"
"CDD","CDD","10.0","Y","EXACT","","0","https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml","http://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml"
"HelmCoP","HelmCoP","10.0","Y","EXACT","","0","http://www.nematode.net/helmcop.html","http://www.nematode.net/helmcop.html"
"MeDAS","MeDAS","10.0","Y","EXACT","","0","https://das.chenlulab.com","http://das.chenlulab.com"
"NeisseriaBase","NeisseriaBase","10.0","Y","EXACT","","0","http://neisseria.um.edu.my","http://neisseria.um.edu.my"
"InvFEST","InvFEST","10.0","Y","EXACT","","0","http://invfestdb.uab.cat","http://invfestdb.uab.cat"
"SABIO-RK","SABIO-RK","10.0","Y","EXACT","","0","http://sabio.h-its.org/","http://sabiork.h-its.org"
"SNP@lincTFBS","SNP@lincTFBS","10.0","Y","EXACT","","0","http://bioinfo.hrbmu.edu.cn/SNP_lincTFBS","http://bioinfo.hrbmu.edu.cn/SNP_lincTFBS"
"gEVE","gEVE","10.0","Y","EXACT","","0","http://geve.med.u-tokai.ac.jp","http://geve.med.u-tokai.ac.jp"
"LifeMap Discovery","LifeMap Discovery","10.0","Y","EXACT","","0","http://discovery.lifemapsc.com","http://discovery.lifemapsc.com"
"FlyXCDB","FlyXCDB","10.0","Y","EXACT","","0","http://prodata.swmed.edu/FlyXCDB","http://prodata.swmed.edu/FlyXCDB"
"OAS","OAS","10.0","Y","EXACT","","0","http://antibodymap.org","http://opig.stats.ox.ac.uk/webapps/oas"
"CoV3D","CoV3D","10.0","Y","EXACT","","0","https://cov3d.ibbr.umd.edu","http://cov3d.ibbr.umd.edu"
"denovo-db","denovo-db","10.0","Y","EXACT","","0","http://denovo-db.gs.washington.edu","http://denovo-db.gs.washington.edu"
