"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"AREsite","AREsite2","4.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","GENERIC_DOMAIN","1","http://rna.tbi.univie.ac.at/AREsite","http://rna.tbi.univie.ac.at/AREsite","AU-Rich Element site",""
"2DE-pattern","DE-pattern","4.85","Y","SAME_DOMAIN_SPECIFIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","","1","http://2de-pattern.pnpi.nrcki.ru","http://2de-pattern.pnpi.nrcki.ru","Two-Dimensional Electrophoresis Pattern Database",""
"Florabank","Florabank1","3.1","Y","DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6","","1","http://projects.biodiversity.be/ifblAll","http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll","Flora Bank",""
"GENE2D","Gene3D","2.5","Y","DIGIT_VERSION_DIFF, EDIT_DIST_1","","1","","http://gene3d.biochem.ucl.ac.uk","GENE2D",""
"HomeoDB","HomeoDB2","4.75","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00, LONG_SIM_0.87","GENERIC_DOMAIN","1","http://homeodb.zoo.ox.ac.uk","http://homeodb.zoo.ox.ac.uk","Homeobox Database","Homeobox gene database"
"POGs","POGs2","4.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","GENERIC_DOMAIN","1","http://pogs.uoregon.edu/","http://pogs.uoregon.edu","POGs","Putative orthologous Groups 2 Database"
"PRODORIC","PRODORIC2","4.85","Y","SAME_DOMAIN_SPECIFIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","","1","http://www.prodoric2.de","http://www.prodoric2.de","Prokaryotic Database Of gene Regulation",""
"SABRE2","SABRE","4.85","Y","SAME_DOMAIN_SPECIFIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","","1","http://sabre.epd.brc.riken.jp/SABRE2.html","http://sabre.epd.brc.riken.jp/SABRE2.html","SABRE Database Version 2","Systematic consolidation of Arabidopsis and"
"SUBA","SUBA3","5.15","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00, LONG_SIM_0.96","GENERIC_DOMAIN","1","http://suba.plantenergy.uwa.edu.au","http://suba.plantenergy.uwa.edu.au","SUBcellular localization database for Arabidopsis proteins","subcellular location database for Arabidopsis proteins"
"proGenomes","proGenomes2","4.85","Y","SAME_DOMAIN_SPECIFIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","","1","http://progenomes.embl.de","http://progenomes.embl.de","proGenomes",""
