"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"2P2Idb","2P2I","3.95","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","","2","http://2p2idb.cnrs-mrs.fr","http://2p2idb.cnrs-mrs.fr","Protein-Protein Interaction Database",""
"Antagomirbase","Antagomir","3.35","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, CONTAINS_0.6, URL_SIM_1.00","","4","http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html","http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html","Antagomir Database",""
"CarotenoidDB","Carotenoid","3.95","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","","2","http://carotenoiddb.jp","http://carotenoiddb.jp","Carotenoids Database","Carotenoid"
"GRIN","GRINdb","3.95","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","","2","http://lmc.uab.es/grindb","http://lmc.uab.es/grindb","Glutamate Receptor Ionotropic NMDA Database","RIN database"
"HOCTAR","HOCTARdb","3.95","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","","2","http://hoctar.tigem.it/","http://hoctar.tigem.it","Host and C. elegans microRNA Target Resource",""
"HYPO","HypoDB","3.95","Y","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","","2","http://www.bioclues.org/hypo2","http://www.bioclues.org/hypo2","Human Hypothetical Proteins Database",""
"RiceDB","Rice","3.45","Y","SAME_DOMAIN_GENERIC, DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_1.00","GENERIC_DOMAIN","2","http://ricedb.plantenergy.uwa.edu.au","http://ricedb.plantenergy.uwa.edu.au","Rice Database",""
"Monarch","MonarchBase","1.6","MAYBE","DB_SUFFIX_DIFF, CONTAINS_0.6","","4","https://monarchinitiative.org","http://monarchbase.umassmed.edu","Monarch Initiative",""
"MINTbase","MINT","1.3","MAYBE","DB_SUFFIX_DIFF, CONTAINS_0.3","","4","http://cm.jefferson.edu/MINTbase/","http://mint.bio.uniroma2.it/mint/, http://mint.bio.uniroma2.it/mint/download.do","Mitochondrial and Nuclear tRNA fragment base","Molecular INTeraction Database"
"MASS","MassBase","1.3","MAYBE","DB_SUFFIX_DIFF, CONTAINS_0.3","","4","http://www.ceams-carsm.ca/en/MASS","http://webs2.kazusa.or.jp/massbase/, http://webs2.kazusa.or.jp/km2","Montreal Archive of Sleep Studies",""
"dreamBase","DREAM","1.3","MAYBE","DB_SUFFIX_DIFF, CONTAINS_0.3","","4","http://rna.sysu.edu.cn/dreamBase","http://bio-big-data.cn:8080/DREAM","DNA RNA and Epigenomics Associated Modules Base","Drug Response Gene Expression Associated Map"
"PCOS","PCOSBase","1.3","MAYBE","DB_SUFFIX_DIFF, CONTAINS_0.3","","4","http://www.sicau.edu.cn/web/yms/PCOSWeb/PCOS.html","http://pcosbase.org","Poaceae COSII Database",""
"VIS","VISDB","1.0","MAYBE","DB_SUFFIX_DIFF","","2","","http://bioinfo.uth.edu/VISDB","Fish Distribution Database","Viral"
