"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"BCD","Bird Chromosome Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","21","https://sites.unipampa.edu.br/birdchromosomedatabase","http://sites.unipampa.edu.br/birdchromosomedatabase","Bird Chromosome Database","Bird Chromosome Database"
"AREsite","AREsite2","5.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_EXACT_MATCH","GENERIC_DOMAIN","1","http://rna.tbi.univie.ac.at/AREsite","http://rna.tbi.univie.ac.at/AREsite","AU-Rich Element site",""
"IGDB","IGDB.NSCLC","3.05","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","6","http://igdb.nsclc.ibms.sinica.edu.tw","http://igdb.nsclc.ibms.sinica.edu.tw","IGDB",""
"MEGADOCK-Web","MEGADOCK","3.05","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","4","http://www.bi.cs.titech.ac.jp/megadock-web/","http://www.bi.cs.titech.ac.jp/megadock-web","MEGADOCK Web database",""
"LCED","LccED","4.55","Y","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_EXACT_MATCH, LONG_SIM_0.93","","1","http://www.lcced.uni-stuttgart.de","http://www.lcced.uni-stuttgart.de","Laccase Engineering Database","The Laccase Engineering Database"
"SWISS-MODEL","SMR","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.95","","9","https://swissmodel.expasy.org/repository","http://swissmodel.expasy.org/repository","Swiss Model Repository","SWISS-MODEL Repository"
"NHPRTR","non-human primate reference transcriptome resource","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","44","http://nhprtr.org","http://nhprtr.org","Non-Human Primate Reference Transcriptome Resource","non-human primate reference transcriptome resource"
"HfwADB","Hawaiian Freshwater Algal Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","28","http://algae.manoa.hawaii.edu/hfwadb/","http://algae.manoa.hawaii.edu/hfwadb","Hawaiian Freshwater Algal Database","Hawaiian Freshwater Algal Database"
"Addgene","Addgene Repository","3.55","Y","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_EXACT_MATCH","HIGH_ED_MATCH","11","http://www.addgene.org","http://www.addgene.org","Addgene",""
"PRODORIC","PRODORIC2","5.85","Y","SAME_DOMAIN_SPECIFIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_EXACT_MATCH","","1","http://www.prodoric2.de","http://www.prodoric2.de","Prokaryotic Database Of gene Regulation",""
"Cyanobacterial strains database","CyanoType","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","24","http://lege.ciimar.up.pt/cyanotype","http://lege.ciimar.up.pt/cyanotype","Cyanobacterial strains database",""
"VVR","Virus Variation","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.86","GENERIC_DOMAIN, HIGH_ED_MATCH","12","http://www.ncbi.nlm.nih.gov/genomes/VirusVariation/","http://www.ncbi.nlm.nih.gov/genomes/VirusVariation","Virus Variation Resource","Variation Resource"
"MFGA","Male Fertility Gene Atlas","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","21","https://mfga.uni-muenster.de","http://mfga.uni-muenster.de","Male Fertility Gene Atlas","Male Fertility Gene Atlas"
