"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long","conflict_winner"
"NGDC","2019nCoVR","2.25","CONFLICT","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","8","https://bigd.big.ac.cn","http://bigd.big.ac.cn","National Genomics Data Center","2019 Novel Coronavirus Resource","2019-nCoV"
"BIG Data Center","2019nCoVR","2.25","CONFLICT","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","13","http://bigd.big.ac.cn","http://bigd.big.ac.cn","Beijing Institute of Genomics Data Center","2019 Novel Coronavirus Resource","2019-nCoV"
"National Genomics Data Center","2019nCoVR","2.25","CONFLICT","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","26","https://bigd.big.ac.cn","http://bigd.big.ac.cn","National Genomics Data Center","2019 Novel Coronavirus Resource","2019-nCoV"
"CDB","3CDB","2.5","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1","","1","http://www.jct-bioinfo.com/cdb/search","http://3cdb.big.ac.cn","Cistrome Data Browser","","3CDB"
"DGD","3DGD","2.8","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1, URL_SIM_0.62","","1","http://dgd.genouest.org","http://3dgd.biosino.org","Duplicated Genes Database","Genome Database","3DGD"
"sRNAdb","5SRNAdb","3.1","CONFLICT","DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6","","1","","http://combio.pl/5srnadb","Small RNA Database","","5SRNAdb"
"ADReCS-Target","ADReCS","2.45","CONFLICT","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_SIM_0.87, LONG_SIM_0.92","GENERIC_DOMAIN","7","http://bioinf.xmu.edu.cn/ADReCS-Target","http://bioinf.xmu.edu.cn/ADReCS","Adverse Drug Reaction Classification System Target","Adverse Drug Reaction Classification System","ADReCS"
"KIR Database","AFND","2.75","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","11","http://www.allelefrequencies.net","http://www.allelefrequencies.net","Killer Cell Immunoglobulin-like Receptor Database","Allele Frequency Net Database","AFND"
"Allen Human Brain Atlas","Allen Brain Atlas","2.75","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","","6","http://www.brain-map.org","http://www.brain-map.org","Allen Human Brain Atlas","","Allen Brain Atlas"
"Badapple","BARD","2.25","CONFLICT","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","6","http://bard.nih.gov","http://bard.nih.gov","Bad Apple Promiscuity Database","BioAssay Research Database","BARD"
"BgeeDB","Bgee","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","https://www.bioconductor.org/packages/BgeeDB/","http://bgee.org","Bgee Database","","Bgee"
"BIOPEP","BioPepDB","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","http://www.uwm.edu.pl/biochemia/index.php/pl/biopep","http://bis.zju.edu.cn/biopepdbr","Bioactive Peptides Database","","BioPepDB"
"BLD","Bioinformatics Links","2.75","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","18","http://bioinformatics.ca/links_directory/","http://bioinformatics.ca/links_directory","Bioinformatics Links Directory","","Bioinformatics Links"
"CAMPR3","CAMP","2.45","CONFLICT","SAME_DOMAIN_GENERIC, EDIT_DIST_2, CONTAINS_0.6, URL_SIM_0.98","GENERIC_DOMAIN","2","http://www.camp3.bicnirrh.res.in","http://www.camp.bicnirrh.res.in","Antimicrobial Peptides Database","Collection of Antimicrobial Peptide","CAMP"
"MGOB","CGOB","2.35","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.91","","1","http://mgob.ucd.ie","http://cgob.ucd.ie","Methylotroph Gene Order Browser","Candida Gene Order Browser","CGOB"
"CDC Hemophilia B mutation project","CHBMP","3.55","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.94","HIGH_ED_MATCH","28","http://www.cdc.gov/hemophiliamutations","http://www.cdc.gov/hemophiliamutations","CDC Hemophilia B mutation project","Hemophilia B mutation project","CHAMP"
"ROD","COD","2.35","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.90","","1","http://www.crystallography.net/cod","http://www.crystallography.net","Raman Open Database","Crystallography Open Database","COD"
"Cppsite","CPPsite","10.0","CONFLICT","EXACT","","0","https://webs.iiitd.edu.in/raghava/cppsite","http://webs.iiitd.edu.in/raghava/cppsite","Cppsite","","CPPsite"
"CanvasDB","CanVaS","2.2","CONFLICT","DB_SUFFIX_DIFF, EDIT_DIST_2, CONTAINS_0.6","","2","","http://ithaka.rrp.demokritos.gr/CanVaS","CanvasDB","Cancer Variation","CanVaS"
"CreZOO","CreZoo","10.0","CONFLICT","EXACT","","0","http://www.crezoo.org/","http://crezoo.crt-dresden.de","Cre Recombinase Zoo","","CreZoo"
"DOCKGROUND","DOCKGROUND","10.0","CONFLICT","EXACT","","0","http://dockground.bioinformatics.ku.edu","http://dockground.compbio.ku.edu","Docking Ground database","","Dockground"
"SPTEdb","DPTEdb","3.15","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_1, URL_SIM_0.97, LONG_SIM_0.88","","1","http://genedenovoweb.ticp.net:81/SPTEdb/index.php","http://genedenovoweb.ticp.net:81/DPTEdb/index.php","Salicaceous Plant Transposable Elements Database","dioecious plant transposable element database","DPTEdb"
"CompTox","DSSTox","2.75","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","","4","https://comptox.epa.gov/dashboard/","http://comptox.epa.gov/dashboard","Computational Toxicology Chemistry Dashboard","Toxicity","DSSTox"
"DRUGPATH","DrugPath","10.0","CONFLICT","EXACT","","0","","http://www.drugpath.org, http://mimi.ncibi.org","Drug Gene Pathway Database","","DrugPath"
"ECG-ViEW II","ECG-ViEW","3.65","CONFLICT","SAME_DOMAIN_SPECIFIC, EDIT_DIST_3, CONTAINS_0.6, URL_EXACT_MATCH","","3","http://www.ecgview.org","http://www.ecgview.org","Electrocardiogram Visualization and Analysis Database","Electrocardiogram Vigilance with Electronic data Warehouse II","ECG-ViEW"
"ECO IARC","ECO","3.55","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","","5","http://eco.iarc.fr/","http://eco.iarc.fr","European Cancer Observatory","European Cancer Observatory","ECO"
"European Cancer Observatory","ECO","3.55","CONFLICT","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","24","http://eco.iarc.fr","http://eco.iarc.fr","European Cancer Observatory","European Cancer Observatory","ECO"
