"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url","extracted_long","baseline_long"
"CSVS","CSVS","10.0","Y","EXACT","","0","http://csvs.babelomics.org/","http://csvs.babelomics.org","Collaborative Spanish Variant Server","Collaborative Spanish Variability Server"
"CarbonylDB","CarbonylDB","10.0","Y","EXACT","","0","http://digbio.missouri.edu/CarbonylDB/","http://digbio.missouri.edu/CarbonylDB","Carbonylation Database",""
"InteracDome","InteracDome","10.0","Y","EXACT","","0","http://interacdome.princeton.edu","http://interacdome.princeton.edu","InteracDome",""
"MarinegenomicsDB","MarinegenomicsDB","10.0","Y","EXACT","","0","http://marinegenomics.oist.jp","http://marinegenomics.oist.jp","Marine Genomics Database",""
"SchistoDB","SchistoDB","10.0","Y","EXACT","","0","http://SchistoDB.net","http://SchistoDB.net","SchistoDB",""
"OryzaGenome","OryzaGenome","10.0","Y","EXACT","","0","http://viewer.shigen.info/oryzagenome/","http://viewer.shigen.info/oryzagenome21detail/index.xhtml, http://shigen.nig.ac.jp/rice/oryzabase","Oryza Genome",""
"UVGD","UVGD","10.0","Y","EXACT","","0","http://biokb.ncpsb.org/UVGD/","http://biokb.ncpsb.org/UVGD","UltraViolet Gene Database",""
"PubChem","PubChem","10.0","Y","EXACT","","0","http://pubchem.ncbi.nlm.nih.gov","http://pubchem.ncbi.nlm.nih.gov","PubChem BioAssay Database",""
"ECCParaCorp","ECCParaCorp","10.0","Y","EXACT","","0","http://www.phoc.org.cn/ECCParaCorp/","http://www.phoc.org.cn/ECCParaCorp","ECCParaCorp","Physician Data Query"
"CHESS","CHESS","10.0","Y","EXACT","","0","http://ccb.jhu.edu/chess","http://ccb.jhu.edu/chess","Comprehensive Human Expressed SequenceS",""
"MtBrowse","MtBrowse","10.0","Y","EXACT","","0","http://ab-openlab.csir.res.in/cgi-bin/gb2/gbrowse","http://ab-openlab.csir.res.in/cgi-bin/gb2/gbrowse","Mitochondrial Browser",""
"CNCDatabase","CNCDatabase","10.0","Y","EXACT","","0","https://cncdatabase.med.cornell.edu/","http://cncdatabase.med.cornell.edu","Cancer Non-Coding Database","Cornell Non-coding Cancer driver Database"
"TSNAdb","TSNAdb","10.0","Y","EXACT","","0","http://biopharm.zju.edu.cn/tsnadb","http://biopharm.zju.edu.cn/tsnadb","TSNAdb","tumor-specific neoantigen database"
"miRDB","miRDB","10.0","Y","EXACT","","0","http://mirdb.org","http://mirdb.org","microRNA Database",""
"Virus Database","VirusDB","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","7","http://yaulab.math.tsinghua.edu.cn/VirusDB/","http://yaulab.math.tsinghua.edu.cn/VirusDB","Virus Database",""
"RNAStructuromeDB","RNA Structurome Database","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.80","GENERIC_DOMAIN","8","https://structurome.bb.iastate.edu","http://structurome.bb.iastate.edu","RNAStructuromeDB","RNA Structurome Database"
