"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url"
"1000GSB","1000 Genomes Selection Browser","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","23","http://hsb.upf.edu","http://hsb.upf.edu"
"10000 Immunomes Project","10KIP","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.98","HIGH_ED_MATCH","19","http://10kimmunomes.org/","http://10kimmunomes.org"
"2019-nCoV","2019nCoVR","2.25","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_SIM_0.85, LONG_SIM_1.00","GENERIC_DOMAIN","2","https://bigd.big.ac.cn/ncov","http://bigd.big.ac.cn"
"Protein folding kinetics database","ACPro","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","32","https://www.ats.amherst.edu/protein/","http://www.ats.amherst.edu/protein"
"Arabidopsis acyl lipid mutants database","ARALIP","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","33","http://aralip.plantbiology.msu.edu","http://aralip.plantbiology.msu.edu"
"AREsite","AREsite2","5.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_EXACT_MATCH","GENERIC_DOMAIN","1","http://rna.tbi.univie.ac.at/AREsite","http://rna.tbi.univie.ac.at/AREsite"
"Avian Immunome DB","AVIMM","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.85","HIGH_ED_MATCH","12","https://avimm.ab.mpg.de","http://avimm.ab.mpg.de"
"Addgene","Addgene Repository","3.55","Y","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_EXACT_MATCH","HIGH_ED_MATCH","11","http://www.addgene.org","http://www.addgene.org"
"Alfalfa Transcription Factor Database","AlfalfaTFDB","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","26","http://plantpathology.ba.ars.usda.gov/alfalfatfdb.html","http://plantpathology.ba.ars.usda.gov/alfalfatfdb.html"
"sncRNA Zoo","Animal sncRNA Atlas","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","12","https://www.ccb.uni-saarland.de/asra/","http://www.ccb.uni-saarland.de/asra"
"AECD","Antimicrobial Enzyme Combinations Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.98","HIGH_ED_MATCH","38","https://www.ceb.uminho.pt/aecd","http://www.ceb.uminho.pt/aecd"
