extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
CanvasDB,canvas,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",,http://ithaka.rrp.demokritos.gr/CanVaS,,demokritos.gr,2.0
OncomiR,oncomirdb,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",http://www.oncomir.org,http://bioinfo.au.tsinghua.edu.cn/oncomirdb/Contact,oncomir.org,edu.cn,2.0
HYPO,hypodb,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://www.bioclues.org/hypo2,http://www.bioclues.org/hypo2,bioclues.org,bioclues.org,2.0
VIS,visdb,"db_suffix_diff, edit_dist=2",Y,2.0,"Score=2.0: db_suffix_diff, edit_dist=2",,http://bioinfo.uth.edu/VISDB,,uth.edu,2.0
RiceDB,rice,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://ricedb.plantenergy.uwa.edu.au,http://ricedb.plantenergy.uwa.edu.au,edu.au,edu.au,2.0
CarotenoidDB,carotenoid,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://carotenoiddb.jp,http://carotenoiddb.jp,carotenoiddb.jp,carotenoiddb.jp,2.0
BgeeDB,bgee,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",https://www.bioconductor.org/packages/BgeeDB/,http://bgee.org,bioconductor.org,bgee.org,2.0
RegulatorDB,regulator,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",http://wyrickbioinfo2.smb.wsu.edu/RegulatorDB,http://www.bioinformatics.org/regulator,wsu.edu,bioinformatics.org,2.0
MAGIC,magicdb,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",,http://www.tnaugenomics.com/mango/index.php,,tnaugenomics.com,2.0
PMD,pmdbase,db_suffix_diff,MAYBE,1.5,Score=1.5: db_suffix_diff,http://www.proteinmicroarray.cn,http://www.sesame-bioinfo.org/PMDBase,proteinmicroarray.cn,sesame-bioinfo.org,4.0
2P2Idb,2p2i,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://2p2idb.cnrs-mrs.fr,http://2p2idb.cnrs-mrs.fr,cnrs-mrs.fr,cnrs-mrs.fr,2.0
MINTbase,mint,"db_suffix_diff, contains",Y,2.0,"Score=2.0: db_suffix_diff, contains",http://cm.jefferson.edu/MINTbase/,"http://mint.bio.uniroma2.it/mint/, http://mint.bio.uniroma2.it/mint/download.do",jefferson.edu,uniroma2.it,4.0
Monarch,monarchbase,"db_suffix_diff, contains",Y,2.0,"Score=2.0: db_suffix_diff, contains",https://monarchinitiative.org,http://monarchbase.umassmed.edu,monarchinitiative.org,umassmed.edu,4.0
Antagomirbase,antagomir,"SAME_DOMAIN, db_suffix_diff, contains, url_path_sim=1.00",Y,5.0,"Score=5.0: SAME_DOMAIN, db_suffix_diff, contains, url_path_sim=1.00",http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html,http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html,edu.in,edu.in,4.0
MASS,massbase,"db_suffix_diff, contains",Y,2.0,"Score=2.0: db_suffix_diff, contains",http://www.ceams-carsm.ca/en/MASS,"http://webs2.kazusa.or.jp/massbase/, http://webs2.kazusa.or.jp/km2",ceams-carsm.ca,or.jp,4.0
BIOPEP,biopepdb,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",http://www.uwm.edu.pl/biochemia/index.php/pl/biopep,http://bis.zju.edu.cn/biopepdbr,edu.pl,edu.cn,2.0
HOCTAR,hoctardb,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://hoctar.tigem.it/,http://hoctar.tigem.it,tigem.it,tigem.it,2.0
REFOLD,refolddb,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",http://refold.med.monash.edu.au,http://p4d-info.nig.ac.jp/refolddb,edu.au,ac.jp,2.0
MIAS,miasdb,"db_suffix_diff, edit_dist=2, contains",Y,2.5,"Score=2.5: db_suffix_diff, edit_dist=2, contains",,http://47.88.84.236/Miasdb,,84.236,2.0
GRIN,grindb,"SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",Y,5.5,"Score=5.5: SAME_DOMAIN, db_suffix_diff, edit_dist=2, contains, url_path_sim=1.00",http://lmc.uab.es/grindb,http://lmc.uab.es/grindb,uab.es,uab.es,2.0
