extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
mPPI,mppi,EXACT,Y,10.0,Exact name match,,,,,
DenvInD,denvind,EXACT,Y,10.0,Exact name match,,,,,
GAMDB,gamdb,EXACT,Y,10.0,Exact name match,,,,,
funRNA,funrna,EXACT,Y,10.0,Exact name match,,,,,
dEMBF,dembf,EXACT,Y,10.0,Exact name match,,,,,
HDNetDB,hdnetdb,EXACT,Y,10.0,Exact name match,,,,,
EvoSNP-DB,evosnp-db,EXACT,Y,10.0,Exact name match,,,,,
SWITCHES,switches,EXACT,Y,10.0,Exact name match,,,,,
SuperPain,superpain,EXACT,Y,10.0,Exact name match,,,,,
ISVdb,isvdb,EXACT,Y,10.0,Exact name match,,,,,
ADReCS,adrecs,EXACT,Y,10.0,Exact name match,,,,,
DNAVaxDB,dnavaxdb,EXACT,Y,10.0,Exact name match,,,,,
Human genetic variation database,human genetic variation database,EXACT,Y,10.0,Exact name match,,,,,
BBGRE,bbgre,EXACT,Y,10.0,Exact name match,,,,,
Nc2Eye,nc2eye,EXACT,Y,10.0,Exact name match,,,,,
BGVD,bgvd,EXACT,Y,10.0,Exact name match,,,,,
dbHiMo,dbhimo,EXACT,Y,10.0,Exact name match,,,,,
P2TF,p2tf,EXACT,Y,10.0,Exact name match,,,,,
Amadis,amadis,EXACT,Y,10.0,Exact name match,,,,,
HAND,hand,EXACT,Y,10.0,Exact name match,,,,,
