extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
PPODB,podb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://www.ppodb.de,http://podb.nibb.ac.jp/Organellome,ppodb.de,ac.jp,1.0
TCSA,tcpa,"edit_dist=1, long_sim=0.85",MAYBE,1.5,"Score=1.5: edit_dist=1, long_sim=0.85",http://fcgportal.org/TCSA,http://tcpaportal.org,fcgportal.org,tcpaportal.org,1.0
CPDB,ccpdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://webs.iiitd.edu.in/raghava/ccpdb,,edu.in,1.0
PMD,pmdbase,db_suffix_diff,MAYBE,1.5,Score=1.5: db_suffix_diff,http://www.proteinmicroarray.cn,http://www.sesame-bioinfo.org/PMDBase,proteinmicroarray.cn,sesame-bioinfo.org,4.0
VPODC,podc,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://bioinf.mind.meiji.ac.jp/podc,,ac.jp,1.0
RaMP,dramp,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://dramp.cpu-bioinfor.org,,cpu-bioinfor.org,1.0
PMDB,ppmdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",https://pmparser.hugheylab.org,http://ppmdb.easyomics.org,hugheylab.org,easyomics.org,1.0
PICKLE,pickles,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://www.pickle.gr,http://pickles.hart-lab.org,pickle.gr,hart-lab.org,1.0
SAPD,sapdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://proteomecentral.proteomexchange.org/dataset/PXD000702,http://webs.iiitd.edu.in/raghava/sapdb,proteomexchange.org,edu.in,1.0
PRIMED,prime,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://prime.psc.riken.jp,,riken.jp,1.0
RAPID,apid,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",https://rapid.zzhlab.org/,http://apid.dep.usal.es,zzhlab.org,usal.es,1.0
TBDBT,tbdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://tbdb.io,,tbdb.io,1.0
PhID,phin,"edit_dist=1, long_sim=0.80",MAYBE,1.5,"Score=1.5: edit_dist=1, long_sim=0.80",,http://cadd.pharmacy.nankai.edu.cn/phin,,edu.cn,1.0
EDAM,pedam,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://edamontology.org/EDAM.obo,http://www.unimd.org/pedam,edamontology.org,unimd.org,1.0
LDGIdb,dgidb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://dgidb.org,,dgidb.org,1.0
UniCorn,unicarb,"edit_dist=2, url_path_sim=0.89",MAYBE,1.5,"Score=1.5: edit_dist=2, url_path_sim=0.89",http://www.unicarbkb.org,http://www.unicarb-db.org,unicarbkb.org,unicarb-db.org,2.0
PRRDB,rrdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://huanglab.phys.hust.edu.cn/RRDbenchmark,,edu.cn,1.0
CPE-DB,pe-db,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://pedb.vib.be,,vib.be,1.0
NPAtlas,patlas,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://www.npatlas.org,http://www.patlas.site,npatlas.org,patlas.site,1.0
GPCRmd,gpcrdb,"edit_dist=2, url_path_sim=0.90",MAYBE,1.5,"Score=1.5: edit_dist=2, url_path_sim=0.90",http://gpcrmd.org/,http://gpcrdb.org,gpcrmd.org,gpcrdb.org,2.0
