extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
Diatom Portal,mediadb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,http://networks.systemsbiology.net/diatom-portal/,http://mediadb.systemsbiology.net,systemsbiology.net,systemsbiology.net,12.0
BRCA LOVD,exposome-explorer,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,http://brca.iarc.fr/LOVD,http://exposome-explorer.iarc.fr,iarc.fr,iarc.fr,15.0
Nanosized Cancer Database,nanosized cancer polymarker biochip project,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.85",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.85",https://serviziweb.ulss12.ve.it/firbabo,http://serviziweb.ulss12.ve.it/firbabo,ve.it,ve.it,23.0
LANL hemorrhagic fever virus database,hemorrhagic fever virus database,"SAME_DOMAIN, contains, url_path_sim=1.00, long_sim=0.93",Y,4.0,"Score=4.0: SAME_DOMAIN, contains, url_path_sim=1.00, long_sim=0.93",http://hfv.lanl.gov,http://hfv.lanl.gov,lanl.gov,lanl.gov,5.0
MMPdb,rna structurome database,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,https://mmpdb.eeob.iastate.edu/,http://structurome.bb.iastate.edu,iastate.edu,iastate.edu,21.0
ConsRM,morusdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,https://www.xjtlu.edu.cn/biologicalsciences/con,http://morus.swu.edu.cn/morusdb,edu.cn,edu.cn,5.0
BioSD,biosamples,"SAME_DOMAIN, long_sim=1.00",Y,2.5,"Score=2.5: SAME_DOMAIN, long_sim=1.00",http://www.ebi.ac.uk/biosamples,"http://www.ebi.ac.uk/biosamples, http://www.ebi.ac.uk/about/terms-of-use",ac.uk,ac.uk,6.0
Togo_herbarium,florabank1,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,https://www.gbif.org/dataset/b05dd467-aaf8-4c67-843c-27f049057b78,"http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll",gbif.org,gbif.org,11.0
DCMP,database of cancer mutant protein domains,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",https://dcmp.vit.ac.in/,http://dcmp.vit.ac.in,ac.in,ac.in,37.0
FGB,sidd,"SAME_DOMAIN, url_path_sim=0.81",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.81",http://mlg.hit.edu.cn/FGB/,http://mlg.hit.edu.cn/SIDD,edu.cn,edu.cn,4.0
ModBase,pmp,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://www.proteinmodelportal.org/,http://www.proteinmodelportal.org,proteinmodelportal.org,proteinmodelportal.org,7.0
e!DAL,metacrop,"SAME_DOMAIN, url_path_sim=0.84",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.84",http://edal.ipk-gatersleben.de,http://metacrop.ipk-gatersleben.de,ipk-gatersleben.de,ipk-gatersleben.de,7.0
Murine basal ganglia database,ebrains,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",https://kg.ebrains.eu,http://kg.ebrains.eu,ebrains.eu,ebrains.eu,24.0
