extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
VAMMPIRE,virtually aligned matched molecular pairs including receptor environment,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://vammpire.pharmchem.uni-frankfurt.de,http://vammpire.pharmchem.uni-frankfurt.de,uni-frankfurt.de,uni-frankfurt.de,64.0
TMC-SNPdb,dbsnp,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://www.actrec.gov.in/pi-webpages/AmitDutt/TMCSNP/TMCSNPdp.html,http://www.actrec.gov.in/pi-webpages/AmitDutt/TMCSNP/TMCSNPdp.html,gov.in,gov.in,6.0
BIOGEN-BASE,biogen base,"SAME_DOMAIN, edit_dist=1, url_path_sim=1.00",Y,4.0,"Score=4.0: SAME_DOMAIN, edit_dist=1, url_path_sim=1.00",http://www.tnaugenomics.com/biogenbase/casava.php,http://www.tnaugenomics.com/biogenbase/casava.php,tnaugenomics.com,tnaugenomics.com,1.0
ECOD,nesdb,"SAME_DOMAIN, url_path_sim=0.84",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.84",http://prodata.swmed.edu/ecod,http://prodata.swmed.edu/LRNes,swmed.edu,swmed.edu,4.0
Hybrid Rat Diversity Panel,phenogen,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://phenogen.org,http://phenogen.org,phenogen.org,phenogen.org,24.0
FetGOAT,mitocarta,"SAME_DOMAIN, url_path_sim=0.85",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.85",http://www.broadinstitute.org/fetgoat/index.html,http://www.broadinstitute.org/mitocarta,broadinstitute.org,broadinstitute.org,6.0
Vaxvec,dnavaxdb,"SAME_DOMAIN, url_path_sim=0.80",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.80",http://www.violinet.org/vaxvec,http://www.violinet.org/dnavaxdb,violinet.org,violinet.org,6.0
IMG,integrated microbial genomes and metagenomes,"SAME_DOMAIN, url_path_sim=0.98, long_sim=0.81",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.98, long_sim=0.81",http://www.hmpdacc-resources.org/img_hmp,http://www.hmpdacc-resources.org/imgm_hmp,hmpdacc-resources.org,hmpdacc-resources.org,41.0
SMTB,smooth muscle transcriptome browser,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",https://med.unr.edu/physio/transcriptome,http://med.unr.edu/physio/transcriptome,unr.edu,unr.edu,31.0
LeishInDB,trypindb,"SAME_DOMAIN, url_path_sim=0.84",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.84",http://leishindb.biomedinformri.com/,http://trypindb.biomedinformri.com,biomedinformri.com,biomedinformri.com,5.0
Tenuipalpidae Database,tenuipalpidae,"SAME_DOMAIN, contains, url_path_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, contains, url_path_sim=1.00",https://www.tenuipalpidae.ibilce.unesp.br/,http://www.tenuipalpidae.ibilce.unesp.br,unesp.br,unesp.br,9.0
Clone DB,clone,"SAME_DOMAIN, contains, url_path_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, contains, url_path_sim=1.00",http://www.ncbi.nlm.nih.gov/clone/,http://www.ncbi.nlm.nih.gov/clone,nih.gov,nih.gov,3.0
DESM,desmsci,"SAME_DOMAIN, contains, url_path_sim=0.94",Y,3.5,"Score=3.5: SAME_DOMAIN, contains, url_path_sim=0.94",http://www.cbrc.kaust.edu.sa/desm,http://www.cbrc.kaust.edu.sa/desmsci,edu.sa,edu.sa,3.0
ImmtorLig_DB,hspmdb,"SAME_DOMAIN, url_path_sim=0.84",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.84",http://bioinfo.imtech.res.in/bvs/immtor/,http://bioinfo.imtech.res.in/bvs/hspmdb/index.php,res.in,res.in,10.0
UniCorn,unicarb,"edit_dist=2, url_path_sim=0.89",MAYBE,1.5,"Score=1.5: edit_dist=2, url_path_sim=0.89",http://www.unicarbkb.org,http://www.unicarb-db.org,unicarbkb.org,unicarb-db.org,2.0
Chinese population genome database,edk,"SAME_DOMAIN, url_path_sim=0.83",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.83",http://bigd.big.ac.cn/vcg/,http://bigd.big.ac.cn/edk,ac.cn,ac.cn,32.0
ViBrism DB,vibrism,"SAME_DOMAIN, contains, url_path_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, contains, url_path_sim=1.00",http://vibrism.neuroinf.jp/,http://vibrism.neuroinf.jp,neuroinf.jp,neuroinf.jp,3.0
RAAR,regulators of androgen action resource,"SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=1.00",http://www.lerner.ccf.org/cancerbio/heemers/RAAR/search/,http://www.lerner.ccf.org/cancerbio/heemers/RAAR/search,ccf.org,ccf.org,34.0
AECD,antimicrobial enzyme combinations database,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.98",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.98",https://www.ceb.uminho.pt/aecd,http://www.ceb.uminho.pt/aecd,uminho.pt,uminho.pt,38.0
UCSC Cancer Genomics Browser,ucsc genome browser,"SAME_DOMAIN, url_path_sim=0.81, long_sim=0.77",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=0.81, long_sim=0.77",https://genome-cancer.ucsc.edu/,http://genome.ucsc.edu,ucsc.edu,ucsc.edu,10.0
CDC Hemophilia B mutation project,chbmp,"SAME_DOMAIN, url_path_sim=1.00, long_sim=0.94",Y,3.5,"Score=3.5: SAME_DOMAIN, url_path_sim=1.00, long_sim=0.94",http://www.cdc.gov/hemophiliamutations,http://www.cdc.gov/hemophiliamutations,cdc.gov,cdc.gov,28.0
SABRE2,sabre,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",Y,6.5,"Score=6.5: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",http://sabre.epd.brc.riken.jp/SABRE2.html,http://sabre.epd.brc.riken.jp/SABRE2.html,riken.jp,riken.jp,1.0
ExHuMId,texas,"SAME_DOMAIN, url_path_sim=0.81",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.81",https://cb.imsc.res.in/exhumid/,http://cb.imsc.res.in/texas,res.in,res.in,6.0
CHAMP,chbmp,"SAME_DOMAIN, edit_dist=1, url_path_sim=1.00, long_sim=0.90",Y,4.5,"Score=4.5: SAME_DOMAIN, edit_dist=1, url_path_sim=1.00, long_sim=0.90",http://www.cdc.gov/hemophiliamutations,http://www.cdc.gov/hemophiliamutations,cdc.gov,cdc.gov,1.0
Allen Human Brain Atlas,allen brain atlas,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://www.brain-map.org,http://www.brain-map.org,brain-map.org,brain-map.org,6.0
Plasmid ATLAS,patlas,"SAME_DOMAIN, url_path_sim=1.00",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=1.00",http://www.patlas.site,http://www.patlas.site,patlas.site,patlas.site,7.0
OPL,ncro,"SAME_DOMAIN, url_path_sim=0.92",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.92",http://purl.obolibrary.org/obo/opl.owl,http://purl.obolibrary.org/obo/ncro.owl,obolibrary.org,obolibrary.org,4.0
GPCR-DB,gpcrdb,"SAME_DOMAIN, edit_dist=1, url_path_sim=1.00",Y,4.0,"Score=4.0: SAME_DOMAIN, edit_dist=1, url_path_sim=1.00",http://www.gpcrdb.org,http://gpcrdb.org,gpcrdb.org,gpcrdb.org,1.0
CancerLivER,denvind,"SAME_DOMAIN, url_path_sim=0.80",Y,3.0,"Score=3.0: SAME_DOMAIN, url_path_sim=0.80",https://webs.iiitd.edu.in/raghava/cancerliver,http://webs.iiitd.edu.in/raghava/denvind,edu.in,edu.in,9.0
LIVE NFLX II,live-nflx-ii,"SAME_DOMAIN, edit_dist=2, url_path_sim=1.00",Y,3.5,"Score=3.5: SAME_DOMAIN, edit_dist=2, url_path_sim=1.00",http://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html,http://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html,utexas.edu,utexas.edu,2.0
