Metric Category,Metric,Value
Article-Level,Total Articles (Rerun),3698
Article-Level,Total Articles (Final),2362
Article-Level,Overlapping Articles,0
Article-Level,Unique to Rerun,3698
Article-Level,Unique to Final,2362
Article-Level,Overlap Percentage,0.00%
Resource-Level,Total Resources (Rerun),3698
Resource-Level,Total Resources (Final),2362
Resource-Level,Overlapping Resources,1939
Resource-Level,Unique to Rerun,1759
Resource-Level,Unique to Final,423
Resource-Level,Overlap Percentage,82.09%
Probability Statistics,Rerun Avg best_name_prob,0.9968
Probability Statistics,Final Avg best_name_prob,0.9933
Probability Statistics,Rerun Avg best_common_prob,0.9951
Probability Statistics,Final Avg best_common_prob,0.9931
Probability Statistics,Resources Needing Review,2
Probability Statistics,Avg Difference Score,0.0505
