pmid,text,canonical_id,correct
23482072,TetraFGD,TetraFGD,
27671474,ANTISTAPHYBASE,ANTISTAPHYBASE,
24243844,a compendium of biological and pharmacologically relevant ligands,FireDB,
27510400,Membranome,Membranome,
30624648,a database of fusion transcripts in Arabidopsis thaliana,AtFusionDB,
37207333,SH2db,SH2db,
26631432,Human Disease Insight,HDI,
27899673,human disease methylation database,DiseaseMeth,
28111364,A Web Database for Integrated Omics Information in Tomato,TOMATOMICS,
28108447,a database of human miRNA expression profiles,miRmine,
26656885,KIR,KIR,
22766416,a web-based tool for Polyporales strains authentication,FunGene-DB,
31042284,Microbiome Learning Repo,Microbiome Learning Repo,
29846728,CTD,CTD,
31231774,a database of microarray and RNA-seq of Vibrio cholerae,Mr.Vc,
36189883,EURISCO,EURISCO,
22493537,BacterialLectinDb,BacterialLectinDb,
31535335,Atacama,Atacama,
37925911,A manually curated database of metabolite markers for COVID-19,MetaboliteCOVID,
37925911,MetaboliteCOVID,MetaboliteCOVID,
29092072,Mouse Genome Database,MGD,
37781910,GlobalAMFungi,GlobalAMFungi,
27510400,a database for proteome-wide analysis of single-pass membrane proteins,Membranome,
35605006,Plant transfer RNA database,PltRNAdb,
36353986,COMBATdb,COMBATdb,
22053089,InterEvol,InterEvol,
25972521,AtmiRNET,AtmiRNET,
31887789,enhancers and their targets in pig and human database,ETph,
30371819,MoonDB,MoonDB,
25309735,SkateBase,SkateBase,
24561221,MitoSatPlant,MitoSatPlant,
23794736,ESCAPE,ESCAPE,
31535335,Atacama,Atacama,
27899673,DiseaseMeth,DiseaseMeth,
33245774,a comprehensive collection of pathways,PAGER-CoV,
28365761,PhagesDB,PhagesDB,
29892516,SEVENS,SEVENS,
23331499,SignaLink,SignaLink,
25392420,COXPRESdb,COXPRESdb,
33219686,LnCeCell,LnCeCell,
28108447,miRmine,miRmine,
38050352,PEO,PEO,
24270047,ProfileDB,ProfileDB,
25252779,Protein Isoelectric Point database,PIP-DB,
28150246,iPTMnet,iPTMnet,
31887789,ETph,ETph,
31343654,eyeIntegration,eyeIntegration,
31713629,SpatialDB,SpatialDB,
38050352,Plant Expression Omnibus,PEO,
37289843,Mslar,Mslar,
