publication_id,pubmed_id,pmc_id,title,publication_date,authors,affiliation,affiliation_countries,citation_count,keywords,email,resource_id,resource_short_name,resource_full_name,is_global_core_biodata_resource,id,title_meta,abstract,publication_date_meta,hasDbCrossReferences,hasData,hasSuppl,isOpenAccess,inPMC,inEPMC,hasPDF,hasBook,citedByCount,pubYear,pubType,keywords_meta,meshTerms,journalTitle,journalISSN,authorAffiliations,text
2392,23203869,PMC3531078,"SIFTS: Structure Integration with Function, Taxonomy and Sequences resource.",2013-01-01,"Velankar S, Dana JM, Jacobsen J, van Ginkel G, Gane PJ, Luo J, Oldfield TJ, O'Donovan C, Martin MJ, Kleywegt GJ.","Protein Data Bank in Europe, EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom",United Kingdom,201,"'Proteins'; 'classification'; 'physiology'; 'chemistry'; 'Sequence Analysis, Protein'; 'Protein Conformation'; 'Systems Integration'; 'Internet'; 'Databases, Protein'; 'Molecular Sequence Annotation'",Velankar S: sameer@ebi.ac.uk,5803,SIFTS,Structure Integration with Function,0,23203869.0,"SIFTS: Structure Integration with Function, Taxonomy and Sequences resource.","The Structure Integration with Function, Taxonomy and Sequences resource (SIFTS; http://pdbe.org/sifts) is a close collaboration between the Protein Data Bank in Europe (PDBe) and UniProt. The two teams have developed a semi-automated process for maintaining up-to-date cross-reference information to UniProt entries, for all protein chains in the PDB entries present in the UniProt database. This process is carried out for every weekly PDB release and the information is stored in the SIFTS database. The SIFTS process includes cross-references to other biological resources such as Pfam, SCOP, CATH, GO, InterPro and the NCBI taxonomy database. The information is exported in XML format, one file for each PDB entry, and is made available by FTP. Many bioinformatics resources use SIFTS data to obtain cross-references between the PDB and other biological databases so as to provide their users with up-to-date information.",2012-11-29,N,Y,N,Y,Y,Y,Y,N,213.0,2013.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article"", ""Research Support, N.I.H., Extramural""]",,"[""Proteins"", ""Sequence Analysis, Protein"", ""Protein Conformation"", ""Systems Integration"", ""Internet"", ""Databases, Protein"", ""Molecular Sequence Annotation""]",Nucleic acids research,0305-1048,,"SIFTS: Structure Integration with Function, Taxonomy and Sequences resource. The Structure Integration with Function, Taxonomy and Sequences resource (SIFTS; http://pdbe.org/sifts) is a close collaboration between the Protein Data Bank in Europe (PDBe) and UniProt. The two teams have developed a semi-automated process for maintaining up-to-date cross-reference information to UniProt entries, for all protein chains in the PDB entries present in the UniProt database. This process is carried out for every weekly PDB release and the information is stored in the SIFTS database. The SIFTS process includes cross-references to other biological resources such as Pfam, SCOP, CATH, GO, InterPro and the NCBI taxonomy database. The information is exported in XML format, one file for each PDB entry, and is made available by FTP. Many bioinformatics resources use SIFTS data to obtain cross-references between the PDB and other biological databases so as to provide their users with up-to-date information."
838,26615199,PMC4702912,ELM 2016--data update and new functionality of the eukaryotic linear motif resource.,2016-01-01,"Dinkel H, Van Roey K, Michael S, Kumar M, Uyar B, Altenberg B, Milchevskaya V, Schneider M, Kühn H, Behrendt A, Dahl SL, Damerell V, Diebel S, Kalman S, Klein S, Knudsen AC, Mäder C, Merrill S, Staudt A, Thiel V, Welti L, Davey NE, Diella F, Gibson TJ.","Structural and Computational Biology, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany.; Health Services Research Unit, Operational Direction Public Health and Surveillance, Scientific Institute of Public Health (WIV-ISP), 1050 Brussels, Belgium.; Ruprecht-Karls-Universität, Heidelberg, Germany.; Conway Institute of Biomolecular and Biomedical Sciences, University College Dublin, Dublin 4, Ireland.; Structural and Computational Biology, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany",Belgium; Germany; Ireland,213,"'Signal Transduction'; 'Amino Acid Motifs'; 'Internet'; 'Software'; 'Databases, Protein'; 'Eukaryota'",Gibson TJ: gibson@embl.de,5064,ELM,eukaryotic linear motif,0,26615199.0,ELM 2016--data update and new functionality of the eukaryotic linear motif resource.,"The Eukaryotic Linear Motif (ELM) resource (http://elm.eu.org) is a manually curated database of short linear motifs (SLiMs). In this update, we present the latest additions to this resource, along with more improvements to the web interface. ELM 2016 contains more than 240 different motif classes with over 2700 experimentally validated instances, manually curated from more than 2400 scientific publications. In addition, more data have been made available as individually searchable pages and are downloadable in various formats.",2015-11-28,N,N,N,Y,Y,Y,Y,N,225.0,2016.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Signal Transduction"", ""Amino Acid Motifs"", ""Internet"", ""Software"", ""Databases, Protein"", ""Eukaryota""]",Nucleic acids research,0305-1048,,"ELM 2016--data update and new functionality of the eukaryotic linear motif resource. The Eukaryotic Linear Motif (ELM) resource (http://elm.eu.org) is a manually curated database of short linear motifs (SLiMs). In this update, we present the latest additions to this resource, along with more improvements to the web interface. ELM 2016 contains more than 240 different motif classes with over 2700 experimentally validated instances, manually curated from more than 2400 scientific publications. In addition, more data have been made available as individually searchable pages and are downloadable in various formats."
1636,29077942,PMC5753354,MetalPDB in 2018: a database of metal sites in biological macromolecular structures.,2018-01-01,"Putignano V, Rosato A, Banci L, Andreini C.","Magnetic Resonance Center (CERM)-University of Florence, Via L. Sacconi 6, 50019 Sesto Fiorentino, Italy.; Department of Chemistry-University of Florence, Via della Lastruccia 3, 50019 Sesto Fiorentino, Italy.",Italy,130,"'Humans'; 'Cations, Divalent'; 'Cations, Monovalent'; 'Metals, Heavy'; 'metabolism'; 'chemistry'; 'Metals, Light'; 'metabolism'; 'chemistry'; 'Macromolecular Substances'; 'metabolism'; 'chemistry'; 'Metalloproteins'; 'metabolism'; 'chemistry'; 'Amino Acid Sequence'; 'Molecular Conformation'; 'Internet'; 'User-Computer Interface'; 'Databases, Protein'; 'Biocatalysis'; 'Coordination Complexes'; 'metabolism'; 'chemistry'; 'Molecular Sequence Annotation'",,5577,MetalPDB,,0,29077942.0,MetalPDB in 2018: a database of metal sites in biological macromolecular structures.,"MetalPDB (http://metalweb.cerm.unifi.it/) is a database providing information on metal-binding sites detected in the three-dimensional (3D) structures of biological macromolecules. MetalPDB represents such sites as 3D templates, called Minimal Functional Sites (MFSs), which describe the local environment around the metal(s) independently of the larger context of the macromolecular structure. The 2018 update of MetalPDB includes new contents and tools. A major extension is the inclusion of proteins whose structures do not contain metal ions although their sequences potentially contain a known MFS. In addition, MetalPDB now provides extensive statistical analyses addressing several aspects of general metal usage within the PDB, across protein families and in catalysis. Users can also query MetalPDB to extract statistical information on structural aspects associated with individual metals, such as preferred coordination geometries or aminoacidic environment. A further major improvement is the functional annotation of MFSs; the annotation is manually performed via a password-protected annotator interface. At present, ∼50% of all MFSs have such a functional annotation. Other noteworthy improvements are bulk query functionality, through the upload of a list of PDB identifiers, and ftp access to MetalPDB contents, allowing users to carry out in-depth analyses on their own computational infrastructure.",2018-01-01,N,N,N,Y,Y,Y,Y,N,156.0,2018.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Humans"", ""Cations, Divalent"", ""Cations, Monovalent"", ""Metals, Heavy"", ""Metals, Light"", ""Macromolecular Substances"", ""Metalloproteins"", ""Amino Acid Sequence"", ""Molecular Conformation"", ""Internet"", ""User-Computer Interface"", ""Databases, Protein"", ""Biocatalysis"", ""Coordination Complexes"", ""Molecular Sequence Annotation""]",Nucleic acids research,0305-1048,,"MetalPDB in 2018: a database of metal sites in biological macromolecular structures. MetalPDB (http://metalweb.cerm.unifi.it/) is a database providing information on metal-binding sites detected in the three-dimensional (3D) structures of biological macromolecules. MetalPDB represents such sites as 3D templates, called Minimal Functional Sites (MFSs), which describe the local environment around the metal(s) independently of the larger context of the macromolecular structure. The 2018 update of MetalPDB includes new contents and tools. A major extension is the inclusion of proteins whose structures do not contain metal ions although their sequences potentially contain a known MFS. In addition, MetalPDB now provides extensive statistical analyses addressing several aspects of general metal usage within the PDB, across protein families and in catalysis. Users can also query MetalPDB to extract statistical information on structural aspects associated with individual metals, such as preferred coordination geometries or aminoacidic environment. A further major improvement is the functional annotation of MFSs; the annotation is manually performed via a password-protected annotator interface. At present, ∼50% of all MFSs have such a functional annotation. Other noteworthy improvements are bulk query functionality, through the upload of a list of PDB identifiers, and ftp access to MetalPDB contents, allowing users to carry out in-depth analyses on their own computational infrastructure."
8041,36755307,PMC10158840,Xenbase: key features and resources of the Xenopus model organism knowledgebase.,2023-05-01,"Fisher M, James-Zorn C, Ponferrada V, Bell AJ, Sundararaj N, Segerdell E, Chaturvedi P, Bayyari N, Chu S, Pells T, Lotay V, Agalakov S, Wang DZ, Arshinoff BI, Foley S, Karimi K, Vize PD, Zorn AM.","Xenbase, Division of Developmental Biology, Cincinnati Children's Hospital Medical Center, Cincinnati, OH 45229, United States; Xenbase, Department of Biological Sciences, University of Calgary, Calgary, AB T2N 1N4, Canada.; Department of Biological Sciences, Carnegie Mellon University, Pittsburgh, PA 15213, United States",Canada; United States,59,"'Animals'; 'Xenopus'; 'genetics'; 'Xenopus laevis'; 'genetics'; 'Humans'; 'Computational Biology'; 'Genomics'; 'Databases, Genetic'; 'Xenopus'; 'Genomics'; 'Ontology'; 'Model Organism Database'; 'Xenbase'",,8083,Xenbase,Xenopus model organism,0,,,,,,,,,,,,,,,,,,,,,Xenbase: key features and resources of the Xenopus model organism knowledgebase.
3249,23245335,,Full-length transcriptome-based H-InvDB throws a new light on chromosome-centric proteomics.,2013-01-01,"Imanishi T, Nagai Y, Habara T, Yamasaki C, Takeda J, Mikami S, Bando Y, Tojo H, Nishimura T.","Biomedicinal Information Research Center, National Institute of Advanced Industrial Science and Technology, Tokyo, Japan.",Japan,17,"'Humans'; 'Proteins'; 'classification'; 'genetics'; 'metabolism'; 'Proteome'; 'DNA, Complementary'; 'genetics'; 'metabolism'; 'Gene Expression Profiling'; 'Human Genome Project'; 'Gene Expression'; 'Genome, Human'; 'Databases, Factual'; 'Mass Spectrometry'",Imanishi T: t.imanishi@aist.go.jp,5139,H-InvDB,H-Invitational Database,0,23245335.0,Full-length transcriptome-based H-InvDB throws a new light on chromosome-centric proteomics.,"H-Invitational Database (H-InvDB;  http://hinv.jp/ ) is an integrated database of all human genes and transcripts that started in an international collaborative research project for establishing a functional annotation database of human full-length cDNAs. Because H-InvDB contains an abundance of information for human transcripts, including not only well-characterized protein-coding transcripts but also those without experimental evidence at the protein level, this will be a useful information resource for identifying novel and uncharacterized human proteins (so-called missing proteins). By extending predicted protein data in H-InvDB, we developed the H-Inv Extended Protein Database (H-EPD;  http://hinv.jp/hinv/h-epd/ ). From now on, we plan to carry out a database-driven proteome research that makes full use of H-EPD to promote discoveries in the current and future C-HPP. Furthermore, we will push forward with the integration of genome, transcriptome, and proteome databases using a unique tool for connecting distributed databases and would like to develop a knowledge discovery system by incorporating data mining tools.",2012-12-17,N,N,N,N,N,N,N,N,4.0,2013.0,"[""Research Support, Non-U.S. Gov't"", ""Journal Article""]",,"[""Humans"", ""Proteins"", ""Proteome"", ""DNA, Complementary"", ""Gene Expression Profiling"", ""Human Genome Project"", ""Gene Expression"", ""Genome, Human"", ""Databases, Factual"", ""Mass Spectrometry""]",Journal of proteome research,1535-3893,,"Full-length transcriptome-based H-InvDB throws a new light on chromosome-centric proteomics. H-Invitational Database (H-InvDB;  http://hinv.jp/ ) is an integrated database of all human genes and transcripts that started in an international collaborative research project for establishing a functional annotation database of human full-length cDNAs. Because H-InvDB contains an abundance of information for human transcripts, including not only well-characterized protein-coding transcripts but also those without experimental evidence at the protein level, this will be a useful information resource for identifying novel and uncharacterized human proteins (so-called missing proteins). By extending predicted protein data in H-InvDB, we developed the H-Inv Extended Protein Database (H-EPD;  http://hinv.jp/hinv/h-epd/ ). From now on, we plan to carry out a database-driven proteome research that makes full use of H-EPD to promote discoveries in the current and future C-HPP. Furthermore, we will push forward with the integration of genome, transcriptome, and proteome databases using a unique tool for connecting distributed databases and would like to develop a knowledge discovery system by incorporating data mining tools."
1549,32367112,PMC7198316,MACSNVdb: a high-quality SNV database for interspecies genetic divergence investigation among macaques.,2020-01-01,"Du L, Guo T, Liu Q, Li J, Zhang X, Xing J, Yue B, Li J, Fan Z.","Institute for Advanced Study, Chengdu University, 2025 Chengluo Rd, Chengdu 610106, China.; Department of Obstetrics and Gynecology, West China Second University Hospital, Sichuan University, 20 Section 3, South Renmin Rd, Chengdu 610041, China.; Key Laboratory of Bio-Resources and Eco-Environment, Ministry of Education, College of Life Science, Sichuan University, 29 Wangjiang Rd, Chengdu 610065, China.; College of Life Sciences and Food Engineering, Yibin University, 8 Wuliangye Rd, Yibin 644000, China.; Department of Genetics, Rutgers, the State University of New Jersey, 145 Bevier Rd, Piscataway, NJ 08854, United States",China; United States,0,"'Animals'; 'Macaca mulatta'; 'genetics'; 'Genomics'; 'Polymorphism, Single Nucleotide'; 'genetics'; 'Genome'; 'Genetic Variation'; 'Molecular Sequence Annotation'",,4112,MACSNVdb,,0,32367112.0,MACSNVdb: a high-quality SNV database for interspecies genetic divergence investigation among macaques.,"Macaques are the most widely used non-human primates in biomedical research. The genetic divergence between these animal models is responsible for their phenotypic differences in response to certain diseases. However, the macaque single nucleotide polymorphism resources mainly focused on rhesus macaque (Macaca mulatta), which hinders the broad research and biomedical application of other macaques. In order to overcome these limitations, we constructed a database named MACSNVdb that focuses on the interspecies genetic diversity among macaque genomes. MACSNVdb is a web-enabled database comprising ~74.51 million high-quality non-redundant single nucleotide variants (SNVs) identified among 20 macaque individuals from six species groups (muttla, fascicularis, sinica, arctoides, silenus, sylvanus). In addition to individual SNVs, MACSNVdb also allows users to browse and retrieve groups of user-defined SNVs. In particular, users can retrieve non-synonymous SNVs that may have deleterious effects on protein structure or function within macaque orthologs of human disease and drug-target genes. Besides position, alleles and flanking sequences, MACSNVdb integrated additional genomic information including SNV annotations and gene functional annotations. MACSNVdb will facilitate biomedical researchers to discover molecular mechanisms of diverse responses to diseases as well as primatologist to perform population genetic studies. We will continue updating MACSNVdb with newly available sequencing data and annotation to keep the resource up to date. Database URL: http://big.cdu.edu.cn/macsnvdb/.",2020-01-01,N,Y,N,Y,Y,Y,Y,N,0.0,2020.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Animals"", ""Macaca mulatta"", ""Genomics"", ""Polymorphism, Single Nucleotide"", ""Genome"", ""Genetic Variation"", ""Molecular Sequence Annotation""]",Database : the journal of biological databases and curation,1758-0463,,"MACSNVdb: a high-quality SNV database for interspecies genetic divergence investigation among macaques. Macaques are the most widely used non-human primates in biomedical research. The genetic divergence between these animal models is responsible for their phenotypic differences in response to certain diseases. However, the macaque single nucleotide polymorphism resources mainly focused on rhesus macaque (Macaca mulatta), which hinders the broad research and biomedical application of other macaques. In order to overcome these limitations, we constructed a database named MACSNVdb that focuses on the interspecies genetic diversity among macaque genomes. MACSNVdb is a web-enabled database comprising ~74.51 million high-quality non-redundant single nucleotide variants (SNVs) identified among 20 macaque individuals from six species groups (muttla, fascicularis, sinica, arctoides, silenus, sylvanus). In addition to individual SNVs, MACSNVdb also allows users to browse and retrieve groups of user-defined SNVs. In particular, users can retrieve non-synonymous SNVs that may have deleterious effects on protein structure or function within macaque orthologs of human disease and drug-target genes. Besides position, alleles and flanking sequences, MACSNVdb integrated additional genomic information including SNV annotations and gene functional annotations. MACSNVdb will facilitate biomedical researchers to discover molecular mechanisms of diverse responses to diseases as well as primatologist to perform population genetic studies. We will continue updating MACSNVdb with newly available sequencing data and annotation to keep the resource up to date. Database URL: http://big.cdu.edu.cn/macsnvdb/."
2208,26578570,PMC4702831,PlanMine--a mineable resource of planarian biology and biodiversity.,2016-01-01,"Brandl H, Moon H, Vila-Farré M, Liu SY, Henry I, Rink JC.","Max Planck Institute of Molecular Cell Biology and Genetics, Pfotenhauerstrasse 108, 01307 Dresden, Germany.; Max Planck Institute of Molecular Cell Biology and Genetics, Pfotenhauerstrasse 108, 01307 Dresden, Germany-cbg.de.",Germany,113,"'Animals'; 'Planarians'; 'genetics'; 'metabolism'; 'Gene Expression Profiling'; 'Sequence Analysis'; 'Phenotype'; 'Genes, Helminth'; 'Databases, Genetic'; 'Data Mining'",Henry I: henry@mpi-cbg.de; Rink JC: rink@mpi-cbg.de,6258,PlanMine,,0,26578570.0,PlanMine--a mineable resource of planarian biology and biodiversity.,"Planarian flatworms are in the midst of a renaissance as a model system for regeneration and stem cells. Besides two well-studied model species, hundreds of species exist worldwide that present a fascinating diversity of regenerative abilities, tissue turnover rates, reproductive strategies and other life history traits. PlanMine (http://planmine.mpi-cbg.de/) aims to accomplish two primary missions: First, to provide an easily accessible platform for sharing, comparing and value-added mining of planarian sequence data. Second, to catalyze the comparative analysis of the phenotypic diversity amongst planarian species. Currently, PlanMine houses transcriptomes independently assembled by our lab and community contributors. Detailed assembly/annotation statistics, a custom-developed BLAST viewer and easy export options enable comparisons at the contig and assembly level. Consistent annotation of all transcriptomes by an automated pipeline, the integration of published gene expression information and inter-relational query tools provide opportunities for mining planarian gene sequences and functions. For inter-species comparisons, we include transcriptomes of, so far, six planarian species, along with images, expert-curated information on their biology and pre-calculated cross-species sequence homologies. PlanMine is based on the popular InterMine system in order to make the rich biology of planarians accessible to the general life sciences research community.",2015-11-17,Y,Y,N,Y,Y,Y,Y,N,116.0,2016.0,"[""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]",,"[""Animals"", ""Planarians"", ""Gene Expression Profiling"", ""Sequence Analysis"", ""Phenotype"", ""Genes, Helminth"", ""Databases, Genetic"", ""Data Mining""]",Nucleic acids research,0305-1048,,"PlanMine--a mineable resource of planarian biology and biodiversity. Planarian flatworms are in the midst of a renaissance as a model system for regeneration and stem cells. Besides two well-studied model species, hundreds of species exist worldwide that present a fascinating diversity of regenerative abilities, tissue turnover rates, reproductive strategies and other life history traits. PlanMine (http://planmine.mpi-cbg.de/) aims to accomplish two primary missions: First, to provide an easily accessible platform for sharing, comparing and value-added mining of planarian sequence data. Second, to catalyze the comparative analysis of the phenotypic diversity amongst planarian species. Currently, PlanMine houses transcriptomes independently assembled by our lab and community contributors. Detailed assembly/annotation statistics, a custom-developed BLAST viewer and easy export options enable comparisons at the contig and assembly level. Consistent annotation of all transcriptomes by an automated pipeline, the integration of published gene expression information and inter-relational query tools provide opportunities for mining planarian gene sequences and functions. For inter-species comparisons, we include transcriptomes of, so far, six planarian species, along with images, expert-curated information on their biology and pre-calculated cross-species sequence homologies. PlanMine is based on the popular InterMine system in order to make the rich biology of planarians accessible to the general life sciences research community."
1930,25198774,,PfalDB: an integrated drug target and chemical database for Plasmodium falciparum.,2014-01-01,"Kumar A, Agarwal N, Pant L, Singh JP, Ghosh I, Subbarao N.","School of Computational and Integrative Sciences, Jawaharlal Nehru University, New Delhi - 110067, India.",India,0,"'Humans'; 'Plasmodium falciparum'; 'drug effects'; 'Malaria'; 'drug therapy'; 'Antimalarials'; 'pharmacology'; 'Drug Design'; 'Drug Resistance'; 'Databases, Pharmaceutical'",Subbarao N: nsrao@mail.jnu.ac.in,5830,PfalDB,,0,25198774.0,PfalDB: an integrated drug target and chemical database for Plasmodium falciparum.,"Plasmodium falciparum is one of the deadliest protozoan parasite species among those that cause malaria. Uncontrolled use of antimalarial drugs has resulted in evolutionary selection pressure favoring high levels of resistance to antimalarials; currently P.falciparum shows resistance to all classes of antimalarials. Therefore it is essential to identify novel drug targets, and design selective anti-malarials which can overcome resistance. While many drug targets are freely available in various public domain resources, a single comprehensive source of data containing easily searchable and retrievable information is currently lacking. To facilitate the total integration and mining of data emerging from different drug consortia and also to prioritize drug targets for structure-based drug design, an open-access, inclusive comprehensive database for Plasmodium falciparum was established. Meta data of known/modeled structures along with binding site parameters of drug targets have been included in the database. Additionally, chemical compounds showing a positive inhibitory assay against Plasmodium falciparum or known drug targets have also been provided. The database is accessible at http://pfaldb.jnu.ac.in. The database provides diverse information regarding the structure, sequence, stage specific gene expression, pathway, action mechanism, essentiality and druggability for each drug target, and literature to assess the validation status of individual drug targets. It also includes information on individual anti-malarials with their activity and bioassay.",2014-01-01,N,N,N,N,N,N,N,N,0.0,2014.0,"[""Research Support, Non-U.S. Gov't"", ""Journal Article""]",,"[""Humans"", ""Plasmodium falciparum"", ""Malaria"", ""Antimalarials"", ""Drug Design"", ""Drug Resistance"", ""Databases, Pharmaceutical""]",Current drug targets,1389-4501,,"PfalDB: an integrated drug target and chemical database for Plasmodium falciparum. Plasmodium falciparum is one of the deadliest protozoan parasite species among those that cause malaria. Uncontrolled use of antimalarial drugs has resulted in evolutionary selection pressure favoring high levels of resistance to antimalarials; currently P.falciparum shows resistance to all classes of antimalarials. Therefore it is essential to identify novel drug targets, and design selective anti-malarials which can overcome resistance. While many drug targets are freely available in various public domain resources, a single comprehensive source of data containing easily searchable and retrievable information is currently lacking. To facilitate the total integration and mining of data emerging from different drug consortia and also to prioritize drug targets for structure-based drug design, an open-access, inclusive comprehensive database for Plasmodium falciparum was established. Meta data of known/modeled structures along with binding site parameters of drug targets have been included in the database. Additionally, chemical compounds showing a positive inhibitory assay against Plasmodium falciparum or known drug targets have also been provided. The database is accessible at http://pfaldb.jnu.ac.in. The database provides diverse information regarding the structure, sequence, stage specific gene expression, pathway, action mechanism, essentiality and druggability for each drug target, and literature to assess the validation status of individual drug targets. It also includes information on individual anti-malarials with their activity and bioassay."
3920,35232080,,The Animal Audiogram Database: A community-based resource for consolidated audiogram data and metadata.,2022-02-01,"Jäckel D, Ortiz Troncoso A, Dähne M, Bölling C.","Museum für Naturkunde Berlin, Leibniz Institute for Evolution and Biodiversity Science, Invalidenstraße 43, Berlin, 10115, Germany.; Deutsches Meeresmuseum, Katharinenberg 14-20, Stralsund, 18439, Germany.",Germany,0,'Animals'; 'Hearing Tests'; 'Audiometry'; 'Hearing'; 'Noise'; 'Metadata',,3920,Animal Audiogram Database,Animal Audiogram Database,0,,,,,,,,,,,,,,,,,,,,,The Animal Audiogram Database: A community-based resource for consolidated audiogram data and metadata.
340,31777944,PMC6943070,CDD/SPARCLE: the conserved domain database in 2020.,2020-01-01,"Lu S, Wang J, Chitsaz F, Derbyshire MK, Geer RC, Gonzales NR, Gwadz M, Hurwitz DI, Marchler GH, Song JS, Thanki N, Yamashita RA, Yang M, Zhang D, Zheng C, Lanczycki CJ, Marchler-Bauer A.","National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bldg. 38 A, Room 8N805, 8600 Rockville Pike, Bethesda, MD 20894, United States",United States,3401,"'Amino Acid Sequence'; 'Conserved Sequence'; 'Databases, Protein'; 'Protein Domains'",,7860,CDD,Conserved Domain Database,0,31777944.0,CDD/SPARCLE: the conserved domain database in 2020.,"As NLM's Conserved Domain Database (CDD) enters its 20th year of operations as a publicly available resource, CDD curation staff continues to develop hierarchical classifications of widely distributed protein domain families, and to record conserved sites associated with molecular function, so that they can be mapped onto user queries in support of hypothesis-driven biomolecular research. CDD offers both an archive of pre-computed domain annotations as well as live search services for both single protein or nucleotide queries and larger sets of protein query sequences. CDD staff has continued to characterize protein families via conserved domain architectures and has built up a significant corpus of curated domain architectures in support of naming bacterial proteins in RefSeq. These architecture definitions are available via SPARCLE, the Subfamily Protein Architecture Labeling Engine. CDD can be accessed at https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml.",2020-01-01,N,N,N,N,Y,Y,Y,N,1828.0,2020.0,"[""Research Support, N.I.H., Intramural"", ""research-article"", ""Journal Article""]",,"[""Amino Acid Sequence"", ""Conserved Sequence"", ""Databases, Protein"", ""Protein Domains""]",Nucleic acids research,0305-1048,,"CDD/SPARCLE: the conserved domain database in 2020. As NLM's Conserved Domain Database (CDD) enters its 20th year of operations as a publicly available resource, CDD curation staff continues to develop hierarchical classifications of widely distributed protein domain families, and to record conserved sites associated with molecular function, so that they can be mapped onto user queries in support of hypothesis-driven biomolecular research. CDD offers both an archive of pre-computed domain annotations as well as live search services for both single protein or nucleotide queries and larger sets of protein query sequences. CDD staff has continued to characterize protein families via conserved domain architectures and has built up a significant corpus of curated domain architectures in support of naming bacterial proteins in RefSeq. These architecture definitions are available via SPARCLE, the Subfamily Protein Architecture Labeling Engine. CDD can be accessed at https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml."
