pmid,source,ling_score
32070994,linguistic,3.5
33237866,linguistic,5.0
34297061,linguistic,4.0
34320637,linguistic,5.0
34322854,linguistic,3.0
34387689,linguistic,4.0
34396391,linguistic,4.0
34403477,linguistic,4.5
34415321,linguistic,5.5
34432052,linguistic,4.0
34459872,linguistic,5.0
34469532,linguistic,4.5
34469540,linguistic,4.5
34500458,linguistic,4.5
34500460,linguistic,4.5
34500462,linguistic,4.5
34508353,linguistic,4.5
34508354,linguistic,4.5
34529036,linguistic,4.5
34530446,linguistic,5.0
34534336,linguistic,3.0
34534340,linguistic,3.0
34534350,linguistic,5.5
34546290,linguistic,4.0
34551437,linguistic,4.0
34551440,linguistic,5.0
34554251,linguistic,4.5
34554254,linguistic,3.0
34554255,linguistic,4.5
34570216,linguistic,4.0
34570217,linguistic,3.5
34570219,linguistic,4.5
34570220,linguistic,4.0
34570230,linguistic,5.0
34570235,linguistic,5.0
34570238,linguistic,4.5
34581824,linguistic,4.0
34585247,linguistic,3.5
34586352,linguistic,5.0
34586379,linguistic,4.5
34586393,linguistic,4.0
34591957,linguistic,4.5
34591960,linguistic,4.5
34606614,linguistic,5.5
34606615,linguistic,3.0
34606616,linguistic,5.5
34614159,linguistic,4.0
34634793,linguistic,4.5
34634794,linguistic,4.5
34634795,linguistic,4.0
34634797,linguistic,5.0
34634800,linguistic,4.0
34634807,linguistic,4.5
34634810,linguistic,5.0
34634815,linguistic,4.5
34634820,linguistic,3.5
34636883,linguistic,4.0
34643704,linguistic,5.0
34643709,linguistic,5.0
34643715,linguistic,4.0
34643725,linguistic,5.0
34643729,linguistic,5.0
34647978,linguistic,4.0
34648031,linguistic,4.5
34657153,linguistic,3.0
34664660,linguistic,3.5
34664666,linguistic,4.0
34664671,linguistic,4.0
34669946,linguistic,5.0
34669962,linguistic,5.0
34671807,linguistic,3.5
34672337,linguistic,4.0
34677586,linguistic,4.5
34679174,linguistic,3.5
34694372,linguistic,3.0
34709630,linguistic,3.0
34718406,linguistic,3.0
34718410,linguistic,4.0
34718689,linguistic,5.0
34718696,linguistic,4.5
34718710,linguistic,3.0
34718712,linguistic,4.0
34718713,linguistic,4.5
34718715,linguistic,3.0
34718719,linguistic,4.0
34718720,linguistic,3.0
34718726,linguistic,3.0
34718728,linguistic,3.0
34718734,linguistic,4.5
34718738,linguistic,4.5
34718740,linguistic,4.0
34718741,linguistic,4.0
34718745,linguistic,4.0
34718746,linguistic,4.5
34718747,linguistic,4.5
34718752,linguistic,3.5
34718760,linguistic,5.5
34723317,linguistic,5.0
34723320,linguistic,4.0
34723326,linguistic,4.5
34734974,linguistic,4.0
34747466,linguistic,4.0
34747470,linguistic,4.0
34747477,linguistic,4.5
34747480,linguistic,4.5
34747489,linguistic,4.5
34751388,linguistic,3.0
34751395,linguistic,5.0
34751399,linguistic,4.0
34751403,linguistic,5.5
34755867,linguistic,3.5
34755877,linguistic,4.0
34755879,linguistic,3.5
34755880,linguistic,3.0
34761257,linguistic,4.5
34761274,linguistic,4.0
34762062,linguistic,3.0
34773623,linguistic,4.5
34788791,linguistic,5.0
34788838,linguistic,4.5
34788852,linguistic,5.0
34791029,linguistic,4.0
34791067,linguistic,5.0
34791375,linguistic,4.0
34791415,linguistic,4.5
34791419,linguistic,3.0
34791421,linguistic,5.5
34791429,linguistic,5.0
34791440,linguistic,3.5
34792145,linguistic,5.0
34792158,linguistic,3.5
34792163,linguistic,3.5
34792166,linguistic,4.5
34792170,linguistic,3.5
34792587,linguistic,4.0
34840306,linguistic,3.5
34849578,linguistic,4.0
34849594,linguistic,3.5
34849976,linguistic,3.5
34850103,linguistic,3.5
34850110,linguistic,4.0
34850112,linguistic,4.0
34850116,linguistic,4.5
34850118,linguistic,4.0
34850121,linguistic,4.5
34850125,linguistic,4.5
34850127,linguistic,4.0
34850130,linguistic,4.5
34850133,linguistic,3.5
34850139,linguistic,5.0
34850155,linguistic,4.5
34850161,linguistic,4.5
34850907,linguistic,4.5
34850920,linguistic,3.0
34864853,linguistic,3.5
34864898,linguistic,4.0
34864908,linguistic,3.5
34864918,linguistic,3.5
34871441,linguistic,4.5
34875010,linguistic,5.0
34879732,linguistic,5.0
34888618,linguistic,4.0
34888624,linguistic,4.0
34893819,linguistic,4.5
34893873,linguistic,5.0
34897464,linguistic,3.0
34904638,linguistic,4.0
34914170,linguistic,3.0
34918130,linguistic,3.5
34918453,linguistic,3.0
34918744,linguistic,4.0
34921678,linguistic,3.0
34927666,linguistic,4.0
34927675,linguistic,3.5
34928524,linguistic,4.5
34933331,linguistic,3.0
34935889,linguistic,5.5
34935911,linguistic,4.0
34941991,linguistic,4.5
34951622,linguistic,4.5
34951848,linguistic,3.0
34954787,linguistic,4.5
34954795,linguistic,5.5
34962976,linguistic,4.5
34965209,linguistic,3.5
34977976,linguistic,4.0
34978816,linguistic,3.5
34983060,linguistic,5.5
34985769,linguistic,4.5
34986598,linguistic,3.5
34986599,linguistic,3.0
34986600,linguistic,5.5
34986601,linguistic,4.0
34986603,linguistic,4.5
34986604,linguistic,4.5
34991446,linguistic,4.5
34991450,linguistic,3.5
34991454,linguistic,3.0
34991484,linguistic,5.0
34996498,linguistic,3.0
34996997,linguistic,4.5
34997301,linguistic,3.0
34999748,linguistic,5.0
34999761,linguistic,4.5
35007196,linguistic,3.0
35007753,linguistic,5.0
35013825,linguistic,4.0
35014260,linguistic,3.5
35015132,linguistic,4.5
35015377,linguistic,4.0
35016262,linguistic,3.0
35020074,linguistic,3.0
35020790,linguistic,5.5
35020925,linguistic,4.5
35021191,linguistic,3.5
35024864,linguistic,4.5
35025997,linguistic,6.0
35031629,linguistic,3.0
35032286,linguistic,3.0
35037202,linguistic,3.5
35037942,linguistic,3.0
35039090,linguistic,3.5
35039845,linguistic,3.0
35040929,linguistic,3.0
35040932,linguistic,4.0
35042860,linguistic,3.0
35044164,linguistic,3.5
35044822,linguistic,3.0
35047815,linguistic,3.0
35055368,linguistic,3.5
35057621,linguistic,4.0
35058533,linguistic,3.0
35061087,linguistic,5.0
35064124,linguistic,3.5
35066208,linguistic,3.5
35068457,linguistic,5.0
35069469,linguistic,4.5
35072601,linguistic,4.5
35073313,linguistic,4.0
35073880,linguistic,3.0
35077539,linguistic,3.5
35078134,linguistic,3.5
35082835,linguistic,3.0
35094056,linguistic,5.0
35095484,linguistic,3.0
35099519,linguistic,3.5
35102160,linguistic,3.0
35104033,linguistic,3.5
35104317,linguistic,6.0
35104413,linguistic,3.5
35111182,linguistic,4.0
35112706,linguistic,4.5
35124170,linguistic,5.0
35124290,linguistic,3.5
35130035,linguistic,3.0
35132134,linguistic,3.5
35133949,linguistic,4.0
35134830,linguistic,4.0
35134833,linguistic,4.0
35134858,linguistic,3.0
35134877,linguistic,4.0
35138128,linguistic,5.0
35139152,linguistic,4.5
35141219,linguistic,3.5
35143074,linguistic,3.0
35143999,linguistic,4.0
35147037,linguistic,4.5
35148171,linguistic,4.5
35149212,linguistic,5.0
35150127,linguistic,4.5
35152286,linguistic,3.0
35154266,linguistic,3.0
35157015,linguistic,4.0
35159786,linguistic,3.0
35163948,linguistic,3.0
35164668,linguistic,3.5
35165358,linguistic,3.5
35168570,linguistic,3.0
35169150,linguistic,3.0
35174520,linguistic,4.5
35176143,linguistic,5.5
35179562,linguistic,4.5
35179566,linguistic,5.0
35180879,linguistic,3.0
35181599,linguistic,4.0
35181636,linguistic,3.0
35181971,linguistic,3.0
35182034,linguistic,3.5
35183129,linguistic,3.0
35186035,linguistic,4.5
35186498,linguistic,3.0
35187026,linguistic,4.0
35189131,linguistic,4.5
35193494,linguistic,4.5
35193498,linguistic,3.5
35193506,linguistic,4.0
35194141,linguistic,3.5
35196325,linguistic,3.0
35199146,linguistic,3.5
35199148,linguistic,4.5
35199151,linguistic,5.5
35201291,linguistic,5.0
35202091,linguistic,3.0
35207753,linguistic,3.5
35208748,linguistic,4.5
35208885,linguistic,3.0
35209912,linguistic,3.5
35213533,linguistic,3.0
35217168,linguistic,3.0
35217206,linguistic,3.5
35221333,linguistic,3.5
35222846,linguistic,4.0
35222847,linguistic,5.0
35226074,linguistic,3.0
35227289,linguistic,5.5
35229639,linguistic,3.0
35230424,linguistic,5.0
35234034,linguistic,3.5
35234849,linguistic,3.0
35234850,linguistic,4.0
35234904,linguistic,3.5
35234913,linguistic,3.0
35238331,linguistic,4.0
35242021,linguistic,3.5
35242914,linguistic,3.0
35253844,linguistic,4.5
35254998,linguistic,4.5
35255958,linguistic,3.5
35263335,linguistic,3.0
35266505,linguistic,4.5
35266524,linguistic,4.5
35273156,linguistic,3.0
35274672,linguistic,4.5
35274679,linguistic,4.5
35274687,linguistic,4.0
35275211,linguistic,5.0
35277513,linguistic,3.0
35277958,linguistic,4.0
35281798,linguistic,3.0
35281847,linguistic,4.0
35283898,linguistic,3.5
35284049,linguistic,4.5
35285150,linguistic,3.5
35285473,linguistic,3.5
35286768,linguistic,3.5
35286803,linguistic,3.0
35289353,linguistic,3.5
35289616,linguistic,3.5
35289834,linguistic,4.0
35289871,linguistic,4.0
35290901,linguistic,4.0
35294761,linguistic,3.5
35295213,linguistic,4.0
35297013,linguistic,3.0
35297015,linguistic,3.0
35298480,linguistic,4.0
35298515,linguistic,3.0
35301752,linguistic,3.5
35303059,linguistic,3.0
35305011,linguistic,4.0
35306049,linguistic,4.5
35306140,linguistic,4.5
35309132,linguistic,3.5
35311639,linguistic,3.0
35315058,linguistic,3.5
35317233,linguistic,3.5
35318332,linguistic,4.0
35322350,linguistic,3.0
35325039,linguistic,4.0
35325185,linguistic,3.0
35325188,linguistic,3.5
35328546,linguistic,3.0
35331624,linguistic,3.0
35337333,linguistic,3.0
35337346,linguistic,3.0
35337352,linguistic,3.0
35337353,linguistic,3.0
35337355,linguistic,3.0
35337357,linguistic,3.0
35337358,linguistic,3.5
35337359,linguistic,3.0
35337363,linguistic,3.0
35337366,linguistic,3.0
35345455,linguistic,3.0
35346022,linguistic,3.5
35348582,linguistic,3.5
35348639,linguistic,4.5
35348640,linguistic,5.0
35348648,linguistic,5.5
35348649,linguistic,4.0
35350773,linguistic,4.0
35351987,linguistic,3.0
35352997,linguistic,4.0
35353316,linguistic,3.0
35354826,linguistic,4.5
35356545,linguistic,3.0
35358235,linguistic,3.5
35359334,linguistic,3.5
35361119,linguistic,3.5
35362561,linguistic,3.0
35365069,linguistic,4.5
35365666,linguistic,3.0
35365676,linguistic,3.5
35366467,linguistic,3.0
35368077,linguistic,4.0
35368340,linguistic,4.0
35368672,linguistic,3.5
35370187,linguistic,3.0
35372652,linguistic,3.0
35378437,linguistic,3.5
35380657,linguistic,5.0
35380658,linguistic,3.0
35381376,linguistic,4.0
35382564,linguistic,3.5
35383183,linguistic,4.0
35385099,linguistic,3.0
35386103,linguistic,3.5
35387734,linguistic,3.0
35388171,linguistic,5.5
35388368,linguistic,3.5
35389344,linguistic,3.5
35390003,linguistic,3.0
35390717,linguistic,3.5
35395275,linguistic,3.0
35396615,linguistic,3.0
35401459,linguistic,3.0
35401578,linguistic,3.5
35411045,linguistic,4.0
35411388,linguistic,4.0
35411389,linguistic,3.0
35411390,linguistic,4.0
35412635,linguistic,3.5
35412637,linguistic,4.5
35413965,linguistic,3.5
35414795,linguistic,4.0
35417352,linguistic,3.5
35418686,linguistic,3.0
35426945,linguistic,4.0
35430561,linguistic,3.5
35430947,linguistic,4.0
35435220,linguistic,5.0
35436292,linguistic,3.0
35436998,linguistic,4.0
35437394,linguistic,3.0
35437474,linguistic,3.0
35438150,linguistic,6.0
35438783,linguistic,3.0
35441360,linguistic,4.0
35441674,linguistic,3.0
35443040,linguistic,3.5
35445695,linguistic,5.0
35445712,linguistic,3.0
35446421,linguistic,3.0
35446579,linguistic,4.0
35446912,linguistic,3.5
35448733,linguistic,3.0
35451453,linguistic,4.0
35452518,linguistic,4.5
35452708,linguistic,3.0
35453146,linguistic,4.0
35454168,linguistic,4.0
35459273,linguistic,3.5
35460467,linguistic,4.5
35461097,linguistic,4.5
35462956,linguistic,3.0
35464838,linguistic,3.5
35468810,linguistic,3.5
35469024,linguistic,4.0
35469349,linguistic,3.0
35470070,linguistic,4.0
35472084,linguistic,3.0
35474383,linguistic,5.0
35474393,linguistic,3.5
35474880,linguistic,3.0
35475145,linguistic,4.0
35480326,linguistic,4.5
35481632,linguistic,4.5
35482537,linguistic,4.0
35487995,linguistic,4.0
35489057,linguistic,3.0
35489067,linguistic,3.5
35498549,linguistic,3.0
35500907,linguistic,3.0
35501320,linguistic,5.0
35501677,linguistic,3.5
35504357,linguistic,4.5
35508507,linguistic,3.5
35508828,linguistic,4.5
35508965,linguistic,4.5
35512388,linguistic,3.5
35512708,linguistic,3.0
35518360,linguistic,4.5
35523906,linguistic,4.0
35524165,linguistic,4.0
35524174,linguistic,5.0
35524557,linguistic,5.5
35524563,linguistic,4.0
35524568,linguistic,3.0
35524571,linguistic,3.5
35524573,linguistic,4.0
35526357,linguistic,4.0
35532083,linguistic,4.5
35533187,linguistic,3.5
35536198,linguistic,4.0
35536252,linguistic,5.0
35536289,linguistic,5.0
35536846,linguistic,4.0
35544233,linguistic,4.5
35544234,linguistic,4.0
35547119,linguistic,3.5
35549894,linguistic,4.5
35550647,linguistic,3.0
35551216,linguistic,3.0
35552372,linguistic,4.5
35552418,linguistic,3.0
35552640,linguistic,5.5
35556129,linguistic,3.5
35560008,linguistic,4.0
35560102,linguistic,3.0
35561164,linguistic,4.0
35561166,linguistic,4.0
35561179,linguistic,4.5
35561185,linguistic,4.0
35561186,linguistic,3.0
35561201,linguistic,4.0
35561293,linguistic,3.0
35562653,linguistic,3.5
35562840,linguistic,5.5
35567946,linguistic,5.0
35568950,linguistic,3.0
35575379,linguistic,4.5
35577067,linguistic,3.0
35577300,linguistic,3.0
35579453,linguistic,3.0
35580044,linguistic,3.0
35580047,linguistic,3.5
35580059,linguistic,4.5
35580077,linguistic,3.0
35584008,linguistic,3.0
35586036,linguistic,3.0
35586731,linguistic,4.0
35592546,linguistic,4.5
35594415,linguistic,3.0
35595213,linguistic,5.0
35595235,linguistic,4.0
35595612,linguistic,3.0
35595749,linguistic,4.5
35599136,linguistic,3.0
35599823,linguistic,3.0
35609982,linguistic,3.5
35609986,linguistic,5.5
35609987,linguistic,4.0
35609995,linguistic,4.0
35610035,linguistic,4.0
35610052,linguistic,4.0
35610055,linguistic,4.5
35610235,linguistic,3.0
35612084,linguistic,3.0
35612222,linguistic,3.5
35614082,linguistic,4.0
35614210,linguistic,3.0
