pmid,source,setfit_confidence
38115123,setfit,0.7306423
35504964,setfit,0.7299009
36443329,setfit,0.72921175
37450161,setfit,0.72920775
38356567,setfit,0.72902274
40249023,setfit,0.72890574
38042830,setfit,0.7288999
36456604,setfit,0.7287572
36622853,setfit,0.7285361
38804840,setfit,0.72833925
35377469,setfit,0.72828597
35504897,setfit,0.72799665
36192410,setfit,0.7277877
35037225,setfit,0.7277488
35732014,setfit,0.7276873
35583790,setfit,0.7276527
35484563,setfit,0.72755986
36272983,setfit,0.7273217
36575383,setfit,0.72730666
37672040,setfit,0.72720474
36448847,setfit,0.72708845
37699937,setfit,0.7270863
39574409,setfit,0.727081
38572078,setfit,0.72693455
35715874,setfit,0.7268254
40296170,setfit,0.72671175
37944046,setfit,0.7266818
37696882,setfit,0.7265965
39441835,setfit,0.72656447
38758924,setfit,0.72650015
37771003,setfit,0.726496
37452020,setfit,0.7264604
37156621,setfit,0.7264571
35318851,setfit,0.726341
39082653,setfit,0.7263226
37953312,setfit,0.72624135
40183635,setfit,0.72620404
36016994,setfit,0.72616297
39607707,setfit,0.7259905
37563883,setfit,0.7259396
39894387,setfit,0.72588605
40728616,setfit,0.72576034
37938558,setfit,0.7256169
40048704,setfit,0.7256109
38449296,setfit,0.72547174
35864118,setfit,0.72547156
39253011,setfit,0.7254673
36609528,setfit,0.72542757
37671181,setfit,0.7253181
36223196,setfit,0.7252923
40514370,setfit,0.7252781
40327458,setfit,0.72524333
39138221,setfit,0.72516793
40341774,setfit,0.725118
40057556,setfit,0.7250757
35614129,setfit,0.7250644
40279264,setfit,0.72505414
38132293,setfit,0.7250132
40467651,setfit,0.72498405
35422973,setfit,0.72497696
36792601,setfit,0.7249286
39647635,setfit,0.72492516
37796873,setfit,0.7249187
38730184,setfit,0.72490907
40996703,setfit,0.7249054
40231150,setfit,0.72487515
37596815,setfit,0.72486895
35886794,setfit,0.7248593
37843156,setfit,0.72479224
36508259,setfit,0.7247695
38326906,setfit,0.7247342
39915513,setfit,0.7246308
34850162,setfit,0.72460896
35675360,setfit,0.72453904
35604553,setfit,0.7245363
40268957,setfit,0.7244515
35323860,setfit,0.7244337
39574417,setfit,0.7244269
39540432,setfit,0.7243887
35637307,setfit,0.72436285
40328768,setfit,0.72433674
34719002,setfit,0.72425795
35104125,setfit,0.72423154
35037203,setfit,0.72421557
37965622,setfit,0.7241935
38995542,setfit,0.72418743
35126443,setfit,0.72412425
39540736,setfit,0.72407717
35805909,setfit,0.7240738
37653395,setfit,0.72405505
37870467,setfit,0.72401196
39372719,setfit,0.72400355
38297840,setfit,0.7239252
36944259,setfit,0.7238826
37902126,setfit,0.7238639
37010520,setfit,0.7238631
36828587,setfit,0.7238431
36083565,setfit,0.7238299
39562668,setfit,0.7237635
39019896,setfit,0.72375196
40450355,setfit,0.7237504
35495109,setfit,0.72374415
38177985,setfit,0.7236935
37947503,setfit,0.7236933
39546374,setfit,0.7235979
38967009,setfit,0.72356254
39104285,setfit,0.72351676
39957787,setfit,0.72348523
37953304,setfit,0.723439
35609980,setfit,0.7234339
37740491,setfit,0.7234198
35148686,setfit,0.72338605
35807577,setfit,0.7233464
37986224,setfit,0.7233457
35576088,setfit,0.7233182
37450164,setfit,0.7232129
38160287,setfit,0.72319275
35043169,setfit,0.72318697
34791203,setfit,0.72318184
39283448,setfit,0.7231604
36705910,setfit,0.72314465
38266194,setfit,0.7231176
37934729,setfit,0.72311187
39095357,setfit,0.7230421
36697464,setfit,0.7230409
35577821,setfit,0.72301215
35559614,setfit,0.7229876
36408920,setfit,0.7228817
38177162,setfit,0.7228721
35313008,setfit,0.72286856
39348378,setfit,0.722867
39935019,setfit,0.7228642
39138517,setfit,0.72280157
37601035,setfit,0.7227682
40100137,setfit,0.7227652
35267146,setfit,0.7227638
38869148,setfit,0.7227246
40233101,setfit,0.7226544
38502513,setfit,0.7226294
38577974,setfit,0.7226221
35350714,setfit,0.72261375
35616633,setfit,0.72257626
39117154,setfit,0.7225578
37045837,setfit,0.7224864
36289281,setfit,0.7224759
38769143,setfit,0.7224628
34718997,setfit,0.7224622
39151939,setfit,0.72245955
38995537,setfit,0.7224536
37784172,setfit,0.7224529
38192003,setfit,0.72242796
35794183,setfit,0.72236466
36125864,setfit,0.72234905
37537186,setfit,0.7223127
40269329,setfit,0.7223003
37439331,setfit,0.7222923
35617526,setfit,0.7222248
37701712,setfit,0.7222236
38022697,setfit,0.72220176
37620118,setfit,0.72219574
40037522,setfit,0.722186
38001090,setfit,0.7221813
38027538,setfit,0.7221719
39247224,setfit,0.72216773
39443514,setfit,0.7221651
38605036,setfit,0.7221457
37216585,setfit,0.72213554
39041911,setfit,0.7220744
39870848,setfit,0.72206956
36300629,setfit,0.72204953
39695946,setfit,0.7220398
37450167,setfit,0.7220135
37864541,setfit,0.7219821
39805704,setfit,0.72195727
38802733,setfit,0.7218785
40319100,setfit,0.7218737
37995323,setfit,0.7218643
36012140,setfit,0.7217928
34551435,setfit,0.72179013
38870159,setfit,0.7217718
37753479,setfit,0.7217548
38819573,setfit,0.7217174
35727444,setfit,0.7217029
39838963,setfit,0.7216906
