pmid,source,ling_score,setfit_confidence
37666818,linguistic_only,4.0,
38830083,linguistic_only,3.5,
38305800,linguistic_only,3.0,
38928396,setfit_only,,0.69138545
39632912,linguistic_only,3.0,
38486039,setfit_only,,0.6914107
35242021,linguistic_only,3.5,
40271912,setfit_only,,0.6048037
38404138,setfit_only,,0.69979066
38682667,setfit_only,,0.68103635
36454444,linguistic_only,3.0,
40173611,setfit_only,,0.67083853
40173613,setfit_only,,0.6294082
37584946,linguistic_only,3.5,
38092852,setfit_only,,0.63365495
36864057,setfit_only,,0.66097176
36274234,linguistic_only,4.5,
35881019,linguistic_only,4.0,
38518843,setfit_only,,0.6880479
38731836,setfit_only,,0.6194694
39141443,linguistic_only,5.5,
37978180,setfit_only,,0.66935617
35782725,linguistic_only,5.0,
39108678,linguistic_only,3.5,
39141446,linguistic_only,3.0,
37978182,setfit_only,,0.71176314
39600198,setfit_only,,0.7086438
37290059,linguistic_only,4.0,
40108108,linguistic_only,3.0,
36520016,setfit_only,,0.7122308
39223377,linguistic_only,3.5,
37666897,setfit_only,,0.6993415
39927895,setfit_only,,0.70058763
37142618,setfit_only,,0.6261128
37093469,setfit_only,,0.6591393
37552222,linguistic_only,3.5,
40403038,linguistic_only,4.0,
36028515,linguistic_only,4.5,
36847716,linguistic_only,4.0,
40386664,setfit_only,,0.6782986
35962986,linguistic_only,3.5,
36012140,setfit_only,,0.7217928
38912109,setfit_only,,0.62583625
35651694,setfit_only,,0.68414736
38502513,setfit_only,,0.7226294
39862387,linguistic_only,3.5,
40108153,setfit_only,,0.7016449
40419450,linguistic_only,3.0,
39633021,linguistic_only,4.5,
37666946,setfit_only,,0.69980186
34996360,setfit_only,,0.6788388
39780493,setfit_only,,0.6879482
40140942,linguistic_only,4.0,
35668110,setfit_only,,0.7055089
38781078,linguistic_only,3.0,
37732505,linguistic_only,4.0,
38650009,setfit_only,,0.6077155
36192410,setfit_only,,0.7277877
38863005,setfit_only,,0.61950856
37486750,linguistic_only,4.5,
35143846,setfit_only,,0.6230278
39862439,linguistic_only,4.0,
39567529,setfit_only,,0.69282496
37781674,linguistic_only,3.5,
36602030,linguistic_only,3.0,
40108206,linguistic_only,4.5,
36470968,setfit_only,,0.6894979
39567545,setfit_only,,0.67377657
35799226,setfit_only,,0.6971701
39567550,setfit_only,,0.67139363
35438783,linguistic_only,3.0,
37355716,setfit_only,,0.7082323
38518981,linguistic_only,4.5,
33226952,setfit_only,,0.6996989
37994699,linguistic_only,4.5,
40239308,setfit_only,,0.69016737
38502608,linguistic_only,5.0,
38502609,linguistic_only,5.0,
37994706,linguistic_only,4.0,
35586258,setfit_only,,0.70198816
39485651,setfit_only,,0.67762613
40419541,setfit_only,,0.6522724
37372118,linguistic_only,3.0,
38912214,linguistic_only,3.5,
37667031,setfit_only,,0.6733977
37650649,linguistic_only,4.0,
37945559,setfit_only,,0.6523097
37372123,setfit_only,,0.6928293
38060257,linguistic_only,4.0,
37945571,setfit_only,,0.60163826
35504357,linguistic_only,4.5,
37355750,setfit_only,,0.65989196
38863081,setfit_only,,0.6127626
39747823,setfit_only,,0.70433474
38306039,linguistic_only,4.5,
35913976,setfit_only,,0.7048194
35487995,linguistic_only,4.0,
37273851,setfit_only,,0.6599028
40485116,setfit_only,,0.67416984
40419587,setfit_only,,0.7199076
38912260,linguistic_only,4.0,
40567045,setfit_only,,0.63728696
39354632,setfit_only,,0.7151322
40108296,setfit_only,,0.65869886
35684619,setfit_only,,0.6920355
39682316,setfit_only,,0.6396837
35111182,linguistic_only,4.0,
36913423,setfit_only,,0.688388
40173841,setfit_only,,0.6376739
34996498,linguistic_only,3.0,
38027538,setfit_only,,0.7221719
38486291,setfit_only,,0.7190389
36258067,setfit_only,,0.6439335
37896470,linguistic_only,3.0,
37224727,linguistic_only,3.0,
35717401,setfit_only,,0.6888663
37208349,setfit_only,,0.70163256
36913438,linguistic_only,3.5,
38437151,linguistic_only,3.5,
35488032,setfit_only,,0.70354265
37208354,setfit_only,,0.70961684
40124712,linguistic_only,3.0,
36651308,setfit_only,,0.70105124
39960880,linguistic_only,3.5,
39436594,setfit_only,,0.7029156
38437173,linguistic_only,3.0,
38781237,setfit_only,,0.6873034
38371639,linguistic_only,4.0,
35799352,linguistic_only,5.5,
38429395,setfit_only,,0.60384375
38109500,linguistic_only,4.5,
37142846,linguistic_only,3.0,
35143999,linguistic_only,4.0,
39043393,setfit_only,,0.6669867
35799364,linguistic_only,5.0,
37159238,linguistic_only,4.0,
37159240,linguistic_only,4.0,
37159241,linguistic_only,3.5,
35062088,setfit_only,,0.6692743
39567690,setfit_only,,0.7161628
39371081,setfit_only,,0.67756885
37208398,setfit_only,,0.6554109
37208401,setfit_only,,0.7038717
38879569,setfit_only,,0.6603874
37208404,setfit_only,,0.7020779
35668316,setfit_only,,0.6830133
39567709,setfit_only,,0.680474
35733854,setfit_only,,0.7138495
37699937,setfit_only,,0.7270863
35864937,setfit_only,,0.7188202
36979050,setfit_only,,0.6153792
37454191,linguistic_only,4.0,
39977327,setfit_only,,0.6580628
35815793,linguistic_only,3.0,
37208434,setfit_only,,0.7079583
39633268,linguistic_only,4.0,
38584701,linguistic_only,3.5,
38879616,setfit_only,,0.6617027
35668357,linguistic_only,3.0,
40354181,linguistic_only,3.0,
40386950,linguistic_only,3.5,
38437255,setfit_only,,0.7050618
34554251,linguistic_only,4.5,
36290955,setfit_only,,0.6367875
36929933,linguistic_only,5.5,
34554254,linguistic_only,3.0,
34554255,linguistic_only,4.5,
39256463,setfit_only,,0.6104248
37208467,linguistic_only,3.0,
37880211,setfit_only,,0.66110367
37208471,linguistic_only,3.0,
37880224,setfit_only,,0.71400076
37831073,linguistic_only,5.0,
37192099,setfit_only,,0.61162466
39977381,linguistic_only,3.5,
39715240,setfit_only,,0.68403643
37831083,linguistic_only,4.0,
