id,url,entity_long,entity_short,domain,is_live,status_code,total_score,base_score,title_bonus,likelihood,indicators_found,response_time_ms,error_message,meta_redirects,final_url,wayback_used,wayback_url,wayback_snapshot_date
"36408920, 39552041",https://www.uniprot.org/,uniprot,,www.uniprot.org,True,200.0,19,19,0,CRITICAL,Title: UniProt; Content: protein; Content: sequence; Content: resource; Content: search; Content: browse; Content: data,169.83,,0,https://www.uniprot.org/,False,,
"34718743, 39470737",https://bacdive.dsmz.de,bacdive,,bacdive.dsmz.de,True,200.0,35,30,5,CRITICAL,Content: NCBI; Content: sequence; Content: collection; Content: resource; Content: tool; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Title: data; Title: database; Content: web service; ★ TITLE BONUS: 'database' in page title,230.84,,0,https://bacdive.dsmz.de/,False,,
36040109,http://webtools.nbpgr.ernet.in/gdirt/,,g-dirt,webtools.nbpgr.ernet.in,True,200.0,17,17,0,CRITICAL,Content: genomics; Content: gene; Content: resource; Content: tool; Content: search; Content: download; Content: data; Content: server,636.27,,0,http://webtools.nbpgr.ernet.in/gdirt/,False,,
35891797,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,crispr-surfaceome,,crispr-surfaceome.siais.shanghaitech.edu.cn,True,200.0,26,26,0,CRITICAL,Content: genomics; Content: genome; Content: gene; Content: protein; Content: collection; Content: resource; Content: search; Content: query; Content: download; Content: submit; Content: data,907.23,,0,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,False,,
35662469,http://openpip.baderlab.org/,openpip,,openpip.baderlab.org,True,200.0,20,20,0,CRITICAL,Content: gene; Content: protein; Content: resource; Content: platform; Content: search; Content: query; Content: download; Content: curated; Content: data,712.84,,0,https://openpip.baderlab.org/,False,,
"36624665, 39535036",https://cansar.ai,,cansar,cansar.ai,True,200.0,38,38,0,CRITICAL,Content: EBI; Content: UniProt; Content: gene; Content: protein; Content: molecular; Content: resource; Content: tool; Title: platform; Content: search; Content: query; Content: browse; Content: annotation; Content: data; Content: database; Content: server; Content: portal,1131.65,,0,https://cansar.ai/,False,,
35148171,https://www.genomenexus.org,genome nexus,,www.genomenexus.org,True,200.0,5,5,0,MEDIUM,Title: genome; Content: data,297.88,,0,https://www.genomenexus.org/,False,,
"36300620, 37881892, 39417505",https://www.kegg.jp,,kegg,www.kegg.jp,True,200.0,38,38,0,CRITICAL,Content: bioinformatics; Title: genome; Title: gene; Content: protein; Content: sequence; Content: molecular; Content: biological; Content: resource; Content: tool; Content: search; Content: query; Content: download; Content: submit; Content: annotation; Content: data; Content: database,1255.27,,0,https://www.kegg.jp/,False,,
37811871,http://www.rnamd.org/m7GHub2,,m7ghub,www.rnamd.org,True,200.0,32,32,0,CRITICAL,Content: bioinformatics; Content: genome; Content: gene; Content: variant; Content: collection; Content: resource; Content: tool; Content: search; Content: query; Content: download; Content: submit; Content: annotation; Content: data; Content: database; Content: server,1283.34,,0,http://www.rnamd.org/m7GHub2/,False,,
39475723,https://bakrep.computational.bio,bakrep,,bakrep.computational.bio,True,200.0,2,2,0,LOW,Content: data,140.5,,0,https://bakrep.computational.bio/,False,,
35348648,https://diseases.jensenlab.org,diseases,,diseases.jensenlab.org,True,200.0,19,19,0,CRITICAL,Content: bioinformatics; Content: gene; Content: protein; Title: search; Content: query; Content: download; Content: submit; Content: data,251.21,,0,https://diseases.jensenlab.org/Search,False,,
35303059,https://m3cs.shinyapps.io/M3Cs/,microrna childhood cancer catalog,,m3cs.shinyapps.io,True,202.0,4,4,0,LOW,Content: query; Content: data,1719.86,,0,https://m3cs.shinyapps.io/M3Cs/,False,,
37749421,http://www.mpi.nl/idlas-nl,idlas-nl,,www.mpi.nl,True,200.0,24,24,0,CRITICAL,Content: gene; Content: expression; Content: archive; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: data; Content: database; Content: server,480.59,,0,https://www.mpi.nl/idlas-nl,False,,
37169224,https://smacc.mml.unc.edu,small molecule antiviral compound collection,,smacc.mml.unc.edu,True,200.0,17,17,0,CRITICAL,Content: genomics; Content: gene; Content: collection; Content: search; Content: curated; Content: annotation; Content: data; Content: database,251.97,,0,https://smacc.mml.unc.edu/,False,,
37789571,https://acds.neist.res.in/cadv2,cation-aromatic database,,acds.neist.res.in,True,,23,23,0,CRITICAL,Content: bioinformatics; Content: protein; Content: repository; Content: archive; Content: resource; Content: search; Content: query; Content: download; Content: submit; Content: data; Content: database,,"Error: HTTPSConnectionPool(host='acds.neist.res.in', port=443): Max retries exceeded with url: /cadv2 (Caus",0,https://acds.neist.res.in/cadv2,True,http://web.archive.org/web/20241113224333/https://acds.neist.res.in/cadv2/,2024-11-13
36755570,http://www.microbiome-bigdata.com/PHISDetector/index/tools/PhageTailFinder,phagetailfinder,,www.microbiome-bigdata.com,True,200.0,27,27,0,CRITICAL,Content: genomics; Content: genome; Content: gene; Content: protein; Content: sequence; Content: resource; Content: tool; Content: query; Content: submit; Content: annotation; Content: data,816.69,,0,http://www.microbiome-bigdata.com/PHISDetector/index/tools/PhageTailFinder,False,,
39558185,https://plantcyc.org,plant metabolic network,,plantcyc.org,True,200.0,2,2,0,LOW,Content: resource,336.78,,0,https://plantcyc.org/,False,,
40229253,https://www.german-elections.com/,,gerda,www.german-elections.com,True,,10,10,0,HIGH,Content: archive; Content: resource; Content: search; Content: download; Content: data,,"Error: HTTPSConnectionPool(host='www.german-elections.com', port=443): Max retries exceeded with url: / (Ca",0,https://www.german-elections.com/,True,http://web.archive.org/web/20250812054709/http://german-elections.com/,2025-08-12
39441065,https://ecbd.eu,european chemical biology database,,ecbd.eu,True,,24,24,0,CRITICAL,Content: gene; Content: protein; Content: archive; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: data; Content: database; Content: portal,,"Error: HTTPSConnectionPool(host='ecbd.eu', port=443): Max retries exceeded with url: / (Caused by SSLError(",0,https://ecbd.eu,True,http://web.archive.org/web/20250813224914/https://ecbd.eu/,2025-08-13
