pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count
"34850943, 36350640, 37889039, 39558184",GenBank.,"GenBank® (https://www.ncbi.nlm.nih.gov/genbank/) is a comprehensive, public database that contains 15.3 trillion base pairs from over 2.5 billion nucleotide sequences for 504 000 formally described species. Recent updates include resources for data from the SARS-CoV-2 virus, including a SARS-CoV-2 landing page, NCBI Datasets, NCBI Virus and the Submission Portal. We also discuss upcoming changes to GI identifiers, a new data management interface for BioProject, and advice for providing contextual metadata in submissions.",False,True,,0.7133471,genbank,,16.0,ok,ena | european nucleotide archive,table2asn | bioproject | tbl2asn | clusterednr | genbank® | european nucleotide archive | dna data bank of japan,ena | ddbj,spacy,0.0,,,,,,https://www.ncbi.nlm.nih.gov/genbank/ | http://www.ncbi.nlm.nih.gov/genbank/,https://www.ncbi.nlm.nih.gov/genbank/,True,"GenBank® (https://www.ncbi.nlm.nih.gov/genbank/) is a comprehensive, public database that contain...",4
"34788843, 37941124, 38713862",The reactome pathway knowledgebase 2022.,"The Reactome Knowledgebase (https://reactome.org), an Elixir core resource, provides manually curated molecular details across a broad range of physiological and pathological biological processes in humans, including both hereditary and acquired disease processes. The processes are annotated as an ordered network of molecular transformations in a single consistent data model. Reactome thus functions both as a digital archive of manually curated human biological processes and as a tool for discovering functional relationships in data such as gene expression profiles or somatic mutation catalogs from tumor cells. Recent curation work has expanded our annotations of normal and disease-associated signaling processes and of the drugs that target them, in particular infections caused by the SARS-CoV-1 and SARS-CoV-2 coronaviruses and the host response to infection. New tools support better simultaneous analysis of high-throughput data from multiple sources and the placement of understudied ('dark') proteins from analyzed datasets in the context of Reactome's manually curated pathways.",False,True,,0.71705884,reactome,,16.0,ok,,reactome knowledgebase,gcbr,spacy,0.0,,,,,,https://reactome.org,https://reactome.org,True,"The Reactome Knowledgebase (https://reactome.org), an Elixir core resource, provides manually cura...",3
"34875068, 35622340","IMGT® databases, related tools and web resources through three main axes of research and development.","IMGT®, the international ImMunoGeneTics information system®, http://www.imgt.org/, is at the forefront of the immunogenetics and immunoinformatics fields with more than 30 years of experience. IMGT® makes available databases and tools to the scientific community pertaining to the adaptive immune response, based on the IMGT-ONTOLOGY. We focus on the recent features of the IMGT® databases, tools, reference directories and web resources, within the three main axes of IMGT® research and development. Axis I consists in understanding the adaptive immune response, by deciphering the identification and characterization of the immunoglobulin (IG) and T cell receptor (TR) genes in jawed vertebrates. It is the starting point of the two other axes, namely the analysis and exploration of the expressed IG and TR repertoires based on comparison with IMGT reference directories in normal and pathological situations (Axis II) and the analysis of amino acid changes and functions of 2D and 3D structures of antibody and TR engineering (Axis III).",False,True,,0.6985041,,imgt®,16.950653799999998,ok,,statclonotype,highv,v2,0.9506538,,,,,,http://www.imgt.org/,http://www.imgt.org/,True,"...international ImMunoGeneTics information system®, http://www.imgt.org/, is at the forefront of the immunogenetics and im...",2
"36300620, 37881892",KEGG for taxonomy-based analysis of pathways and genomes.,"KEGG (https://www.kegg.jp) is a manually curated database resource integrating various biological objects categorized into systems, genomic, chemical and health information. Each object (database entry) is identified by the KEGG identifier (kid), which generally takes the form of a prefix followed by a five-digit number, and can be retrieved by appending /entry/kid in the URL. The KEGG pathway map viewer, the Brite hierarchy viewer and the newly released KEGG genome browser can be launched by appending /pathway/kid, /brite/kid and /genome/kid, respectively, in the URL. Together with an improved annotation procedure for KO (KEGG Orthology) assignment, an increasing number of eukaryotic genomes have been included in KEGG for better representation of organisms in the taxonomic tree. Multiple taxonomy files are generated for classification of KEGG organisms and viruses, and the Brite hierarchy viewer is used for taxonomy mapping, a variant of Brite mapping in the new KEGG Mapper suite. The taxonomy mapping enables analysis of, for example, how functional links of genes in the pathway and physical links of genes on the chromosome are conserved among organism groups.",False,True,,0.7134261,,kegg,16.0,ok,,egg orthology,,spacy,0.0,,,,,,https://www.kegg.jp | http://www.kegg.jp,https://www.kegg.jp,True,KEGG (https://www.kegg.jp) is a manually curated database resource integrat...,2
35886662,Exe-Muscle: An Exercised Human Skeletal Muscle Gene Expression Database.,"Human muscle tissue undergoes dynamic changes in gene expression during exercise, and the dynamics of these genes are correlated with muscle adaptation to exercise. A database of gene expression changes in human muscle before and after exercise was established for data mining. A web-based searchable database, Exe-muscle, was developed using microarray sequencing data, which can help users to retrieve gene expression at different times. Search results provide a complete description of target genes or genes with specific expression patterns. We can explore the molecular mechanisms behind exercise science by studying the changes in muscle gene expression over time before and after exercise. Based on the high-throughput microarray data before and after human exercise, a human pre- and post-exercise database was created using web-based database technology, which researchers can use or share their gene expression data. The Exe-muscle database is accessible online.",False,True,,0.71088916,exe-muscle,,20.9983098,ok,,human skeletal muscle | gene expression database | exe-muscle database,,spacy+v2,0.9983098,Exe-Muscle,True,5.0,True,True,,,False,,1
39366993,Course-Skill Atlas: A national longitudinal dataset of skills taught in U.S. higher education curricula.,"Higher education plays a critical role in driving an innovative economy by equipping students with knowledge and skills demanded by the workforce. While researchers and practitioners have developed data systems to track detailed occupational skills, such as those established by the U.S. Department of Labor (DOL), much less effort has been made to document which of these skills are being developed in higher education at a similar granularity. Here, we fill this gap by presenting Course-Skill Atlas - a longitudinal dataset of skills inferred from over three million course syllabi taught at nearly three thousand U.S. higher education institutions. To construct Course-Skill Atlas, we apply natural language processing to quantify the alignment between course syllabi and detailed workplace activities (DWAs) used by the DOL to describe occupations. We then aggregate these alignment scores to create skill profiles for institutions and academic majors. Our dataset offers a large-scale representation of college education's role in preparing students for the labor market. Overall, Course-Skill Atlas can enable new research on the source of skills in the context of workforce development and provide actionable insights for shaping the future of higher education to meet evolving labor demands, especially in the face of new technologies.",False,True,,0.71015173,course-skill atlas,,20.9954441,ok,,a large-scale,dol,spacy+v2,0.9954441,Course-Skill Atlas,False,0.0,True,False,,,False,,1
36115858,World carbon pricing database: sources and methods.,"This note describes the sources and methods used to construct the World Carbon Pricing Database (WCPD). This database contains a harmonized record of the sectoral coverage and prices associated with carbon pricing mechanisms implemented worldwide at the national and subnational levels over the period 1990-2020. The dataset follows IPCC 2006 sectoral disaggregation, which allows for a straightforward integration with other datasets following the same structure.",False,True,,0.6669795,world carbon pricing database,,20.9949294,ok,wcpd | world carbon pricing database,,wcpd,spacy+v2,0.9949294,World carbon pricing database,True,5.0,True,True,,,False,,1
39101690,scSwinFormer: A Transformer-Based Cell-Type Annotation Method for scRNA-Seq Data Using Smooth Gene Embedding and Global Features.,"Single-cell omics techniques have made it possible to analyze individual cells in biological samples, providing us with a more detailed understanding of cellular heterogeneity and biological systems. Accurate identification of cell types is critical for single-cell RNA sequencing (scRNA-seq) analysis. However, scRNA-seq data are usually high dimensional and sparse, posing a great challenge to analyze scRNA-seq data. Existing cell-type annotation methods are either constrained in modeling scRNA-seq data or lack consideration of long-term dependencies of characterized genes. In this work, we developed a Transformer-based deep learning method, scSwinFormer, for the cell-type annotation of large-scale scRNA-seq data. Sequence modeling of scRNA-seq data is performed using the smooth gene embedding module, and then, the potential dependencies of genes are captured by the self-attention module. Subsequently, the global information inherent in scRNA-seq data is synthesized using the Cell Token, thereby facilitating accurate cell-type annotation. We evaluated the performance of our model against current state-of-the-art scRNA-seq cell-type annotation methods on multiple real data sets. ScSwinFormer outperforms the current state-of-the-art scRNA-seq cell-type annotation methods in both external and benchmark data set experiments.",False,True,,0.6966398,scswinformer,,20.99417377,ok,,transformer,,spacy+v2,0.99417377,scSwinFormer,False,0.0,True,False,,,False,,1
37112833,The EBV Gastric Cancer Resource (EBV-GCR): A Suite of Tools for Investigating EBV-Associated Human Gastric Carcinogenesis.,"Epstein-Barr virus (EBV) causes lifelong infection in over 90% of the world's population. EBV infection leads to several types of B cell and epithelial cancers due to the viral reprogramming of host-cell growth and gene expression. EBV is associated with 10% of stomach/gastric adenocarcinomas (EBVaGCs), which have distinct molecular, pathological, and immunological characteristics compared to EBV-negative gastric adenocarcinomas (EBVnGCs). Publicly available datasets, such as The Cancer Genome Atlas (TCGA), contain comprehensive transcriptomic, genomic, and epigenomic data for thousands of primary human cancer samples, including EBVaGCs. Additionally, single-cell RNA-sequencing data are becoming available for EBVaGCs. These resources provide a unique opportunity to explore the role of EBV in human carcinogenesis, as well as differences between EBVaGCs and their EBVnGC counterparts. We have constructed a suite of web-based tools called the EBV Gastric Cancer Resource (EBV-GCR), which utilizes TCGA and single-cell RNA-seq data and can be used for research related to EBVaGCs. These web-based tools allow investigators to gain in-depth biological and clinical insights by exploring the effects of EBV on cellular gene expression, associations with patient outcomes, immune landscape features, and differential gene methylation, featuring both whole-tissue and single-cell analyses.",False,True,,0.67539614,ebv gastric cancer resource,,20.99270105,ok,tcga | the cancer genome atlas,ebvagcs | ebvngcs | the cancer genome atlas,ebv | tcga | ebv-gcr,spacy+v2,0.99270105,EBV Gastric Cancer Resource,True,3.0,True,True,,,False,,1
38341426,The Allen Ancient DNA Resource (AADR) a curated compendium of ancient human genomes.,"More than two hundred papers have reported genome-wide data from ancient humans. While the raw data for the vast majority are fully publicly available testifying to the commitment of the paleogenomics community to open data, formats for both raw data and meta-data differ. There is thus a need for uniform curation and a centralized, version-controlled compendium that researchers can download, analyze, and reference. Since 2019, we have been maintaining the Allen Ancient DNA Resource (AADR), which aims to provide an up-to-date, curated version of the world's published ancient human DNA data, represented at more than a million single nucleotide polymorphisms (SNPs) at which almost all ancient individuals have been assayed. The AADR has gone through six public releases at the time of writing and review of this manuscript, and crossed the threshold of >10,000 individuals with published genome-wide ancient DNA data at the end of 2022. This note is intended as a citable descriptor of the AADR.",False,True,,0.7107848,allen ancient dna resource,,20.9924705,ok,aadr | allen ancient dna resource,,aadr,spacy+v2,0.9924705,,True,3.0,False,False,,,False,,1
