pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count
"34850943, 36350640, 37889039, 39558184",GenBank.,"GenBank® (https://www.ncbi.nlm.nih.gov/genbank/) is a comprehensive, public database that contains 15.3 trillion base pairs from over 2.5 billion nucleotide sequences for 504 000 formally described species. Recent updates include resources for data from the SARS-CoV-2 virus, including a SARS-CoV-2 landing page, NCBI Datasets, NCBI Virus and the Submission Portal. We also discuss upcoming changes to GI identifiers, a new data management interface for BioProject, and advice for providing contextual metadata in submissions.",False,True,,0.7133471,genbank,,16.0,ok,ena | european nucleotide archive,table2asn | bioproject | tbl2asn | clusterednr | genbank® | european nucleotide archive | dna data bank of japan,ena | ddbj,spacy,0.0,,,,,,https://www.ncbi.nlm.nih.gov/genbank/ | http://www.ncbi.nlm.nih.gov/genbank/,https://www.ncbi.nlm.nih.gov/genbank/,True,"GenBank® (https://www.ncbi.nlm.nih.gov/genbank/) is a comprehensive, public database that contain...",4
"34788843, 37941124, 38713862",The reactome pathway knowledgebase 2022.,"The Reactome Knowledgebase (https://reactome.org), an Elixir core resource, provides manually curated molecular details across a broad range of physiological and pathological biological processes in humans, including both hereditary and acquired disease processes. The processes are annotated as an ordered network of molecular transformations in a single consistent data model. Reactome thus functions both as a digital archive of manually curated human biological processes and as a tool for discovering functional relationships in data such as gene expression profiles or somatic mutation catalogs from tumor cells. Recent curation work has expanded our annotations of normal and disease-associated signaling processes and of the drugs that target them, in particular infections caused by the SARS-CoV-1 and SARS-CoV-2 coronaviruses and the host response to infection. New tools support better simultaneous analysis of high-throughput data from multiple sources and the placement of understudied ('dark') proteins from analyzed datasets in the context of Reactome's manually curated pathways.",False,True,,0.71705884,reactome,,16.0,ok,,reactome knowledgebase,gcbr,spacy,0.0,,,,,,https://reactome.org,https://reactome.org,True,"The Reactome Knowledgebase (https://reactome.org), an Elixir core resource, provides manually cura...",3
36702059,Chemo-structural diversity of anti-obesity compound database.,"Nature plays a major role in the development of new drugs which helps in preventing and treating human diseases. Anti-obesity compound database (AOCD) contains comprehensive information on all published small molecules from natural sources with anti-obesity potential targeting pancreatic lipase (PL), appetite suppressant (AS) and adipogenesis (AD). Presently the database contains 349 compounds isolated from 307 plants, 26 marine and 16 microbial sources. Users can query the AOCD database (https://aocd.swmd.co.in/) in several ways. The database was divided into three datasets (PL, AS and AD) to perform chemoinformatic analysis using Platform for Unified Molecular Analysis (PUMA), which were analyzed based on molecular descriptors, scaffold diversity and structural fingerprint diversity. Chemoinformatics study inferred the PL dataset has the highest diversity of compounds based on the Euclidean distance on molecular properties, scaffold diversity and pairwise similarity on fingerprint diversity. This study would hasten the process of anti-obesity drug discovery.",False,True,,0.6923511,anti-obesity compound database,,20.79846126,ok,,,aocd | puma,spacy+v2,0.79846126,,True,5.0,False,False,https://aocd.swmd.co.in/,https://aocd.swmd.co.in/,True,...obial sources. Users can query the AOCD database (https://aocd.swmd.co.in/) in several ways. The database was divided into t...,1
38048333,HybridDBRpred: improved sequence-based prediction of DNA-binding amino acids using annotations from structured complexes and disordered proteins.,"Current predictors of DNA-binding residues (DBRs) from protein sequences belong to two distinct groups, those trained on binding annotations extracted from structured protein-DNA complexes (structure-trained) vs. intrinsically disordered proteins (disorder-trained). We complete the first empirical analysis of predictive performance across the structure- and disorder-annotated proteins for a representative collection of ten predictors. Majority of the structure-trained tools perform well on the structure-annotated proteins while doing relatively poorly on the disorder-annotated proteins, and vice versa. Several methods make accurate predictions for the structure-annotated proteins or the disorder-annotated proteins, but none performs highly accurately for both annotation types. Moreover, most predictors make excessive cross-predictions for the disorder-annotated proteins, where residues that interact with non-DNA ligand types are predicted as DBRs. Motivated by these results, we design, validate and deploy an innovative meta-model, hybridDBRpred, that uses deep transformer network to combine predictions generated by three best current predictors. HybridDBRpred provides accurate predictions and low levels of cross-predictions across the two annotation types, and is statistically more accurate than each of the ten tools and baseline meta-predictors that rely on averaging and logistic regression. We deploy hybridDBRpred as a convenient web server at http://biomine.cs.vcu.edu/servers/hybridDBRpred/ and provide the corresponding source code at https://github.com/jianzhang-xynu/hybridDBRpred.",False,True,,0.7100471,hybriddbrpred,,17.0,ok,,improved sequence-based prediction of dna-binding amino acids using annotations from structured complexes and disordered proteins | http://biomine.cs.vcu.edu/servers/hybriddbrpred/,,spacy,0.0,HybridDBRpred,True,1.0,True,True,http://biomine.cs.vcu.edu/servers/hybridDBRpred/,http://biomine.cs.vcu.edu/servers/hybridDBRpred/,True,...eploy hybridDBRpred as a convenient web server at http://biomine.cs.vcu.edu/servers/hybridDBRpred/ and provide the corresponding source code at http...,1
36988160,ProsmORF-pred: a machine learning-based method for the identification of small ORFs in prokaryotic genomes.,"Small open reading frames (smORFs) encoding proteins less than 100 amino acids (aa) are known to be important regulators of key cellular processes. However, their computational identification remains a challenge. Based on a comprehensive analysis of known prokaryotic small ORFs, we have developed the ProsmORF-pred resource which uses a machine learning (ML)-based method for prediction of smORFs in the prokaryotic genome sequences. ProsmORF-pred consists of two ML models, one for initiation site recognition in nucleic acid sequences upstream of putative start codons and the other uses translated amino acid sequences to decipher functional protein like sequences. The nucleotide sequence-based initiation site recognition model has been trained using longer ORFs (>100 aa) in the same genome while the ML model for identification of protein like sequences has been trained using annotated smORFs from Escherichia coli. Comprehensive benchmarking of ProsmORF-pred reveals that its performance is comparable to other state-of-the-art approaches on the annotated smORF set derived from 32 prokaryotic genomes. Its performance is distinctly superior to other tools like PRODIGAL and RANSEPS for prediction of newly identified smORFs which have a length range of 10-30 aa, where prediction of smORFs has been a major challenge. Apart from identification of smORFs in genomic sequences, ProsmORF-pred can also aid in functional annotation of the predicted smORFs based on sequence similarity and genomic neighbourhood similarity searches in ProsmORFDB, a well-curated database of known smORFs. ProsmORF-pred along with its backend database ProsmORFDB is available as a user-friendly web server (http://www.nii.ac.in/prosmorfpred.html).",False,True,,0.7138577,prosmorf-pred,,16.99748874,ok,,prosmorf | prosmorfdb,,v2,0.99748874,ProsmORF-pred,False,0.0,True,False,http://www.nii.ac.in/prosmorfpred.html,http://www.nii.ac.in/prosmorfpred.html,True,...ORFDB is available as a user-friendly web server (http://www.nii.ac.in/prosmorfpred.html).,1
36575383,"OpenGenomeBrowser: a versatile, dataset-independent and scalable web platform for genome data management and comparative genomics.","<h4>Background</h4>As the amount of genomic data continues to grow, there is an increasing need for systematic ways to organize, explore, compare, analyze and share this data. Despite this, there is a lack of suitable platforms to meet this need.<h4>Results</h4>OpenGenomeBrowser is a self-hostable, open-source platform to manage access to genomic data and drastically simplifying comparative genomics analyses. It enables users to interactively generate phylogenetic trees, compare gene loci, browse biochemical pathways, perform gene trait matching, create dot plots, execute BLAST searches, and access the data. It features a flexible user management system, and its modular folder structure enables the organization of genomic data and metadata, and to automate analyses. We tested OpenGenomeBrowser with bacterial, archaeal and yeast genomes. We provide a docker container to make installation and hosting simple. The source code, documentation, tutorials for OpenGenomeBrowser are available at opengenomebrowser.github.io and a demo server is freely accessible at opengenomebrowser.bioinformatics.unibe.ch .<h4>Conclusions</h4>To our knowledge, OpenGenomeBrowser is the first self-hostable, database-independent comparative genome browser. It drastically simplifies commonly used bioinformatics workflows and enables convenient as well as fast data exploration.",False,True,,0.72730666,pengenomebrowser,,16.9968895,ok,,opengenomebrowser | opengenomebrowser.github.io,,v2,0.9968895,OpenGenomeBrowser,False,0.0,False,False,opengenomebrowser.github.io | opengenomebrowser.bioinformatics.unibe.ch,opengenomebrowser.github.io,True,...tutorials for OpenGenomeBrowser are available at opengenomebrowser.github.io and a demo server is freely accessible at opengen...,1
40328764,OSMlanduse a dataset of European Union land use at 10 m resolution derived from OpenStreetMap and Sentinel-2.,"Our map represents the first successful large-area fusion of OpenStreetMap and Copernicus data at a spatial resolution of 10 m or finer and can be applied globally. We addressed varying label noise and feature space quality, utilizing artificial intelligence and advanced computing. Our method relies solely on openly available data streams and methods, eliminating training data acquisition or the need for additional expert knowledge for such purpose. We extracted land use labels from OpenStreetMap and remote sensing data to create a contiguous land use map of the European Union as of March 2020. OpenStreetMap tags were translated into land use labels, directly mapping 61.8% of the Union's area. These labels served as training data for a classification model, predicting land use in remaining areas. Country-specific deep learning convolutional neural networks and Sentinel-2 feature space composites of 2020 at 10 m resolution were employed. The overall map accuracy is 89%, with class-specific accuracies ranging from 77% to 99%. The data set is available for download from https://doi.org/10.11588/data/IUTCDN and visualization at https://osmlanduse.org .",False,True,,0.7096734,osmlanduse,,16.99627554,ok,,openstreetmap,,v2,0.99627554,,False,0.0,False,False,https://osmlanduse.org,https://osmlanduse.org,True,...doi.org/10.11588/data/IUTCDN and visualization at https://osmlanduse.org .,1
39660955,SG-ML-PLAP: A structure-guided machine learning-based scoring function for protein-ligand binding affinity prediction.,"Computational methods to predict binding affinity of protein-ligand complex have been used extensively to design inhibitors for proteins selected as drug targets. In recent years machine learning (ML) is being increasingly used for design of drugs/inhibitors. However, ranking compounds as per their experimental binding affinity has remained a major challenge. Therefore, it is necessary to develop ML-based scoring function (MLSF) for predicting the binding affinity of protein-ligand complexes. In this work, protein-ligand interaction features, namely, extended connectivity interaction fingerprints (ECIF), derived from the PDBbind dataset have been used to build ML models for binding affinity prediction. The benchmarking has been done on the Comparative Assessment of Scoring Functions (CASF) dataset and also by predicting the binding affinity of unseen protein-ligand complexes which have structural features different from those present in the training dataset. Furthermore, an improvement in the performance of MLSF on the redocked CASF complexes generated by AutoDock Vina software was seen when the training set consisting of crystal structures was supplemented with redocked protein-ligand complexes. The MLSF trained on crystal structures alone using a combination of ECIF and VINA features also predicted binding affinities of crystal as well as docked complexes with high accuracy. Overall, the MLSF developed in this work shows improved performance compared to conventional SFs and several other MLSFs. It will be a valuable resource for identifying novel inhibitors by structure-based virtual screening protocols. The proposed MLSF SG-ML-PLAP (Structure-Guided Machine-Learning-based Protein-Ligand Affinity Predictor) is freely accessible as a webserver, http://www.nii.ac.in/sg-ml-plap.html.",False,True,,0.70451945,,sg-ml-plap,16.994601250000002,ok,,pdbbind | autodock | structure-guided machine-learning-based protein-ligand affinity predictor | http://www.nii.ac.in/sg-ml-plap.html,casf | mlsf,v2,0.99460125,SG-ML-PLAP,False,0.0,True,False,http://www.nii.ac.in/sg-ml-plap.html,http://www.nii.ac.in/sg-ml-plap.html,True,"...y Predictor) is freely accessible as a webserver, http://www.nii.ac.in/sg-ml-plap.html.",1
37986220,Plant Reactome Knowledgebase: empowering plant pathway exploration and OMICS data analysis.,"Plant Reactome (https://plantreactome.gramene.org) is a freely accessible, comprehensive plant pathway knowledgebase. It provides curated reference pathways from rice (Oryza sativa) and gene-orthology-based pathway projections to 129 additional species, spanning single-cell photoautotrophs, non-vascular plants, and higher plants, thus encompassing a wide-ranging taxonomic diversity. Currently, Plant Reactome houses a collection of 339 reference pathways, covering metabolic and transport pathways, hormone signaling, genetic regulations of developmental processes, and intricate transcriptional networks that orchestrate a plant's response to abiotic and biotic stimuli. Beyond being a mere repository, Plant Reactome serves as a dynamic data discovery platform. Users can analyze and visualize omics data, such as gene expression, gene-gene interaction, proteome, and metabolome data, all within the rich context of plant pathways. Plant Reactome is dedicated to fostering data interoperability, upholding global data standards, and embracing the tenets of the Findable, Accessible, Interoperable and Re-usable (FAIR) data policy.",False,True,,0.71398246,plant reactome,,16.98423195,ok,,reactome | plant reactome knowledgebase,,v2,0.98423195,Plant Reactome Knowledgebase,False,0.0,False,False,https://plantreactome.gramene.org,https://plantreactome.gramene.org,True,"Plant Reactome (https://plantreactome.gramene.org) is a freely accessible, comprehensive plant path...",1
37671181,RetroBioCat Database: A Platform for Collaborative Curation and Automated Meta-Analysis of Biocatalysis Data.,"Despite the increasing use of biocatalysis for organic synthesis, there are currently no databases that adequately capture synthetic biotransformations. The lack of a biocatalysis database prevents accelerating biocatalyst characterization efforts from being leveraged to quickly identify candidate enzymes for reactions or cascades, slowing their development. The RetroBioCat Database (available at retrobiocat.com) addresses this gap by capturing information on synthetic biotransformations and providing an analysis platform that allows biocatalysis data to be searched and explored through a range of highly interactive data visualization tools. This database makes it simple to explore available enzymes, their substrate scopes, and how characterized enzymes are related to each other and the wider sequence space. Data entry is facilitated through an openly accessible curation platform, featuring automated tools to accelerate the process. The RetroBioCat Database democratizes biocatalysis knowledge and has the potential to accelerate biocatalytic reaction development, making it a valuable resource for the community.",False,True,,0.7253181,retrobiocat,,16.9823994,ok,,,,v2,0.9823994,RetroBioCat Database,True,5.0,False,False,retrobiocat.com,retrobiocat.com,True,...velopment. The RetroBioCat Database (available at retrobiocat.com) addresses this gap by capturing information on s...,1
