pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count
"34718743, 39470737",BacDive in 2022: the knowledge base for standardized bacterial and archaeal data.,"The bacterial metadatabase BacDive (https://bacdive.dsmz.de) has developed into a leading database for standardized prokaryotic data on strain level. With its current release (07/2021) the database offers information for 82 892 bacterial and archaeal strains covering taxonomy, morphology, cultivation, metabolism, origin, and sequence information within 1048 data fields. By integrating high-quality data from additional culture collections as well as detailed information from species descriptions, the amount of data provided has increased by 30% over the past three years. A newly developed query builder tool in the advanced search now allows complex database queries. Thereby bacterial strains can be systematically searched based on combinations of their attributes, e.g. growth and metabolic features for biotechnological applications or to identify gaps in the present knowledge about bacteria. A new interactive dashboard provides a statistic overview over the most important data fields. Additional new features are improved genomic sequence data, integrated NCBI TaxIDs and links to BacMedia, the new sister database on cultivation media. To improve the findability and interpretation of data through search engines, data in BacDive are annotated with bioschemas.org terms.",False,True,4.5,0.7186998,bacdive,,16.0,ok,,global core biodata resource | bacmedia | prokaryotes,,spacy,0.0,,,,,,https://bacdive.dsmz.de,https://bacdive.dsmz.de,True,The bacterial metadatabase BacDive (https://bacdive.dsmz.de) has developed into a leading database for standa...,2
"36624665, 39535036",canSAR: update to the cancer translational research and drug discovery knowledgebase.,"canSAR (https://cansar.ai) is the largest public cancer drug discovery and translational research knowledgebase. Now hosted in its new home at MD Anderson Cancer Center, canSAR integrates billions of experimental measurements from across molecular profiling, pharmacology, chemistry, structural and systems biology. Moreover, canSAR applies a unique suite of machine learning algorithms designed to inform drug discovery. Here, we describe the latest updates to the knowledgebase, including a focus on significant novel data. These include canSAR's ligandability assessment of AlphaFold; mapping of fragment-based screening data; and new chemical bioactivity data for novel targets. We also describe enhancements to the data and interface.",False,True,3.0,0.7009078,,cansar,16.0,ok,,alphafold | update to the cancer translational research and drug discovery knowledgebase,,spacy,0.0,,,,,,https://cansar.ai,https://cansar.ai,True,canSAR (https://cansar.ai) is the largest public cancer drug discovery and...,2
"36300620, 39417505",KEGG for taxonomy-based analysis of pathways and genomes.,"KEGG (https://www.kegg.jp) is a manually curated database resource integrating various biological objects categorized into systems, genomic, chemical and health information. Each object (database entry) is identified by the KEGG identifier (kid), which generally takes the form of a prefix followed by a five-digit number, and can be retrieved by appending /entry/kid in the URL. The KEGG pathway map viewer, the Brite hierarchy viewer and the newly released KEGG genome browser can be launched by appending /pathway/kid, /brite/kid and /genome/kid, respectively, in the URL. Together with an improved annotation procedure for KO (KEGG Orthology) assignment, an increasing number of eukaryotic genomes have been included in KEGG for better representation of organisms in the taxonomic tree. Multiple taxonomy files are generated for classification of KEGG organisms and viruses, and the Brite hierarchy viewer is used for taxonomy mapping, a variant of Brite mapping in the new KEGG Mapper suite. The taxonomy mapping enables analysis of, for example, how functional links of genes in the pathway and physical links of genes on the chromosome are conserved among organism groups.",False,True,4.5,0.7134261,,kegg,16.0,ok,,ortholog group,vog,spacy,0.0,,,,,,https://www.kegg.jp | http://www.kegg.jp,https://www.kegg.jp,True,KEGG (https://www.kegg.jp) is a manually curated database resource integrat...,2
"36408920, 39552041",UniProt: the Universal Protein Knowledgebase in 2023.,"The aim of the UniProt Knowledgebase is to provide users with a comprehensive, high-quality and freely accessible set of protein sequences annotated with functional information. In this publication we describe enhancements made to our data processing pipeline and to our website to adapt to an ever-increasing information content. The number of sequences in UniProtKB has risen to over 227 million and we are working towards including a reference proteome for each taxonomic group. We continue to extract detailed annotations from the literature to update or create reviewed entries, while unreviewed entries are supplemented with annotations provided by automated systems using a variety of machine-learning techniques. In addition, the scientific community continues their contributions of publications and annotations to UniProt entries of their interest. Finally, we describe our new website (https://www.uniprot.org/), designed to enhance our users' experience and make our data easily accessible to the research community. This interface includes access to AlphaFold structures for more than 85% of all entries as well as improved visualisations for subcellular localisation of proteins.",False,True,3.0,0.7228817,uniprot,,16.0,ok,,alphafold | universal protein knowledgebase in 2025 | uniprot knowledgebase | uniprotkb | universal protein knowledgebase in 2023,,spacy,0.0,,,,,,https://www.uniprot.org/ | http://www.uniprot.org/,https://www.uniprot.org/,True,"...r interest. Finally, we describe our new website (https://www.uniprot.org/), designed to enhance our users' experience and m...",2
35303059,MicroRNA childhood cancer catalog (M3Cs): a resource for translational bioinformatics toward health informatics in pediatric cancer.,"MicroRNA childhood Cancer Catalog (M3Cs) is a high-quality curated collection of published miRNA research studies on 16 pediatric cancer diseases. M3Cs scope was based on two approaches: data-driven clinical significance and data-driven human pediatric cell line models. Based on the translational bioinformatics spectrum, the main objective of this study is to bring miRNA research into clinical significance in both pediatric cancer patient care and drug discovery toward health informatics in childhood cancer. M3Cs development passed through three phases: 1. Literature Mining: It includes external database search and screening. 2. Data processing that includes three steps: (a) Data Extraction, (b) Data Curation and annotation, (c) Web Development. 3. Publishing: Shinyapps.io was used as a web interface for the deployment of M3Cs. M3Cs is now available online and can be accessed through https://m3cs.shinyapps.io/M3Cs/. For data-driven clinical significance approach, 538 miRNAs from 268 publications were reported in the clinical domain while 7 miRNAs from 5 publications were reported in the clinical & drug domain. For data-driven human pediatric cell line models approach, 538 miRNAs from 1268 publications were reported in the cell line domain while 211 miRNAs from 177 publications in the cell line & drug domain. M3Cs acted to fill the gap by applying translational bioinformatics general pathway to transfer data-driven research toward data-driven clinical care and/or hypothesis generation. Aggregated and well-curated data of M3Cs will enable stakeholders in health care to incorporate miRNA in the clinical policy. Database URL:https://m3cs.shinyapps.io/M3Cs/.",True,False,3.0,,microrna childhood cancer catalog,,21.97285163,ok,,,m3cs,spacy+v2,0.97285163,MicroRNA childhood cancer catalog,True,6.0,True,True,https://m3cs.shinyapps.io/M3Cs/,https://m3cs.shinyapps.io/M3Cs/,True,"...now available online and can be accessed through https://m3cs.shinyapps.io/M3Cs/. For data-driven clinical significance approach,...",1
37789571,Analyzing the cation-aromatic interactions in proteins: Cation-aromatic database V2.0.,"The cation-aromatic database (CAD) is a comprehensive repository of cation-aromatic motifs found in experimentally determined protein structures, first reported in 2007 [Proteins, 2007, 67, 1179]. The present article is an update of CAD that contains information of approximately 27.26 million cation-aromatic motifs. CAD uses three distance parameters (r, d1, and d2) to determine the position of the cation relative to the centroid of the aromatic residue and classifies the motifs as cation-π or cation-σ interactions. As of June 2023, about 193 936 protein structures were retrieved from Protein Data Bank, and this resulted in the identification of an impressive number of 27 255 817 cation-aromatic motifs. Among these motifs, spherical motifs constituted 94.09%, while cylindrical motifs made up the remaining 5.91%. When considering the interaction of metal ions with aromatic residues, 965 564 motifs are identified. Remarkably, 82.08% of these motifs involved the binding of metal ions to the amino acid HIS. Moreover, the analysis of binding preferences between cations and aromatic residues revealed that the HIS-HIS, PHE-ARG, and TRP-ARG pairs exhibited a preferential geometry. The motif pair HIS-HIS was the most prevalent, accounting for 19.87% of the total, closely followed by TYR-LYS at 10.17%. Conversely, the motif pair TRP-HIS had the lowest occurrence, representing only 4.20% of the total. The data generated help in revealing the characteristics and biological functions of cation-aromatic interactions in biological molecules. The updated version of CAD (Cation-Aromatic Database V2.0) can be accessed at https://acds.neist.res.in/cadv2.",True,False,4.5,,cation-aromatic database,,21.94468856,ok,,,cad,spacy+v2,0.94468856,Analyzing the cation-aromatic interactions in proteins,True,5.0,False,False,https://acds.neist.res.in/cadv2,https://acds.neist.res.in/cadv2,True,...Cation-Aromatic Database V2.0) can be accessed at https://acds.neist.res.in/cadv2.,1
39526387,ScDrugAct: a comprehensive database to dissect tumor microenvironment cell heterogeneity contributing to drug action and resistance across human cancers.,"The transcriptional heterogeneity of tumor microenvironment (TME) cells is a crucial factor driving the diversity of cellular response to drug treatment and resistance. Therefore, characterizing the cells associated with drug treatment and resistance will help us understand therapeutic mechanisms, discover new therapeutic targets and facilitate precision medicine. Here, we describe a database, scDrugAct (http://bio-bigdata.hrbmu.edu.cn/scDrugAct/), which aims to establish connections among drugs, genes and cells and dissect the impact of TME cellular heterogeneity on drug action and resistance at single-cell resolution. ScDrugAct is curated with drug-cell connections between 3838 223 cells across 34 cancer types and 13 857 drugs and identifies 17 274 drug perturbation/resistance-related genes and 276 559 associations between >10 000 drugs and 53 cell types. ScDrugAct also provides multiple flexible tools to retrieve and analyze connections among drugs, genes and cells; the distribution and developmental trajectories of drug-associated cells within the TME; functional features affecting the heterogeneity of cellular responses to drug perturbation and drug resistance; the cell-specific drug-related gene network; and drug-drug similarities. ScDrugAct serves as an important resource for investigating the impact of the cellular heterogeneity of the TME on drug therapies and can help researchers understand the mechanisms of action and resistance of drugs, as well as discover therapeutic targets.",True,False,4.5,,scdrugact,,20.9989001,ok,,,,spacy+v2,0.9989001,ScDrugAct,True,5.0,True,True,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,True,"...edicine. Here, we describe a database, scDrugAct (http://bio-bigdata.hrbmu.edu.cn/scDrugAct/), which aims to establish connections among drugs...",1
37811871,m7GHub V2.0: an updated database for decoding the N7-methylguanosine (m7G) epitranscriptome.,"With recent progress in mapping N7-methylguanosine (m7G) RNA methylation sites, tens of thousands of experimentally validated m7G sites have been discovered in various species, shedding light on the significant role of m7G modification in regulating numerous biological processes including disease pathogenesis. An integrated resource that enables the sharing, annotation and customized analysis of m7G data will greatly facilitate m7G studies under various physiological contexts. We previously developed the m7GHub database to host mRNA m7G sites identified in the human transcriptome. Here, we present m7GHub v.2.0, an updated resource for a comprehensive collection of m7G modifications in various types of RNA across multiple species: an m7GDB database containing 430 898 putative m7G sites identified in 23 species, collected from both widely applied next-generation sequencing (NGS) and the emerging Oxford Nanopore direct RNA sequencing (ONT) techniques; an m7GDiseaseDB hosting 156 206 m7G-associated variants (involving addition or removal of an m7G site), including 3238 disease-relevant m7G-SNPs that may function through epitranscriptome disturbance; and two enhanced analysis modules to perform interactive analyses on the collections of m7G sites (m7GFinder) and functional variants (m7GSNPer). We expect that m7Ghub v.2.0 should serve as a valuable centralized resource for studying m7G modification. It is freely accessible at: www.rnamd.org/m7GHub2.",True,False,4.5,,,m7ghub,20.99676806,ok,,m7gdiseasedb,m7gdb,spacy+v2,0.99676806,m7GHub,True,5.0,True,True,http://www.rnamd.org/m7GHub2,http://www.rnamd.org/m7GHub2,True,,1
36040109,G-DIRT: a web server for identification and removal of duplicate germplasms based on identity-by-state analysis using single nucleotide polymorphism genotyping data.,"Maintaining duplicate germplasms in genebanks hampers effective conservation and utilization of genebank resources. The redundant germplasm adds to the cost of germplasm conservation by requiring a large proportion of the genebank financial resources towards conservation rather than enriching the diversity. Besides, genome-wide-association analysis using an association panel with over-represented germplasms can be biased resulting in spurious marker-trait associations. The conventional methods of germplasm duplicate removal using passport information suffer from incomplete or missing passport information and data handling errors at various stages of germplasm enrichment. This limitation is less likely in the case of genotypic data. Therefore, we developed a web-based tool, Germplasm Duplicate Identification and Removal Tool (G-DIRT), which allows germplasm duplicate identification based on identity-by-state analysis using single-nucleotide polymorphism genotyping information along with pre-processing of genotypic data. A homozygous genotypic difference threshold of 0.1% for germplasm duplicates has been determined using tetraploid wheat genotypic data with 94.97% of accuracy. Based on the genotypic difference, the tool also builds a dendrogram that can visually depict the relationship between genotypes. To overcome the constraint of high-dimensional genotypic data, an offline version of G-DIRT in the interface of R has also been developed. The G-DIRT is expected to help genebank curators, breeders and other researchers across the world in identifying germplasm duplicates from the global genebank collections by only using the easily sharable genotypic data instead of physically exchanging the seeds or propagating materials. The web server will complement the existing methods of germplasm duplicate identification based on passport or phenotypic information being freely accessible at http://webtools.nbpgr.ernet.in/gdirt/.",True,False,4.5,,,g-dirt,20.9966478,ok,,germplasm duplicate identification and removal tool,,spacy+v2,0.9966478,G-DIRT,True,5.0,True,True,http://webtools.nbpgr.ernet.in/gdirt/,http://webtools.nbpgr.ernet.in/gdirt/,True,...phenotypic information being freely accessible at http://webtools.nbpgr.ernet.in/gdirt/.,1
36161321,Cell Taxonomy: a curated repository of cell types with multifaceted characterization.,"Single-cell studies have delineated cellular diversity and uncovered increasing numbers of previously uncharacterized cell types in complex tissues. Thus, synthesizing growing knowledge of cellular characteristics is critical for dissecting cellular heterogeneity, developmental processes and tumorigenesis at single-cell resolution. Here, we present Cell Taxonomy (https://ngdc.cncb.ac.cn/celltaxonomy), a comprehensive and curated repository of cell types and associated cell markers encompassing a wide range of species, tissues and conditions. Combined with literature curation and data integration, the current version of Cell Taxonomy establishes a well-structured taxonomy for 3,143 cell types and houses a comprehensive collection of 26,613 associated cell markers in 257 conditions and 387 tissues across 34 species. Based on 4,299 publications and single-cell transcriptomic profiles of ∼3.5 million cells, Cell Taxonomy features multifaceted characterization for cell types and cell markers, involving quality assessment of cell markers and cell clusters, cross-species comparison, cell composition of tissues and cellular similarity based on markers. Taken together, Cell Taxonomy represents a fundamentally useful reference to systematically and accurately characterize cell types and thus lays an important foundation for deeply understanding and exploring cellular biology in diverse species.",True,False,4.0,,cell taxonomy,,20.9946529,ok,,a curated repository of cell types with multifaceted characterization,,spacy+v2,0.9946529,Cell Taxonomy,True,5.0,True,True,https://ngdc.cncb.ac.cn/celltaxonomy,https://ngdc.cncb.ac.cn/celltaxonomy,True,"...-cell resolution. Here, we present Cell Taxonomy (https://ngdc.cncb.ac.cn/celltaxonomy), a comprehensive and curated repository of cell...",1
