pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count
"35380657, 36930729, 37347557",MOET: a web-based gene set enrichment tool at the Rat Genome Database for multiontology and multispecies analyses.,"Biological interpretation of a large amount of gene or protein data is complex. Ontology analysis tools are imperative in finding functional similarities through overrepresentation or enrichment of terms associated with the input gene or protein lists. However, most tools are limited by their ability to do ontology-specific and species-limited analyses. Furthermore, some enrichment tools are not updated frequently with recent information from databases, thus giving users inaccurate, outdated or uninformative data. Here, we present MOET or the Multi-Ontology Enrichment Tool (v.1 released in April 2019 and v.2 released in May 2021), an ontology analysis tool leveraging data that the Rat Genome Database (RGD) integrated from in-house expert curation and external databases including the National Center for Biotechnology Information (NCBI), Mouse Genome Informatics (MGI), The Kyoto Encyclopedia of Genes and Genomes (KEGG), The Gene Ontology Resource, UniProt-GOA, and others. Given a gene or protein list, MOET analysis identifies significantly overrepresented ontology terms using a hypergeometric test and provides nominal and Bonferroni corrected P-values and odds ratios for the overrepresented terms. The results are shown as a downloadable list of terms with and without Bonferroni correction, and a graph of the P-values and number of annotated genes for each term in the list. MOET can be accessed freely from https://rgd.mcw.edu/rgdweb/enrichment/start.html.",True,False,5.0,,rat genome database,moet,16.0,conflict,rgd | rat genome database ; mgi | mouse genome informatics,ntology enrichment tool | kyoto encyclopedia of genes and genomes | mouse genome informatics | gene ontology resource | comparative map | virtual comparative map | uniprot,kegg | vcmap | rgd | goa | mgi,spacy,0.0,,,,,,https://rgd.mcw.edu/rgdweb/enrichment/start.html,https://rgd.mcw.edu/rgdweb/enrichment/start.html,True,...erm in the list. MOET can be accessed freely from https://rgd.mcw.edu/rgdweb/enrichment/start.html.,3
"35898309, 37676599",CARs-DB: A Database of Cryptic Amyloidogenic Regions in Intrinsically Disordered Proteins.,"Proteome-wide analyses suggest that most globular proteins contain at least one amyloidogenic region, whereas these aggregation-prone segments are thought to be underrepresented in intrinsically disordered proteins (IDPs). In recent work, we reported that intrinsically disordered regions (IDRs) indeed sustain a significant amyloid load in the form of cryptic amyloidogenic regions (CARs). CARs are widespread in IDRs, but they are necessarily exposed to solvent, and thus they should be more polar and have a milder aggregation potential than conventional amyloid regions protected inside globular proteins. CARs are connected with IDPs function and, in particular, with the establishment of protein-protein interactions through their IDRs. However, their presence also appears associated with pathologies like cancer or Alzheimer's disease. Given the relevance of CARs for both IDPs function and malfunction, we developed CARs-DB, a database containing precomputed predictions for all CARs present in the IDPs deposited in the DisProt database. This web tool allows for the fast and comprehensive exploration of previously unnoticed amyloidogenic regions embedded within IDRs sequences and might turn helpful in identifying disordered interacting regions. It contains >8,900 unique CARs identified in a total of 1711 IDRs. CARs-DB is freely available for users and can be accessed at http://carsdb.ppmclab.com. To validate CARs-DB, we demonstrate that two previously undescribed CARs selected from the database display full amyloidogenic potential. Overall, CARs-DB allows easy access to a previously unexplored amyloid sequence space.",True,False,4.5,,cars-db,,16.0,ok,,disprot | a database of cryptic amyloidogenic regions in intrinsically disordered proteins,,spacy,0.0,,,,,,http://carsdb.ppmclab.com,http://carsdb.ppmclab.com,True,"...freely available for users and can be accessed at http://carsdb.ppmclab.com. To validate CARs-DB, we demonstrate that two pre...",2
"34554251, 39558172",OncoSplicing: an updated database for clinically relevant alternative splicing in 33 human cancers.,"Alternative splicing (AS) represents a crucial method in mRNA level to regulate gene expression and contributes to the protein complexity. Abnormal splicing has been reported to play roles in several diseases, including cancers. We developed the OncoSplicing database for visualization of survival-associated and differential alternative splicing in 2019. Here, we provide an updated version of OncoSplicing for an integrative view of clinically relevant alternative splicing based on 122 423 AS events across 33 cancers in the TCGA SpliceSeq project and 238 558 AS events across 32 cancers in the TCGA SplAdder project. The new version of the database contains several useful features, such as annotation of alternative splicing-associated transcripts, survival analysis based on median and optimal cut-offs, differential analysis between TCGA tumour samples and adjacent normal samples or GTEx normal samples, pan-cancer views of alternative splicing, splicing differences and results of Cox'PH regression, identification of clinical indicator-relevant and cancer-specific splicing events, and downloadable splicing data in the SplAdder project. Overall, the substantially updated version of OncoSplicing (www.oncosplicing.com) is a user-friendly and registration-free database for browsing and searching clinically relevant alternative splicing in human cancers.",True,False,4.5,,oncosplicing,,16.0,ok,,spladder,encode | tcga,spacy,0.0,,,,,,http://www.oncosplicing.com,http://www.oncosplicing.com,True,,2
"35609987, 38842945",AlphaKnot: server to analyze entanglement in structures predicted by AlphaFold methods.,"AlphaKnot is a server that measures entanglement in AlphaFold-solved protein models while considering pLDDT confidence values. AlphaKnot has two main functions: (i) providing researchers with a webserver for analyzing knotting in their own AlphaFold predictions and (ii) providing a database of knotting in AlphaFold predictions from the 21 proteomes for which models have been published prior to 2022. The knotting is defined in a probabilistic fashion. The knotting complexity of proteins is presented in the form of a matrix diagram which shows users the knot type for the entire polypeptide chain and for each of its subchains. The dominant knot types as well as the computed locations of the knot cores (i.e. minimal portions of protein backbones that form a given knot type) are shown for each protein structure. Based mainly on the pLDDT confidence values, entanglements are classified as Knots, Unsure, and Artifacts. The database portion of the server can be used, for example, to examine protein geometry and entanglement-function correlations, as a reference set for protein modeling, and for facilitating evolutional studies. The AlphaKnot server can be found at https://alphaknot.cent.uw.edu.pl/.",True,False,4.0,,alphaknot | alphafold,,16.0,conflict,,680.000,plddt,spacy,0.0,,,,,,https://alphaknot.cent.uw.edu.pl/,https://alphaknot.cent.uw.edu.pl/,True,...nal studies. The AlphaKnot server can be found at https://alphaknot.cent.uw.edu.pl/.,2
"36243961, 39271119",DrugMAP: molecular atlas and pharma-information of all drugs.,"The efficacy and safety of drugs are widely known to be determined by their interactions with multiple molecules of pharmacological importance, and it is therefore essential to systematically depict the molecular atlas and pharma-information of studied drugs. However, our understanding of such information is neither comprehensive nor precise, which necessitates the construction of a new database providing a network containing a large number of drugs and their interacting molecules. Here, a new database describing the molecular atlas and pharma-information of drugs (DrugMAP) was therefore constructed. It provides a comprehensive list of interacting molecules for >30 000 drugs/drug candidates, gives the differential expression patterns for >5000 interacting molecules among different disease sites, ADME (absorption, distribution, metabolism and excretion)-relevant organs and physiological tissues, and weaves a comprehensive and precise network containing >200 000 interactions among drugs and molecules. With the great efforts made to clarify the complex mechanism underlying drug pharmacokinetics and pharmacodynamics and rapidly emerging interests in artificial intelligence (AI)-based network analyses, DrugMAP is expected to become an indispensable supplement to existing databases to facilitate drug discovery. It is now fully and freely accessible at: https://idrblab.org/drugmap/.",True,False,5.0,,drugmap,,16.0,ok,,,,spacy,0.0,,,,,,https://idrblab.org/drugmap/,https://idrblab.org/drugmap/,True,...covery. It is now fully and freely accessible at: https://idrblab.org/drugmap/.,2
"34893873, 38015436",MODOMICS: a database of RNA modification pathways. 2021 update.,"The MODOMICS database has been, since 2006, a manually curated and centralized resource, storing and distributing comprehensive information about modified ribonucleosides. Originally, it only contained data on the chemical structures of modified ribonucleosides, their biosynthetic pathways, the location of modified residues in RNA sequences, and RNA-modifying enzymes. Over the years, prompted by the accumulation of new knowledge and new types of data, it has been updated with new information and functionalities. In this new release, we have created a catalog of RNA modifications linked to human diseases, e.g., due to mutations in genes encoding modification enzymes. MODOMICS has been linked extensively to RCSB Protein Data Bank, and sequences of experimentally determined RNA structures with modified residues have been added. This expansion was accompanied by including nucleotide 5'-monophosphate residues. We redesigned the web interface and upgraded the database backend. In addition, a search engine for chemically similar modified residues has been included that can be queried by SMILES codes or by drawing chemical molecules. Finally, previously available datasets of modified residues, biosynthetic pathways, and RNA-modifying enzymes have been updated. Overall, we provide users with a new, enhanced, and restyled tool for research on RNA modification. MODOMICS is available at https://iimcb.genesilico.pl/modomics/.",True,False,5.0,,,modomics,16.0,ok,,alphafold,pdb,spacy,0.0,,,,,,https://iimcb.genesilico.pl/modomics/,https://iimcb.genesilico.pl/modomics/,True,...rch on RNA modification. MODOMICS is available at https://iimcb.genesilico.pl/modomics/.,2
"36287286, 39085735",CmirC: an integrated database of clustered miRNAs co-localized with copy number variations in cancer.,"Genomic rearrangements and copy number variations (CNVs) are the major regulators of clustered microRNAs (miRNAs) expression. Several clustered miRNAs are harbored in and around chromosome fragile sites (CFSs) and cancer-associated genomic hotspots. Aberrant expression of such clusters can lead to oncogenic or tumor suppressor activities. Here, we developed CmirC (Clustered miRNAs co-localized with CNVs), a comprehensive database of clustered miRNAs co-localized with CNV regions. The database consists of 481 clustered miRNAs co-localized with CNVs and their expression patterns in 35 cancer types of the TCGA. The portal also provides information on CFSs, miRNA cluster candidates, genomic coordinates, target gene networks, and gene functionality. The web portal is integrated with advanced tools such as JBrowse, NCBI-BLAST, GeneSCF, visNetwork, and NetworkD3 to help the researchers in data analysis, visualization, and browsing. This portal provides a promising avenue for integrated data analytics and offers additional evidence for the complex regulation of clustered miRNAs in cancer. The web portal is freely accessible at http://slsdb.manipal.edu/cmirclust to explore clinically significant miRNAs.",True,False,4.5,,,cmirc,16.0,ok,tcga | the cancer genomic atlas,an integrated database of clustered mirnas co-localized with copy number variations in cancer | the cancer genomic atlas | clustered mirnas co-localized with cnvs,tcga,spacy,0.0,,,,,,http://slsdb.manipal.edu/cmirclust,http://slsdb.manipal.edu/cmirclust,True,...in cancer. The web portal is freely accessible at http://slsdb.manipal.edu/cmirclust to explore clinically significant miRNAs.,2
"34664671, 39441067","The current state of SubtiWiki, the database for the model organism Bacillus subtilis.","Bacillus subtilis is a Gram-positive model bacterium with extensive documented annotation. However, with the rise of high-throughput techniques, the amount of complex data being generated every year has been increasing at a fast pace. Thus, having platforms ready to integrate and give a representation to these data becomes a priority. To address it, SubtiWiki (http://subtiwiki.uni-goettingen.de/) was created in 2008 and has been growing in data and viewership ever since. With millions of requests every year, it is the most visited B. subtilis database, providing scientists all over the world with curated information about its genes and proteins, as well as intricate protein-protein interactions, regulatory elements, expression data and metabolic pathways. However, there is still a large portion of annotation to be unveiled for some biological elements. Thus, to facilitate the development of new hypotheses for research, we have added a Homology section covering potential protein homologs in other organisms. Here, we present the recent developments of SubtiWiki and give a guided tour of our database and the current state of the data for this organism.",True,False,4.0,,subtiwiki,,16.0,ok,,,,spacy,0.0,,,,,,http://subtiwiki.uni-goettingen.de/,http://subtiwiki.uni-goettingen.de/,True,"...ata becomes a priority. To address it, SubtiWiki (http://subtiwiki.uni-goettingen.de/) was created in 2008 and has been growing in data...",2
37789571,Analyzing the cation-aromatic interactions in proteins: Cation-aromatic database V2.0.,"The cation-aromatic database (CAD) is a comprehensive repository of cation-aromatic motifs found in experimentally determined protein structures, first reported in 2007 [Proteins, 2007, 67, 1179]. The present article is an update of CAD that contains information of approximately 27.26 million cation-aromatic motifs. CAD uses three distance parameters (r, d1, and d2) to determine the position of the cation relative to the centroid of the aromatic residue and classifies the motifs as cation-π or cation-σ interactions. As of June 2023, about 193 936 protein structures were retrieved from Protein Data Bank, and this resulted in the identification of an impressive number of 27 255 817 cation-aromatic motifs. Among these motifs, spherical motifs constituted 94.09%, while cylindrical motifs made up the remaining 5.91%. When considering the interaction of metal ions with aromatic residues, 965 564 motifs are identified. Remarkably, 82.08% of these motifs involved the binding of metal ions to the amino acid HIS. Moreover, the analysis of binding preferences between cations and aromatic residues revealed that the HIS-HIS, PHE-ARG, and TRP-ARG pairs exhibited a preferential geometry. The motif pair HIS-HIS was the most prevalent, accounting for 19.87% of the total, closely followed by TYR-LYS at 10.17%. Conversely, the motif pair TRP-HIS had the lowest occurrence, representing only 4.20% of the total. The data generated help in revealing the characteristics and biological functions of cation-aromatic interactions in biological molecules. The updated version of CAD (Cation-Aromatic Database V2.0) can be accessed at https://acds.neist.res.in/cadv2.",True,False,4.5,,cation-aromatic database,,21.94468856,ok,,,cad,spacy+v2,0.94468856,Analyzing the cation-aromatic interactions in proteins,True,5.0,False,False,https://acds.neist.res.in/cadv2,https://acds.neist.res.in/cadv2,True,...Cation-Aromatic Database V2.0) can be accessed at https://acds.neist.res.in/cadv2.,1
39526387,ScDrugAct: a comprehensive database to dissect tumor microenvironment cell heterogeneity contributing to drug action and resistance across human cancers.,"The transcriptional heterogeneity of tumor microenvironment (TME) cells is a crucial factor driving the diversity of cellular response to drug treatment and resistance. Therefore, characterizing the cells associated with drug treatment and resistance will help us understand therapeutic mechanisms, discover new therapeutic targets and facilitate precision medicine. Here, we describe a database, scDrugAct (http://bio-bigdata.hrbmu.edu.cn/scDrugAct/), which aims to establish connections among drugs, genes and cells and dissect the impact of TME cellular heterogeneity on drug action and resistance at single-cell resolution. ScDrugAct is curated with drug-cell connections between 3838 223 cells across 34 cancer types and 13 857 drugs and identifies 17 274 drug perturbation/resistance-related genes and 276 559 associations between >10 000 drugs and 53 cell types. ScDrugAct also provides multiple flexible tools to retrieve and analyze connections among drugs, genes and cells; the distribution and developmental trajectories of drug-associated cells within the TME; functional features affecting the heterogeneity of cellular responses to drug perturbation and drug resistance; the cell-specific drug-related gene network; and drug-drug similarities. ScDrugAct serves as an important resource for investigating the impact of the cellular heterogeneity of the TME on drug therapies and can help researchers understand the mechanisms of action and resistance of drugs, as well as discover therapeutic targets.",True,False,4.5,,scdrugact,,20.9989001,ok,,,,spacy+v2,0.9989001,ScDrugAct,True,5.0,True,True,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,True,"...edicine. Here, we describe a database, scDrugAct (http://bio-bigdata.hrbmu.edu.cn/scDrugAct/), which aims to establish connections among drugs...",1
