original_record_num,record_index,database_name,long_database_name,pmids,found_urls,url_source,match_quality,notes
5,1,,genotes,39593035,https://www.genomicseducation.hee.nhs.uk/genotes/|https://www.gov.uk/government/publications/uk-rare-diseases-framework|https://www.gov.uk/guidance/accessibility-requirements-for-public-sector-websites-and-apps|https://www.gov.uk/government/publications/genome-uk-the-future-of-healthcare|https://www.genomicsengland.co.uk/initiatives/100000-genomes-project|https://www.england.nhs.uk/genomics/nhs-genomic-med-service/|https://www.gov.uk/service-manual/user-research/user-research-in-alpha|https://topol.hee.nhs.uk/wp-content/uploads/HEE-Topol-Review-2019.pdf|https://ror.org/01ryk1543|https://www.longtermplan.nhs.uk/publication/nhs-long-term-plan/|https://ror.org/013meh722|https://ror.org/00xm3h672|https://ror.org/03v9cqb05|https://ror.org/043jzw605|https://ror.org/04v54gj93|https://www.gov.uk/government/publications/genome-uk-shared-commitments-for-uk-wide-implementation-2022-to-2025|https://www.england.nhs.uk/long-read/accelerating-genomic-medicine-in-the-nhs/|https://www.england.nhs.uk/publication/national-genomic-test-directories/|https://ror.org/0008wzh48|https://ror.org/039zedc16|https://www.gov.uk/service-manual/user-research/user-research-in-beta,fulltext,HIGH,Found in PMCID PMC11600734
10,2,,exe-muscle,35886662,NOT_FOUND,not_available,,No URLs found in fulltext
11,3,,probio-ichnos,39458265,https://probio-ichnos.streamlit.app/|https://streamlit.io/|https://www.mdpi.com/article/10.3390/microorganisms12101955/s1|https://isappscience.org/wp-content/uploads/2019/04/probiotic_guidelines.pdf|https://altair-viz.github.io/,fulltext,HIGH,Found in PMCID PMC11509836
15,4,,course-skill atlas,39366993,https://ror.org/00hj8s172|https://ror.org/0452jzg20|https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?year=-1&#x00026;surveyNumber=3&#x00026;sid=6758f146-5ae5-44a0-8982-9821e70a8757&#x00026;rtid=7|https://www.onetcenter.org/dictionary/20.1/excel/task_statements.html|https://opensyllabus.org/|https://ror.org/00f54p054|https://www.onetonline.org/|https://commoncrawl.org/|https://www.bls.gov/emp/ind-occ-matrix/occupation.xlsx|https://nces.ed.gov/ipeds/|https://carnegieclassifications.acenet.edu/wp-content/uploads/2023/03/CCIHE2021-PublicData.xlsx|https://www.onetonline.org/find/descriptor/browse/1.A|https://ror.org/01an3r305|https://nces.ed.gov/collegenavigator/|https://carnegieclassifications.acenet.edu/|https://archive.org/details/OPENSYLLABUS-20210506220126-crawl804|https://nces.ed.gov/ipeds/cipcode/default.aspx?y=55|https://ror.org/042nb2s44|https://www.onetcenter.org/dictionary/20.1/excel/dwa_reference.html,fulltext,LOW,Found in PMCID PMC11452558
17,5,,world carbon pricing database,36115858,https://icapcarbonaction.com/en/documentation-allowance-price-explorer|https://www.rff.org/publications/working-papers/world-carbon-pricing-database-sources-and-methods/|https://di.unfccc.int/time_series|https://www.ipcc-nggip.iges.or.jp/public/2006gl/|https://edgar.jrc.ec.europa.eu/methodology|https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy|https://edgar.jrc.ec.europa.eu/|https://pinedatabase.oecd.org/,fulltext,HIGH,Found in PMCID PMC9482624
20,6,,scswinformer,39101690,NOT_FOUND,not_available,,No URLs found in fulltext
22,7,,rosaceae fruit transcriptome database,38162465,https://www.rosaceae.org/blast|http://www.rosaceaefruits.com/|http://159.203.72.198:3838/fvesca|https://www.arabidopsis.org/|https://www.arabidopsis.org/download_files/Proteins/TAIR10_protein_lists/TAIR10_pep_20101214|http://arxiv.org/abs/1403.2805|http://bar.utoronto.ca/efp_strawberry/cgi-bin/efpWeb.cgi,fulltext,HIGH,Found in PMCID PMC10756754
23,8,,ebv gastric cancer resource,37112833,https://www.cancer.gov/tcga|https://www.mdpi.com/article/10.3390/v15040853/s1|https://mymryklab.ca/EBV-GCR/ebvgcr-home/|https://www.charlesbordet.com/en/guide-shiny-aws/|https://gdac.broadinstitute.org/,fulltext,HIGH,Found in PMCID PMC10145221
24,9,,allen ancient dna resource,38341426,https://ror.org/05a0ya142|https://dataverse.harvard.edu/dataverse/reich_lab|https://ror.org/03vek6s52|https://ror.org/000xsnr85|https://ror.org/006w34k90|https://ror.org/02a33b393,fulltext,LOW,Found in PMCID PMC10858950
29,10,,national injury resource database,38102040,NOT_FOUND,not_available,,No URLs found in fulltext
31,11,,animaltraits,35654905,https://animaltraits.org,fulltext,HIGH,Found in PMCID PMC9163144
