original_record_num,record_index,database_name,long_database_name,pmids,pmid_count,original_url
5,1,,genotes,39593035,1,
10,2,,exe-muscle,35886662,1,
11,3,,probio-ichnos,39458265,1,
15,4,,course-skill atlas,39366993,1,
17,5,,world carbon pricing database,36115858,1,
20,6,,scswinformer,39101690,1,
22,7,,rosaceae fruit transcriptome database,38162465,1,
23,8,,ebv gastric cancer resource,37112833,1,
24,9,,allen ancient dna resource,38341426,1,
29,10,,national injury resource database,38102040,1,
31,11,,animaltraits,35654905,1,
33,12,,molecules with androgenic activity resource,39364092,1,
37,13,,sleep and activity database for the early years,40217418,1,
44,14,,funandes,35987763,1,
46,15,,cold region data accessibility portal for québec,35637887,1,
48,16,,tractoinferno,36433966,1,
50,17,,mixoplankton database,36847544,1,
53,18,,groundnut improvement network for africa,37875136,1,
58,19,,blackfoot words,37360262,1,
59,20,,o-glcnac database,39379619,1,
60,21,mace,,35576088,1,
62,22,waves,,36882443,1,
63,23,,digital-scrrbs,37616549,1,
66,24,,mutant mouse resource and research center,39304538,1,
67,25,,mouse phenome database,37581698,1,
68,26,,trier univalence neutrality ambivalence,38753714,1,
69,27,sco-ph,,40519058,1,
70,28,,alliance of genome resources,38552170,1,
75,29,,intracellular spatial transcriptomic analysis toolkit,39242579,1,
76,30,,image database for earthquake damage annotation,40599425,1,
79,31,,mir-blood,38307869,1,
84,32,,suicide prevention trials database,39901628,1,
87,33,,hayai-annotation,39830014,1,
88,34,,aotearoa genomic data repository,37712601,1,
89,35,,domain adaptation toolbox for medical data analysis,36610676,1,
93,36,,globalusefulnativetrees,37537200,1,
94,37,,yeast optogenetic toolkit,39724341,1,
97,38,,netherlands heart tissue bank,35896887,1,
98,39,,rd-connect genome-phenome analysis platform,35178824,1,
99,40,,global aridity index and potential evapotranspiration database,35840601,1,
103,41,,perturb-multimodal,40513557,1,
112,42,,mouse metabolic phenotyping center,39191872,1,
113,43,,croplife europe crop development database,38054369,1,
116,44,,library for innovative category exemplars,39093530,1,
120,45,,molecules gateway,39455415,1,
122,46,,chromatin,37202401,1,
124,47,eupro,,38472250,1,
127,48,,isomir-eqtl,36293349,1,
131,49,kemet,,35422973,1,
132,50,,refractiveindex.info,38238330,1,
134,51,nztd,,37516737,1,
137,52,,simpitb,37331497,1,
138,53,,repp africa,36609615,1,
139,54,,bindingdb,39574417,1,
141,55,,data for expanded research,38808315,1,
142,56,,geriatrics research instrument library,35586036,1,
149,57,aon,,37891644,1,
151,58,,codlncscape,38602457,1,
153,59,,cliopatria,39939607,1,
157,60,,autogrow4,40299468,1,
158,61,,sadphos library,40259822,1,
159,62,,kinase-focused interaction database,36447388,1,
161,63,,budapest sleep,37856524,1,
163,64,,llm-twin,39154033,1,
164,65,,río hortega university hospital glioblastoma dataset,37808543,1,
166,66,,vitro kinase-to-phosphosite database,35608653,1,
172,67,,integrated probiotic database,38045645,1,
176,68,,animal parasitic diseases and drugs database,38000324,1,
182,69,,nat-uv db,40182018,1,
184,70,,ribosomal operon database,39428982,1,
193,71,,plant rdna database,37646950,1,
198,72,,chip-hub,37682478,1,
202,73,,brand recognition and attitude norms database,39681772,1,
203,74,,zchsound,38194403,1,
206,75,localview,,36922507,1,
208,76,,cas landslide dataset,38168493,1,
209,77,,funricegenes,35438356,1,
210,78,en-tex,,37001506,1,
212,79,repair,,34997301,1,
214,80,,xylodensmap,40038306,1,
218,81,breast,,38297002,1,
222,82,,tcga-my,35743803,1,
224,83,mpxv db,,36680080,1,
229,84,,hmito db,37686313,1,
230,85,octa,,36171524,1,
231,86,forcis,,37270659,1,
241,87,o,,38082113,1,
249,88,green,,34844546,1,
250,89,tf2tg,,40314147,1,
251,90,,phor-in-one,36344773,1,
252,91,,knowledge portal,37561710,1,
254,92,,mfishbt,38010728,1,
256,93,,gashissdb,35016101,1,
257,94,pazy,,35175626,1,
258,95,,amrfinderplus,35675101,1,
260,96,cd-code,,37024650,1,
262,97,,uncontrust,39870684,1,
265,98,csi-gep,,39788105,1,
269,99,,rdrp-scan,36533143,1,
273,100,,water rights,38844775,1,
274,101,,riboseq.org,39540432,1,
278,102,pshg-tiss,,35780180,1,
280,103,h,,40209438,1,
281,104,brainoer,,39355665,1,
283,105,issa,,40122935,1,
288,106,pip,,35617526,1,
289,107,,kinbank,37224178,1,
290,108,refine,,40536267,1,
295,109,,precancerous molecular resource,40169679,1,
297,110,regtox,,35469349,1,
299,111,premise,,37996697,1,
304,112,,avianlexiconatlas,40498755,1,
305,113,,omicsdk,37203577,1,
308,114,topas,,36930985,1,
311,115,i-tasser-mtd,,35931779,1,
313,116,,mestang,39857299,1,
317,117,,3d-beacons,36448847,1,
320,118,,midas 4,35393411,1,
321,119,rvdb,,40548747,1,
322,120,pkad-r,,41098352,1,
329,121,,neuronet19,38233516,1,
332,122,,yersiniomics,36847572,1,
333,123,riot,,39656773,1,
334,124,,screpertoire 2,40577285,1,
337,125,octava,,38472220,1,
339,126,,shennong,36750521,1,
344,127,16ostm10,,35815793,1,
346,128,proend,,39396964,1,
347,129,a-soid,,38383746,1,
349,130,,chipola,40341999,1,
351,131,,lead-tutor,40963881,1,
353,132,naproc-13,,39269718,1,
356,133,,melastomatraits,38629131,1,
357,134,derlex,,39658751,1,
359,135,,biomthermdb 1.0,36499696,1,
360,136,gs-tcga,,38436570,1,
361,137,roceeh,,37527270,1,
363,138,,searchsmart.org,39128887,1,
365,139,,uavs-ffdb,39076831,1,
366,140,zinc,,36790087,1,
367,141,anfisa,,35998814,1,
372,142,,lenscat,40205863,1,
374,143,rizoma,,35437394,1,
379,144,,agreg-snpdb,35625412,1,
381,145,,lung cancer autochthonous model gene expression database,40298430,1,
384,146,persist,,35562172,1,
385,147,r-bind,,35594415,1,
394,148,easier,,37043424,1,
402,149,,glaucoma-trel,36401306,1,
405,150,aada,,39043716,1,
410,151,nsides,,40179876,1,
415,152,,g4atlas,36243987,1,
416,153,oadmaps,,35472132,1,
417,154,,arleyexpdb,37003963,1,
418,155,df-db,,36364843,1,
422,156,ropsr,,35172714,1,
424,157,,rare disease cures accelerator,37131052,1,
426,158,,ceti-age,38007482,1,
432,159,miggri,,37939200,1,
441,160,,flyatlas 2,34718735,1,
443,161,,ozboneviz,40919338,1,
444,162,,paleojump,36934110,1,
447,163,quam-afm,,35234034,1,
448,164,,litchemplast,39554603,1,
450,165,,eimpute,40165935,1,
457,166,,on-human primate seasonal transcriptome atlas,40295482,1,
462,167,,mouse microbiota genome,35259160,1,
463,168,mingle,,40500763,1,
465,169,,answer als,35115730,1,
469,170,,congenital heart surgery database,38522772,1,
477,171,,hydrocarbon aerobic degradation enzymes and genes,37778093,1,
478,172,nctc3000,,37194944,1,
482,173,,outbreak.info,36823331,1,
483,174,,beonet-halle,37079066,1,
484,175,calerie,,39672986,1,
493,176,ccia,,38212124,1,
504,177,ifd,,40514603,1,
505,178,eubucco,,36941275,1,
511,179,rtk,,38869148,1,
513,180,,re3data,37644024,1,
514,181,,himic-monthly,38658632,1,
517,182,,allosteric database,35131258,1,
519,183,,rspatialdata,36016994,1,
524,184,,mouse kidney atlas,37275529,1,
526,185,,psy-shared,39980379,1,
528,186,unifan,,36036832,1,
532,187,,brain-wide neuron quantification toolkit,37516963,1,
534,188,avidar,,37810343,1,
538,189,,cz cellxgene,39607691,1,
539,190,,athogfair,41004266,1,
542,191,ormef,,35752639,1,
546,192,,glyco-decipher,35393418,1,
547,193,,arrest/interrogate,35622342,1,
548,194,,unicarb-db,38995537,1,
549,195,,tbtools,37740491,1,
557,196,mimt,,39522045,1,
561,197,,hierarchical time-indexed database,36085868,1,
562,198,pcas,,38928396,1,
565,199,ncmd,,39288643,1,
566,200,,scatterbrains,37811478,1,
568,201,galaxy,,34871369,1,
572,202,jiwar,,39971880,1,
577,203,endae,,37224727,1,
580,204,,tapioca,38361019,1,
588,205,,hodgkin-huxley neuron builder,36225653,1,
592,206,,international spinal cord injury biobank,35761793,1,
593,207,sinfonia,,39507665,1,
594,208,titan-x,,40239308,1,
599,209,,planemo,36828587,1,
602,210,,food disaggregation database,39208229,1,
608,211,cnsw,,40537574,1,
610,212,,biogenome portal,40124712,1,
614,213,epma,,38425493,1,
620,214,,eurasian modern pollen database,40521155,1,
629,215,,tastepeptides-meta,36423555,1,
632,216,,ptolemy,36598505,1,
637,217,,thecellvision.org,38518223,1,
639,218,reach,,40524050,1,
641,219,busi,,39341859,1,
647,220,mutat7,,36715334,1,
648,221,,covid-19 county policy,36217102,1,
652,222,,rna-puzzles,36705910,1,
653,223,,gloreda,37636128,1,
654,224,,antropo,37851613,1,
656,225,,ukrtrait v,38384789,1,
657,226,sdap 2,,37781674,1,
661,227,,myctobase,35831309,1,
664,228,,pm-profiler,38912828,1,
665,229,,medical university clinical research database,38749529,1,
670,230,,cantatadb 3,39018027,1,
674,231,rusp,,36135348,1,
675,232,,cervical spine x-ray atlas,38871800,1,
680,233,forage,,35362561,1,
683,234,mcr,,37285215,1,
692,235,,rare disease cures accelerator-data,35668316,1,
704,236,,sapflow,40577234,1,
706,237,hcdt 2.0,,40281032,1,
707,238,,eco-isea3h,36750720,1,
708,239,boards,,38085058,1,
711,240,,usarium protein toolkit,39243017,1,
713,241,,mendelian inheritance in animals,39143381,1,
715,242,,domainator,39657740,1,
718,243,,energy-related severe accident database,35176103,1,
721,244,prohap,,39653819,1,
722,245,vpod,,39460934,1,
724,246,,synergistic activation platform,38828769,1,
729,247,,ancient reef traits,35858960,1,
735,248,blv,,36927193,1,
739,249,,resistance gene database,37569821,1,
744,250,a,,39693482,1,
745,251,,pharmacogenomics clinical annotation tool,36350094,1,
748,252,riken,,38066065,1,
753,253,,wikipedia,36215146,1,
755,254,,ragon-data,36752340,1,
759,255,pmgd,,39949805,1,
768,256,,dimspec,38704738,1,
772,257,hdhl-intimic,,35565847,1,
777,258,,of guidance for health scientists,36787138,1,
778,259,,metaspectrast,37550758,1,
781,260,,18s-nemabase,37143483,1,
783,261,,stdpopsim,37342968,1,
784,262,,prequine platform,38728310,1,
785,263,,vhdvdb 2,39205227,1,
788,264,beeid,,39192185,1,
793,265,,isoasp-quest,39441692,1,
794,266,,rapid-glue,37390512,1,
798,267,,enomicsdb,37881831,1,
799,268,ibex,,40106489,1,
800,269,pd-kit,,40384975,1,
801,270,,pdbe ccdutils,38042830,1,
807,271,,cure-pros,38554135,1,
809,272,,taiwan biobank,36776991,1,
812,273,,knockin translating ribosome immunoprecipitation,37056370,1,
820,274,,isotòpia,38829878,1,
823,275,dips,,37537186,1,
826,276,mylo,,35708612,1,
827,277,,merging chemicals database for national awareness,37756201,1,
830,278,,oceandna mag,35715423,1,
834,279,,pubchemrdf,40399973,1,
835,280,,national hospital medication register,39559743,1,
840,281,,hypospadias biobank cohort,40075808,1,
841,282,,metalab-mag,36508259,1,
843,283,,eqtl catalogue,37721944,1,
845,284,,aknowbase,35058454,1,
848,285,,spliceprot 2.0,38256255,1,
850,286,,escape open-source software and service repository,38264265,1,
851,287,,of autophagic modulators,36016573,1,
852,288,,exprsweb,36152628,1,
853,289,search,,38270339,1,
857,290,enia,,38040041,1,
862,291,,eccdna collection database,36707765,1,
863,292,,civicdb,36373660,1,
868,293,,repromsig,37529934,1,
869,294,pemdb,,35638426,1,
871,295,,explorer,35792893,1,
873,296,crafted,,37081024,1,
878,297,rcsb,,34864908,1,
879,298,cimbl55,,37676328,1,
883,299,,cellphepy,40275641,1,
886,300,,open resources for biology education,38709009,1,
888,301,,brain.gmt,39049932,1,
890,302,sbgrid,,38832828,1,
893,303,,cancer information and population health resource,39141446,1,
901,304,cinc,,35161692,1,
902,305,,inorganic crystal structure prototype database,35732014,1,
905,306,gpt,,39487529,1,
906,307,,seq-well,36495445,1,
908,308,,tropiroot 1.0,40386950,1,
910,309,,amazon biobank,36964864,1,
911,310,,looplessfluxsampler,38166586,1,
912,311,,digital ludeme,38550771,1,
917,312,dock-pet,,38814564,1,
918,313,cosmos,,35296941,1,
922,314,vroa36,,35512708,1,
925,315,,fluidigm c1,35737246,1,
926,316,,photochem,40710990,1,
929,317,,soysnp618k,34914170,1,
930,318,omics,,35145087,1,
932,319,sophia,,38398771,1,
934,320,mobios,,38312338,1,
936,321,ws22,,36792601,1,
937,322,,octocoral,39814778,1,
939,323,,anddigest,36499269,1,
946,324,,rcsb-api,39894387,1,
948,325,,foodprint,39231169,1,
949,326,,chimera,37258539,1,
956,327,,people's ventilator,35544461,1,
960,328,,humet repository,39033506,1,
967,329,,adaptive convolutional neural network,35459273,1,
971,330,,biosample,40549542,1,
973,331,,sheddomedb 2023,37458416,1,
975,332,crwd,,35434225,1,
977,333,rock,,36053857,1,
979,334,,temporal extracellular transcriptome atlas,38216281,1,
981,335,,genomic reference resource for african cattle,39030190,1,
983,336,,andasgwas,37142970,1,
991,337,spark,,40472336,1,
994,338,yeast,,37078622,1,
995,339,,phenotypic plasticity platform,34837217,1,
997,340,rtk-pred,,36830638,1,
999,341,inrae,,35161327,1,
1000,342,qm9,,39753599,1,
1001,343,ybkit,,38006335,1,
1002,344,,radx-up,40718923,1,
1003,345,fppi,,39003916,1,
1005,346,,malmö breast imaging,36779038,1,
1006,347,,database of essential genes,38868518,1,
1007,348,ds,,40359222,1,
1009,349,,fair-fish,38924085,1,
1010,350,lobalinto,,35242914,1,
1013,351,,swissgenvar</i,38929869,1,
1014,352,,lungmap,36413377,1,
1017,353,,sequence alignment to predict,36847398,1,
1022,354,rosie,,35064124,1,
1025,355,,loodimg,37168598,1,
1028,356,,phylobook,38700279,1,
1031,357,,recognizer,35495109,1,
1037,358,,african bat database,39622813,1,
1042,359,,yhseqy3000,39838386,1,
1043,360,,whaledo,38768239,1,
1044,361,,container profiler,37624874,1,
1047,362,,itrogen fixation database,38846350,1,
1048,363,,extnettopics pro,37867598,1,
1054,364,dzome,,37623798,1,
1058,365,ipd-imgt,,38936817,1,
1062,366,,entralized interactive phenomics resource,36882092,1,
1063,367,,logistics information traceability model,38768124,1,
1065,368,,papertronics,36926800,1,
1069,369,,eulat ecollect,39450797,1,
1070,370,dopv2,,36526638,1,
1073,371,,research data repository,37646933,1,
1076,372,,orean medicine omics resource extension map,39242618,1,
1077,373,biraffe2,,35672378,1,
1080,374,,ccess misophonia stimuli,40687097,1,
1083,375,,omd curation toolkit,38724907,1,
1086,376,chákṣu,,36737439,1,
1087,377,it,,38442048,1,
1088,378,anvar,,39382066,1,
1092,379,,eaturecloud,37436815,1,
1093,380,firm,,35561293,1,
1094,381,,borrelia peptideatlas,39622905,1,
