original_record_num,record_index,database_name,long_database_name,pmids,found_urls,url_source,match_quality,notes
10,2,,exe-muscle,35886662,NOT_FOUND,not_available,,No URLs found in abstracts
20,6,,scswinformer,39101690,NOT_FOUND,not_available,,No URLs found in abstracts
29,10,,national injury resource database,38102040,NOT_FOUND,not_available,,No URLs found in abstracts
50,17,,mixoplankton database,36847544,NOT_FOUND,not_available,,No URLs found in abstracts
59,20,,o-glcnac database,39379619,NOT_FOUND,not_available,,No URLs found in abstracts
60,21,mace,,35576088,NOT_FOUND,not_available,,No URLs found in abstracts
63,23,,digital-scrrbs,37616549,NOT_FOUND,not_available,,No URLs found in abstracts
69,27,sco-ph,,40519058,NOT_FOUND,not_available,,No URLs found in abstracts
94,37,,yeast optogenetic toolkit,39724341,NOT_FOUND,not_available,,No URLs found in abstracts
113,43,,croplife europe crop development database,38054369,NOT_FOUND,not_available,,No URLs found in abstracts
120,45,,molecules gateway,39455415,NOT_FOUND,not_available,,No URLs found in abstracts
131,49,kemet,,35422973,NOT_FOUND,not_available,,No URLs found in abstracts
137,52,,simpitb,37331497,NOT_FOUND,not_available,,No URLs found in abstracts
151,58,,codlncscape,38602457,NOT_FOUND,not_available,,No URLs found in abstracts
157,60,,autogrow4,40299468,NOT_FOUND,not_available,,No URLs found in abstracts
158,61,,sadphos library,40259822,NOT_FOUND,not_available,,No URLs found in abstracts
159,62,,kinase-focused interaction database,36447388,NOT_FOUND,not_available,,No URLs found in abstracts
166,66,,vitro kinase-to-phosphosite database,35608653,NOT_FOUND,not_available,,No URLs found in abstracts
176,68,,animal parasitic diseases and drugs database,38000324,NOT_FOUND,not_available,,No URLs found in abstracts
193,71,,plant rdna database,37646950,NOT_FOUND,not_available,,No URLs found in abstracts
198,72,,chip-hub,37682478,NOT_FOUND,not_available,,No URLs found in abstracts
203,74,,zchsound,38194403,NOT_FOUND,not_available,,No URLs found in abstracts
210,78,en-tex,,37001506,NOT_FOUND,not_available,,No URLs found in abstracts
212,79,repair,,34997301,NOT_FOUND,not_available,,No URLs found in abstracts
230,85,octa,,36171524,NOT_FOUND,not_available,,No URLs found in abstracts
249,88,green,,34844546,NOT_FOUND,not_available,,No URLs found in abstracts
250,89,tf2tg,,40314147,NOT_FOUND,not_available,,No URLs found in abstracts
